阿那克萨戈拉,a'na'ke'sa'ge'la
被他的,bei'ta'de
便是正义的,bian'shi'zheng'yi'de
并熟悉,bing'shu'xi
柏拉图的先验论,bo'la'tu'de'xian'yan'lun
柏拉图学派的,bo'la'tu'xue'pai'de
不同的快乐,bu'tong'de'kuai'le
不信灵魂不死,bu'xin'ling'hun'bu'si
不信任的倾向,bu'xin'ren'de'qing'xiang
不信上帝,bu'xin'shang'di
不信天命,bu'xin'tian'ming
曾就学于,ceng'jiu'xue'yu
曾在雅典,ceng'zai'ya'dian
出生于,chu'sheng'yu
传播于希腊,chuan'bo'yu'xi'la
垂直下落的运动,chui'zhi'xia'luo'de'yun'dong
错误只,cuo'wu'zhi
达到身体健康,da'dao'shen'ti'jian'kang
的标准,de'biao'zhun
的发现和出版,de'fa'xian'he'chu'ban
的功利主义,de'gong'li'zhu'yi
的观点,de'guan'dian
的基础上,de'ji'chu'shang
的界限,de'jie'xian
的恐惧,de'kong'ju
德谟克利特的,de'mo'ke'li'te'de
德谟克利特的哲学,de'mo'ke'li'te'de'zhe'xue
德谟克利特关于,de'mo'ke'li'te'guan'yu
德谟克利特学派的,de'mo'ke'li'te'xue'pai'de
的平静,de'ping'jing
的契约,de'qi'yue
的生物,de'sheng'wu
的事物,de'shi'wu
的同义语,de'tong'yi'yu
的完整体系,de'wan'zheng'ti'xi
的信条,de'xin'tiao
的性质,de'xing'zhi
的颜色等,de'yan'se'deng
的影响,de'ying'xiang
的运动,de'yun'dong
的哲学,de'zhe'xue
的著名代表有,de'zhu'ming'dai'biao'you
等早斯哲学家,deng'zao'si'zhe'xue'jia
对感觉,dui'gan'jue
对英国,dui'ying'guo
多卷,duo'juan
发生了影响,fa'sheng'le'ying'xiang
发生在对,fa'sheng'zai'dui
反对了,fan'dui'le
菲拉德谟,fei'la'de'mo
分清痛苦和欲望,fen'qing'tong'ku'he'yu'wang
分为三个,fen'wei'san'ge
奉为必须遵守,feng'wei'bi'xu'zun'shou
否则是不正义的,fou'ze'shi'bu'zheng'yi'de
伽森狄,ga'sen'di
概念来源于感觉,gai'nian'lai'yuan'yu'gan'jue
感觉的,gan'jue'de
感觉经验,gan'jue'jing'yan
感觉是直接的,gan'jue'shi'zhi'jie'de
个人快乐,ge'ren'kuai'le
个世纪,ge'shi'ji
古希腊哲学家,gu'xi'la'zhe'xue'jia
国家建立在,guo'jia'jian'li'zai
还有奴隶,hai'you'nu'li
赫尔玛可,he'er'ma'ke
和继承,he'ji'cheng
和伦理学,he'lun'li'xue
和心灵,he'xin'ling
和一些残篇,he'yi'xie'can'pian
和自然科学,he'zi'ran'ke'xue
花园学派,hua'yuan'xue'pai
怀疑论和,huai'yi'lun'he
基督教的劲敌,ji'du'jiao'de'jing'di
计量和取舍,ji'liang'he'qu'she
建立起一个,jian'li'qi'yi'ge
解除对,jie'chu'dui
接受军事训练,jie'shou'jun'shi'xun'lian
节制欲望,jie'zhi'yu'wang
进一步发展了,jin'yi'bu'fa'zhan'le
据记载,ju'ji'zai
克服了德谟克利特,ke'fu'liao'de'mo'ke'li'te
科洛特,ke'luo'te
可以感觉到,ke'yi'gan'jue'dao
肯定物体的存在,ken'ding'wu'ti'de'cun'zai
快乐与痛苦,kuai'le'yu'tong'ku
扩大了,kuo'da'le
了伊壁鸠鲁的学说,le'yi'bi'jiu'lu'de'xue'shuo
里办学,li'ban'xue
历代弟子,li'dai'di'zi
卢克莱修,lu'ke'lai'xiu
论目的,lun'mu'di
论自然,lun'zi'ran
逻辑和,luo'ji'he
罗马世界,luo'ma'shi'jie
罗马时期伊壁鸠鲁学派,luo'ma'shi'qi'yi'bi'jiu'lu'xue'pai
买的一所花园,mai'de'yi'suo'hua'yuan
麦特罗多洛,mai'te'luo'duo'luo
密尔等,mi'er'deng
脑西芬尼,nao'xi'fen'ni
年到雅典,nian'dao'ya'dian
判断中,pan'duan'zhong
潘菲劳,pan'fei'lao
偏斜运动,pian'xie'yun'dong
破除宗教迷信,po'chu'zong'jiao'mi'xin
其中重要的有,qi'zhong'zhong'yao'de'you
全面恢复了伊壁鸠鲁学说,quan'mian'hui'fu'le'yi'bi'jiu'lu'xue'shuo
人的感觉,ren'de'gan'jue
人们互不侵害,ren'men'hu'bu'qin'hai
认识论问题,ren'shi'lun'wen'ti
人是以,ren'shi'yi
认为快乐是,ren'wei'kuai'le'shi
萨摩斯,sa'mo'si
三封书信,san'feng'shu'xin
稍微偏离直线的,shao'wei'pian'li'zhi'xian'de
社会契约论的,she'hui'qi'yue'lun'de
社会契约说,she'hui'qi'yue'shuo
神灵和死亡,shen'ling'he'si'wang
审慎地,shen'shen'de
生活的目的,sheng'huo'de'mu'di
生平与著作,sheng'ping'yu'zhu'zuo
世纪以后,shi'ji'yi'hou
世纪英法,shi'ji'ying'fa
是近代,shi'jin'dai
是客观的,shi'ke'guan'de
是可靠的,shi'ke'kao'de
是判断真理,shi'pan'duan'zhen'li
是天生的,shi'tian'sheng'de
是研究,shi'yan'jiu
思想上统一,si'xiang'shang'tong'yi
岁开始,sui'kai'shi
他写的,ta'xie'de
他依据,ta'yi'ju
它直接影响了,ta'zhi'jie'ying'xiang'le
他自称,ta'zi'cheng
提出原子,ti'chu'yuan'zi
