暗区,an'qu
靶环征,ba'huan'zheng
斑点状回声,ban'dian'zhuang'hui'sheng
斑块,ban'kuai
斑块回声,ban'kuai'hui'sheng
瓣膜,ban'mo
斑片状,ban'pian'zhuang
班片状回声,ban'pian'zhuang'hui'sheng
伴声影,ban'sheng'ying
包膜,bao'mo
包膜不光滑,bao'mo'bu'guang'hua
包膜光滑,bao'mo'guang'hua
包膜完整,bao'mo'wan'zheng
壁薄,bi'bo
壁立结节征,bi'li'jie'jie'zheng
变动体位可移动,bian'dong'ti'wei'ke'yi'dong
边界,bian'jie
边界不清,bian'jie'bu'qing
边界规整,bian'jie'gui'zheng
边界回声,bian'jie'hui'sheng
边界模糊,bian'jie'mo'hu
边界欠清,bian'jie'qian'qing
边界欠清晰,bian'jie'qian'qing'xi
边界清,bian'jie'qing
边界清楚,bian'jie'qing'chu
边界尚清晰,bian'jie'shang'qing'xi
扁平形,bian'ping'xing
边缘不规则,bian'yuan'bu'gui'ze
边缘不规整,bian'yuan'bu'gui'zheng
边缘不整,bian'yuan'bu'zheng
边缘光滑,bian'yuan'guang'hua
边缘规则,bian'yuan'gui'ze
边缘规整,bian'yuan'gui'zheng
边缘模糊,bian'yuan'mo'hu
边缘欠光滑,bian'yuan'qian'guang'hua
边缘锐利,bian'yuan'rui'li
变窄,bian'zhai
表面不平,biao'mian'bu'ping
表面光滑,biao'mian'guang'hua
搏动指数,bo'dong'zhi'shu
波幅正常,bo'fu'zheng'chang
波浪状,bo'lang'zhuang
部分充填管腔内,bu'fen'chong'tian'guan'qiang'nei
部分后伴声影,bu'fen'hou'ban'sheng'ying
部分突入膀胱,bu'fen'tu'ru'pang'guang
不规则,bu'gui'ze
不规则等回声团块,bu'gui'ze'deng'hui'sheng'tuan'kuai
不规则扩张,bu'gui'ze'kuo'zhang
不规则形团块,bu'gui'ze'xing'tuan'kuai
不佳,bu'jia
不均匀分布,bu'jun'yun'fen'bu
不均质,bu'jun'zhi
不均质回声,bu'jun'zhi'hui'sheng
不能显示,bu'neng'xian'shi
不全流产,bu'quan'liu'chan
部位,bu'wei
不移动,bu'yi'dong
菜花样强回声,cai'hua'yang'qiang'hui'sheng
彩色多普勒,cai'se'duo'pu'le
彩色多普勒超声,cai'se'duo'pu'le'chao'sheng
彩色血流信号缺损,cai'se'xue'liu'xin'hao'que'sun
餐后胆囊不显示,can'hou'dan'nang'bu'xian'shi
餐后胆囊收缩,can'hou'dan'nang'shou'suo
侧壁声影,ce'bi'sheng'ying
侧边声影,ce'bian'sheng'ying
侧方声影,ce'fang'sheng'ying
侧脑室,ce'nao'shi
层次结构清晰,ceng'ci'jie'gou'qing'xi
肠系膜淋巴结,chang'xi'mo'lin'ba'jie
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上静脉,chang'xi'mo'shang'jing'mai
肠系膜下动脉,chang'xi'mo'xia'dong'mai
肠系膜下静脉,chang'xi'mo'xia'jing'mai
超声,chao'sheng
超声波,chao'sheng'bo
超声医学,chao'sheng'yi'xue
超声造影,chao'sheng'zao'ying
沉积物,chen'ji'wu
呈鞍形,cheng'an'xing
呈分叶状,cheng'fen'ye'zhuang
呈蜂窝状,cheng'feng'wo'zhuang
呈锯齿状,cheng'ju'chi'zhuang
呈弥漫分布杂乱光点,cheng'mi'man'fen'bu'za'luan'guang'dian
呈逆向运动,cheng'ni'xiang'yun'dong
呈乳头状,cheng'ru'tou'zhuang
呈双层征,cheng'shuang'ceng'zheng
耻骨联合上,chi'gu'lian'he'shang
充盈缺损,chong'ying'que'sun
粗糙点状回声,cu'cao'dian'zhuang'hui'sheng
粗大,cu'da
粗大不均匀,cu'da'bu'jun'yun
错构瘤,cuo'gou'liu
大脑后动脉,da'nao'hou'dong'mai
大脑前动脉,da'nao'qian'dong'mai
大脑中动脉,da'nao'zhong'dong'mai
大小,da'xiao
大小不一,da'xiao'bu'yi
大小及形态正常,da'xiao'ji'xing'tai'zheng'chang
大隐静脉,da'yin'jing'mai
单发,dan'fa
胆囊壁光滑,dan'nang'bi'guang'hua
胆囊壁增厚,dan'nang'bi'zeng'hou
胆囊不显示,dan'nang'bu'xian'shi
胆囊充满型结石,dan'nang'chong'man'xing'jie'shi
胆囊大小,dan'nang'da'xiao
胆囊结石,dan'nang'jie'shi
胆囊内见多枚强回声团,dan'nang'nei'jian'duo'mei'qiang'hui'sheng'tuan
胆囊内未探及异常回声,dan'nang'nei'wei'tan'ji'yi'chang'hui'sheng
胆囊泥砂样结石并慢性胆囊炎,dan'nang'ni'sha'yang'jie'shi'bing'man'xing'dan'nang'yan
胆囊息肉,dan'nang'xi'rou
胆囊息样样病变,dan'nang'xi'yang'yang'bing'bian
胆囊炎,dan'nang'yan
胆囊肿大,dan'nang'zhong'da
胆泥,dan'ni
胆汁透声差,dan'zhi'tou'sheng'cha
胆汁透声好,dan'zhi'tou'sheng'hao
胆汁淤积,dan'zhi'yu'ji
胆总管,dan'zong'guan
胆总管扩张,dan'zong'guan'kuo'zhang
胆总管内径,dan'zong'guan'nei'jing
低回声,di'hui'sheng
低回声包块,di'hui'sheng'bao'kuai
低回声光斑,di'hui'sheng'guang'ban
低回声环包绕,di'hui'sheng'huan'bao'rao
低回声块状物,di'hui'sheng'kuai'zhuang'wu
低回声晕征,di'hui'sheng'yun'zheng
低回声肿块,di'hui'sheng'zhong'kuai
低密度区,di'mi'du'qu
低水平回声,di'shui'ping'hui'sheng
点状回声,dian'zhuang'hui'sheng
点状胚芽组织,dian'zhuang'pei'ya'zu'zhi
多发,duo'fa
多房性肿块,duo'fang'xing'zhong'kuai
多个低回声为主的包块,duo'ge'di'hui'sheng'wei'zhu'de'bao'kuai
多枚砂粒大小,duo'mei'sha'li'da'xiao
多囊肝,duo'nang'gan
多囊脾,duo'nang'pi
多囊肾,duo'nang'shen
多囊胰,duo'nang'yi
多普勒超声,duo'pu'le'chao'sheng
二尖瓣返流,er'jian'ban'fan'liu
