阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
爱德华天然气比重天平,ai'de'hua'tian'ran'qi'bi'zhong'tian'ping
爱德蒙气体比重天平,ai'de'meng'qi'ti'bi'zhong'tian'ping
艾登阶,ai'deng'jie
埃迪卡拉动物群,ai'di'ka'la'dong'wu'qun
爱迪生效应,ai'di'sheng'xiao'ying
埃尔茨造山运动,ai'er'ci'zao'shan'yun'dong
埃尔卡洛伊铜合金焊条,ai'er'ka'luo'yi'tong'he'jin'han'tiao
埃尔克沥青,ai'er'ke'li'qing
埃尔科尼姆接点合金,ai'er'ke'ni'mu'jie'dian'he'jin
艾尔柯尼特钨铜合金,ai'er'ke'ni'te'wu'tong'he'jin
艾尔麦特钨铜合金,ai'er'mai'te'wu'tong'he'jin
埃尔森牙形石属,ai'er'sen'ya'xing'shi'shu
埃费德合金,ai'fei'de'he'jin
艾斐尔阶,ai'fei'er'jie
埃弗森波,ai'fu'sen'bo
埃及石油总公司,ai'ji'shi'you'zong'gong'si
艾克曼采泥器,ai'ke'man'cai'ni'qi
艾利斯流体,ai'li'si'liu'ti
爱列尼轮藻属,ai'lie'ni'lun'zao'shu
埃洛弗尔解释图版,ai'luo'fu'er'jie'shi'tu'ban
埃洛石,ai'luo'shi
埃马图,ai'ma'tu
埃曼,ai'man
艾姆斯阶,ai'mu'si'jie
埃尼集团,ai'ni'ji'tuan
埃普罗颗石,ai'pu'luo'ke'shi
埃奇沃斯展式,ai'qi'wo'si'zhan'shi
艾氏大孢属,ai'shi'da'bao'shu
埃氏颗石,ai'shi'ke'shi
埃斯卡测硫法,ai'si'ka'ce'liu'fa
埃索石油公司,ai'suo'shi'you'gong'si
艾特隆,ai'te'long
艾文牙形石属,ai'wen'ya'xing'shi'shu
埃殷钢,ai'yin'gang
爱因斯坦,ai'yin'si'tan
爱因斯坦方程,ai'yin'si'tan'fang'cheng
按包钻进尺计费的报价,an'bao'zuan'jin'chi'ji'fei'de'bao'jia
