标准,biao'zhun
标准参照测量,biao'zhun'can'zhao'ce'liang
材料评价,cai'liao'ping'jia
差距,cha'ju
产品,chan'pin
常模参照测量,chang'mo'can'zhao'ce'liang
成本效益,cheng'ben'xiao'yi
程序,cheng'xu
程序教学,cheng'xu'jiao'xue
程序教学法,cheng'xu'jiao'xue'fa
程序教学运动,cheng'xu'jiao'xue'yun'dong
程序课本,cheng'xu'ke'ben
程序模式,cheng'xu'mo'shi
程序设计,cheng'xu'she'ji
处方,chu'fang
处理,chu'li
初始能力,chu'shi'neng'li
传播技能,chuan'bo'ji'neng
传播理论,chuan'bo'li'lun
传播模式,chuan'bo'mo'shi
传播效果,chuan'bo'xiao'guo
传送系统,chuan'song'xi'tong
传送系统管理,chuan'song'xi'tong'guan'li
刺激反应,ci'ji'fan'ying
单元,dan'yuan
导听法,dao'ting'fa
电子绩效支持系统,dian'zi'ji'xiao'zhi'chi'xi'tong
电子媒体,dian'zi'mei'ti
定量研究,ding'liang'yan'jiu
定性研究,ding'xing'yan'jiu
动机,dong'ji
动机设计,dong'ji'she'ji
多媒体,duo'mei'ti
多媒体技术,duo'mei'ti'ji'shu
发现法,fa'xian'fa
反馈,fan'kui
反馈系统,fan'kui'xi'tong
反射动作,fan'she'dong'zuo
反应发生器,fan'ying'fa'sheng'qi
非印刷媒体,fei'yin'shua'mei'ti
分支程序,fen'zhi'cheng'xu
感觉记录器,gan'jue'ji'lu'qi
感觉器,gan'jue'qi
个别化教学系统,ge'bie'hua'jiao'xue'xi'tong
个别化学习,ge'bie'hua'xue'xi
革新的推广,ge'xin'de'tui'guang
工作记忆检索,gong'zuo'ji'yi'jian'suo
归纳学习法,gui'na'xue'xi'fa
宏观设计,hong'guan'she'ji
计算机辅助教学,ji'suan'ji'fu'zhu'jiao'xue
计算机管理教学,ji'suan'ji'guan'li'jiao'xue
计算机教学系统,ji'suan'ji'jiao'xue'xi'tong
集体教学,ji'ti'jiao'xue
集体授课,ji'ti'shou'ke
绩效技术,ji'xiao'ji'shu
基于计算机的技术,ji'yu'ji'suan'ji'de'ji'shu
建构主义,jian'gou'zhu'yi
讲授法,jiang'shou'fa
教科书,jiao'ke'shu
教学包,jiao'xue'bao
教学策略,jiao'xue'ce'lue
教学程序,jiao'xue'cheng'xu
教学方法,jiao'xue'fang'fa
教学活动事件,jiao'xue'huo'dong'shi'jian
教学机器,jiao'xue'ji'qi
教学技术,jiao'xue'ji'shu
教学开发,jiao'xue'kai'fa
教学理论,jiao'xue'li'lun
教学目标,jiao'xue'mu'biao
教学评价,jiao'xue'ping'jia
教学设计,jiao'xue'she'ji
教学系统,jiao'xue'xi'tong
教学系统设计,jiao'xue'xi'tong'she'ji
教学效果,jiao'xue'xiao'guo
教学资源,jiao'xue'zi'yuan
教学组织形式,jiao'xue'zu'zhi'xing'shi
教育传播与技术协会,jiao'yu'chuan'bo'yu'ji'shu'xie'hui
教育方案评价,jiao'yu'fang'an'ping'jia
教育技术,jiao'yu'ji'shu
教育技术学,jiao'yu'ji'shu'xue
接受学习,jie'shou'xue'xi
静态视觉资料,jing'tai'shi'jue'zi'liao
经验之塔,jing'yan'zhi'ta
绝对评价,jue'dui'ping'jia
课程开发,ke'cheng'kai'fa
课件,ke'jian
联结学派,lian'jie'xue'pai
流程图,liu'cheng'tu
锚定式教学,mao'ding'shi'jiao'xue
媒体传播教学,mei'ti'chuan'bo'jiao'xue
媒体技术,mei'ti'ji'shu
媒体应用,mei'ti'ying'yong
目标导向教学,mu'biao'dao'xiang'jiao'xue
内容分析,nei'rong'fen'xi
评价研究,ping'jia'yan'jiu
屏幕设计,ping'mu'she'ji
前端分析,qian'duan'fen'xi
强化,qiang'hua
情境学习,qing'jing'xue'xi
任务分析,ren'wu'fen'xi
认知结构,ren'zhi'jie'gou
认知心理学,ren'zhi'xin'li'xue
认知学派,ren'zhi'xue'pai
社会需求,she'hui'xu'qiu
视觉传播,shi'jue'chuan'bo
视觉教育,shi'jue'jiao'yu
视觉文化,shi'jue'wen'hua
视觉语言,shi'jue'yu'yan
视听辅助工具,shi'ting'fu'zhu'gong'ju
视听技术,shi'ting'ji'shu
视听教育,shi'ting'jiao'yu
通达性教学,tong'da'xing'jiao'xue
微观设计,wei'guan'she'ji
文本设计,wen'ben'she'ji
问题分析,wen'ti'fen'xi
无形技术,wu'xing'ji'shu
系统方法,xi'tong'fang'fa
系统分析,xi'tong'fen'xi
系统化,xi'tong'hua
系统技术,xi'tong'ji'shu
系统论,xi'tong'lun
先行组织者,xian'xing'zu'zhi'zhe
相对评价,xiang'dui'ping'jia
项目管理,xiang'mu'guan'li
项目评价,xiang'mu'ping'jia
信息管理,xin'xi'guan'li
信息加工理论,xin'xi'jia'gong'li'lun
形成性评价,xing'cheng'xing'ping'jia
行为心理学,xing'wei'xin'li'xue
需要评估,xu'yao'ping'gu
学习理论,xue'xi'li'lun
学习条件,xue'xi'tiao'jian
学习需要,xue'xi'xu'yao
学习需要分析,xue'xi'xu'yao'fen'xi
学习者分析,xue'xi'zhe'fen'xi
讯息设计,xun'xi'she'ji
印刷技术,yin'shua'ji'shu
印刷媒体,yin'shua'mei'ti
有形技术,you'xing'ji'shu
