安济桥,an'ji'qiao
安史之乱,an'shi'zhi'luan
颁行全国,ban'xing'quan'guo
暴君,bao'jun
包括新罗,bao'kuo'xin'luo
暴虐无道,bao'nue'wu'dao
被大臣,bei'da'chen
被废除,bei'fei'chu
被公认为,bei'gong'ren'wei
被历史学家,bei'li'shi'xue'jia
被其子,bei'qi'zi
北周,bei'zhou
北周灭亡,bei'zhou'mie'wang
比欧洲同类建筑,bi'ou'zhou'tong'lei'jian'zhu
币制,bi'zhi
表示怀疑,biao'shi'huai'yi
标准的,biao'zhun'de
并无血缘关系,bing'wu'xue'yuan'guan'xi
并于,bing'yu
渤海国,bo'hai'guo
不得不,bu'de'bu
残暴的隋炀帝,can'bao'de'sui'yang'di
漕运力量,cao'yun'li'liang
曾官居,ceng'guan'ju
曾于,ceng'yu
长达两千余里,chang'da'liang'qian'yu'li
长期分裂,chang'qi'fen'lie
长足的进步如著名,chang'zu'de'jin'bu'ru'zhu'ming
朝代,chao'dai
承继者,cheng'ji'zhe
承前启后,cheng'qian'qi'hou
持续稳定,chi'xu'wen'ding
出自汉族,chu'zi'han'zu
传了,chuan'le
传说君主,chuan'shuo'jun'zhu
创造了良好条件,chuang'zao'le'liang'hao'tiao'jian
此说法,ci'shuo'fa
篡位灭亡,cuan'wei'mie'wang
存在较短,cun'zai'jiao'duan
大丞相进封,da'cheng'xiang'jin'feng
大大削弱,da'da'xue'ruo
大势已去,da'shi'yi'qu
大兴土木,da'xing'tu'mu
大野氏,da'ye'shi
大业十二年,da'ye'shi'er'nian
大业十四年三月,da'ye'shi'si'nian'san'yue
大业四年,da'ye'si'nian
代表人物,dai'biao'ren'wu
带有,dai'you
但均告失利,dan'jun'gao'shi'li
但隋朝,dan'sui'chao
当时的,dang'shi'de
得不到保障,de'bu'dao'bao'zhang
的朝代之一,de'chao'dai'zhi'yi
的成就,de'cheng'jiu
的都城,de'du'cheng
的宫殿,de'gong'dian
的公元,de'gong'yuan
的国力,de'guo'li
的皇帝与唐王朝,de'huang'di'yu'tang'wang'chao
的机会,de'ji'hui
的交易,de'jiao'yi
的旧制,de'jiu'zhi
的兴建,de'xing'jian
的姓氏,de'xing'shi
的杨坚,de'yang'jian
的一个朝代,de'yi'ge'chao'dai
的影响市场商品,de'ying'xiang'shi'chang'shang'pin
的政治经济,de'zheng'zhi'jing'ji
的政治体制,de'zheng'zhi'ti'zhi
的中国,de'zhong'guo
的中心地域,de'zhong'xin'di'yu
的逐步衰落,de'zhu'bu'shuai'luo
的子孙,de'zi'sun
的最后一个,de'zui'hou'yi'ge
等方面的,deng'fang'mian'de
等方面都有,deng'fang'mian'dou'you
等各方面,deng'ge'fang'mian
等各方面也,deng'ge'fang'mian'ye
登基后,deng'ji'hou
等人,deng'ren
等著名将军不过也,deng'zhu'ming'jiang'jun'bu'guo'ye
帝国时期,di'guo'shi'qi
地增长,di'zeng'zhang
鼎盛时期,ding'sheng'shi'qi
东亚邻国,dong'ya'lin'guo
窦建德,dou'jian'de
都自称,dou'zi'cheng
杜伏威,du'fu'wei
度量衡,du'liang'heng
多年的,duo'nian'de
二十四年,er'shi'si'nian
而亡,er'wang
而用,er'yong
而在,er'zai
发动兵变,fa'dong'bing'bian
飞将军,fei'jiang'jun
辅政大臣,fu'zheng'da'chen
改国号,gai'guo'hao
改国号为,gai'guo'hao'wei
改年号为,gai'nian'hao'wei
改元义宁,gai'yuan'yi'ning
各朝没有,ge'chao'mei'you
工程建筑,gong'cheng'jian'zhu
巩固和发展首先在,gong'gu'he'fa'zhan'shou'xian'zai
巩固了,gong'gu'le
共统治中国,gong'tong'zhi'zhong'guo
共延续了,gong'yan'xu'le
共在位,gong'zai'wei
攻占了,gong'zhan'le
故而,gu'er
古名,gu'ming
广通渠,guang'tong'qu
果断地,guo'duan'de
国家之一,guo'jia'zhi'yi
还规定了,hai'gui'ding'le
河北的,he'bei'de
河北赵县,he'bei'zhao'xian
合乎规格,he'hu'gui'ge
和加强,he'jia'qiang
和日本,he'ri'ben
和他的,he'ta'de
很大影响,hen'da'ying'xiang
后便,hou'bian
后陈,hou'chen
后来又,hou'lai'you
后世,hou'shi
后唐,hou'tang
后炀帝,hou'yang'di
湖北省有,hu'bei'sheng'you
华人聚居处,hua'ren'ju'ju'chu
皇极历,huang'ji'li
黄仁宇,huang'ren'yu
皇族李氏,huang'zu'li'shi
恢复大唐国号,hui'fu'da'tang'guo'hao
绘画音乐舞蹈,hui'hua'yin'yue'wu'dao
辉煌的成就,hui'huang'de'cheng'jiu
辉县,hui'xian
继而推行,ji'er'tui'xing
计算出的,ji'suan'chu'de
家族也是,jia'zu'ye'shi
建都长安,jian'du'chang'an
建业,jian'ye
监造的,jian'zao'de
江都,jiang'du
江淮地区的,jiang'huai'di'qu'de
杰出的,jie'chu'de
揭竿而起其中势力较大的有,jie'gan'er'qi'qi'zhong'shi'li'jiao'da'de'you
结束了,jie'shu'le
今朝鲜半岛,jin'chao'xian'ban'dao
今南京,jin'nan'jing
今山西省,jin'shan'xi'sheng
今陕西西安,jin'shan'xi'xi'an
进行了,jin'xing'le
晋阳,jin'yang
禁用旧钱,jin'yong'jiu'qian
京杭大运河,jing'hang'da'yun'he
经济军事文化,jing'ji'jun'shi'wen'hua
经济上,jing'ji'shang
就开始,jiu'kai'shi
旧唐书,jiu'tang'shu
军事贵族,jun'shi'gui'zu
均田制,jun'tian'zhi
均有所,jun'you'suo
开国皇帝,kai'guo'huang'di
开国君主,kai'guo'jun'zhu
开皇八年,kai'huang'ba'nian
开设了,kai'she'le
开始就是,kai'shi'jiu'shi
开凿大运河,kai'zao'da'yun'he
科举制度,ke'ju'zhi'du
空撞券桥,kong'zhuang'quan'qiao
老子,lao'zi
勒死了,lei'si'le
李春,li'chun
李存勖,li'cun'xu
李耳,li'er
李广,li'guang
李皓,li'hao
李氏被迫改成,li'shi'bei'po'gai'cheng
历史上,li'shi'shang
李氏是,li'shi'shi
李氏自称,li'shi'zi'cheng
李渊任,li'yuan'ren
李渊于,li'yuan'yu
李渊在,li'yuan'zai
连年的战乱,lian'nian'de'zhan'luan
连年征战与炀帝暴政,lian'nian'zheng'zhan'yu'yang'di'bao'zheng
两代,liang'dai
梁王,liang'wang
六部新制,liu'bu'xin'zhi
刘焯,liu'chao
六十三岁,liu'shi'san'sui
六一八年三月,liu'yi'ba'nian'san'yue
陇西,long'xi
陇西李氏,long'xi'li'shi
莫过于,mo'guo'yu
南北朝,nan'bei'chao
南朝,nan'chao
南朝的灭亡,nan'chao'de'mie'wang
南唐,nan'tang
南通黄河,nan'tong'huang'he
年号大业,nian'hao'da'ye
年号开皇,nian'hao'kai'huang
年建立了,nian'jian'li'le
年轻的,nian'qing'de
年中,nian'zhong
农民大起义,nong'min'da'qi'yi
起兵,qi'bing
其统治,qi'tong'zhi
其子,qi'zi
迁都洛阳,qian'du'luo'yang
前后仅,qian'hou'jin
秦代,qin'dai
秦汉,qin'han
清查人口,qing'cha'ren'kou
全国各地人民纷纷,quan'guo'ge'di'ren'min'fen'fen
确立了,que'li'le
人才选拔方式,ren'cai'xuan'ba'fang'shi
人民的生活,ren'min'de'sheng'huo
仁寿,ren'shou
仁寿宫,ren'shou'gong
仁寿四年,ren'shou'si'nian
认为是,ren'wei'shi
认为唐朝,ren'wei'tang'chao
人文艺术,ren'wen'yi'shu
日本历史学者,ri'ben'li'shi'xue'zhe
日渐衰落,ri'jian'shuai'luo
入宫,ru'gong
如画家,ru'hua'jia
塞雷桥,sai'lei'qiao
三公九卿,san'gong'jiu'qing
三省,san'sheng
三师,san'shi
三十八,san'shi'ba
三十八年,san'shi'ba'nian
三征辽东高丽,san'zheng'liao'dong'gao'li
骚动,sao'dong
沙漠地带,sha'mo'di'dai
禅让,shan'rang
上的,shang'de
奢侈豪华,she'chi'hao'hua
社会改革,she'hui'gai'ge
社会秩序,she'hui'zhi'xu
设洛阳,she'luo'yang
身为,shen'wei
生产的发展,sheng'chan'de'fa'zhan
史称武周,shi'cheng'wu'zhou
是当时世界上,shi'dang'shi'shi'jie'shang
十国,shi'guo
世纪时,shi'ji'shi
世界上,shi'jie'shang
是晋,shi'jin
十六国,shi'liu'guo
时期的结束唐朝国力,shi'qi'de'jie'shu'tang'chao'guo'li
石桥,shi'qiao
事实上他们,shi'shi'shang'ta'men
是唐朝,shi'tang'chao
时推行,shi'tui'xing
是为隋炀帝,shi'wei'sui'yang'di
是我国,shi'wo'guo
十一月,shi'yi'yue
是中国历史上,shi'zhong'guo'li'shi'shang
数一数二因此华人,shu'yi'shu'er'yin'ci'hua'ren
四处攘乱,si'chu'rang'luan
司马德戡宇文化及,si'ma'de'kan'yu'wen'hua'ji
宋朝,song'chao
岁差,sui'cha
隋朝,sui'chao
隋朝的,sui'chao'de
隋朝的统治,sui'chao'de'tong'zhi
隋朝后期,sui'chao'hou'qi
隋朝建立,sui'chao'jian'li
隋朝灭亡,sui'chao'mie'wang
隋朝时,sui'chao'shi
