爱比克泰德,ai'bi'ke'tai'de
爱比克泰德和马尔库斯,ai'bi'ke'tai'de'he'ma'er'ku'si
奥勒留的,ao'le'liu'de
奥勒留那里找得到,ao'le'liu'na'li'zhao'de'dao
把灵魂,ba'ling'hun
把相反的学说,ba'xiang'fan'de'xue'shuo
包含了为,bao'han'le'wei
比例也,bi'li'ye
比任何其他,bi'ren'he'qi'ta
便愈来愈受到,bian'yu'lai'yu'shou'dao
别人伤害,bie'ren'shang'hai
摈弃一切,bin'qi'yi'qie
并不是把,bing'bu'shi'ba
柏拉图的弟子们,bo'la'tu'de'di'zi'men
柏拉图主义,bo'la'tu'zhu'yi
采用柏拉图的,cai'yong'bo'la'tu'de
曾对斯多葛主义,ceng'dui'si'duo'ge'zhu'yi
常识来,chang'shi'lai
词句上,ci'ju'shang
大多是罗马人,da'duo'shi'luo'ma'ren
大多是叙利亚人,da'duo'shi'xu'li'ya'ren
大体上是,da'ti'shang'shi
大约于公元,da'yue'yu'gong'yuan
但是斯多葛派,dan'shi'si'duo'ge'pai
但是它,dan'shi'ta
但是他们似乎,dan'shi'ta'men'si'hu
但是它也,dan'shi'ta'ye
但他却多少,dan'ta'que'duo'shao
当初是商业,dang'chu'shi'shang'ye
当然是十足坚固的,dang'ran'shi'shi'zu'jian'gu'de
当时世界,dang'shi'shi'jie
的存在而开始,de'cun'zai'er'kai'shi
得更大的说法,de'geng'da'de'shuo'fa
的观点要,de'guan'dian'yao
的火,de'huo
的历史上,de'li'shi'shang
的利益把他,de'li'yi'ba'ta
的论证,de'lun'zheng
的片断,de'pian'duan
的人对自己,de'ren'dui'zi'ji
的圣人,de'sheng'ren
的态度,de'tai'du
的形而上学,de'xing'er'shang'xue
的玄虚,de'xuan'xu
的学说,de'xue'shuo
的学说却,de'xue'shuo'que
的影子都没有了,de'ying'zi'dou'mei'you'le
的只有少数,de'zhi'you'shao'shu
的作品是,de'zuo'pin'shi
的确是改变得很少,di'que'shi'gai'bian'de'hen'shao
都更少希腊性,dou'geng'shao'xi'la'xing
都更投合,dou'geng'tou'he
都是坚固的,dou'shi'jian'gu'de
都宣称自己,dou'xuan'cheng'zi'ji
对于感官,dui'yu'gan'guan
而变化更多,er'bian'hua'geng'duo
而常识,er'chang'shi
而关于伦理学,er'guan'yu'lun'li'xue
而伦理学说,er'lun'li'xue'shuo
而且大多数的,er'qie'da'duo'shu'de
而且很可能,er'qie'hen'ke'neng
而且在某种意义上,er'qie'zai'mou'zhong'yi'yi'shang
二世纪,er'shi'ji
而晚期的,er'wan'qi'de
而陷入到,er'xian'ru'dao
而又为,er'you'wei
而早期的斯多葛派,er'zao'qi'de'si'duo'ge'pai
而逐渐,er'zhu'jian
反对柏拉图关于,fan'dui'bo'la'tu'guan'yu
反形而上学,fan'xing'er'shang'xue
放弃了唯物主义,fang'qi'le'wei'wu'zhu'yi
干了不正义的勾当,gan'le'bu'zheng'yi'de'gou'dang
给他们所留的,gei'ta'men'suo'liu'de
公元后一世纪,gong'yuan'hou'yi'shi'ji
公元前三世纪,gong'yuan'qian'san'shi'ji
构成的,gou'cheng'de
构成物理事物的,gou'cheng'wu'li'shi'wu'de
固然在,gu'ran'zai
关于早期的斯多葛派,guan'yu'zao'qi'de'si'duo'ge'pai
赫拉克利特的观点,he'la'ke'li'te'de'guan'dian
赫拉克利特的结合品,he'la'ke'li'te'de'jie'he'pin
和马尔库斯,he'ma'er'ku'si
很可能是从事商业的,hen'ke'neng'shi'cong'shi'shang'ye'de
很显然地,hen'xian'ran'de
后半叶的,hou'ban'ye'de
后来终于,hou'lai'zhong'yu
怀疑派就问,huai'yi'pai'jiu'wen
怀疑派又问,huai'yi'pai'you'wen
火认为,huo'ren'wei
极端的强调,ji'duan'de'qiang'diao
吉尔柏特,ji'er'bai'te
几乎所有的,ji'hu'suo'you'de
即他们的,ji'ta'men'de
假如有的话,jia'ru'you'de'hua
坚固的和物质的,jian'gu'de'he'wu'zhi'de
坚固的物质,jian'gu'de'wu'zhi
讲得愈来愈少,jiang'de'yu'lai'yu'shao
教训吻合,jiao'xun'wen'he
截然不同的,jie'ran'bu'tong'de
进行斗争,jin'xing'dou'zheng
就意味着唯物主义,jiu'yi'wei'zhe'wei'wu'zhu'yi
就在这方面,jiu'zai'zhe'fang'mian
拒绝逃亡,ju'jue'tao'wang
可靠性的,ke'kao'xing'de
渴望研究,ke'wang'yan'jiu
肯定现实世界,ken'ding'xian'shi'shi'jie
困恼了他,kun'nao'le'ta
冷暖的不闻不问,leng'nuan'de'bu'wen'bu'wen
