阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿鼻地狱,a'bi'di'yu
阿比罗提,a'bi'luo'ti
阿鞞跋致,a'bing'ba'zhi
阿波陀那,a'bo'tuo'na
阿部肇一,a'bu'zhao'yi
阿阐底迦,a'chan'di'jia
阿达婆吠陀,a'da'po'fei'tuo
阿道,a'dao
阿地瞿多,a'di'qu'duo
阿底峡,a'di'xia
阿颠底迦,a'dian'di'jia
阿闍世王,a'du'shi'wang
阿浮陀达磨,a'fu'tuo'da'mo
阿伽色,a'ga'se
阿伽陀药,a'ga'tuo'yao
阿含经,a'han'jing
阿吽,a'hong
阿克巴,a'ke'ba
阿拉善延寿寺,a'la'shan'yan'shou'si
阿赖耶识,a'lai'ye'shi
阿兰若,a'lan're
阿离耶,a'li'ye
阿卢那,a'lu'na
阿罗汉,a'luo'han
阿罗逻迦兰,a'luo'luo'jia'lan
阿罗毗国,a'luo'pi'guo
阿弥陀经,a'mi'tuo'jing
阿弥陀净土变,a'mi'tuo'jing'tu'bian
阿摩勒树,a'mo'le'shu
阿摩罗梵语辞典,a'mo'luo'fan'yu'ci'dian
阿摩落迦塔,a'mo'luo'jia'ta
阿摩罗婆提,a'mo'luo'po'ti
阿摩罗普罗派,a'mo'luo'pu'luo'pai
阿摩罗识,a'mo'luo'shi
阿那含,a'na'han
阿那律,a'na'lv
阿难,a'nan
阿难陀寺,a'nan'tuo'si
阿尼哥,a'ni'ge
阿耨达池,a'nou'da'chi
阿耨达龙王,a'nou'da'long'wang
阿耨多罗三藐三菩提,a'nou'duo'luo'san'miao'san'pu'ti
阿奴波村,a'nu'bo'cun
阿奴律陀,a'nu'lv'tuo
阿诺德,a'nuo'de
阿毗达磨,a'pi'da'mo
阿毗达磨大乘经,a'pi'da'mo'da'cheng'jing
阿毗达磨灯论,a'pi'da'mo'deng'lun
阿毗昙八犍度论,a'pi'tan'ba'jian'du'lun
阿毗昙毗婆沙论,a'pi'tan'pi'po'sha'lun
阿毗昙心论,a'pi'tan'xin'lun
阿耆多翅舍钦婆罗,a'qi'duo'chi'she'qin'po'luo
阿若憍陈如,a'ruo'jiao'chen'ru
阿僧祇,a'seng'chi
阿湿波,a'shi'bo
阿湿波国,a'shi'bo'guo
阿输迦树,a'shu'jia'shu
阿说示,a'shuo'shi
阿私陀仙,a'si'tuo'xian
阿娑缚抄,a'suo'fu'chao
阿特曼,a'te'man
阿陀那识,a'tuo'na'shi
阿王老藏,a'wang'lao'cang
阿旺洛桑,a'wang'luo'sang
阿旺洛桑丹巴坚赞,a'wang'luo'sang'dan'ba'jian'zan
阿旺曲培,a'wang'qu'pei
阿尾奢法,a'wei'she'fa
阿修罗,a'xiu'luo
阿逸多,a'yi'duo
阿诣罗,a'yi'luo
阿由多,a'you'duo
阿踰陀国,a'yu'tuo'guo
阿育王,a'yu'wang
阿育王法勒,a'yu'wang'fa'le
