爱恶相攻而吉凶生,ai'e'xiang'gong'er'ji'xiong'sheng
安得禽也,an'de'qin'ye
安节,an'jie
安节之亨,an'jie'zhi'heng
安民志,an'min'zhi
安其位者也,an'qi'wei'zhe'ye
安土敦乎仁,an'tu'dun'hu'ren
安行也,an'xing'ye
安宅,an'zhai
安贞,an'zhen
安贞之吉,an'zhen'zhi'ji
八卦成列,ba'gua'cheng'lie
八卦定吉凶,ba'gua'ding'ji'xiong
八卦而小成,ba'gua'er'xiao'cheng
八卦相错,ba'gua'xiang'cuo
八卦以象告,ba'gua'yi'xiang'gao
拔茅茹,ba'mao'ru
拔茅贞吉,ba'mao'zhen'ji
拔茅征吉,ba'mao'zheng'ji
白贲,bai'ben
白贲无咎,bai'ben'wu'jiu
百谷草木丽乎土,bai'gu'cao'mu'li'hu'tu
百官以治,bai'guan'yi'zhi
白马翰如,bai'ma'han'ru
百四十有四,bai'si'shi'you'si
百物不废,bai'wu'bu'fei
百姓日用不知,bai'xing'ri'yong'bu'zhi
百姓与能,bai'xing'yu'neng
包承,bao'cheng
保合大和,bao'he'da'he
包荒,bao'huang
包蒙吉,bao'meng'ji
保其存者也,bao'qi'cun'zhe'ye
包无鱼,bao'wu'yu
包羲氏没,bao'xi'shi'mei
包羞,bao'xiu
包有鱼,bao'you'yu
卑而不可踰,bei'er'bu'ke'yu
卑法地,bei'fa'di
卑高以陈,bei'gao'yi'chen
备物致用,bei'wu'zhi'yong
惫也,bei'ye
卑以自牧也,bei'yi'zi'mu'ye
贲卦终,ben'gua'zhong
本乎地者亲下,ben'hu'di'zhe'qin'xia
本乎天者亲上,ben'hu'tian'zhe'qin'shang
本末弱也,ben'mo'ruo'ye
本末也,ben'mo'ye
贲其须,ben'qi'xu
贲其趾,ben'qi'zhi
贲如皤如,ben'ru'po'ru
贲如濡如,ben'ru'ru'ru
贲无色也,ben'wu'se'ye
贲于丘园,ben'yu'qiu'yuan
贲者饰也,ben'zhe'shi'ye
比必有所畜也,bi'bi'you'suo'chu'ye
必反其家,bi'fan'qi'jia
必反下,bi'fan'xia
比卦终,bi'gua'zhong
必济,bi'ji
必决,bi'jue
必困,bi'kun
比乐,bi'le
必乱邦也,bi'luan'bang'ye
必行之,bi'xing'zhi
必益,bi'yi
必有事,bi'you'shi
必有馀庆,bi'you'yu'qing
必有馀殃,bi'you'yu'yang
必豫,bi'yu
必战,bi'zhan
比者比也,bi'zhe'bi'ye
比之初六,bi'zhi'chu'liu
比之匪人,bi'zhi'fei'ren
比之无首,bi'zhi'wu'shou
比之自内,bi'zhi'zi'nei
变动不居,bian'dong'bu'ju
变动以利言,bian'dong'yi'li'yan
变而通之以尽利,bian'er'tong'zhi'yi'jin'li
变化见矣,bian'hua'jian'yi
变化云为,bian'hua'yun'wei
变化者,bian'hua'zhe
辩吉凶者,bian'ji'xiong'zhe
辨是与非,bian'shi'yu'fei
变通莫大乎四时,bian'tong'mo'da'hu'si'shi
辨物正言,bian'wu'zheng'yan
变在其中矣,bian'zai'qi'zhong'yi
变则通,bian'ze'tong
并受其福,bing'shou'qi'fu
剥牀以辨,bo'chuang'yi'bian
剥牀以肤,bo'chuang'yi'fu
剥牀以足,bo'chuang'yi'zu
剥卦终,bo'gua'zhong
剥烂也,bo'lan'ye
跛能履,bo'neng'lv
跛能履吉,bo'neng'lv'ji
剥穷上反下,bo'qiong'shang'fan'xia
剥也,bo'ye
剥者剥也,bo'zhe'bo'ye
剥之,bo'zhi
剥之无咎,bo'zhi'wu'jiu
不成乎名,bu'cheng'hu'ming
不出户庭,bu'chu'hu'ting
不出门庭,bu'chu'men'ting
不独富也,bu'du'fu'ye
不恶而严,bu'e'er'yan
不犯难行也,bu'fan'nan'xing'ye
不犯灾也,bu'fan'zai'ye
不封不树,bu'feng'bu'shu
不富,bu'fu
不复远,bu'fu'yuan
不耕获,bu'geng'huo
不鼓缶而歌,bu'gu'fou'er'ge
不害民,bu'hai'min
不恒其德,bu'heng'qi'de
不获其身,bu'huo'qi'shen
不及其君,bu'ji'qi'jun
不家食吉,bu'jia'shi'ji
不见利而不劝,bu'jian'li'er'bu'quan
不见其妻,bu'jian'qi'qi
不见其人,bu'jian'qi'ren
不见是而无闷,bu'jian'shi'er'wu'men
不节若,bu'jie'ruo
不戒以孚,bu'jie'yi'fu
不节之嗟,bu'jie'zhi'jie
不可大事,bu'ke'da'shi
不可大事也,bu'ke'da'shi'ye
不可疾贞,bu'ke'ji'zhen
不可咎也,bu'ke'jiu'ye
不可乱也,bu'ke'luan'ye
不可荣以禄,bu'ke'rong'yi'lu
不可如何也,bu'ke'ru'he'ye
不可涉大川,bu'ke'she'da'chuan
不可试也,bu'ke'shi'ye
不克讼,bu'ke'song
不可为曲要,bu'ke'wei'qu'yao
不可以不久也,bu'ke'yi'bu'jiu'ye
不可以有辅也,bu'ke'yi'you'fu'ye
不可以有为也,bu'ke'yi'you'wei'ye
不可与长也,bu'ke'yu'chang'ye
不可远,bu'ke'yuan
不可贞,bu'ke'zhen
不克征,bu'ke'zheng
不利宾,bu'li'bin
不利东北,bu'li'dong'bei
不利即戎,bu'li'ji'rong
不利君子贞,bu'li'jun'zi'zhen
不利涉大川,bu'li'she'da'chuan
不利为寇,bu'li'wei'kou
不利有攸往,bu'li'you'you'wang
不利远者,bu'li'yuan'zhe
不乱群也,bu'luan'qun'ye
不明晦,bu'ming'hui
不能遂,bu'neng'sui
不能退,bu'neng'tui
不能正室也,bu'neng'zheng'shi'ye
不宁方来,bu'ning'fang'lai
蔀其家,bu'qi'jia
不桡乎下也,bu'rao'hu'xia'ye
不如其娣之袂良,bu'ru'qi'di'zhi'mei'liang
不如其娣之袂良也,bu'ru'qi'di'zhi'mei'liang'ye
不如西邻之时也,bu'ru'xi'lin'zhi'shi'ye
不如西邻之禴祭,bu'ru'xi'lin'zhi'yue'ji
不丧匕鬯,bu'sang'bi'chang
不善千里之外违之,bu'shan'qian'li'zhi'wai'wei'zhi
不伤财,bu'shang'cai
不胜而往,bu'sheng'er'wang
不事王侯,bu'shi'wang'hou
不失也,bu'shi'ye
不素饱也,bu'su'bao'ye
不速之客来,bu'su'zhi'ke'lai
不往何灾也,bu'wang'he'zai'ye
不威不惩,bu'wei'bu'cheng
不畏不义,bu'wei'bu'yi
不违则也,bu'wei'ze'ye
不我能即,bu'wo'neng'ji
不咥人,bu'xi'ren
不习无不利,bu'xi'wu'bu'li
不遐遗,bu'xia'yi
不祥也,bu'xiang'ye
不相与也,bu'xiang'yu'ye
不行而至,bu'xing'er'zhi
不行也,bu'xing'ye
不续终也,bu'xu'zhong'ye
不言而信,bu'yan'er'xin
不言所利,bu'yan'suo'li
不养则不可动,bu'yang'ze'bu'ke'dong
不易乎世,bu'yi'hu'shi
不亦伤乎,bu'yi'shang'hu
不宜上宜下,bu'yi'shang'yi'xia
不永所事,bu'yong'suo'shi
不有躬,bu'you'gong
不远之复,bu'yuan'zhi'fu
不拯其随,bu'zheng'qi'sui
不终日,bu'zhong'ri
不菑畲,bu'zi'she
不自失也,bu'zi'shi'ye
不足以成名,bu'zu'yi'cheng'ming
不足以灭身,bu'zu'yi'mie'shen
不足以有明也,bu'zu'yi'you'ming'ye
不足以与行也,bu'zu'yi'yu'xing'ye
参伍以变,can'wu'yi'bian
藏诸用,cang'zhu'yong
草木蕃,cao'mu'fan
长裕而不设,chang'yu'er'bu'she
臣不可过也,chen'bu'ke'guo'ye
臣不密,chen'bu'mi
臣道也,chen'dao'ye
臣弑其君,chen'shi'qi'jun
称而隐,cheng'er'yin
城复于隍,cheng'fu'yu'huang
乘刚也,cheng'gang'ye
乘马班如,cheng'ma'ban'ru
乘木有功也,cheng'mu'you'gong'ye
乘木舟虚也,cheng'mu'zhou'xu'ye
乘其墉,cheng'qi'yong
承上道也,cheng'shang'dao'ye
承天宠也,cheng'tian'chong'ye
承天而时行,cheng'tian'er'shi'xing
成天下之亹亹者,cheng'tian'xia'zhi'wei'wei'zhe
称物平施,cheng'wu'ping'shi
成象之谓乾,cheng'xiang'zhi'wei'qian
成性存存,cheng'xing'cun'cun
承虚筐也,cheng'xu'kuang'ye
成言乎艮,cheng'yan'hu'gen
承以德也,cheng'yi'de'ye
成有渝,cheng'you'yu
成之者性也,cheng'zhi'zhe'xing'ye
迟归有时,chi'gui'you'shi
尺蠖之屈,chi'huo'zhi'qu
迟有悔,chi'you'hui
憧憧往来,chong'chong'wang'lai
崇高莫大乎富贵,chong'gao'mo'da'hu'fu'gui
崇效天,chong'xiao'tian
畴离祉,chou'li'zhi
愁如,chou'ru
畜臣妾吉,chu'chen'qie'ji
初辞拟之,chu'ci'ni'zhi
初登于天,chu'deng'yu'tian
初吉,chu'ji
初吉终乱,chu'ji'zhong'luan
初九,chu'jiu
初九虞吉,chu'jiu'yu'ji
初九曰,chu'jiu'yue
出可以守宗庙社稷,chu'ke'yi'shou'zong'miao'she'ji
触类而长之,chu'lei'er'chang'zhi
初六,chu'liu
初六鸣豫,chu'liu'ming'yu
初六童观,chu'liu'tong'guan
初六之吉,chu'liu'zhi'ji
初率其辞,chu'lv'qi'ci
出门交有功,chu'men'jiao'you'gong
出门同人,chu'men'tong'ren
畜牝牛,chu'pin'niu
出其言,chu'qi'yan
出入无疾,chu'ru'wu'ji
初噬告,chu'shi'gao
出涕沱若,chu'ti'tuo'ruo
出于门庭,chu'yu'men'ting
出自穴,chu'zi'xue
垂其翼,chui'qi'yi
垂衣裳而天下治,chui'yi'shang'er'tian'xia'zhi
纯粹精也,chun'cui'jing'ye
此所以成变化而行鬼神也,ci'suo'yi'cheng'bian'hua'er'xing'gui'shen'ye
此小人之福也,ci'xiao'ren'zhi'fu'ye
辞也者,ci'ye'zhe
辞有险易,ci'you'xian'yi
此之谓也,ci'zhi'wei'ye
此之谓易之道也,ci'zhi'wei'yi'zhi'dao'ye
聪不明也,cong'bu'ming'ye
从妇凶也,cong'fu'xiong'ye
从或戕之,cong'huo'qiang'zhi
从上吉也,cong'shang'ji'ye
从一而终也,cong'yi'er'zhong'ye
从正吉也,cong'zheng'ji'ye
萃卦终,cui'gua'zhong
萃聚,cui'ju
摧如,cui'ru
萃如,cui'ru
萃有位,cui'you'wei
萃者聚也,cui'zhe'ju'ye
存而不忘亡,cun'er'bu'wang'wang
存乎变,cun'hu'bian
存乎辞,cun'hu'ci
存乎德行,cun'hu'de'xing
存乎卦,cun'hu'gua
存乎悔,cun'hu'hui
存乎介,cun'hu'jie
存乎其人,cun'hu'qi'ren
存乎通,cun'hu'tong
存乎位,cun'hu'wei
错综其数,cuo'zong'qi'shu
大车以载,da'che'yi'zai
大成也,da'cheng'ye
大畜,da'chu
大畜卦终,da'chu'gua'zhong
大畜时也,da'chu'shi'ye
大得民也,da'de'min'ye
大得志也,da'de'zhi'ye
大观在上,da'guan'zai'shang
大过,da'guo
大过颠也,da'guo'dian'ye
大过卦终,da'guo'gua'zhong
大过之时义大矣哉,da'guo'zhi'shi'yi'da'yi'zai
大亨以正,da'heng'yi'zheng
大亨贞,da'heng'zhen
大吉,da'ji
大吉无咎,da'ji'wu'jiu
大蹇朋来,da'jian'peng'lai
大君有命,da'jun'you'ming
大君之宜,da'jun'zhi'yi
大明始终,da'ming'shi'zhong
大人否亨,da'ren'fou'heng
大人虎变,da'ren'hu'bian
大人吉,da'ren'ji
大人以继明照于四方,da'ren'yi'ji'ming'zhao'yu'si'fang
大人造也,da'ren'zao'ye
大人之吉,da'ren'zhi'ji
大师克相遇,da'shi'ke'xiang'yu
大师相遇,da'shi'xiang'yu
大往小来,da'wang'xiao'lai
大无功也,da'wu'gong'ye
大无丧也,da'wu'sang'ye
大衍之数五十,da'yan'zhi'shu'wu'shi
大也,da'ye
大矣哉,da'yi'zai
大有,da'you
大有初九,da'you'chu'jiu
大有得,da'you'de
大有卦终,da'you'gua'zhong
大有庆也,da'you'qing'ye
大有上吉,da'you'shang'ji
大有众也,da'you'zhong'ye
大哉乾乎,da'zai'qian'hu
大哉乾元,da'zai'qian'yuan
大者过也,da'zhe'guo'ye
大者正也,da'zhe'zheng'ye
大者壮也,da'zhe'zhuang'ye
大贞凶,da'zhen'xiong
大正也,da'zheng'ye
大中而上下应之,da'zhong'er'shang'xia'ying'zhi
大壮,da'zhuang
大壮卦终,da'zhuang'gua'zhong
大壮利贞,da'zhuang'li'zhen
大壮则止,da'zhuang'ze'zhi
待男行也,dai'nan'xing'ye
待时而动,dai'shi'er'dong
当期之日,dang'qi'zhi'ri
当万物之数也,dang'wan'wu'zhi'shu'ye
当位实也,dang'wei'shi'ye
当位以节,dang'wei'yi'jie
当位疑也,dang'wei'yi'ye
当位贞吉,dang'wei'zhen'ji
当文王与纣之事邪,dang'wen'wang'yu'zhou'zhi'shi'xie
道不虚行,dao'bu'xu'xing
道大悖也,dao'da'bei'ye
道大行也,dao'da'xing'ye
盗思夺矣,dao'si'duo'yi
盗思伐之矣,dao'si'fa'zhi'yi
道未光也,dao'wei'guang'ye
道义之门,dao'yi'zhi'men
道有变动,dao'you'bian'dong
盗之招也,dao'zhi'zhao'ye
德博而化,de'bo'er'hua
得臣无家,de'chen'wu'jia
得当也,de'dang'ye
得敌,de'di
德合无疆,de'he'wu'jiang
得黄金,de'huang'jin
得黄矢,de'huang'shi
德积载也,de'ji'zai'ye
得金矢,de'jin'shi
得其大首,de'qi'da'shou
得其所归者必大,de'qi'suo'gui'zhe'bi'da
得其资斧,de'qi'zi'fu
得妾以其子,de'qie'yi'qi'zi
得尚于中行,de'shang'yu'zhong'hang
德施普也,de'shi'pu'ye
得所愿也,de'suo'yuan'ye
得童仆贞,de'tong'pu'zhen
德行恒,de'xing'heng
德行恒简以知阻,de'xing'heng'jian'yi'zhi'zu
德言盛,de'yan'sheng
得愿也,de'yuan'ye
德之本也,de'zhi'ben'ye
德之辨也,de'zhi'bian'ye
德之柄也,de'zhi'bing'ye
德之地也,de'zhi'di'ye
德之固也,de'zhi'gu'ye
德之基也,de'zhi'ji'ye
德之盛也,de'zhi'sheng'ye
德之修也,de'zhi'xiu'ye
得志也,de'zhi'ye
德之裕也,de'zhi'yu'ye
德之制也,de'zhi'zhi'ye
得中道也,de'zhong'dao'ye
得中而应乎刚,de'zhong'er'ying'hu'gang
得中也,de'zhong'ye
第八卦,di'ba'gua
第八章,di'ba'zhang
帝出乎震,di'chu'hu'zhen
