安居区,an'ju'qu
奥吆,ao'yao
把饭吃上,ba'fan'chi'shang
把药吃上,ba'yao'chi'shang
摆席,bai'xi
办个事走,ban'ge'shi'zou
变得毫无情啊,bian'de'hao'wu'qing'a
扁都口,bian'dou'kou
扁渡口,bian'du'kou
滨河新区,bin'he'xin'qu
不撒我,bu'sa'wo
不要理那些人,bu'yao'li'na'xie'ren
不知你喜欢什,bu'zhi'ni'xi'huan'shen
才做呢,cai'zuo'ne
草掉了,cao'diao'le
茶府,cha'fu
长安乡,chang'an'xiang
长沙门,chang'sha'men
嘲笑她吧,chao'xiao'ta'ba
陈户,chen'hu
陈户乡,chen'hu'xiang
城关中学,cheng'guan'zhong'xue
吃聊些,chi'liao'xie
吃上些,chi'shang'xie
吃席,chi'xi
抽天花,chou'tian'hua
从兰州,cong'lan'zhou
搓鱼子,cuo'yu'zi
大佛寺,da'fo'si
大湖湾,da'hu'wan
大满镇,da'man'zhen
打屁股沟,da'pi'gu'gou
大沙河,da'sha'he
呆呆呆,dai'dai'dai
丹霞地貌,dan'xia'di'mao
党寨,dang'zhai
党寨镇,dang'zhai'zhen
到兰州,dao'lan'zhou
到兰州了,dao'lan'zhou'le
到张掖,dao'zhang'ye
德生堂,de'sheng'tang
等卡,deng'ka
电力大厦,dian'li'da'sha
吊瓶子,diao'ping'zi
定点定时,ding'dian'ding'shi
都这会了,dou'zhe'hui'le
蹲的,dun'de
多跑地,duo'pao'di
嗯就是的,en'jiu'shi'de
饭吃上,fan'chi'shang
仿古街,fang'gu'jie
干就,gan'jiu
甘浚,gan'jun
甘浚镇,gan'jun'zhen
甘泉公园,gan'quan'gong'yuan
干啥的了,gan'sha'de'le
干啥的呢,gan'sha'de'ne
干啥去呢,gan'sha'qu'ne
甘肃省,gan'su'sheng
甘肃省张掖市,gan'su'sheng'zhang'ye'shi
甘肃新闻,gan'su'xin'wen
甘肃张掖,gan'su'zhang'ye
甘州,gan'zhou
甘州区,gan'zhou'qu
甘州市场,gan'zhou'shi'chang
甘州在线,gan'zhou'zai'xian
高台,gao'tai
高台的,gao'tai'de
高台了,gao'tai'le
高台人,gao'tai'ren
高台县,gao'tai'xian
高台一中,gao'tai'yi'zhong
哥头,ge'tou
姑娘子,gu'niang'zi
广电大厦,guang'dian'da'sha
国芳百货,guo'fang'bai'huo
果树村,guo'shu'cun
海潮坝,hai'chao'ba
巷道乡,hang'dao'xiang
好的没,hao'de'mei
和坏人一样了,he'huai'ren'yi'yang'le
喝酒的了,he'jiu'de'le
喝酒的呢,he'jiu'de'ne
喝酒走,he'jiu'zou
喝了水怎么样,he'le'shui'zen'me'yang
合适的了,he'shi'de'le
合适的呢,he'shi'de'ne
河西学院,he'xi'xue'yuan
河院,he'yuan
黑河水电,hei'he'shui'dian
黑泉,hei'quan
黑泉乡,hei'quan'xiang
红沟,hong'gou
洪水镇,hong'shui'zhen
胡日鬼,hu'ri'gui
胡说的呢,hu'shuo'de'ne
花草滩,hua'cao'tan
