背书不连续,bei'shu'bu'lian'xu
补充养老,bu'chong'yang'lao
补充医疗,bu'chong'yi'liao
城市建设维护费,cheng'shi'jian'she'wei'hu'fei
代开,dai'kai
地方教育费附加,di'fang'jiao'yu'fei'fu'jia
地税通用极大发票,di'shui'tong'yong'ji'da'fa'piao
附件,fu'jian
工会经费,gong'hui'jing'fei
公积金划缴品质,gong'ji'jin'hua'jiao'pin'zhi
工伤保险,gong'shang'bao'xian
管理费用,guan'li'fei'yong
关联方,guan'lian'fang
国税通用机打发票,guo'shui'tong'yong'ji'da'fa'piao
后附,hou'fu
建筑业打机打发票,jian'zhu'ye'da'ji'da'fa'piao
教育费附加,jiao'yu'fei'fu'jia
进项税,jin'xiang'shui
开具,kai'ju
跨期费用,kua'qi'fei'yong
会计,kuai'ji
票据不合规,piao'ju'bu'he'gui
其他业务收入,qi'ta'ye'wu'shou'ru
企业年金,qi'ye'nian'jin
社会保险,she'hui'bao'xian
生育保险,sheng'yu'bao'xian
失业保险,shi'ye'bao'xian
税收缴款书,shui'shou'jiao'kuan'shu
贴现息,tie'xian'xi
误餐费,wu'can'fei
销项税,xiao'xiang'shui
养老保险,yang'lao'bao'xian
医疗保险,yi'liao'bao'xian
银行承兑汇票,yin'hang'cheng'dui'hui'piao
银行回单,yin'hang'hui'dan
应付职工薪酬,ying'fu'zhi'gong'xin'chou
营改增,ying'gai'zeng
营业费用,ying'ye'fei'yong
营业税,ying'ye'shui
增值税,zeng'zhi'shui
增值税专用发票,zeng'zhi'shui'zhuan'yong'fa'piao
职工教育经费,zhi'gong'jiao'yu'jing'fei
主营业务收入,zhu'ying'ye'wu'shou'ru
