八十一难,ba'shi'yi'nan
八珍散,ba'zhen'san
八珍汤,ba'zhen'tang
百病不生,bai'bing'bu'sheng
败毒散,bai'du'san
白虎加苍术汤,bai'hu'jia'cang'zhu'tang
白虎加桂枝汤,bai'hu'jia'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
白虎汤,bai'hu'tang
白通汤,bai'tong'tang
白头翁汤,bai'tou'weng'tang
半夏泻心汤,ban'xia'xie'xin'tang
保元汤,bao'yuan'tang
碧玉散,bi'yu'san
扁鹊,bian'que
辨证,bian'zheng
辨证论治,bian'zheng'lun'zhi
辨证论治体系,bian'zheng'lun'zhi'ti'xi
病机,bing'ji
病理,bing'li
病理变化,bing'li'bian'hua
病因,bing'yin
不内外因,bu'nei'wai'yin
补中益气汤,bu'zhong'yi'qi'tang
补中益气丸,bu'zhong'yi'qi'wan
藏相,cang'xiang
曹炳章,cao'bing'zhang
柴葛解肌汤,chai'ge'jie'ji'tang
柴胡达原饮,chai'hu'da'yuan'yin
常山,chang'shan
巢元方,chao'yuan'fang
陈梦雷,chen'meng'lei
陈无择,chen'wu'ze
处方用药,chu'fang'yong'yao
传统科学,chuan'tong'ke'xue
传统医学,chuan'tong'yi'xue
创见颇多,chuang'jian'po'duo
大补丸,da'bu'wan
大补阴丸,da'bu'yin'wan
大柴胡汤,da'chai'hu'tang
大承气汤,da'cheng'qi'tang
大黄附子汤,da'huang'fu'zi'tang
大黄牡蛎汤,da'huang'mu'li'tang
大建中汤,da'jian'zhong'tang
大青龙汤,da'qing'long'tang
大陷胸汤,da'xian'xiong'tang
达原饮,da'yuan'yin
当归补血汤,dang'gui'bu'xue'tang
当归建中汤,dang'gui'jian'zhong'tang
当归六黄汤,dang'gui'liu'huang'tang
当归龙荟丸,dang'gui'long'hui'wan
当归四逆汤,dang'gui'si'ni'tang
导赤散,dao'chi'san
地理学,di'li'xue
都气丸,du'qi'wan
耳聋,er'long
耳鸣,er'ming
烦躁易怒,fan'zao'yi'nu
方剂,fang'ji
肺系统,fei'xi'tong
复方大承气汤,fu'fang'da'cheng'qi'tang
扶正解表,fu'zheng'jie'biao
附子理中丸,fu'zi'li'zhong'wan
甘草泻心汤,gan'cao'xie'xin'tang
肝火,gan'huo
肝火犯肺,gan'huo'fan'fei
肝火犯胃,gan'huo'fan'wei
肝系统,gan'xi'tong
肛门,gang'men
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
功能减退,gong'neng'jian'tui
攻邪派,gong'xie'pai
古代哲学,gu'dai'zhe'xue
古今图书集成,gu'jin'tu'shu'ji'cheng
骨软无力,gu'ruan'wu'li
