阿鼻,a'bi
阿鼻地狱,a'bi'di'yu
阿鞞跋致,a'bing'ba'zhi
阿含,a'han
阿含部,a'han'bu
阿含时,a'han'shi
阿伽陀,a'jia'tuo
阿赖耶,a'lai'ye
阿赖耶识,a'lai'ye'shi
阿兰若,a'lan're
阿兰若处,a'lan're'chu
阿兰若行,a'lan're'xing
阿利耶,a'li'ye
阿梨耶识,a'li'ye'shi
阿罗汉,a'luo'han
阿弥陀忏法,a'mi'tuo'chan'fa
阿弥陀三尊,a'mi'tuo'san'zun
阿摩罗识,a'mo'luo'shi
阿那含,a'na'han
阿那含果,a'na'han'guo
阿那含向,a'na'han'xiang
阿那律,a'na'lv
阿难陀,a'nan'tuo
阿耨多罗三藐三菩提,a'nou'duo'luo'san'miao'san'pu'ti
阿耨菩提,a'nou'pu'ti
阿僧祇,a'seng'qi
阿僧祇劫,a'seng'qi'jie
阿阇梨,a'she'li
阿阇世,a'she'shi
阿陀那识,a'tuo'na'shi
阿修罗,a'xiu'luo
阿修罗道,a'xiu'luo'dao
阿修罗界,a'xiu'luo'jie
阿修罗王,a'xiu'luo'wang
阿修罗战,a'xiu'luo'zhan
阿育王,a'yu'wang
阿字本不生,a'zi'ben'bu'sheng
阿字布心,a'zi'bu'xin
阿字观,a'zi'guan
阿字七义,a'zi'qi'yi
阿字数息观,a'zi'shu'xi'guan
爱道,ai'dao
爱缚,ai'fu
爱见,ai'jian
爱见大悲,ai'jian'da'bei
爱结,ai'jie
爱论,ai'lun
爱取,ai'qu
爱系,ai'xi
爱行,ai'xing
爱欲,ai'yu
爱语,ai'yu
爱执,ai'zhi
爱著,ai'zhu
谙法皆空,an'fa'jie'kong
安居,an'ju
安居竟,an'ju'jing
安乐国,an'le'guo
安乐净土,an'le'jing'tu
庵摩罗识,an'mo'luo'shi
安忍,an'ren
安世高,an'shi'gao
安受苦忍,an'shou'ku'ren
安心,an'xin
安心超行,an'xin'chao'xing
八辈,ba'bei
八背舍,ba'bei'she
八辩,ba'bian
八变化,ba'bian'hua
八不,ba'bu
八部鬼众,ba'bu'gui'zhong
八不净,ba'bu'jing
八不可越,ba'bu'ke'yue
八不显实,ba'bu'xian'shi
八不正观,ba'bu'zheng'guan
八不正见,ba'bu'zheng'jian
八部众,ba'bu'zhong
八不中道,ba'bu'zhong'dao
八不中观,ba'bu'zhong'guan
八缠,ba'chan
八重,ba'chong
八触,ba'chu
八除入,ba'chu'ru
八大,ba'da
八大地狱,ba'da'di'yu
八大金刚,ba'da'jin'gang
八大龙王,ba'da'long'wang
八大明王,ba'da'ming'wang
八大奈落,ba'da'nai'luo
八大菩萨,ba'da'pu'sa
八大菩萨法,ba'da'pu'sa'fa
八大辛苦,ba'da'xin'ku
八大夜叉,ba'da'ye'cha
八大自在我,ba'da'zi'zai'wo
八倒,ba'dao
八颠倒,ba'dian'dao
八定,ba'ding
八段,ba'duan
八段五篇,ba'duan'wu'pian
八堕,ba'duo
八法,ba'fa
八梵,ba'fan
八分斋戒,ba'fen'zhai'jie
八风,ba'feng
八佛,ba'fo
八福生处,ba'fu'sheng'chu
八福田,ba'fu'tian
八干,ba'gan
八功德水,ba'gong'de'shui
八功德水想,ba'gong'de'shui'xiang
八海,ba'hai
八寒八热,ba'han'ba're
八会,ba'hui
八秽,ba'hui
八憍,ba'jiao
八教,ba'jiao
八戒,ba'jie
八解脱,ba'jie'tuo
八戒斋,ba'jie'zhai
八戒斋八种胜法,ba'jie'zhai'ba'zhong'sheng'fa
八敬戒,ba'jing'jie
八句义,ba'ju'yi
八觉,ba'jue
八苦,ba'ku
拔苦,ba'ku
八轮,ba'lun
八慢,ba'man
八迷,ba'mi
八魔,ba'mo
拔目鸟,ba'mu'niao
八难,ba'nan
八念,ba'nian
八弃,ba'qi
八忍,ba'ren
八忍八智,ba'ren'ba'zhi
拔舌地狱,ba'she'di'yu
八神变,ba'shen'bian
八圣,ba'sheng
八胜处,ba'sheng'chu
八圣道,ba'sheng'dao
八识,ba'shi
八识二无我,ba'shi'er'wu'wo
八世风,ba'shi'feng
八十诵律,ba'shi'song'lv
八识体别,ba'shi'ti'bie
八识体一,ba'shi'ti'yi
八识田,ba'shi'tian
八识心王,ba'shi'xin'wang
八十一品思惑,ba'shi'yi'pin'si'huo
八十种好,ba'shi'zhong'hao
八天,ba'tian
八万法门,ba'wan'fa'men
八万法藏,ba'wan'fa'zang
八万四千,ba'wan'si'qian
八万四千病,ba'wan'si'qian'bing
八万四千法门,ba'wan'si'qian'fa'men
八万四千光明,ba'wan'si'qian'guang'ming
八万四千劳尘,ba'wan'si'qian'lao'chen
八万四千相好,ba'wan'si'qian'xiang'hao
八万威仪,ba'wan'wei'yi
八万细行,ba'wan'xi'xing
八妄想,ba'wang'xiang
八味,ba'wei
八位胎藏,ba'wei'tai'cang
八惟无,ba'wei'wu
八相,ba'xiang
八相成道,ba'xiang'cheng'dao
八邪,ba'xie
八叶九尊,ba'ye'jiu'zun
八叶莲花,ba'ye'lian'hua
八叶莲台,ba'ye'lian'tai
八叶肉团心,ba'ye'rou'tuan'xin
八叶印,ba'ye'yin
八叶院,ba'ye'yuan
八叶中台,ba'ye'zhong'tai
八音,ba'yin
八游行,ba'you'xing
八灾患,ba'zai'huan
八遮,ba'zhe
八正道,ba'zheng'dao
八智,ba'zhi
八支斋,ba'zhi'zhai
八种别解脱戒,ba'zhong'bie'jie'tuo'jie
八种法,ba'zhong'fa
八种谬,ba'zhong'miu
八种胜法,ba'zhong'sheng'fa
八种施,ba'zhong'shi
八中洲,ba'zhong'zhou
八宗,ba'zong
百八烦恼,bai'ba'fan'nao
百八结业,bai'ba'jie'ye
百八钟,bai'ba'zhong
拜忏,bai'chan
拜佛,bai'fo
百光遍照王,bai'guang'bian'zhao'wang
百劫,bai'jie
百界,bai'jie
百界千如,bai'jie'qian'ru
百苦,bai'ku
百衲衣,bai'na'yi
白衣,bai'yi
百一供身,bai'yi'gong'shen
百一众具,bai'yi'zhong'ju
百丈,bai'zhang
百丈野狐,bai'zhang'ye'hu
般涅槃,ban'nie'pan
般涅槃那,ban'nie'pan'na
般若经,ban're'jing
半斋,ban'zhai
般舟三昧,ban'zhou'san'mei
谤法阐提,bang'fa'chan'ti
傍生,bang'sheng
傍生趣,bang'sheng'qu
宝车,bao'che
宝池观,bao'chi'guan
报得,bao'de
宝地,bao'di
报恩,bao'en
报恩田,bao'en'tian
报佛,bao'fo
宝楼观,bao'lou'guan
报身,bao'shen
报生,bao'sheng
宝胜如来,bao'sheng'ru'lai
宝树观,bao'shu'guan
报通,bao'tong
报土,bao'tu
宝王,bao'wang
宝王三昧,bao'wang'san'mei
宝相,bao'xiang
宝性,bao'xing
宝印,bao'yin
报因,bao'yin
报障,bao'zhang
北俱卢洲,bei'ju'lu'zhou
北拘卢洲,bei'ju'lu'zhou
