安康,an'kang
安康啊,an'kang'a
安康吧,an'kang'ba
安康到,an'kang'dao
安康的,an'kang'de
安康话,an'kang'hua
安康了,an'kang'le
安康呢,an'kang'ne
安康人,an'kang'ren
安康市,an'kang'shi
安康天气,an'kang'tian'qi
安康学院,an'kang'xue'yuan
安康中学,an'kang'zhong'xue
安师,an'shi
安运司,an'yun'si
白河,bai'he
白河县,bai'he'xian
白河一中,bai'he'yi'zhong
包抓,bao'zhua
北城街,bei'cheng'jie
不理事,bu'li'shi
蚕桑,can'sang
畅快,chang'kuai
畅快了,chang'kuai'le
陈家坝,chen'jia'ba
陈家沟,chen'jia'gou
城关镇,cheng'guan'zhen
城关中学,cheng'guan'zhong'xue
城南客运站,cheng'nan'ke'yun'zhan
吃对了,chi'dui'le
池河,chi'he
池河镇,chi'he'zhen
茨沟,ci'gou
从安康,cong'an'kang
大河坝,da'he'ba
大河镇,da'he'zhen
大桥路,da'qiao'lu
大同镇,da'tong'zhen
大雨下,da'yu'xia
大竹园,da'zhu'yuan
党家坝,dang'jia'ba
到安康,dao'an'kang
儿哄,er'hong
儿娃子,er'wa'zi
烦的呀,fan'de'ya
付家河,fu'jia'he
甘溪,gan'xi
高客站,gao'ke'zhan
高滩,gao'tan
鼓楼街,gu'lou'jie
关家,guan'jia
关庙镇,guan'miao'zhen
广货街,guang'huo'jie
过西安,guo'xi'an
汉滨,han'bin
汉滨初中,han'bin'chu'zhong
汉滨区,han'bin'qu
汉江,han'jiang
汉阴,han'yin
汉阴吧,han'yin'ba
汉阴县,han'yin'xian
汉阴中学,han'yin'zhong'xue
好到的,hao'dao'de
好急人,hao'ji'ren
蒿坪,hao'ping
蒿坪镇,hao'ping'zhen
好着的,hao'zhe'de
河坝,he'ba
恒口,heng'kou
恒口镇,heng'kou'zhen
黄沟,huang'gou
黄金村,huang'jin'cun
回安康,hui'an'kang
烩面片,hui'mian'pian
回旬阳,hui'xun'yang
吉河镇,ji'he'zhen
急人子,ji'ren'zi
鸡娃子,ji'wa'zi
涧池镇,jian'chi'zhen
建民镇,jian'min'zhen
江口镇,jiang'kou'zhen
江南一品,jiang'nan'yi'pin
金州路,jin'zhou'lu
九年制,jiu'nian'zhi
砍头子,kan'tou'zi
康花园,kang'hua'yuan
蜡烛山,la'zhu'shan
来安康,lai'an'kang
岚皋,lan'gao
岚皋县,lan'gao'xian
岚河,lan'he
老庄村,lao'zhuang'cun
雷神殿,lei'shen'dian
冷不过,leng'bu'guo
两河镇,liang'he'zhen
刘家梁,liu'jia'liang
龙舟节,long'zhou'jie
洛河,luo'he
吕河镇,lv'he'zhen
马池,ma'chi
麻虎,ma'hu
马坎,ma'kan
忙着的,mang'zhe'de
毛坝,mao'ba
茅坪,mao'ping
么得啥,me'de'sha
没得啥,mei'de'sha
梅子铺,mei'zi'pu
民主镇,min'zhu'zhen
那我来了啊,na'wo'lai'le'a
南宫山,nan'gong'shan
你安康,ni'an'kang
你不接啊,ni'bu'jie'a
你不说话呀,ni'bu'shuo'hua'ya
你不休息啊,ni'bu'xiu'xi'a
你吃没有啊,ni'chi'mei'you'a
你可当,ni'ke'dang
你来安康,ni'lai'an'kang
你求了,ni'qiu'le
你娃子,ni'wa'zi
你在安康,ni'zai'an'kang
你这阵,ni'zhe'zhen
宁陕,ning'shan
宁陕县,ning'shan'xian
女娃子,nv'wa'zi
怕是的,pa'shi'de
培新街,pei'xin'jie
片哈,pian'ha
平利,ping'li
平利县,ping'li'xian
平梁,ping'liang
蒲溪,pu'xi
蒲溪镇,pu'xi'zhen
七号路,qi'hao'lu
七里沟,qi'li'gou
起欠,qi'qian
秦巴,qin'ba
去安康,qu'an'kang
饶峰,rao'feng
热面皮,re'mian'pi
仁河,ren'he
忍一手,ren'yi'shou
三回头,san'hui'tou
三问三解,san'wen'san'jie
骚亲,sao'qin
陕西安康,shan'xi'an'kang
陕西省安康市,shan'xi'sheng'an'kang'shi
上安康,shang'an'kang
上渡口,shang'du'kou
神不住,shen'bu'zhu
神河,shen'he
是的么,shi'de'me
世纪新村,shi'ji'xin'cun
石门镇,shi'men'zhen
石泉,shi'quan
石泉吧,shi'quan'ba
石泉的,shi'quan'de
石泉了,shi'quan'le
石泉县,shi'quan'xian
石泉县医院,shi'quan'xian'yi'yuan
石泉中学,shi'quan'zhong'xue
蜀河,shu'he
蜀河镇,shu'he'zhen
双创,shuang'chuang
双创办,shuang'chuang'ban
双河,shuang'he
双坪,shuang'ping
双乳镇,shuang'ru'zhen
水岸花城,shui'an'hua'cheng
睡觉恰,shui'jiao'qia
睡恰,shui'qia
睡忘了,shui'wang'le
太山庙,tai'shan'miao
滔河,tao'he
田坝,tian'ba
铁二中,tie'er'zhong
筒车湾,tong'che'wan
筒车湾镇,tong'che'wan'zhen
铜钱峡村,tong'qian'xia'cun
我爱见,wo'ai'jian
我安康,wo'an'kang
我好高兴啊,wo'hao'gao'xing'a
我实话实说啊,wo'shi'hua'shi'shuo'a
我睡恰,wo'shui'qia
我在安康,wo'zai'an'kang
我在屋,wo'zai'wu
我这阵,wo'zhe'zhen
五里镇,wu'li'zhen
无聊的呀,wu'liao'de'ya
细发,xi'fa
喜河,xi'he
喜河镇,xi'he'zhen
下安康,xia'an'kang
县河,xian'he
香溪,xiang'xi
香溪洞,xiang'xi'dong
小川村,xiao'chuan'cun
小河口,xiao'he'kou
小河镇,xiao'he'zhen
肖家坝,xiao'jia'ba
新城办,xin'cheng'ban
兴安门,xing'an'men
兴隆村,xing'long'cun
漩涡镇,xuan'wo'zhen
旬阳,xun'yang
旬阳北,xun'yang'bei
旬阳的,xun'yang'de
旬阳县,xun'yang'xian
旬阳中学,xun'yang'zhong'xue
旬中,xun'zhong
燕翔洞,yan'xiang'dong
杨家坝,yang'jia'ba
要好一会啊,yao'hao'yi'hui'a
宜顿,yi'dun
迎丰,ying'feng
迎丰镇,ying'feng'zhen
瀛湖,ying'hu
瀛湖镇,ying'hu'zhen
育才路,yu'cai'lu
云雾山,yun'wu'shan
杂毛子,za'mao'zi
在安康,zai'an'kang
在汉阴,zai'han'yin
在石泉,zai'shi'quan
在想啥呀,zai'xiang'sha'ya
在旬阳,zai'xun'yang
在紫阳,zai'zi'yang
在揍啥,zai'zou'sha
曾家镇,zeng'jia'zhen
张滩,zhang'tan
张滩镇,zhang'tan'zhen
赵湾镇,zhao'wan'zhen
镇坪,zhen'ping
镇坪县,zhen'ping'xian
直接是的,zhi'jie'shi'de
中坝,zhong'ba
中池,zhong'chi
中池镇,zhong'chi'zhen
转变年,zhuan'bian'nian
紫阳,zi'yang
紫阳人,zi'yang'ren
紫阳县,zi'yang'xian
棕溪,zong'xi
走恰,zou'qia
奏啥,zou'sha
作风转变年,zuo'feng'zhuan'bian'nian
作践我,zuo'jian'wo
