癌组织,ai'zu'zhi
巴氏腺囊肿,ba'shi'xian'nang'zhong
白体,bai'ti
伴出血,ban'chu'xie
伴间质蜕膜样反应,ban'jian'zhi'tui'mo'yang'fan'ying
伴鳞化,ban'lin'hua
伴纤维腺瘤形成趋势,ban'xian'wei'xian'liu'xing'cheng'qu'shi
伴潴留囊肿,ban'zhu'liu'nang'zhong
闭孔,bi'kong
编织状,bian'zhi'zhuang
表皮,biao'pi
表皮囊肿,biao'pi'nang'zhong
表皮样囊肿,biao'pi'yang'nang'zhong
冰冻,bing'dong
不典型,bu'dian'xing
不典型增生,bu'dian'xing'zeng'sheng
部分呈息肉样改变,bu'fen'cheng'xi'rou'yang'gai'bian
部分性,bu'fen'xing
部分性水泡状胎块,bu'fen'xing'shui'pao'zhuang'tai'kuai
成熟性,cheng'shu'xing
成熟型囊性畸胎瘤,cheng'shu'xing'nang'xing'ji'tai'liu
成熟性囊性畸胎瘤,cheng'shu'xing'nang'xing'ji'tai'liu
呈增生反应,cheng'zeng'sheng'fan'ying
传染性软疣,chuan'ran'xing'ruan'you
次全切标本,ci'quan'qie'biao'ben
单纯性囊肿,dan'chun'xing'nang'zhong
导管,dao'guan
导管内,dao'guan'nei
低分化,di'fen'hua
低级别,di'ji'bie
低级别鳞状上皮内病变,di'ji'bie'lin'zhuang'shang'pi'nei'bing'bian
多发性,duo'fa'xing
反应,fan'ying
分别为,fen'bie'wei
副乳腺,fu'ru'xian
副乳腺组织,fu'ru'xian'zu'zhi
腹水,fu'shui
副中肾管囊肿,fu'zhong'shen'guan'nang'zhong
改良根治标本,gai'liang'gen'zhi'biao'ben
高分化,gao'fen'hua
高级别,gao'ji'bie
高级别鳞状上皮内病变,gao'ji'bie'lin'zhuang'shang'pi'nei'bing'bian
根治标本,gen'zhi'biao'ben
宫角妊娠,gong'jiao'ren'shen
宫颈,gong'jing
宫颈恶性淋巴瘤,gong'jing'e'xing'lin'ba'liu
宫颈鳞状细胞癌,gong'jing'lin'zhuang'xi'bao'ai
宫颈未分化癌,gong'jing'wei'fen'hua'ai
宫颈息肉,gong'jing'xi'rou
宫颈腺癌,gong'jing'xian'ai
宫颈潴留囊肿,gong'jing'zhu'liu'nang'zhong
宫颈子宫内膜异位,gong'jing'zi'gong'nei'mo'yi'wei
宫口,gong'kou
宫内膜,gong'nei'mo
宫内物,gong'nei'wu
宫腔,gong'qiang
宫腔刮出物,gong'qiang'gua'chu'wu
股深淋巴结,gu'shen'lin'ba'jie
后唇,hou'chun
化生,hua'sheng
坏变蜕膜样组织,huai'bian'tui'mo'yang'zu'zhi
坏变蜕膜组织,huai'bian'tui'mo'zu'zhi
坏变幼胎盘组织,huai'bian'you'tai'pan'zu'zhi
黄素囊肿,huang'su'nang'zhong
黄体,huang'ti
肌层,ji'ceng
基底,ji'di
基底切缘未见癌浸润,ji'di'qie'yuan'wei'jian'ai'jin'run
畸胎瘤,ji'tai'liu
尖锐湿疣,jian'rui'shi'you
间质,jian'zhi
浆液性,jiang'ye'xing
浆液性乳头状囊腺癌,jiang'ye'xing'ru'tou'zhuang'nang'xian'ai
浆液性乳头状囊腺瘤,jiang'ye'xing'ru'tou'zhuang'nang'xian'liu
交界性,jiao'jie'xing
结核,jie'he
结节,jie'jie
浸润性,jin'run'xing
颈管,jing'guan
均未见癌转移,jun'wei'jian'ai'zhuan'yi
颗粒细胞,ke'li'xi'bao
快切,kuai'qie
累犯,lei'fan
淋巴结,lin'ba'jie
鳞化,lin'hua
鳞状上皮,lin'zhuang'shang'pi
鳞状上皮呈湿疣样改变,lin'zhuang'shang'pi'cheng'shi'you'yang'gai'bian
鳞状上皮内病变,lin'zhuang'shang'pi'nei'bing'bian
鳞状上皮疣状增生,lin'zhuang'shang'pi'you'zhuang'zeng'sheng
鳞状细胞癌,lin'zhuang'xi'bao'ai
卵巢,luan'chao
卵巢单纯性囊肿,luan'chao'dan'chun'xing'nang'zhong
卵巢黄素囊肿,luan'chao'huang'su'nang'zhong
卵巢黄体囊肿,luan'chao'huang'ti'nang'zhong
卵巢黄体血肿,luan'chao'huang'ti'xue'zhong
卵巢黄体组织,luan'chao'huang'ti'zu'zhi
卵巢间质细胞瘤,luan'chao'jian'zhi'xi'bao'liu
卵巢浆液性囊腺瘤,luan'chao'jiang'ye'xing'nang'xian'liu
卵巢交界性,luan'chao'jiao'jie'xing
卵巢颗粒细胞瘤,luan'chao'ke'li'xi'bao'liu
卵巢卵黄囊瘤,luan'chao'luan'huang'nang'liu
卵巢卵泡膜细胞瘤,luan'chao'luan'pao'mo'xi'bao'liu
卵巢卵泡囊肿,luan'chao'luan'pao'nang'zhong
卵巢囊状卵泡,luan'chao'nang'zhuang'luan'pao
卵巢粘液性囊腺瘤,luan'chao'nian'ye'xing'nang'xian'liu
卵巢胚胎性癌,luan'chao'pei'tai'xing'ai
卵巢妊娠,luan'chao'ren'shen
卵巢透明细胞癌,luan'chao'tou'ming'xi'bao'ai
卵巢未成熟畸胎瘤,luan'chao'wei'cheng'shu'ji'tai'liu
卵巢无殊,luan'chao'wu'shu
卵巢无性细胞瘤,luan'chao'wu'xing'xi'bao'liu
卵巢纤维上皮瘤,luan'chao'xian'wei'shang'pi'liu
卵巢移行细胞癌,luan'chao'yi'hang'xi'bao'ai
卵巢支持间质细胞瘤,luan'chao'zhi'chi'jian'zhi'xi'bao'liu
卵巢支持细胞瘤,luan'chao'zhi'chi'xi'bao'liu
卵巢中胚叶混合瘤,luan'chao'zhong'pei'ye'hun'he'liu
卵巢子宫内膜样囊肿,luan'chao'zi'gong'nei'mo'yang'nang'zhong
卵巢子宫内膜样腺癌,luan'chao'zi'gong'nei'mo'yang'xian'ai
卵泡,luan'pao
卵泡膜细胞瘤,luan'pao'mo'xi'bao'liu
脉管,mai'guan
慢性,man'xing
慢性宫颈炎,man'xing'gong'jing'yan
慢性炎,man'xing'yan
慢性子宫内膜炎,man'xing'zi'gong'nei'mo'yan
免疫组化,mian'yi'zu'hua
男性乳房发育,nan'xing'ru'fang'fa'yu
囊腺瘤,nang'xian'liu
囊性,nang'xing
囊肿,nang'zhong
内膜,nei'mo
内膜息肉,nei'mo'xi'rou
粘膜,nian'mo
粘液性,nian'ye'xing
粘液性囊腺瘤,nian'ye'xing'nang'xian'liu
粘液性乳头状囊腺癌,nian'ye'xing'ru'tou'zhuang'nang'xian'ai
