凹陷型,ao'xian'xing
靶环征,ba'huan'zheng
斑片状,ban'pian'zhuang
斑条状,ban'tiao'zhuang
半月综合征,ban'yue'zong'he'zheng
包裹性,bao'guo'xing
背段,bei'duan
贲门,ben'men
笔杆样,bi'gan'yang
波浪膈,bo'lang'ge
布加综合征,bu'jia'zong'he'zheng
长钩型,chang'gou'xing
肠结核,chang'jie'he
肠套叠,chang'tao'die
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上静脉,chang'xi'mo'shang'jing'mai
陈旧性结核,chen'jiu'xing'jie'he
虫蚀状,chong'shi'zhuang
充盈缺损,chong'ying'que'sun
穿孔性,chuan'kong'xing
穿透性,chuan'tou'xing
串珠状,chuan'zhu'zhuang
葱皮状,cong'pi'zhuang
大叶性肺炎,da'ye'xing'fei'yan
灯泡征,deng'pao'zheng
返流性,fan'liu'xing
放射状,fang'she'zhuang
方叶,fang'ye
肺不张,fei'bu'zhang
肺大泡,fei'da'pao
肺底积液,fei'di'ji'ye
肺动脉,fei'dong'mai
肺段,fei'duan
肥厚,fei'hou
肺静脉,fei'jing'mai
肺门,fei'men
肺泡癌,fei'pao'ai
肺泡性,fei'pao'xing
肺气肿,fei'qi'zhong
肺实变,fei'shi'bian
肺水肿,fei'shui'zhong
肺下积液,fei'xia'ji'ye
肺野,fei'ye
肺叶,fei'ye
分房,fen'fang
分叶状,fen'ye'zhuang
腐蚀性,fu'shi'xing
副叶,fu'ye
钙化影,gai'hua'ying
钙化灶,gai'hua'zao
肝大,gan'da
肝短静脉,gan'duan'jing'mai
肝门,gan'men
肝囊肿驼峰状,gan'nang'zhong'tuo'feng'zhuang
肝脓肿,gan'nong'zhong
肝叶,gan'ye
肝硬化,gan'ying'hua
肝右静脉,gan'you'jing'mai
肝右叶,gan'you'ye
肝淤血,gan'yu'xue
肝中静脉,gan'zhong'jing'mai
肝左静脉,gan'zuo'jing'mai
肝左叶,gan'zuo'ye
肛门闭锁,gang'men'bi'suo
高密度影,gao'mi'du'ying
膈面,ge'mian
膈膨隆,ge'peng'long
钩突,gou'tu
钩型,gou'xing
骨膜反应,gu'mo'fan'ying
骨破坏,gu'po'huai
骨硬化,gu'ying'hua
骨赘,gu'zhui
光亮肝,guang'liang'gan
横膈,heng'ge
横轴型,heng'zhou'xing
后段,hou'duan
后基底段,hou'ji'di'duan
后纵隔,hou'zong'ge
葫芦形,hu'lu'xing
花边状,hua'bian'zhuang
环堤,huan'di
环形征,huan'xing'zheng
环征,huan'zheng
回盲部,hui'mang'bu
会厌谿,hui'yan'ji
混合型,hun'he'xing
继发性肺结核,ji'fa'xing'fei'jie'he
激惹,ji're
急性粟粒型肺结核,ji'xing'su'li'xing'fei'jie'he
积液,ji'ye
尖段,jian'duan
间隔线,jian'ge'xian
尖后段,jian'hou'duan
肩胛征,jian'jia'zheng
间质性,jian'zhi'xing
间质性炎症,jian'zhi'xing'yan'zheng
降段,jiang'duan
结肠袋,jie'chang'dai
结核球,jie'he'qiu
结节影,jie'jie'ying
结节状,jie'jie'zhuang
浸润溃疡型,jin'run'kui'yang'xing
浸润型,jin'run'xing
静脉曲张,jing'mai'qu'zhang
锯齿状,ju'chi'zhuang
局限性膈膨出,ju'xian'xing'ge'peng'chu
局灶性结节性增生,ju'zao'xing'jie'jie'xing'zeng'sheng
龛影,kan'ying
蝌蚪状,ke'dou'zhuang
克罗恩病,ke'luo'en'bing
空洞,kong'dong
空气半月征,kong'qi'ban'yue'zheng
空腔,kong'qiang
枯否细胞,ku'fou'xi'bao
枯枝征,ku'zhi'zheng
快进快出,kuai'jin'kuai'chu
溃疡型,kui'yang'xing
溃疡性结肠炎,kui'yang'xing'jie'chang'yan
括约肌,kuo'yue'ji
肋单位,lei'dan'wei
肋膈角,lei'ge'jiao
肋间隙,lei'jian'xi
两快一慢,liang'kuai'yi'man
隆起型,long'qi'xing
漏斗状,lou'dou'zhuang
卵石征,luan'shi'zheng
门静脉,men'jing'mai
门静脉高压,men'jing'mai'gao'ya
磨玻璃样,mo'bo'li'yang
模糊影,mo'hu'ying
囊袋状,nang'dai'zhuang
囊内分离,nang'nei'fen'li
囊内囊,nang'nei'nang
内侧段,nei'ce'duan
内段,nei'duan
内基底段,nei'ji'di'duan
内前基底段,nei'qian'ji'di'duan
粘膜脱垂,nian'mo'tuo'chui
粘膜线,nian'mo'xian
鸟嘴状,niao'zui'zhuang
牛角型,niu'jiao'xing
牛眼征,niu'yan'zheng
脓肿壁,nong'zhong'bi
膨隆,peng'long
脾大,pi'da
皮革胃,pi'ge'wei
片絮状,pian'xu'zhuang
胼胝性,pian'zhi'xing
片状,pian'zhuang
飘带征,piao'dai'zheng
平滑肌瘤,ping'hua'ji'liu
平坦型,ping'tan'xing
瀑布型,pu'bu'xing
气管,qi'guan
气管分叉,qi'guan'fen'cha
器官轴型,qi'guan'zhou'xing
憩室,qi'shi
气胸,qi'xiong
奇叶,qi'ye
前段,qian'duan
前基底段,qian'ji'di'duan
前纵隔,qian'zong'ge
腔内型,qiang'nei'xing
球部,qiu'bu
蚯蚓状,qiu'yin'zhuang
曲菌球,qu'jun'qiu
蠕动波,ru'dong'bo
软藤征,ruan'teng'zheng
三环征,san'huan'zheng
三叶形,san'ye'xing
疝囊,shan'nang
山字形,shan'zi'xing
上段,shang'duan
上舌段,shang'she'duan
升段,sheng'duan
食道癌,shi'dao'ai
食道闭锁,shi'dao'bi'suo
食道裂孔疝,shi'dao'lie'kong'shan
食管气管瘘,shi'guan'qi'guan'lou
食管胃环,shi'guan'wei'huan
食管炎,shi'guan'yan
树上挂果征,shu'shang'gua'guo'zheng
树芽征,shu'ya'zheng
双边征,shuang'bian'zheng
双环征,shuang'huan'zheng
水平段,shui'ping'duan
水平裂,shui'ping'lie
水上百合征,shui'shang'bai'he'zheng
粟粒样,su'li'yang
髓质型,sui'zhi'xing
条片状,tiao'pian'zhuang
条索状,tiao'suo'zhuang
跳跃征,tiao'yue'zheng
吞钡,tun'bei
外侧段,wai'ce'duan
外段,wai'duan
外基底段,wai'ji'di'duan
网格状,wang'ge'zhuang
网膜轴型,wang'mo'zhou'xing
胃大弯,wei'da'wan
胃底,wei'di
