艾滋病唾液检测,ai'zi'bing'tuo'ye'jian'ce
白蛋白,bai'dan'bai
白色念珠菌抗体,bai'se'nian'zhu'jun'kang'ti
白色念珠菌抗原,bai'se'nian'zhu'jun'kang'yuan
白血病免疫分型,bai'xue'bing'mian'yi'fen'xing
斑贴试验,ban'tie'shi'yan
采血管,cai'xie'guan
传染性虱病镜检,chuan'ran'xing'shi'bing'jing'jian
雌激素,ci'ji'su
促黄体生成素,cu'huang'ti'sheng'cheng'su
促进泡生成素,cu'jin'pao'sheng'cheng'su
促肾上腺皮质激素,cu'shen'shang'xian'pi'zhi'ji'su
醋酸萘酚酯酶染色,cu'suan'nai'fen'zhi'mei'ran'se
催乳素,cui'ru'su
胆固醇,dan'gu'chun
单核细胞化学趋化因子,dan'he'xi'bao'hua'xue'qu'hua'yin'zi
胆红素,dan'hong'su
胆汁酸,dan'zhi'suan
滴虫霉菌性病检验,di'chong'mei'jun'xing'bing'jian'yan
低密度脂蛋白,di'mi'du'zhi'dan'bai
淀粉酶,dian'fen'mei
丁酸萘酚酯酶染色,ding'suan'nai'fen'zhi'mei'ran'se
肺炎支原体,fei'yan'zhi'yuan'ti
甘油三酯,gan'you'san'zhi
高密度脂蛋白,gao'mi'du'zhi'dan'bai
革兰氏阴性,ge'lan'shi'yin'xing
弓形体抗体阳性定性,gong'xing'ti'kang'ti'yang'xing'ding'xing
谷丙转氨酶,gu'bing'zhuan'an'mei
谷草转氨酶,gu'cao'zhuan'an'mei
骨髓巨核细胞定量计数分类分析,gu'sui'ju'he'xi'bao'ding'liang'ji'shu'fen'lei'fen'xi
骨髓细胞形态学诊断检查,gu'sui'xi'bao'xing'tai'xue'zhen'duan'jian'cha
灌洗液常规检查,guan'xi'ye'chang'gui'jian'cha
过敏原检测吸入组食物组,guo'min'yuan'jian'ce'xi'ru'zu'shi'wu'zu
过氧化物酶染色,guo'yang'hua'wu'mei'ran'se
呼吸道病毒检测,hu'xi'dao'bing'du'jian'ce
花斑菌镜检,hua'ban'jun'jing'jian
肌钙蛋白,ji'gai'dan'bai
肌酐,ji'gan
肌酐清除率,ji'gan'qing'chu'lv
肌酸激酶,ji'suan'ji'mei
基质细胞源性因子,ji'zhi'xi'bao'yuan'xing'yin'zi
甲肝抗体,jia'gan'kang'ti
甲状旁腺激素,jia'zhuang'pang'xian'ji'su
间接胆红质,jian'jie'dan'hong'zhi
尖锐湿疣醋酸白实验,jian'rui'shi'you'cu'suan'bai'shi'yan
碱性磷酸酶,jian'xing'lin'suan'mei
疥疮镜检,jie'chuang'jing'jian
结核杆菌,jie'he'gan'jun
结核印迹试验,jie'he'yin'ji'shi'yan
巨噬细胞感染趋化因子,ju'shi'xi'bao'gan'ran'qu'hua'yin'zi
巨细胞病毒抗体定性,ju'xi'bao'bing'du'kang'ti'ding'xing
军团菌抗原检测,jun'tuan'jun'kang'yuan'jian'ce
粒细胞刺激因子,li'xi'bao'ci'ji'yin'zi
链球菌抗原,lian'qiu'jun'kang'yuan
淋病快速检测,lin'bing'kuai'su'jian'ce
临床形态学诊断会诊,lin'chuang'xing'tai'xue'zhen'duan'hui'zhen
淋球菌,lin'qiu'jun
淋球菌培养取材,lin'qiu'jun'pei'yang'qu'cai
氯醋酸萘酚酶染色,lv'cu'suan'nai'fen'mei'ran'se
螨虫镜检,man'chong'jing'jian
毛囊虫镜检,mao'nang'chong'jing'jian
梅毒螺旋体,mei'du'luo'xuan'ti
免疫球蛋白,mian'yi'qiu'dan'bai
免疫荧光检查,mian'yi'ying'guang'jian'cha
免疫组化验查,mian'yi'zu'hua'yan'cha
名称,ming'cheng
脑脊液生化糖,nao'ji'ye'sheng'hua'tang
脑脊液细胞学检查,nao'ji'ye'xi'bao'xue'jian'cha
尿皮质醇,niao'pi'zhi'chun
尿绒毛膜促性肥腺液素,niao'rong'mao'mo'cu'xing'fei'xian'ye'su
尿渗透压,niao'shen'tou'ya
尿素氮,niao'su'dan
尿酸,niao'suan
尿微量白蛋白排泄率,niao'wei'liang'bai'dan'bai'pai'xie'lv
皮肤病理活检,pi'fu'bing'li'huo'jian
羟丁酸脱氢酶,qiang'ding'suan'tuo'qing'mei
全血黏度,quan'xue'nian'du
乳酸,ru'suan
乳酸脱氢酶,ru'suan'tuo'qing'mei
上皮细胞,shang'pi'xi'bao
生长激素,sheng'zhang'ji'su
四项诱导血小板聚集功能测试,si'xiang'you'dao'xue'xiao'ban'ju'ji'gong'neng'ce'shi
苏丹黑染色,su'dan'hei'ran'se
酸性磷酸酶,suan'xing'lin'suan'mei
酸性磷酸酶和酒石酸,suan'xing'lin'suan'mei'he'jiu'shi'suan
髓鞘碱性蛋白,sui'qiao'jian'xing'dan'bai
髓鞘碱性蛋白抗体,sui'qiao'jian'xing'dan'bai'kang'ti
胎盘糖旦白,tai'pan'tang'dan'bai
糖耐量实验,tang'nai'liang'shi'yan
糖皮质类固醇受体,tang'pi'zhi'lei'gu'chun'shou'ti
糖元染色,tang'yuan'ran'se
特异性酯酶双染色,te'yi'xing'zhi'mei'shuang'ran'se
铁染色,tie'ran'se
同工酶,tong'gong'mei
细胞亚群测定,xi'bao'ya'qun'ce'ding
细菌培养,xi'jun'pei'yang
腺苷脱氨酸,xian'gan'tuo'an'suan
性病衣原体快速检测,xing'bing'yi'yuan'ti'kuai'su'jian'ce
性病支原体检测,xing'bing'zhi'yuan'ti'jian'ce
胸水,xiong'shui
血氨,xue'an
血管紧张素转化酶,xue'guan'jin'zhang'su'zhuan'hua'mei
血浆同型半胱氨酸,xue'jiang'tong'xing'ban'guang'an'suan
血浆维生素,xue'jiang'wei'sheng'su
血浆叶酸测定,xue'jiang'ye'suan'ce'ding
血镁,xue'mei
血尿铜,xue'niao'tong
血尿锌,xue'niao'xin
血皮质醇,xue'pi'zhi'chun
血气分析加离子分析,xue'qi'fen'xi'jia'li'zi'fen'xi
血清蛋白电泳,xue'qing'dan'bai'dian'yong
血渗透压,xue'shen'tou'ya
血糖,xue'tang
血涂片分类及形态学分析,xue'tu'pian'fen'lei'ji'xing'tai'xue'fen'xi
血小板聚集,xue'xiao'ban'ju'ji
血小板黏附,xue'xiao'ban'nian'fu
血液或尿液氨基酸分析,xue'ye'huo'niao'ye'an'ji'suan'fen'xi
氧合,yang'he
胰岛素抗体,yi'dao'su'kang'ti
胰岛细胞抗体,yi'dao'xi'bao'kang'ti
乙肝表面抗原,yi'gan'biao'mian'kang'yuan
乙肝两对半,yi'gan'liang'dui'ban
胰高糖素,yi'gao'tang'su
衣原体,yi'yuan'ti
