阿尔丁大街,a'er'ding'da'jie
阿拉善,a'la'shan
阿拉善盟,a'la'shan'meng
阿左旗,a'zuo'qi
爱丽格斯,ai'li'ge'si
鞍山道,an'shan'dao
奥捷,ao'jie
巴盟,ba'meng
巴盟的,ba'meng'de
巴盟人,ba'meng'ren
巴盟人家,ba'meng'ren'jia
霸王河,ba'wang'he
巴雅尔,ba'ya'er
巴彦淖尔,ba'yan'nao'er
巴彦淖尔市,ba'yan'nao'er'shi
巴彦塔拉,ba'yan'ta'la
巴彦塔拉大街,ba'yan'ta'la'da'jie
把爷,ba'ye
八一公园,ba'yi'gong'yuan
八职高,ba'zhi'gao
白半袖,bai'ban'xiu
百家粥,bai'jia'zhou
百乐迪,bai'le'di
百灵庙,bai'ling'miao
百岁岁,bai'sui'sui
白彦道,bai'yan'dao
白彦花,bai'yan'hua
白云的,bai'yun'de
白云鄂博,bai'yun'e'bo
白云路,bai'yun'lu
半裤,ban'ku
半腿裤,ban'tui'ku
包八,bao'ba
包八中,bao'ba'zhong
包百,bao'bai
宝蛋儿,bao'dan'er
包二,bao'er
包二中,bao'er'zhong
包钢,bao'gang
包钢的,bao'gang'de
包钢九中,bao'gang'jiu'zhong
包钢三医院,bao'gang'san'yi'yuan
包钢三中,bao'gang'san'zhong
包钢五中,bao'gang'wu'zhong
包钢一,bao'gang'yi
包钢医院,bao'gang'yi'yuan
包钢一中,bao'gang'yi'zhong
包九,bao'jiu
包九中,bao'jiu'zhong
包克图,bao'ke'tu
保利花园,bao'li'hua'yuan
保利拉菲,bao'li'la'fei
包六中,bao'liu'zhong
包商银行,bao'shang'yin'hang
包师院,bao'shi'yuan
包四中,bao'si'zhong
包头,bao'tou
包头啊,bao'tou'a
包头吧,bao'tou'ba
包头不,bao'tou'bu
包头到,bao'tou'dao
包头的,bao'tou'de
包头东,bao'tou'dong
包头分公司,bao'tou'fen'gong'si
包头分行,bao'tou'fen'hang
包头号,bao'tou'hao
包头交警,bao'tou'jiao'jing
包头啦,bao'tou'la
包头了,bao'tou'le
包头乐园,bao'tou'le'yuan
包头吗,bao'tou'ma
包头那,bao'tou'na
包头呢,bao'tou'ne
包头人,bao'tou'ren
包头市,bao'tou'shi
包头市东河区,bao'tou'shi'dong'he'qu
包头师范,bao'tou'shi'fan
包头师范学院,bao'tou'shi'fan'xue'yuan
包头市昆区,bao'tou'shi'kun'qu
包头市青山区,bao'tou'shi'qing'shan'qu
包头天气,bao'tou'tian'qi
包头天气预报,bao'tou'tian'qi'yu'bao
包头万达,bao'tou'wan'da
包头呀,bao'tou'ya
包头医学院,bao'tou'yi'xue'yuan
包头有,bao'tou'you
包头站,bao'tou'zhan
包一,bao'yi
包一中,bao'yi'zhong
包职,bao'zhi
包职院,bao'zhi'yuan
北方医院,bei'fang'yi'yuan
北沙梁,bei'sha'liang
北重三中,bei'zhong'san'zhong
逼背,bi'bei
逼兜,bi'dou
毕力格,bi'li'ge
必须的哇,bi'xu'de'wa
必须哇,bi'xu'wa
滨河区,bin'he'qu
滨河新区,bin'he'xin'qu
不吃早点,bu'chi'zao'dian
不大大,bu'da'da
不带要,bu'dai'yao
不带要了,bu'dai'yao'le
不带要去,bu'dai'yao'qu
不到么,bu'dao'me
不得呢,bu'de'ne
不多哇,bu'duo'wa
不好闹,bu'hao'nao
不红火,bu'hong'huo
不会哇,bu'hui'wa
不机密,bu'ji'mi
不进眼,bu'jin'yan
不看的了,bu'kan'de'le
不赖哇,bu'lai'wa
不了哇,bu'liao'wa
不忙哇,bu'mang'wa
不拿的,bu'na'de
不能够了,bu'neng'gou'le
不能哇,bu'neng'wa
不扰你,bu'rao'ni
不扰你了,bu'rao'ni'le
不是哇,bu'shi'wa
不睡得了,bu'shui'de'le
不挖,bu'wa
不误事,bu'wu'shi
不醒的,bu'xing'de
不行哇,bu'xing'wa
不行行了,bu'xing'xing'le
不一样哇,bu'yi'yang'wa
不远远,bu'yuan'yuan
不咋哇,bu'za'wa
不在包头,bu'zai'bao'tou
不在哇,bu'zai'wa
不找的,bu'zhao'de
不知道咋啦,bu'zhi'dao'za'la
不至于哇,bu'zhi'yu'wa
猜不见,cai'bu'jian
猜见,cai'jian
猜见了,cai'jian'le
财神庙,cai'shen'miao
操磨,cao'mo
草原牧歌,cao'yuan'mu'ge
差不多哇,cha'bu'duo'wa
察哈尔,cha'ha'er
察素齐,cha'su'qi
察右后旗,cha'you'hou'qi
长乐宫,chang'le'gong
朝聚眼科医院,chao'ju'yan'ke'yi'yuan
朝鲁,chao'lu
城市人家,cheng'shi'ren'jia
迟到呀,chi'dao'ya
吃的啥了,chi'de'sha'le
吃点早点,chi'dian'zao'dian
吃饭不了,chi'fan'bu'liao
吃饭的了,chi'fan'de'le
吃饭个呀,chi'fan'ge'ya
吃饭哇,chi'fan'wa
赤峰人,chi'feng'ren
吃糕,chi'gao
吃个哇,chi'ge'wa
吃个早点,chi'ge'zao'dian
吃坏呀,chi'huai'ya
吃劲,chi'jin
敕勒川,chi'le'chuan
吃了口饭,chi'le'kou'fan
吃了哇,chi'le'wa
吃焖面,chi'men'mian
吃啥好的了,chi'sha'hao'de'le
吃啥呀,chi'sha'ya
吃上的,chi'shang'de
吃上点,chi'shang'dian
吃烧卖,chi'shao'mai
吃甚了,chi'shen'le
吃甚呀,chi'shen'ya
吃早点没,chi'zao'dian'mei
吃早点呢,chi'zao'dian'ne
冲一澡,chong'yi'zao
愁的我,chou'de'wo
稠糊,chou'hu
丑痛心,chou'tong'xin
出不个,chu'bu'ge
出个了,chu'ge'le
出个呀,chu'ge'ya
出来不了,chu'lai'bu'liao
出来哇,chu'lai'wa
春意园,chun'yi'yuan
呲的,ci'de
此地话,ci'di'hua
此地人,ci'di'ren
从包头,cong'bao'tou
从呼市,cong'hu'shi
凑胡,cou'hu
凑乎吧,cou'hu'ba
搓火,cuo'huo
大包头,da'bao'tou
大查,da'cha
大城西,da'cheng'xi
打大,da'da
打电话哇,da'dian'hua'wa
达拉特,da'la'te
达拉特旗,da'la'te'qi
打了哇,da'le'wa
达丽雅,da'li'ya
大连新型,da'lian'xin'xing
达茂,da'mao
达茂旗,da'mao'qi
大内蒙,da'nei'meng
达旗,da'qi
大青山,da'qing'shan
打扫家,da'sao'jia
大佘太,da'she'tai
大树湾,da'shu'wan
达一中,da'yi'zhong
打字哇,da'zi'wa
呆的吧,dai'de'ba
呆的了,dai'de'le
呆的呢,dai'de'ne
呆的哇,dai'de'wa
岱海,dai'hai
带要,dai'yao
带要不,dai'yao'bu
但求是,dan'qiu'shi
当铺村,dang'pu'cun
到包头,dao'bao'tou
到包头了,dao'bao'tou'le
到呼市,dao'hu'shi
叨啦,dao'la
叨了,dao'le
到内蒙,dao'nei'meng
到内蒙古,dao'nei'meng'gu
到行了,dao'xing'le
的不了,de'bu'liao
的来来,de'lai'lai
的了哇,de'le'wa
等不上,deng'bu'shang
等不上了,deng'bu'shang'le
等不上你,deng'bu'shang'ni
等的了,deng'de'le
等的哇,deng'de'wa
磴口,deng'kou
等你的了,deng'ni'de'le
等你的呢,deng'ni'de'ne
等我的啊,deng'wo'de'a
等我的了,deng'wo'de'le
底店,di'dian
帝豪天下,di'hao'tian'xia
电铲,dian'chan
电话哇,dian'hua'wa
东河,dong'he
东河的,dong'he'de
东河了,dong'he'le
东河呢,dong'he'ne
东河区,dong'he'qu
东河人,dong'he'ren
东胜,dong'sheng
东胜的,dong'sheng'de
东胜了,dong'sheng'le
东升庙,dong'sheng'miao
东胜区,dong'sheng'qu
冻死呀,dong'si'ya
东亚世纪城,dong'ya'shi'ji'cheng
都不带要,dou'bu'dai'yao
斗山,dou'shan
都也,dou'ye
都市豪庭,du'shi'hao'ting
肚疼的,du'teng'de
肚疼了,du'teng'le
炖骨头,dun'gu'tou
炖鸡肉,dun'ji'rou
炖羊肉,dun'yang'rou
多会,duo'hui
多会儿,duo'hui'er
多会儿回来,duo'hui'er'hui'lai
多会放假,duo'hui'fang'jia
多会回来,duo'hui'hui'lai
多会回来的,duo'hui'hui'lai'de
多会回来呀,duo'hui'hui'lai'ya
多会回去,duo'hui'hui'qu
多会开学,duo'hui'kai'xue
多回来呀,duo'hui'lai'ya
多会能,duo'hui'neng
多回去的,duo'hui'qu'de
多会睡,duo'hui'shui
多会呀,duo'hui'ya
多会要,duo'hui'yao
多会有,duo'hui'you
多会有时间,duo'hui'you'shi'jian
多会走,duo'hui'zou
多了哇,duo'le'wa
多斯,duo'si
鄂尔多斯,e'er'duo'si
鄂尔多斯的,e'er'duo'si'de
鄂尔多斯市,e'er'duo'si'shi
饿坏呀,e'huai'ya
额吉,e'ji
额济纳旗,e'ji'na'qi
饿死呀,e'si'ya
鄂托克,e'tuo'ke
鄂托克旗,e'tuo'ke'qi
嗯是了,en'shi'le
嗯是么,en'shi'me
嗯是呢,en'shi'ne
二后生,er'hou'sheng
二机三,er'ji'san
二机三中,er'ji'san'zhong
二机五,er'ji'wu
二妗,er'jin
二里半,er'li'ban
二连,er'lian
二连浩特,er'lian'hao'te
二连浩特市,er'lian'hao'te'shi
二零二,er'ling'er
二旅社,er'lv'she
二人台,er'ren'tai
儿童拖鞋,er'tong'tuo'xie
二冶,er'ye
饭馆了,fan'guan'le
繁荣道,fan'rong'dao
放的了,fang'de'le
放心哇,fang'xin'wa
非凡引力,fei'fan'yin'li
分了哇,fen'le'wa
疯呀,feng'ya
丰盈小区,feng'ying'xiao'qu
