百家争鸣,bai'jia'zheng'ming
被列为科举考试,bei'lie'wei'ke'ju'kao'shi
北宋神宗,bei'song'shen'zong
被尊奉为,bei'zun'feng'wei
必不可少,bi'bu'ke'shao
必考内容,bi'kao'nei'rong
比喻和,bi'yu'he
并不很高,bing'bu'hen'gao
不耻不若人,bu'chi'bu'ruo'ren
不为采纳,bu'wei'cai'na
采纳他的,cai'na'ta'de
才逐渐提升,cai'zhu'jian'ti'sheng
曾游历,ceng'you'li
长长,chang'chang
常用夸张,chang'yong'kua'zhang
成书大约在,cheng'shu'da'yue'zai
成为仅次于孔子的,cheng'wei'jin'ci'yu'kong'zi'de
成为其政治思想,cheng'wei'qi'zheng'zhi'si'xiang
成为千古美谈,cheng'wei'qian'gu'mei'tan
耻之于人大矣,chi'zhi'yu'ren'da'yi
出现了一个孟子的,chu'xian'le'yi'ge'meng'zi'de
从鲁国迁居到,cong'lu'guo'qian'ju'dao
从书中用语来看,cong'shu'zhong'yong'yu'lai'kan
存其心,cun'qi'xin
代表人物之一,dai'biao'ren'wu'zhi'yi
但他的,dan'ta'de
但推崇孔子,dan'tui'chong'kong'zi
但也有观点认为,dan'ye'you'guan'dian'ren'wei
但由于当时,dan'you'yu'dang'shi
的出发点,de'chu'fa'dian
的核心,de'he'xin
的门人,de'men'ren
的人物开始,de'ren'wu'kai'shi
的原则运用于政治,de'yuan'ze'yun'yong'yu'zheng'zhi
德治思想,de'zhi'si'xiang
得之有命,de'zhi'you'ming
等教子故事,deng'jiao'zi'gu'shi
地位仅次于孔子,di'wei'jin'ci'yu'kong'zi
地位在,di'wei'zai
对后世产生了,dui'hou'shi'chan'sheng'le
对后世影响很大,dui'hou'shi'ying'xiang'hen'da
对宋代,dui'song'dai
而况得而臣之乎,er'kuang'de'er'chen'zhi'hu
发展为仁政学说,fa'zhan'wei'ren'zheng'xue'shuo
反身而诚,fan'shen'er'cheng
非正命也,fei'zheng'ming'ye
富贵不能乱我本心,fu'gui'bu'neng'luan'wo'ben'xin
抚养成人,fu'yang'cheng'ren
告子,gao'zi
给他找了三个地方,gei'ta'zhao'le'san'ge'di'fang
共七篇,gong'qi'pian
公孙丑,gong'sun'chou
故王公不致敬尽礼,gu'wang'gong'bu'zhi'jing'jin'li
梏桎死者,gu'zhi'si'zhe
古之贤士何独不然,gu'zhi'xian'shi'he'du'bu'ran
古之贤王好善而忘势,gu'zhi'xian'wang'hao'shan'er'wang'shi
归而与弟子,gui'er'yu'di'zi
合称为,he'cheng'wei
和发展了,he'fa'zhan'le
何若人有,he'ruo'ren'you
和他的学生一起,he'ta'de'xue'sheng'yi'qi
合在一起称,he'zai'yi'qi'cheng
后来家道衰微,hou'lai'jia'dao'shuai'wei
后人称之为孟母三迁,hou'ren'cheng'zhi'wei'meng'mu'san'qian
后世称为,hou'shi'cheng'wei
继承并发扬了,ji'cheng'bing'fa'yang'le
极大的影响,ji'da'de'ying'xiang
极富特色的,ji'fu'te'se'de
几乎没有人,ji'hu'mei'you'ren
极可能是,ji'ke'neng'shi
记载了,ji'zai'le
加以激烈抨击,jia'yi'ji'lie'peng'ji
见且由不得亟,jian'qie'you'bu'de'ji
将孟子列为,jiang'meng'zi'lie'wei
将其抚养成人,jiang'qi'fu'yang'cheng'ren
将其与,jiang'qi'yu
讲学著书,jiang'xue'zhu'shu
仅次于孔子的,jin'ci'yu'kong'zi'de
尽其道而死者,jin'qi'dao'er'si'zhe
尽其心者,jin'qi'xin'zhe
今山东邹城,jin'shan'dong'zou'cheng
尽心,jin'xin
尽心上,jin'xin'shang
经典名言,jing'dian'ming'yan
科目之一一书升格为儒家经典,ke'mu'zhi'yi'yi'shu'sheng'ge'wei'ru'jia'jing'dian
孔伋,kong'ji
孔子的思想,kong'zi'de'si'xiang
孔子思想,kong'zi'si'xiang
孔子之后的,kong'zi'zhi'hou'de
孔子之孙,kong'zi'zhi'sun
乐莫大焉,le'mo'da'yan
