哀而不伤,ai'er'bu'shang
哀公问,ai'gong'wen
哀公问社于宰我,ai'gong'wen'she'yu'zai'wo
哀公问于有若曰,ai'gong'wen'yu'you'ruo'yue
哀公问曰,ai'gong'wen'yue
爱人,ai'ren
爱之,ai'zhi
爱之欲其生,ai'zhi'yu'qi'sheng
安见方六七十,an'jian'fang'liu'qi'shi
安女安则为之,an'nv'an'ze'wei'zhi
安无倾,an'wu'qing
奡荡舟,ao'dang'zhou
八佾第三,ba'yi'di'san
八佾舞于庭,ba'yi'wu'yu'ting
霸诸侯,ba'zhu'hou
拜而受之,bai'er'shou'zhi
百工居肆以成其事,bai'gong'ju'si'yi'cheng'qi'shi
百官之富,bai'guan'zhi'fu
百官总己以听于冢宰,bai'guan'zong'ji'yi'ting'yu'zhong'zai
百物生焉,bai'wu'sheng'yan
拜下,bai'xia
百姓不足,bai'xing'bu'zu
百姓有过,bai'xing'you'guo
百姓足,bai'xing'zu
版者,ban'zhe
邦分崩离析,bang'fen'beng'li'xi
邦君树塞门,bang'jun'shu'sai'men
邦君为两君之好,bang'jun'wei'liang'jun'zhi'hao
邦君之妻,bang'jun'zhi'qi
邦人称之曰君夫人,bang'ren'cheng'zhi'yue'jun'fu'ren
邦无道,bang'wu'dao
邦无道如矢,bang'wu'dao'ru'shi
邦无道则可卷而怀之,bang'wu'dao'ze'ke'juan'er'huai'zhi
邦有道,bang'you'dao
邦有道如矢,bang'you'dao'ru'shi
邦有道则仕,bang'you'dao'ze'shi
邦曰寡小君,bang'yue'gua'xiao'jun
暴虎冯河,bao'hu'ping'he
饱食终日,bao'shi'zhong'ri
奔而殿,ben'er'dian
本立而道生,ben'li'er'dao'sheng
本之则无,ben'zhi'ze'wu
必变,bi'bian
必变色而作,bi'bian'se'er'zuo
必表而出之,bi'biao'er'chu'zhi
必不得已而去,bi'bu'de'yi'er'qu
必察焉,bi'cha'yan
裨谌草创之,bi'chen'cao'chuang'zhi
必畜之,bi'chu'zhi
鄙夫可与事君也与哉,bi'fu'ke'yu'shi'jun'ye'yu'zai
必复命曰,bi'fu'ming'yue
比干谏而死,bi'gan'jian'er'si
比及三年,bi'ji'san'nian
必齐如也,bi'qi'ru'ye
必趋,bi'qu
必杀之,bi'sha'zhi
必世而后仁,bi'shi'er'hou'ren
必使反之,bi'shi'fan'zhi
必失之,bi'shi'zhi
必熟而荐之,bi'shu'er'jian'zhi
必文,bi'wen
必闻其政,bi'wen'qi'zheng
必先利其器,bi'xian'li'qi'qi
必偃,bi'yan
必也狂狷乎,bi'ye'kuang'juan'hu
必也临事而惧,bi'ye'lin'shi'er'ju
必也亲丧乎,bi'ye'qin'sang'hu
必也射乎,bi'ye'she'hu
必也圣乎,bi'ye'sheng'hu
必也使无讼乎,bi'ye'shi'wu'song'hu
必也正名乎,bi'ye'zheng'ming'hu
必以貌,bi'yi'mao
必有近忧,bi'you'jin'you
必有可观者焉,bi'you'ke'guan'zhe'yan
必有邻,bi'you'lin
必有明衣,bi'you'ming'yi
必有寝衣,bi'you'qin'yi
必有我师焉,bi'you'wo'shi'yan
鄙哉,bi'zai
彼哉,bi'zai
必正立执绥,bi'zheng'li'zhi'sui
必正席先尝之,bi'zheng'xi'xian'chang'zhi
必作,bi'zuo
便便言,bian'bian'yan
笾豆之事,bian'dou'zhi'shi
辨惑,bian'huo
卞庄子之勇,bian'zhuang'zi'zhi'yong
宾不顾矣,bin'bu'gu'yi
宾退,bin'tui
病间,bing'jian
屏气似不息者,bing'qi'si'bu'xi'zhe
伯牛有疾,bo'niu'you'ji
勃如战色,bo'ru'zhan'se
播鼗,bo'tao
博我以文,bo'wo'yi'wen
博学而笃志,bo'xue'er'du'zhi
博学而无所成名,bo'xue'er'wu'suo'cheng'ming
