饱和压降,bao'he'ya'jiang
超磁致伸缩,chao'ci'zhi'shen'suo
磁链,ci'lian
磁密,ci'mi
磁敏,ci'min
磁能积,ci'neng'ji
磁障,ci'zhang
磁滞,ci'zhi
电磁转矩,dian'ci'zhuan'ju
电机转速,dian'ji'zhuan'su
电励磁线圈,dian'li'ci'xian'quan
电枢电流,dian'shu'dian'liu
电枢内径,dian'shu'nei'jing
反电动势,fan'dian'dong'shi
刚轮,gang'lun
功角,gong'jiao
极对数,ji'dui'shu
极弧系数,ji'hu'xi'shu
极距,ji'ju
极数,ji'shu
机座号,ji'zuo'hao
交轴,jiao'zhou
矩角,ju'jiao
空载转速,kong'zai'zhuan'su
两相,liang'xiang
两相四状态,liang'xiang'si'zhuang'tai
漏磁,lou'ci
每相,mei'xiang
灭磁,mie'ci
气隙,qi'xi
柔轮,rou'lun
三相,san'xiang
三相六状态,san'xiang'liu'zhuang'tai
三相三状态,san'xiang'san'zhuang'tai
失步转矩,shi'bu'zhuan'ju
鼠笼式,shu'long'shi
双凸极,shuang'tu'ji
四相四状态,si'xiang'si'zhuang'tai
同步速,tong'bu'su
无刷直流电机,wu'shua'zhi'liu'dian'ji
线电动势,xian'dian'dong'shi
相电动势,xiang'dian'dong'shi
相数,xiang'shu
星形,xing'xing
永磁,yong'ci
永磁体,yong'ci'ti
增磁,zeng'ci
致动器,zhi'dong'qi
直轴,zhi'zhou
转矩角,zhuan'ju'jiao
