阿片中毒,a'pian'zhong'du
阿托品类中毒,a'tuo'pin'lei'zhong'du
安妥中毒,an'tuo'zhong'du
氨中毒,an'zhong'du
巴比妥安眠药中毒,ba'bi'tuo'an'mian'yao'zhong'du
巴豆中毒,ba'dou'zhong'du
白痴,bai'chi
斑蝥中毒,ban'mao'zhong'du
暴力死,bao'li'si
爆炸伤,bao'zha'shang
钡中毒,bei'zhong'du
苯酚中毒,ben'fen'zhong'du
闭合性脊髓损伤,bi'he'xing'ji'sui'sun'shang
闭合性脑损伤,bi'he'xing'nao'sun'shang
病理性酒精中毒,bing'li'xing'jiu'jing'zhong'du
病态人格,bing'tai'ren'ge
擦伤,ca'shang
草酸中毒,cao'suan'zhong'du
蟾蜍中毒,chan'chu'zhong'du
肠损伤,chang'sun'shang
超声波损伤,chao'sheng'bo'sun'shang
痴愚,chi'yu
冲击伤与对冲伤,chong'ji'shang'yu'dui'chong'shang
创,chuang
刺创,ci'chuang
猝死,cu'si
挫裂创,cuo'lie'chuang
挫伤,cuo'shang
大麻中毒,da'ma'zhong'du
敌鼠钠中毒,di'shu'na'zhong'du
电击死,dian'ji'si
癫痫,dian'xian
癫痫性精神障碍,dian'xian'xing'jing'shen'zhang'ai
冬眠灵中毒,dong'mian'ling'zhong'du
冻死,dong'si
动作障碍,dong'zuo'zhang'ai
毒扁豆碱中毒,du'bian'dou'jian'zhong'du
毒物鉴定,du'wu'jian'ding
钝器伤,dun'qi'shang
扼死,e'si
二乙麦角酰胺中毒,er'yi'mai'jiao'xian'an'zhong'du
法医物证检验,fa'yi'wu'zheng'jian'yan
法医学,fa'yi'xue
法医学词库,fa'yi'xue'ci'ku
番木碱中毒,fan'mu'jian'zhong'du
反应性精神病,fan'ying'xing'jing'shen'bing
放射性损伤,fang'she'xing'sun'shang
非暴力死,fei'bao'li'si
非机动车损伤,fei'ji'dong'che'sun'shang
肺脏损伤,fei'zang'sun'shang
非致命伤,fei'zhi'ming'shang
吩噻嗪类中毒,fen'sai'qin'lei'zhong'du
腐败绿斑,fu'bai'lv'ban
复容,fu'rong
氟乙酰胺中毒,fu'yi'xian'an'zhong'du
感觉障碍,gan'jue'zhang'ai
感染性精神病,gan'ran'xing'jing'shen'bing
干尸,gan'shi
肝脏损伤,gan'zang'sun'shang
膈肌损伤,ge'ji'sun'shang
个人识别,ge'ren'shi'bie
铬中毒,ge'zhong'du
更年期精神病,geng'nian'qi'jing'shen'bing
汞中毒,gong'zhong'du
钩吻中毒,gou'wen'zhong'du
骨癊,gu'yin
硅藻检验,gui'zao'jian'yan
棍棒伤,gun'bang'shang
河豚中毒,he'tun'zhong'du
幻觉,huan'jue
混合斑检验,hun'he'ban'jian'yan
火车损伤,huo'che'sun'shang
活体检验,huo'ti'jian'yan
机动车损伤,ji'dong'che'sun'shang
嫉妒妄想,ji'du'wang'xiang
饥饿死,ji'e'si
激光损伤,ji'guang'sun'shang
急死,ji'si
急死的法医鉴定,ji'si'de'fa'yi'jian'ding
脊髓损伤,ji'sui'sun'shang
机械性损伤,ji'xie'xing'sun'shang
机械性窒息,ji'xie'xing'zhi'xi
记忆障碍,ji'yi'zhang'ai
脊柱损伤,ji'zhu'sun'shang
甲醛中毒,jia'quan'zhong'du
假死,jia'si
夹竹桃中毒,jia'zhu'tao'zhong'du
剪创,jian'chuang
劲部损伤,jing'bu'sun'shang
精神病症状,jing'shen'bing'zheng'zhuang
精神分裂症,jing'shen'fen'lie'zheng
精神幼稚症,jing'shen'you'zhi'zheng
精液斑检验,jing'ye'ban'jian'yan
酒精中毒性精神病,jiu'jing'zhong'du'xing'jing'shen'bing
巨人观,ju'ren'guan
开放性颅脑损伤,kai'fang'xing'lu'nao'sun'shang
开棺检验,kai'guan'jian'yan
砍创,kan'chuang
可待因中毒,ke'dai'yin'zhong'du
空气栓塞,kong'qi'shuan'sai
老年性痴呆,lao'nian'xing'chi'dai
老死,lao'si
雷公藤中毒,lei'gong'teng'zhong'du
雷击死,lei'ji'si
勒死,lei'si
磷化锌中毒,lin'hua'xin'zhong'du
颅骨损伤,lu'gu'sun'shang
颅脑损伤,lu'nao'sun'shang
卤素中毒,lu'su'zhong'du
吗啡中毒,ma'fei'zhong'du
马桑中毒,ma'sang'zhong'du
莽草实中毒,mang'cao'shi'zhong'du
毛发检验,mao'fa'jian'yan
霉尸,mei'shi
闷死,men'si
脑出血,nao'chu'xue
脑挫伤,nao'cuo'shang
脑动脉硬化性精神病,nao'dong'mai'ying'hua'xing'jing'shen'bing
脑干损伤,nao'gan'sun'shang
脑疝,nao'shan
脑死亡,nao'si'wang
脑外伤性精神病,nao'wai'shang'xing'jing'shen'bing
脑震荡,nao'zhen'dang
内脏破裂,nei'zang'po'lie
溺死,ni'si
泥炭鞣尸,ni'tan'rou'shi
碾压伤,nian'ya'shang
女性生殖道损伤,nv'xing'sheng'zhi'dao'sun'shang
膀胱损伤,pang'guang'sun'shang
皮肤金属化,pi'fu'jin'shu'hua
皮革样化,pi'ge'yang'hua
皮下出血,pi'xia'chu'xie
脾脏损伤,pi'zang'sun'shang
气压损伤,qi'ya'sun'shang
