阿比罗提,a'bi'luo'ti
阿鞞跋致,a'bing'ba'zhi
阿阐底迦,a'chan'di'jia
阿颠底迦,a'dian'di'jia
阿伽色,a'ga'se
阿吽,a'hong
阿赖耶识,a'lai'ye'shi
阿离耶,a'li'ye
阿摩罗识,a'mo'luo'shi
阿耨多罗三藐三菩提,a'nou'duo'luo'san'miao'san'pu'ti
阿毗达磨,a'pi'da'mo
阿特曼,a'te'man
阿陀那识,a'tuo'na'shi
阿字五转,a'zi'wu'zhuan
爱别离苦,ai'bie'li'ku
爱见,ai'jian
爱见大悲,ai'jian'da'bei
爱行,ai'xing
安立,an'li
安心,an'xin
八不中道,ba'bu'zhong'dao
八触,ba'chu
八大人觉,ba'da'ren'jue
八法,ba'fa
八解脱,ba'jie'tuo
八敬法,ba'jing'fa
八觉,ba'jue
八苦,ba'ku
八难,ba'nan
八忍八智,ba'ren'ba'zhi
八胜处,ba'sheng'chu
八识,ba'shi
八十八使,ba'shi'ba'shi
八十九心,ba'shi'jiu'xin
八十随形好,ba'shi'sui'xing'hao
八万四千法门,ba'wan'si'qian'fa'men
八未曾有,ba'wei'ceng'you
八相成道,ba'xiang'cheng'dao
八正道,ba'zheng'dao
把住,ba'zhu
八转声,ba'zhuan'sheng
百八烦恼,bai'ba'fan'nao
百法,bai'fa
白法黑法,bai'fa'hei'fa
百法明门,bai'fa'ming'men
百福庄严,bai'fu'zhuang'yan
百界千如,bai'jie'qian'ru
白业,bai'ye
白衣,bai'yi
白月,bai'yue
办道,ban'dao
半择迦,ban'ze'jia
半字满字,ban'zi'man'zi
半座,ban'zuo
报身,bao'shen
报土,bao'tu
悲增,bei'zeng
本地垂迹,ben'di'chui'ji
本地身,ben'di'shen
本化,ben'hua
本迹二门,ben'ji'er'men
本觉,ben'jue
本来面目,ben'lai'mian'mu
本生,ben'sheng
本未有善,ben'wei'you'shan
本有家,ben'you'jia
本愿,ben'yuan
本质,ben'zhi
本尊,ben'zun
毕竟空,bi'jing'kong
遍计所执性,bian'ji'suo'zhi'xing
遍行,bian'xing
变易生死,bian'yi'sheng'si
遍知,bian'zhi
边执见,bian'zhi'jian
表色,biao'se
表无表,biao'wu'biao
别报,bie'bao
别法,bie'fa
别教,bie'jiao
别境,bie'jing
别理随缘,bie'li'sui'yuan
别请,bie'qing
别向圆修,bie'xiang'yuan'xiu
薄地,bo'di
般若波罗蜜,bo're'bo'luo'mi
拨无因果,bo'wu'yin'guo
不变随缘,bu'bian'sui'yuan
不定,bu'ding
不定地法,bu'ding'de'fa
不定教,bu'ding'jiao
不定业,bu'ding'ye
不动法,bu'dong'fa
不动曼荼罗,bu'dong'man'tu'luo
不二摩诃衍,bu'er'mo'he'yan
不二一元论,bu'er'yi'yuan'lun
不放逸,bu'fang'yi
不共法,bu'gong'fa
不共教,bu'gong'jiao
不共相,bu'gong'xiang
不共业,bu'gong'ye
不害,bu'hai
不坏法,bu'huai'fa
不立文字,bu'li'wen'zi
不了义,bu'liao'yi
不染污,bu'ran'wu
不染污无知,bu'ran'wu'wu'zhi
布萨,bu'sa
不善,bu'shan
不生不灭,bu'sheng'bu'mie
布施,bu'shi
不时解脱,bu'shi'jie'tuo
补特伽罗,bu'te'ga'luo
补陀洛山,bu'tuo'luo'shan
不闲,bu'xian
不相应心,bu'xiang'ying'xin
不一不异说,bu'yi'bu'yi'shuo
不增不减,bu'zeng'bu'jian
参,can
草木成佛,cao'mu'cheng'fo
剎,cha
剎那,cha'na
缠,chan
忏悔,chan'hui
常寂光土,chang'ji'guang'tu
常见,chang'jian
超佛越祖,chao'fo'yue'zu
超证,chao'zheng
尘,chen
瞋,chen
尘点劫,chen'dian'jie
尘劳,chen'lao
尘沙惑,chen'sha'huo
成道,cheng'dao
成佛,cheng'fo
成就,cheng'jiu
痴,chi
处,chu
初法明道,chu'fa'ming'dao
出离,chu'li
出离依,chu'li'yi
出世,chu'shi
出世间,chu'shi'jian
初夜,chu'ye
初转法轮,chu'zhuan'fa'lun
春日曼荼罗,chun'ri'man'tu'luo
慈悲,ci'bei
大悲,da'bei
大悲阐提,da'bei'chan'ti
大不善地法,da'bu'shan'de'fa
大乘三系,da'cheng'san'xi
大乘四果,da'cheng'si'guo
大乘无相妄执,da'cheng'wu'xiang'wang'zhi
大慈大悲,da'ci'da'bei
大地法,da'di'fa
大烦恼地法,da'fan'nao'de'fa
大佛,da'fo
大善地法,da'shan'di'fa
大师,da'shi
大雄,da'xiong
大圆镜智,da'yuan'jing'zhi
带业往生,dai'ye'wang'sheng
当麻曼荼罗,dang'ma'man'tu'luo
道,dao
道谛,dao'di
灯光城,deng'guang'cheng
等觉,deng'jue
等流习气,deng'liu'xi'qi
谛,di
第一义谛,di'yi'yi'di
第一义空,di'yi'yi'kong
颠倒,dian'dao
掉举,diao'ju
定散,ding'san
定业,ding'ye
洞山五位,dong'shan'wu'wei
断惑,duan'huo
断灭论,duan'mie'lun
断末摩,duan'mo'mo
对治离,dui'zhi'li
顿渐二教,dun'jian'er'jiao
顿悟,dun'wu
多念义,duo'nian'yi
多闻,duo'wen
恶,e
恶见,e'jian
恶取空,e'qu'kong
恶人正机,e'ren'zheng'ji
恶知识,e'zhi'shi
恶作,e'zuo
恩,en
二边,er'bian
二乘,er'cheng
二乘作佛,er'cheng'zuo'fo
二重中道,er'chong'zhong'dao
二谛,er'di
耳根,er'gen
二根,er'gen
二河白道,er'he'bai'dao
二护,er'hu
二教,er'jiao
二教六理,er'jiao'liu'li
二空,er'kong
二力,er'li
二取,er'qu
二入四行,er'ru'si'hang
耳识,er'shi
二十二根,er'shi'er'gen
二十二愚,er'shi'er'yu
二十四缘,er'shi'si'yuan
二十五谛,er'shi'wu'di
二十五方便,er'shi'wu'fang'bian
二十五有,er'shi'wu'you
二十五圆通,er'shi'wu'yuan'tong
二鼠啮藤,er'shu'nie'teng
二土,er'tu
二土弘经,er'tu'hong'jing
二形,er'xing
二因,er'yin
二障,er'zhang
二智,er'zhi
二种生死,er'zhong'sheng'si
法,fa
法藏,fa'cang
法处所摄色,fa'chu'suo'she'se
法尔自然,fa'er'zi'ran
法华七喻,fa'hua'qi'yu
法界,fa'jie
法界定印,fa'jie'ding'yin
法界观,fa'jie'guan
法界缘起,fa'jie'yuan'qi
法腊,fa'la
法轮,fa'lun
法门,fa'men
法名,fa'ming
发菩提心,fa'pu'ti'xin
法身,fa'shen
法数,fa'shu
法体,fa'ti
法体恒有,fa'ti'heng'you
法王,fa'wang
法相,fa'xiang
法性,fa'xing
法性生身,fa'xing'sheng'shen
法性土,fa'xing'tu
法眼净,fa'yan'jing
法执,fa'zhi
法住智,fa'zhu'zhi
梵,fan
凡夫,fan'fu
烦恼,fan'nao
烦恼即菩提,fan'nao'ji'pu'ti
烦恼障,fan'nao'zhang
梵行,fan'xing
方便,fang'bian
放行,fang'xing
放逸,fang'yi
非人,fei'ren
非有想非无想,fei'you'xiang'fei'wu'xiang
分别,fen'bie
分别变,fen'bie'bian
分别起,fen'bie'qi
分段生死,fen'duan'sheng'si
分身,fen'shen
佛部,fo'bu
佛顶,fo'ding
佛骨,fo'gu
佛教,fo'jiao
佛身,fo'shen
佛土,fo'tu
佛性,fo'xing
佛智,fo'zhi
佛种,fo'zhong
缚,fu
伏道,fu'dao
付法,fu'fa
扶律谈常,fu'lv'tan'chang
福田,fu'tian
扶习润生,fu'xi'run'sheng
付嘱,fu'zhu
伽那,ga'na
伽陀,ga'tuo
盖,gai
甘露,gan'lu
干陀罗色,gan'tuo'luo'se
格义,ge'yi
根,gen
根本烦恼,gen'ben'fan'nao
根本识,gen'ben'shi
根本智,gen'ben'zhi
根边蕴,gen'bian'yun
公案,gong'an
共般若,gong'bo're
功德,gong'de
共教,gong'jiao
功能,gong'neng
共相,gong'xiang
共相惑,gong'xiang'huo
共业,gong'ye
共种子,gong'zhong'zi
广长舌相,guang'chang'she'xiang
广大行,guang'da'xing
光明,guang'ming
归依,gui'yi
果,guo
果报,guo'bao
果分,guo'fen
果能变,guo'neng'bian
果头无人,guo'tou'wu'ren
黑业,hei'ye
黑月,hei'yue
吽,hong
弘誓,hong'shi
后有,hou'you
护念,hu'nian
化城喻,hua'cheng'yu
化法四教,hua'fa'si'jiao
化佛,hua'fo
化人,hua'ren
化身,hua'shen
化土,hua'tu
化仪四教,hua'yi'si'jiao
化缘,hua'yuan
化制二教,hua'zhi'er'jiao
化主,hua'zhu
坏法,huai'fa
坏劫,huai'jie
坏色,huai'se
幻,huan
欢喜,huan'xi
幻有,huan'you
慧,hui
会三归一,hui'san'gui'yi
灰身灭智,hui'shen'mie'zhi
秽土,hui'tu
回向,hui'xiang
回心向大,hui'xin'xiang'da
惛沉,hun'chen
惑,huo
火宅,huo'zhai
机,ji
集谛,ji'di
极乐净土,ji'le'jing'tu
寂灭,ji'mie
即身成佛,ji'shen'cheng'fo
极微,ji'wei
假,jia
加被,jia'bei
加持,jia'chi
加持身,jia'chi'shen
加持世界,jia'chi'shi'jie
加持物,jia'chi'wu
假名,jia'ming
假实二法,jia'shi'er'fa
加行,jia'xing
加行道,jia'xing'dao
加行得,jia'xing'de
加行善,jia'xing'shan
加行位,jia'xing'wei
见,jian
见爱二烦恼,jian'ai'er'fan'nao
兼但对带,jian'dan'dui'dai
见道,jian'dao
见佛,jian'fo
见惑,jian'huo
见思惑,jian'si'huo
渐悟,jian'wu
见行,jian'xing
减行,jian'xing
见性成佛,jian'xing'cheng'fo
见修二惑,jian'xiu'er'huo
减缘,jian'yuan
教理行果,jiao'li'xing'guo
教相,jiao'xiang
劫,jie
界,jie
劫初,jie'chu
结集,jie'ji
戒禁取见,jie'jin'qu'jian
界内,jie'nei
结使,jie'shi
解脱,jie'tuo
解脱道,jie'tuo'dao
界外,jie'wai
界系,jie'xi
结夏,jie'xia
结缘,jie'yuan
金刚,jin'gang
金刚部,jin'gang'bu
金刚法界宫,jin'gang'fa'jie'gong
金刚界,jin'gang'jie
金刚界三十七尊,jin'gang'jie'san'shi'qi'zun
尽智,jin'zhi
精进,jing'jin
净土,jing'tu
净心,jing'xin
境行果,jing'xing'guo
净业,jing'ye
九乘,jiu'cheng
九谛,jiu'di
九地,jiu'di
九方便,jiu'fang'bian
九佛事,jiu'fo'shi
九横死,jiu'heng'si
九结,jiu'jie
究竟,jiu'jing
究竟离,jiu'jing'li
九类生,jiu'lei'sheng
九品惑,jiu'pin'huo
九品净土,jiu'pin'jing'tu
九品莲台,jiu'pin'lian'tai
九品往生,jiu'pin'wang'sheng
九品印,jiu'pin'yin
九山八海,jiu'shan'ba'hai
九上缘惑,jiu'shang'yuan'huo
九食,jiu'shi
九十八随眠,jiu'shi'ba'sui'mian
九师相承,jiu'shi'xiang'cheng
九识义,jiu'shi'yi
九无为,jiu'wu'wei
九无学,jiu'wu'xue
九心轮,jiu'xin'lun
九业,jiu'ye
九有情居,jiu'you'qing'ju
久远实成,jiu'yuan'shi'cheng
九斋日,jiu'zhai'ri
九辙,jiu'zhe
九种不还,jiu'zhong'bu'huan
九住心,jiu'zhu'xin
九祖相承,jiu'zu'xiang'cheng
句,ju
俱生法,ju'sheng'fa
俱生起,ju'sheng'qi
俱有法,ju'you'fa
眷属,juan'shu
觉,jue
觉他,jue'ta
决择,jue'ze
开会,kai'hui
开三显一,kai'san'xian'yi
开示悟入,kai'shi'wu'ru
开题,kai'ti
客尘烦恼,ke'chen'fan'nao
空,kong
空即是色,kong'ji'shi'se
空见,kong'jian
苦,ku
苦谛,ku'di
苦行,ku'xing
狂惑,kuang'huo
赖耶缘起,lai'ye'yuan'qi
老苦,lao'ku
老死,lao'si
乐,le
了义,le'yi
力,li
历劫,li'jie
利他,li'ta
离系,li'xi
莲华藏世界,lian'hua'cang'shi'jie
两界曼荼罗,liang'jie'man'tu'luo
料简,liao'jian
邻阿伽色,lin'a'ga'se
六波罗蜜,liu'bo'luo'mi
六成就,liu'cheng'jiu
六触,liu'chu
六大,liu'da
六大缘起,liu'da'yuan'qi
六道,liu'dao
六恶,liu'e
六法,liu'fa
六根,liu'gen
六根忏悔,liu'gen'chan'hui
六根互用,liu'gen'hu'yong
六根清净,liu'gen'qing'jing
六行观,liu'hang'guan
六和敬,liu'he'jing
六即,liu'ji
六境,liu'jing
六聚,liu'ju
六决定,liu'jue'ding
六难,liu'nan
六念,liu'nian
六识,liu'shi
六时,liu'shi
六十二见,liu'shi'er'jian
六十心,liu'shi'xin
六通,liu'tong
六味,liu'wei
六物,liu'wu
六相,liu'xiang
六相圆融,liu'xiang'yuan'rong
六因,liu'yin
六重本迹,liu'zhong'ben'ji
流转,liu'zhuan
漏,lou
漏尽通,lou'jin'tong
六合释,lu'he'shi
轮回,lun'hui
论家,lun'jia
论师,lun'shi
马阴藏相,ma'yin'cang'xiang
慢,man
曼荼罗,man'tu'luo
梦,meng
迷,mi
密严净土,mi'yan'jing'tu
妙觉,miao'jue
灭谛,mie'di
明,ming
命根,ming'gen
名句文身,ming'ju'wen'shen
名色,ming'se
名言,ming'yan
名言种子,ming'yan'zhong'zi
魔,mo
摩呾理迦,mo'da'li'jia
末法,mo'fa
摩诃,mo'he
末摩,mo'mo
末那识,mo'na'shi
摩尼,mo'ni
磨沙,mo'sha
牟尼,mou'ni
木兰色,mu'lan'se
南无,na'mo
南三北七,nan'san'bei'qi
难行道,nan'xing'dao
恼,nao
内道,nei'dao
内凡,nei'fan
内明,nei'ming
能,neng
念,nian
念劫融即,nian'jie'rong'ji
涅槃,nie'pan
涅槃智,nie'pan'zhi
女人成佛,nv'ren'cheng'fo
女子出定,nv'zi'chu'ding
沤和俱舍罗,ou'he'ju'she'luo
判教,pan'jiao
攀缘,pan'yuan
平常心是道,ping'chang'xin'shi'dao
平等,ping'deng
平等性智,ping'deng'xing'zhi
破邪,po'xie
普法,pu'fa
普门,pu'men
普说,pu'shuo
菩提,pu'ti
菩提心,pu'ti'xin
七宝,qi'bao
七不可避,qi'bu'ke'bi
七财,qi'cai
七常住果,qi'chang'zhu'guo
七处八会,qi'chu'ba'hui
七处善,qi'chu'shan
七大,qi'da
七谛,qi'di
七地,qi'di
七地沈空难,qi'di'shen'kong'nan
七法,qi'fa
七番共解,qi'fan'gong'jie
七分别,qi'fen'bie
七分获一,qi'fen'huo'yi
七归依,qi'gui'yi
七海,qi'hai
七见,qi'jian
七金山,qi'jin'shan
七净华,qi'jing'hua
七境界,qi'jing'jie
七聚,qi'ju
七句答,qi'ju'da
七觉士,qi'jue'shi
七觉支,qi'jue'zhi
七空,qi'kong
七流,qi'liu
七漏,qi'lou
七灭诤,qi'mie'zheng
七难,qi'nan
七善,qi'shan
七善法,qi'shan'fa
七善律仪,qi'shan'lv'yi
七善士趣,qi'shan'shi'qu
七圣,qi'sheng
七胜事,qi'sheng'shi
器世间,qi'shi'jian
七十五法,qi'shi'wu'fa
七识住,qi'shi'zhu
七贤,qi'xian
起行,qi'xing
七有,qi'you
七喻,qi'yu
七真如,qi'zhen'ru
七众,qi'zhong
七种净,qi'zhong'jing
七种立题,qi'zhong'li'ti
七种人,qi'zhong'ren
七种生死,qi'zhong'sheng'si
七转第八互为因果,qi'zhuan'di'ba'hu'wei'yin'guo
七转识,qi'zhuan'shi
轻安,qing'an
穷生死蕴,qiong'sheng'si'yun
求不得苦,qiu'bu'de'ku
取,qu
取蕴,qu'yun
权实,quan'shi
染法,ran'fa
染净二法,ran'jing'er'fa
染污,ran'wu
染污无知,ran'wu'wu'zhi
染心,ran'xin
忍,ren
人间,ren'jian
忍辱,ren'ru
人我法我,ren'wo'fa'wo
日没,ri'mei
日中,ri'zhong
肉髻相,rou'ji'xiang
肉身不坏,rou'shen'bu'huai
入不二法门,ru'bu'er'fa'men
入定,ru'ding
如来藏,ru'lai'cang
如来十恩,ru'lai'shi'en
如实观,ru'shi'guan
入我我入,ru'wo'wo'ru
如意通,ru'yi'tong
入藏,ru'zang
萨埵,sa'duo
萨迦耶见,sa'jia'ye'jian
萨婆若,sa'po'ruo
三宝,san'bao
三部,san'bu
三车四车,san'che'si'che
三乘,san'cheng
三乘方便,san'cheng'fang'bian
三祇百劫,san'chi'bai'jie
三大,san'da
三大祕法,san'da'mi'fa
三道宝阶,san'dao'bao'jie
三德,san'de
三谛,san'di
三毒,san'du
三法印,san'fa'yin
三分科经,san'fen'ke'jing
三福,san'fu
三纲,san'gang
三根,san'gen
三钴钩,san'gu'gou
三观,san'guan
三关,san'guan
三归依,san'gui'yi
三慧,san'hui
三际时,san'ji'shi
三界,san'jie
三结,san'jie
三解脱门,san'jie'tuo'men
三界唯心,san'jie'wei'xin
三科,san'ke
三科拣境,san'ke'jian'jing
三类境,san'lei'jing
三漏,san'lou
散乱,san'luan
三轮身,san'lun'shen
三轮体空,san'lun'ti'kong
三昧耶曼荼罗,san'mei'ye'man'tu'luo
三昧耶形,san'mei'ye'xing
三密,san'mi
三祕密身,san'mi'mi'shen
三明,san'ming
三能变,san'neng'bian
三菩提,san'pu'ti
三千大千世界,san'qian'da'qian'shi'jie
三三昧耶,san'san'mei'ye
三身,san'shen
三身成道,san'shen'cheng'dao
三生成佛,san'sheng'cheng'fo
三识,san'shi
三世,san'shi
三时,san'shi
三士道,san'shi'dao
三十二相,san'shi'er'xiang
三时教,san'shi'jiao
三师七证,san'shi'qi'zheng
三世实有,san'shi'shi'you
三世因果,san'shi'yin'guo
三世诸佛,san'shi'zhu'fo
三土,san'tu
三涂,san'tu
三途河,san'tu'he
三无性,san'wu'xing
三细六粗,san'xi'liu'cu
三贤十圣,san'xian'shi'sheng
三性,san'xing
三性对望中道,san'xing'dui'wang'zhong'dao
三学,san'xue
三验,san'yan
三业,san'ye
三有,san'you
三灾,san'zai
三斋,san'zhai
三障,san'zhang
三智,san'zhi
三转读文,san'zhuan'du'wen
三转法轮,san'zhuan'fa'lun
三转十二行相,san'zhuan'shi'er'xing'xiang
色,se
色即是空,se'ji'shi'kong
色界,se'jie
色具三千,se'ju'san'qian
色量,se'liang
色身,se'shen
色蕴,se'yun
善,shan
善根,shan'gen
善见城,shan'jian'cheng
善巧方便,shan'qiao'fang'bian
山王曼荼罗,shan'wang'man'tu'luo
上求下化,shang'qiu'xia'hua
上座,shang'zuo
少善根,shao'shan'gen
少欲知足,shao'yu'zhi'zu
舍,she
舌根,she'gen
摄取,she'qu
舍身,she'shen
身根,shen'gen
甚深观,shen'shen'guan
身识,shen'shi
神通,shen'tong
身业,shen'ye
生,sheng
声尘得道,sheng'chen'de'dao
生得,sheng'de
生得善,sheng'de'shan
生佛一如,sheng'fo'yi'ru
生即无生,sheng'ji'wu'sheng
圣教量,sheng'jiao'liang
胜解,sheng'jie
生灭,sheng'mie
生灭门,sheng'mie'men
生死,sheng'si
生死即涅槃,sheng'si'ji'nie'pan
生天,sheng'tian
声闻,sheng'wen
生相,sheng'xiang
胜义,sheng'yi
陞座,sheng'zuo
识,shi
师,shi
十八不共法,shi'ba'bu'gong'fa
十八界,shi'ba'jie
十八空,shi'ba'kong
十八神变,shi'ba'shen'bian
十八意近行,shi'ba'yi'jin'xing
十八有学,shi'ba'you'xue
十八圆满,shi'ba'yuan'man
十遍处,shi'bian'chu
十波罗蜜,shi'bo'luo'mi
十不二门,shi'bu'er'men
十乘观法,shi'cheng'guan'fa
十重唯识,shi'chong'wei'shi
十大愿,shi'da'yuan
示导,shi'dao
十地,shi'di
师弟,shi'di
十地寄报,shi'di'ji'bao
十二处,shi'er'chu
十二分教,shi'er'fen'jiao
十二宫,shi'er'gong
十二类生,shi'er'lei'sheng
十二头陀行,shi'er'tou'tuo'xing
十二缘起,shi'er'yuan'qi
十法行,shi'fa'xing
十佛名,shi'fo'ming
十行,shi'hang
师号,shi'hao
十回向,shi'hui'xiang
世间,shi'jian
示教利喜,shi'jiao'li'xi
世界,shi'jie
十界,shi'jie
世界海,shi'jie'hai
十界互具,shi'jie'hu'ju
时解脱,shi'jie'tuo
始觉,shi'jue
十力,shi'li
十六观,shi'liu'guan
十六行相,shi'liu'xing'xiang
十明,shi'ming
失念,shi'nian
十念业成,shi'nian'ye'cheng
石女,shi'nv
十如是,shi'ru'shi
十善,shi'shan
十身,shi'shen
十胜行,shi'sheng'xing
十世,shi'shi
十师,shi'shi
十事非法,shi'shi'fei'fa
十四变化心,shi'si'bian'hua'xin
十四无记,shi'si'wu'ji
世俗,shi'su
十无尽藏,shi'wu'jin'cang
施无畏,shi'wu'wei
十五尊,shi'wu'zun
事相,shi'xiang
实相,shi'xiang
十信,shi'xin
十玄,shi'xuan
十业道,shi'ye'dao
十喻观,shi'yu'guan
誓愿,shi'yuan
十圆满,shi'yuan'man
十住,shi'zhu
十住心,shi'zhu'xin
师子吼,shi'zi'hou
受,shou
授记,shou'ji
寿量,shou'liang
受体,shou'ti
受用身,shou'yong'shen
受用土,shou'yong'tu
顺三分善,shun'san'fen'shan
顺缘,shun'yuan
说通,shuo'tong
思,si
死,si
四安乐行,si'an'le'xing
四百四病,si'bai'si'bing
四不定,si'bu'ding
四不思议,si'bu'si'yi
四尘,si'chen
四乘观智,si'cheng'guan'zhi
四重出体,si'chong'chu'ti
四重二谛,si'chong'er'di
四大,si'da
四道,si'dao
四德,si'de
四谛,si'di
四轭,si'e
四恶道,si'e'dao
四恩,si'en
嗣法,si'fa
四法界,si'fa'jie
四法三愿,si'fa'san'yuan
四分,si'fen
四箇格言,si'ge'ge'yan
四弘誓愿,si'hong'shi'yuan
四欢喜,si'huan'xi
四记答,si'ji'da
四见,si'jian
四教,si'jiao
四教四门,si'jiao'si'men
四劫,si'jie
四句百非,si'ju'bai'fei
四句分别,si'ju'fen'bie
死苦,si'ku
四料简,si'liao'jian
四曼相大,si'man'xiang'da
四曼相即,si'man'xiang'ji
四魔,si'mo
四难,si'nan
四取,si'qu
四如实智,si'ru'shi'zhi
四沙门果,si'sha'men'guo
四善根位,si'shan'gen'wei
四摄法,si'she'fa
四神足,si'shen'zu
四圣,si'sheng
四生,si'sheng
四生百劫,si'sheng'bai'jie
四圣种,si'sheng'zhong
四食,si'shi
四十八愿,si'shi'ba'yuan
四誓偈,si'shi'ji
四识住,si'shi'zhu
四通行,si'tong'xing
四威仪,si'wei'yi
四无碍辩,si'wu'ai'bian
四无量心,si'wu'liang'xin
四无所畏,si'wu'suo'wei
四悉檀,si'xi'tan
四相,si'xiang
四向四果,si'xiang'si'guo
四寻思,si'xun'si
四依,si'yi
四依法,si'yi'fa
四意趣,si'yi'qu
四印,si'yin
四有,si'you
四有为相,si'you'wei'xiang
四缘,si'yuan
四证净,si'zheng'jing
四正勤,si'zheng'qin
四智,si'zhi
四种怛特罗,si'zhong'da'te'luo
四种法,si'zhong'fa
四种华严,si'zhong'hua'yan
