岸标立标,an'biao'li'biao
暗礁,an'jiao
暗沙,an'sha
岸滩,an'tan
暗滩,an'tan
敖包经堆,ao'bao'jing'dui
白板地,bai'ban'di
半荒草地,ban'huang'cao'di
宝塔经塔,bao'ta'jing'ta
北回归线,bei'hui'gui'xian
北回归线标志塔,bei'hui'gui'xian'biao'zhi'ta
贝类养殖滩,bei'lei'yang'zhi'tan
碑像坊楼亭,bei'xiang'fang'lou'ting
比高点,bi'gao'dian
变电设备,bian'dian'she'bei
变电站所,bian'dian'zhan'suo
标准轨铁路,biao'zhun'gui'tie'lu
殡葬场所,bin'zang'chang'suo
殡葬设施,bin'zang'she'shi
冰川,bing'chuan
冰陡崖,bing'dou'ya
冰裂缝,bing'lie'feng
冰碛,bing'qi
冰塔,bing'ta
不能通行沼泽湿地,bu'neng'tong'xing'zhao'ze'shi'di
菜地,cai'di
彩门牌坊牌楼,cai'men'pai'fang'pai'lou
残丘地,can'qiu'di
草地,cao'di
草绘等高线,cao'hui'deng'gao'xian
草绘计曲线,cao'hui'ji'qu'xian
草绘首曲线,cao'hui'shou'qu'xian
厕所,ce'suo
长途汽车站,chang'tu'qi'che'zhan
潮水沟,chao'shui'gou
潮汐流向,chao'xi'liu'xiang
车挡,che'dang
车行桥,che'hang'qiao
车站及附属设施,che'zhan'ji'fu'shu'she'shi
城际公路,cheng'ji'gong'lu
乘降所,cheng'jiang'suo
成林,cheng'lin
城墙长城,cheng'qiang'chang'cheng
城市道路,cheng'shi'dao'lu
城市道路面,cheng'shi'dao'lu'mian
城市绿地,cheng'shi'lv'di
城市绿化带,cheng'shi'lv'hua'dai
城镇村庄,cheng'zhen'cun'zhuang
池塘,chi'tang
冲沟,chong'gou
船码头,chuan'ma'tou
传送带,chuan'song'dai
船闸,chuan'zha
船闸边线,chuan'zha'bian'xian
次干道,ci'gan'dao
丛草滩,cong'cao'tan
村道大路机耕路,cun'dao'da'lu'ji'geng'lu
大地原点,da'di'yuan'dian
打谷场,da'gu'chang
单线标准轨,dan'xian'biao'zhun'gui
单线窄轨,dan'xian'zhai'gui
单幢房屋普通房屋,dan'zhuang'fang'wu'pu'tong'fang'wu
当地平均海水面,dang'di'ping'jun'hai'shui'mian
倒虹吸,dao'hong'xi
道路构造物及附属设施,dao'lu'gou'zao'wu'ji'fu'shu'she'shi
稻田,dao'tian
灯船,deng'chuan
等高线,deng'gao'xian
等深线,deng'shen'xian
灯塔,deng'ta
灯桩,deng'zhuang
堤坝坡底线,di'ba'po'di'xian
地级行政区,di'ji'xing'zheng'qu
地级政府,di'ji'zheng'fu
地貌坡底线,di'mao'po'di'xian
地面干渠,di'mian'gan'qu
地面河流,di'mian'he'liu
地面窑洞,di'mian'yao'dong
地面支渠,di'mian'zhi'qu
地热井,di're'jing
地上,di'shang
地上管道,di'shang'guan'dao
地铁,di'tie
地铁站,di'tie'zhan
地下,di'xia
地下管道,di'xia'guan'dao
地下管道出入口,di'xia'guan'dao'chu'ru'kou
地下河段,di'xia'he'duan
地下河段出入口,di'xia'he'duan'chu'ru'kou
地下建筑物,di'xia'jian'zhu'wu
地下建筑物出入口,di'xia'jian'zhu'wu'chu'ru'kou
地下窑洞,di'xia'yao'dong
地震纪念遗址,di'zhen'ji'nian'yi'zhi
地震台,di'zhen'tai
地震堰塞湖,di'zhen'yan'se'hu
地质勘探设施,di'zhi'kan'tan'she'shi
地质灾害地貌,di'zhi'zai'hai'di'mao
电力线入地口,dian'li'xian'ru'di'kou
电视发射塔,dian'shi'fa'she'ta
电线塔铁塔,dian'xian'ta'tie'ta
电影院,dian'ying'yuan
碉楼,diao'lou
动物园,dong'wu'yuan
陡石山,dou'shi'shan
陡石山露岩地,dou'shi'shan'lu'yan'di
陡崖坎岸,dou'ya'kan'an
渡口,du'kou
独立大坟,du'li'da'fen
独立石,du'li'shi
独立树,du'li'shu
独立树丛,du'li'shu'cong
独立天文点,du'li'tian'wen'dian
端点转折点支架,duan'dian'zhuan'zhe'dian'zhi'jia
堆式窑,dui'shi'yao
发电厂站,fa'dian'chang'zhan
防波堤,fang'bo'di
防风固沙草方格,fang'feng'gu'sha'cao'fang'ge
防风固沙石方格,fang'feng'gu'sha'shi'fang'ge
防风墙,fang'feng'qiang
防火带,fang'huo'dai
放空火炬,fang'kong'huo'ju
飞机场,fei'ji'chang
废弃矿井,fei'qi'kuang'jing
废弃水库,fei'qi'shui'ku
废墟房屋,fei'xu'fang'wu
烽火台,feng'huo'tai
风磨房风车,feng'mo'fang'feng'che
峰柱,feng'zhu
浮标,fu'biao
浮船坞,fu'chuan'wu
浮码头,fu'ma'tou
附属设施,fu'shu'she'shi
服务区,fu'wu'qu
服务设施,fu'wu'she'shi
复线标准轨,fu'xian'biao'zhun'gui
复线窄轨,fu'xian'zhai'gui
负向等高线,fu'xiang'deng'gao'xian
干出高度点,gan'chu'gao'du'dian
干出礁,gan'chu'jiao
干出滩中河道,gan'chu'tan'zhong'he'dao
干出线,gan'chu'xian
干船坞,gan'chuan'wu
干堤,gan'di
干沟,gan'gou
干涸湖干涸水库干涸池塘,gan'he'hu'gan'he'shui'ku'gan'he'chi'tang
岗亭岗楼,gang'ting'gang'lou
高草地,gao'cao'di
高层房屋,gao'ceng'fang'wu
高程点,gao'cheng'dian
高程注记点,gao'cheng'zhu'ji'dian
高尔夫球场,gao'er'fu'qiu'chang
高水位岸线,gao'shui'wei'an'xian
高速公路,gao'su'gong'lu
高速路出口,gao'su'lu'chu'kou
高速路入口,gao'su'lu'ru'kou
高速铁路,gao'su'tie'lu
高压输电线,gao'ya'shu'dian'xian
高于地面干渠,gao'yu'di'mian'gan'qu
高于地面支渠,gao'yu'di'mian'zhi'qu
公共传媒与通信,gong'gong'chuan'mei'yu'tong'xin
公共服务及设施,gong'gong'fu'wu'ji'she'shi
工矿及其设施,gong'kuang'ji'qi'she'shi
工矿企业,gong'kuang'qi'ye
公路标志,gong'lu'biao'zhi
公路控制点,gong'lu'kong'zhi'dian
公路桥,gong'lu'qiao
工业塔形塔类建筑,gong'ye'ta'xing'ta'lei'jian'zhu
公园,gong'yuan
沟壑,gou'he
沟渠流向,gou'qu'liu'xiang
固定堤坝码头,gu'ding'di'ba'ma'tou
固定顺岸码头,gu'ding'shun'an'ma'tou
古迹遗址,gu'ji'yi'zhi
灌丛沙堆,guan'cong'sha'dui
管道井油气,guan'dao'jing'you'qi
