阿帕奇,a'pa'qi
按俯仰,an'fu'yang
按航程分为,an'hang'cheng'fen'wei
按计划交付,an'ji'hua'jiao'fu
安排得,an'pai'de
安全飞抵,an'quan'fei'di
安全环境,an'quan'huan'jing
按要求,an'yao'qiu
按载弹量分,an'zai'dan'liang'fen
按重量,an'zhong'liang
安装的,an'zhuang'de
安装空间,an'zhuang'kong'jian
安装了,an'zhuang'le
昂贵战机,ang'gui'zhan'ji
奥巴马政府,ao'ba'ma'zheng'fu
凹面,ao'mian
巴基斯坦空军,ba'ji'si'tan'kong'jun
巴里,ba'li
巴黎航展,ba'li'hang'zhan
班加罗尔,ban'jia'luo'er
包含了,bao'han'le
宝石柱,bao'shi'zhu
报务员,bao'wu'yuan
被称为,bei'cheng'wei
被定位为,bei'ding'wei'wei
被集成,bei'ji'cheng
被截获,bei'jie'huo
被视为,bei'shi'wei
背有,bei'you
北约组织,bei'yue'zu'zhi
彼此隔开,bi'ci'ge'kai
比较典型的,bi'jiao'dian'xing'de
比斯利,bi'si'li
必须具有,bi'xu'ju'you
扁平座舱盖,bian'ping'zuo'cang'gai
边条翼,bian'tiao'yi
便于保持,bian'yu'bao'chi
别列兹尼基,bie'lie'zi'ni'ji
滨田靖一,bin'tian'jing'yi
并打击,bing'da'ji
并未考虑,bing'wei'kao'lv
波音公司,bo'yin'gong'si
波音公司的,bo'yin'gong'si'de
不断高涨,bu'duan'gao'zhang
不发射,bu'fa'she
部分燃油,bu'fen'ran'you
不会改变,bu'hui'gai'bian
不会影响,bu'hui'ying'xiang
布局形式,bu'ju'xing'shi
不可调节的,bu'ke'tiao'jie'de
不空中加油,bu'kong'zhong'jia'you
不同厚度的,bu'tong'hou'du'de
不需要使用,bu'xu'yao'shi'yong
不易分离,bu'yi'fen'li
布置有,bu'zhi'you
布置在,bu'zhi'zai
采购法,cai'gou'fa
采购了,cai'gou'le
采购数量,cai'gou'shu'liang
采购项目,cai'gou'xiang'mu
彩色数字式,cai'se'shu'zi'shi
彩色数字式触摸式液晶显示器,cai'se'shu'zi'shi'chu'mo'shi'ye'jing'xian'shi'qi
采用的,cai'yong'de
采用隐身技术,cai'yong'yin'shen'ji'shu
参加竞标的,can'jia'jing'biao'de
参与测试,can'yu'ce'shi
操纵杆,cao'zong'gan
操纵投放,cao'zong'tou'fang
侧面支撑点,ce'mian'zhi'cheng'dian
测试分为,ce'shi'fen'wei
测试机,ce'shi'ji
测试模式,ce'shi'mo'shi
侧卫,ce'wei
产生障碍,chan'sheng'zhang'ai
长弓,chang'gong
长弓阿帕奇,chang'gong'a'pa'qi
常规布局,chang'gui'bu'ju
常规气动布局,chang'gui'qi'dong'bu'ju
常规起降舰载型,chang'gui'qi'jiang'jian'zai'xing
常规型,chang'gui'xing
长期的,chang'qi'de
长时间巡航,chang'shi'jian'xun'hang
超高频,chao'gao'pin
超高频率范围,chao'gao'pin'lv'fan'wei
超黄蜂,chao'huang'feng
超级大黄蜂,chao'ji'da'huang'feng
超视距作战,chao'shi'ju'zuo'zhan
朝外倾斜,chao'wai'qing'xie
朝鲜核试验,chao'xian'he'shi'yan
超音速巡航,chao'yin'su'xun'hang
超音速巡航飞行,chao'yin'su'xun'hang'fei'xing
超音速巡航能力,chao'yin'su'xun'hang'neng'li
超越了,chao'yue'le
沉积到,chen'ji'dao
承担的工作,cheng'dan'de'gong'zuo
成功首飞,cheng'gong'shou'fei
成为了,cheng'wei'le
呈现出,cheng'xian'chu
尺寸可调,chi'cun'ke'tiao
持续一年,chi'xu'yi'nian
斥资最多,chi'zi'zui'duo
重新启动,chong'xin'qi'dong
出厂价格,chu'chang'jia'ge
出口市场,chu'kou'shi'chang
除了提供,chu'le'ti'gong
触摸式平板显示器,chu'mo'shi'ping'ban'xian'shi'qi
触摸式显示器,chu'mo'shi'xian'shi'qi
触摸式显示器技术,chu'mo'shi'xian'shi'qi'ji'shu
触摸式显示器控制技术,chu'mo'shi'xian'shi'qi'kong'zhi'ji'shu
触摸式液晶多功能显示器,chu'mo'shi'ye'jing'duo'gong'neng'xian'shi'qi
触摸式液晶显示器,chu'mo'shi'ye'jing'xian'shi'qi
初始工程,chu'shi'gong'cheng
出现故障,chu'xian'gu'zhang
传动轴,chuan'dong'zhou
传统战斗机,chuan'tong'zhan'dou'ji
垂尾,chui'wei
垂尾顶,chui'wei'ding
垂尾内,chui'wei'nei
垂直面,chui'zhi'mian
垂直起飞,chui'zhi'qi'fei
垂直起降功能,chui'zhi'qi'jiang'gong'neng
垂直起降型,chui'zhi'qi'jiang'xing
垂直尾翼,chui'zhi'wei'yi
此次升级,ci'ci'sheng'ji
磁性水雷,ci'xing'shui'lei
从不采用,cong'bu'cai'yong
从空中,cong'kong'zhong
从美国,cong'mei'guo
从中可以,cong'zhong'ke'yi
摧毁威力,cui'hui'wei'li
大订单,da'ding'dan
大幅度改进的,da'fu'du'gai'jin'de
大功率,da'gong'lv
大黄蜂战斗机,da'huang'feng'zhan'dou'ji
打击手段,da'ji'shou'duan
大家公认,da'jia'gong'ren
大力生产,da'li'sheng'chan
大量的,da'liang'de
大量降低,da'liang'jiang'di
大量使用,da'liang'shi'yong
大批服役,da'pi'fu'yi
大批量飞机,da'pi'liang'fei'ji
大趋势,da'qu'shi
打算采购,da'suan'cai'gou
大型发电机,da'xing'fa'dian'ji
大型武器采购计划,da'xing'wu'qi'cai'gou'ji'hua
大型运输机,da'xing'yun'shu'ji
大迎角下,da'ying'jiao'xia
大迎角性能,da'ying'jiao'xing'neng
大展弦比的,da'zhan'xian'bi'de
带电子扫描的,dai'dian'zi'sao'miao'de
带副油箱,dai'fu'you'xiang
带尾翼的,dai'wei'yi'de
弹仓内,dan'cang'nei
单发,dan'fa
单发型多用途战斗机,dan'fa'xing'duo'yong'tu'zhan'dou'ji
单发战斗机,dan'fa'zhan'dou'ji
单块式减速板,dan'kuai'shi'jian'su'ban
单轮,dan'lun
单旋翼直升机,dan'xuan'yi'zhi'sheng'ji
单一化,dan'yi'hua
