阿飞,a'fei
中心斩首术,zhong'xin'zhan'shou'shu
咒印,zhou'yin
咒印术,zhou'yin'shu
朱雀,zhu'que
转寝小春,zhuan'qin'xiao'chun
转生仪式,zhuan'sheng'yi'shi
追牙术,zhui'ya'shu
追牙之术,zhui'ya'zhi'shu
自爆分身,zi'bao'fen'shen
自来也,zi'lai'ye
自然能源,zi'ran'neng'yuan
自杀斩首之术,zi'sha'zhan'shou'zhi'shu
自我爆炸,zi'wo'bao'zha
左近,zuo'jin
佐井,zuo'jing
