唉怪,ai'guai
粑粑,ba'ba
坝口街,ba'kou'jie
把里攥,ba'li'zuan
八铺街,ba'pu'jie
白搭,bai'da
白逗了,bai'dou'le
百花公园,bai'hua'gong'yuan
摆坏,bai'huai
败坏,bai'huai
摆柳,bai'liu
白乱了,bai'luan'le
白荦荦了,bai'luo'luo'le
白衣堂,bai'yi'tang
半截阁,ban'jie'ge
办瞎了,ban'xia'le
北北地,bei'bei'di
北菜市,bei'cai'shi
倍儿倍儿地耶,bei'er'bei'er'di'ye
悲苦,bei'ku
崩嘚,beng'de
崩高兴,beng'gao'xing
崩好,beng'hao
甏肉,beng'rou
崩是味,beng'shi'wei
鼻个巴,bi'ge'ba
鼻个渣,bi'ge'zha
碧水云天,bi'shui'yun'tian
扁担街,bian'dan'jie
憋了气,bie'le'qi
博古庄,bo'gu'zhuang
薄拉里,bo'la'li
脖了梗,bo'le'geng
玻璃碴子,bo'li'cha'zi
不大里,bu'da'li
不迭里,bu'die'li
不跟,bu'gen
不咯,bu'lo
不孬,bu'nao
不庆里,bu'qing'li
不瓤,bu'rang
不胜,bu'sheng
卜土,bu'tu
猜革,cai'ge
才摸,cai'mo
财神阁,cai'shen'ge
参撵,can'nian
草桥口,cao'qiao'kou
柴禾市,chai'he'shi
敞亮,chang'liang
常青路,chang'qing'lu
扯绝,che'jue
车站东路,che'zhan'dong'lu
车站西路,che'zhan'xi'lu
吃喽花,chi'lou'hua
哧篓花,chi'lou'hua
吃毛,chi'mao
吃么糊,chi'me'hu
崇文大道,chong'wen'da'dao
崇文名都,chong'wen'ming'du
炊子,chui'zi
戳以子,chuo'yi'zi
呲毛乎,ci'mao'hu
刺挠,ci'nao
搓椅子,cuo'yi'zi
大悲庵,da'bei'an
大大,da'da
打等子,da'deng'zi
大胡,da'hu
大运河,da'yun'he
大闸口,da'zha'kou
待街上,dai'jie'shang
歹来歹,dai'lai'dai
待哪里,dai'na'li
袋水儿,dai'shui'er
岱庄,dai'zhuang
单位依儿哩,dan'wei'yi'er'li
单文儿云儿地,dan'wen'er'yun'er'di
当街杭,dang'jie'hang
刀菜,dao'cai
刀螂,dao'lang
的慌,de'huang
得无依儿哩,de'wu'yi'er'li
低被着点,di'bei'zhe'dian
地蛋,di'dan
递递儿,di'di'er
提溜,di'liu
滴溜,di'liu
跌了,die'le
东门,dong'men
都市春天,du'shi'chun'tian
多咱,duo'zan
恶样哩慌,e'yang'li'huang
恶样人,e'yang'ren
恶洋人,e'yang'ren
恶影人,e'ying'ren
儿的也,er'de'ye
儿地波,er'di'bo
儿地不,er'di'bu
儿地也,er'di'ye
耳穗,er'sui
二胰子,er'yi'zi
儿子里不,er'zi'li'bu
粉莲街,fen'lian'jie
府河,fu'he
阜桥,fu'qiao
阜桥口,fu'qiao'kou
附院,fu'yuan
胳扶肘子,ge'fu'zhou'zi
各了拜子,ge'le'bai'zi
搁了拜子,ge'le'bai'zi
个了绷子,ge'le'beng'zi
各乐芝,ge'le'zhi
格勒枝,ge'le'zhi
割气,ge'qi
咯躁,ge'zao
跟脚,gen'jiao
哏筋,gen'jin
够级,gou'ji
鼓捣,gu'dao
估蹲,gu'dun
古楷园,gu'kai'yuan
顾拥,gu'yong
怪恶,guai'e
怪恶来,guai'e'lai
怪好,guai'hao
怪是味,guai'shi'wei
怪喜人,guai'xi'ren
冠亚星城,guan'ya'xing'cheng
洸河路,guang'he'lu
憨巴子,han'ba'zi
憨博子,han'bo'zi
汉石桥,han'shi'qiao
憨熊,han'xiong
好着哩,hao'zhe'li
喝豆腐汤,he'dou'fu'tang
核桃园,he'tao'yuan
河晏门,he'yan'men
哄晌,hong'shang
晎晌,hong'shang
侯咸,hou'xian
齁咸,hou'xian
糊篓子,hu'lou'zi
胡啰啰,hu'luo'luo
糊涂汤,hu'tu'tang
浣笔泉,huan'bi'quan
黄营,huang'ying
伙家,huo'jia
霍家街,huo'jia'jie
火炬路,huo'ju'lu
火烧,huo'shao
和稀泥,huo'xi'ni
济安桥,ji'an'qiao
几介盖子,ji'jie'gai'zi
脊娘,ji'niang
挤上眼,ji'shang'yan
吉市口,ji'shi'kou
甲鱼头,jia'yu'tou
蒋林,jiang'lin
蒋林小区,jiang'lin'xiao'qu
姜楼,jiang'lou
江南春,jiang'nan'chun
脚把丫子,jiao'ba'ya'zi
角个劳,jiao'ge'lao
脚和拉子,jiao'he'la'zi
接己,jie'ji
节了龟,jie'le'gui
界溜子,jie'liu'zi
金宝迪,jin'bao'di
金茂大厦,jin'mao'da'sha
金宇路,jin'yu'lu
金宇装饰城,jin'yu'zhuang'shi'cheng
经纬大厦,jing'wei'da'sha
炯子,jiong'zi
揪地,jiu'di
九巨龙,jiu'ju'long
