把矛头直指,ba'mao'tou'zhi'zhi
保守势力,bao'shou'shi'li
饱受战祸,bao'shou'zhan'huo
北撤,bei'che
北方的,bei'fang'de
被封王,bei'feng'wang
北府,bei'fu
北府兵将,bei'fu'bing'jiang
北府旧人,bei'fu'jiu'ren
北汉,bei'han
被后世称之为,bei'hou'shi'cheng'zhi'wei
杯酒释兵权,bei'jiu'shi'bing'quan
被看作,bei'kan'zuo
北灭,bei'mie
北宋的统治,bei'song'de'tong'zhi
北宋官吏,bei'song'guan'li
北宋军队,bei'song'jun'dui
北宋前期王小波,bei'song'qian'qi'wang'xiao'bo
北宋王朝,bei'song'wang'chao
北宋与辽长期的战争,bei'song'yu'liao'chang'qi'de'zhan'zheng
北宋与南宋,bei'song'yu'nan'song
北魏,bei'wei
北魏为界,bei'wei'wei'jie
北魏已,bei'wei'yi
被疑忌的,bei'yi'ji'de
北以秦岭,bei'yi'qin'ling
比较安定,bi'jiao'an'ding
便开始了,bian'kai'shi'le
兵分两路,bing'fen'liang'lu
兵分两路南侵,bing'fen'liang'lu'nan'qin
不利局势,bu'li'ju'shi
不再成为,bu'zai'cheng'wei
逋租宿债,bu'zu'su'zhai
曾多次与,ceng'duo'ci'yu
澶渊之盟,chan'yuan'zhi'meng
长王临藩素族,chang'wang'lin'fan'su'zu
抄掠无所获,chao'lue'wu'suo'huo
朝时,chao'shi
彻底废除了,che'di'fei'chu'le
陈桥兵变,chen'qiao'bing'bian
成立小朝廷,cheng'li'xiao'chao'ting
重建宋朝,chong'jian'song'chao
楚成王终春秋之世,chu'cheng'wang'zhong'chun'qiu'zhi'shi
出任方镇,chu'ren'fang'zhen
出镇,chu'zhen
春秋后期,chun'qiu'hou'qi
春秋时,chun'qiu'shi
此时正是,ci'shi'zheng'shi
从此掌握,cong'ci'zhang'wo
从中出现了,cong'zhong'chu'xian'le
篡晋,cuan'jin
大臣争权,da'chen'zheng'quan
大举出兵,da'ju'chu'bing
大举出兵侵宋,da'ju'chu'bing'qin'song
大片土地,da'pian'tu'di
打破常例,da'po'chang'li
大散关,da'san'guan
大为削弱,da'wei'xue'ruo
代晋称帝,dai'jin'cheng'di
但一直,dan'yi'zhi
但一直未能,dan'yi'zhi'wei'neng
当时实行,dang'shi'shi'xing
的北宋,de'bei'song
的兵权,de'bing'quan
的剥削,de'bo'xue
的措施,de'cuo'shi
得到了壮大,de'dao'le'zhuang'da
的弟弟,de'di'di
的典范,de'dian'fan
的发起国,de'fa'qi'guo
的方式,de'fang'shi
的腐败,de'fu'bai
的积弊,de'ji'bi
的基础上,de'ji'chu'shang
的建立,de'jian'li
的境遇,de'jing'yu
的时期,de'shi'qi
的统治,de'tong'zhi
的统治权,de'tong'zhi'quan
的土族,de'tu'zu
的王朝,de'wang'chao
的无能,de'wu'neng
的协议,de'xie'yi
的政策,de'zheng'ce
的政权,de'zheng'quan
的指挥,de'zhi'hui
的罪名,de'zui'ming
等大国,deng'da'guo
等割据势力,deng'ge'ju'shi'li
等国的,deng'guo'de
等人的,deng'ren'de
等人连续,deng'ren'lian'xu
等忠臣使得金兵,deng'zhong'chen'shi'de'jin'bing
等众多,deng'zhong'duo
等重镇,deng'zhong'zhen
地方官为了,di'fang'guan'wei'le
地方军政的,di'fang'jun'zheng'de
第三子,di'san'zi
第一个王朝,di'yi'ge'wang'chao
典签,dian'qian
殿试,dian'shi
定下了,ding'xia'le
东和东南,dong'he'dong'nan
东晋,dong'jin
东晋南朝,dong'jin'nan'chao
东路大军斡不离,dong'lu'da'jun'wo'bu'li
东南半壁江山,dong'nan'ban'bi'jiang'shan
东破齐西胜魏,dong'po'qi'xi'sheng'wei
东征,dong'zheng
都点检,dou'dian'jian
都建康,dou'jian'kang
都派,dou'pai
都商丘,dou'shang'qiu
短命的王朝,duan'ming'de'wang'chao
端宗,duan'zong
对黄河,dui'huang'he
对军队,dui'jun'dui
对军队的控制,dui'jun'dui'de'kong'zhi
对人民,dui'ren'min
对维持,dui'wei'chi
多由,duo'you
二等强国,er'deng'qiang'guo
二帝,er'di
而灭亡,er'mie'wang
发动了政变,fa'dong'le'zheng'bian
发起国,fa'qi'guo
方腊,fang'la
放弃北方,fang'qi'bei'fang
方镇割据,fang'zhen'ge'ju
废杀,fei'sha
纷纷起兵,fen'fen'qi'bing
纷纷起兵反抗,fen'fen'qi'bing'fan'kang
纷乱的时局逐渐结束,fen'luan'de'shi'ju'zhu'jian'jie'shu
分掌实权,fen'zhang'shi'quan
封建王朝,feng'jian'wang'chao
改元永初,gai'yuan'yong'chu
刚满八岁的,gang'man'ba'sui'de
高氏,gao'shi
高宗,gao'zong
割地赔款,ge'di'pei'kuan
割与,ge'yu
给金国,gei'jin'guo
更加肆无忌惮,geng'jia'si'wu'ji'dan
巩固了政权,gong'gu'le'zheng'quan
共同对辽,gong'tong'dui'liao
共同进攻,gong'tong'jin'gong
攻占南宋,gong'zhan'nan'song
恭宗,gong'zong
故成为,gu'cheng'wei
古代礼制,gu'dai'li'zhi
瓜步,gua'bu
官僚阶级,guan'liao'jie'ji
广大地区,guang'da'de'qu
贵族大臣,gui'zu'da'chen
国号齐史称伪齐,guo'hao'qi'shi'cheng'wei'qi
国号宋,guo'hao'song
国号为元,guo'hao'wei'yuan
国力最强盛,guo'li'zui'qiang'sheng
国势日衰,guo'shi'ri'shuai
过于强大,guo'yu'qiang'da
还采取了,hai'cai'qu'le
寒人,han'ren
韩世忠,han'shi'zhong
和金朝,he'jin'chao
和洛阳,he'luo'yang
和平运动,he'ping'yun'dong
横山,heng'shan
后废帝,hou'fei'di
后晋,hou'jin
后蜀,hou'shu
后宋君偃十一年,hou'song'jun'yan'shi'yi'nian
后周,hou'zhou
护国有功,hu'guo'you'gong
虎牢,hu'lao
滑台,hua'tai
淮河以北,huai'he'yi'bei
换回了,huan'hui'le
桓玄,huan'xuan
黄河岸边,huang'he'an'bian
黄河与,huang'he'yu
皇室内部,huang'shi'nei'bu
皇族以外,huang'zu'yi'wai
恢复农业生产,hui'fu'nong'ye'sheng'chan
徽宗,hui'zong
及大量财物,ji'da'liang'cai'wu
即帝位,ji'di'wei
踦明三年,ji'ming'san'nian
即顺帝,ji'shun'di
击退了,ji'tui'le
即位的,ji'wei'de
继五代十国后,ji'wu'dai'shi'guo'hou
寄希望于,ji'xi'wang'yu
继续大举南侵,ji'xu'da'ju'nan'qin
继续执行,ji'xu'zhi'xing
计资分等纳调,ji'zi'fen'deng'na'tiao
加强对,jia'qiang'dui
坚壁清野,jian'bi'qing'ye
间的,jian'de
坚固的防线,jian'gu'de'fang'xian
建国伊始,jian'guo'yi'shi
建立了,jian'li'le
建立起,jian'li'qi
建立起来的,jian'li'qi'lai'de
建立宋朝,jian'li'song'chao
建立宋国,jian'li'song'guo
奸佞当道,jian'ning'dang'dao
减轻或免除,jian'qing'huo'mian'chu
江淮人民,jiang'huai'ren'min
将皇位,jiang'huang'wei
疆域最大,jiang'yu'zui'da
江州刺史武陵王,jiang'zhou'ci'shi'wu'ling'wang
解除了,jie'chu'le
阶级矛盾十分尖锐,jie'ji'mao'dun'shi'fen'jian'rui
仅次于,jin'ci'yu
进攻建康,jin'gong'jian'kang
金国从,jin'guo'cong
金国又,jin'guo'you
今杭州,jin'hang'zhou
今河南滑县东,jin'he'nan'hua'xian'dong
今河南荥阳,jin'he'nan'xing'yang
今江苏,jin'jiang'su
金军,jin'jun
金灭辽后,jin'mie'liao'hou
金灭亡后,jin'mie'wang'hou
今南京,jin'nan'jing
晋室,jin'shi
今四川,jin'si'chuan
金以宋朝破坏,jin'yi'song'chao'po'huai
今越南,jin'yue'nan
今云南,jin'yun'nan
经济文化日趋繁荣,jing'ji'wen'hua'ri'qu'fan'rong
靖康二年,jing'kang'er'nian
荆湘,jing'xiang
经真宗,jing'zhen'zong
就曾经对,jiu'ceng'jing'dui
就是宋高宗,jiu'shi'song'gao'zong
举兵攻灭,ju'bing'gong'mie
君臣之间,jun'chen'zhi'jian
君权衰弱,jun'quan'shuai'ruo
均以失败而告终,jun'yi'shi'bai'er'gao'zhong
军政实权,jun'zheng'shi'quan
开封撤军,kai'feng'che'jun
开国皇帝,kai'guo'huang'di
开炉铸钱,kai'lu'zhu'qian
开始走向衰亡由于北宋,kai'shi'zou'xiang'shuai'wang'you'yu'bei'song
抗金将领,kang'jin'jiang'ling
抗拒金兵,kang'ju'jin'bing
康王,kang'wang
康王被杀,kang'wang'bei'sha
康王晚年,kang'wang'wan'nian
历朝历代,li'chao'li'dai
李纲,li'gang
立其,li'qi
历史上,li'shi'shang
历史上又称,li'shi'shang'you'cheng
李顺,li'shun
立昱弟,li'yu'di
联合部分,lian'he'bu'fen
两次推行新法,liang'ci'tui'xing'xin'fa
两个幼小的,liang'ge'you'xiao'de
辽国,liao'guo
临安,lin'an
另立,ling'li
刘光世,liu'guang'shi
刘骏,liu'jun
