艾滋病,ai'zi'bing
白斑,bai'ban
白带,bai'dai
白内障,bai'nei'zhang
白内障摘除术,bai'nei'zhang'zhai'chu'shu
白细胞减少,bai'xi'bao'jian'shao
白细胞增多,bai'xi'bao'zeng'duo
白血病,bai'xue'bing
白血病样反应,bai'xue'bing'yang'fan'ying
斑丘疹,ban'qiu'zhen
背部疾病,bei'bu'ji'bing
苯丙酮尿,ben'bing'tong'niao
贲门驰缓不能,ben'men'chi'huan'bu'neng
臂动脉血栓形成,bi'dong'mai'xue'shuan'xing'cheng
闭经,bi'jing
臂静脉血栓形成,bi'jing'mai'xue'shuan'xing'cheng
鼻衄,bi'nv
鼻浅血栓性静脉炎,bi'qian'xue'shuan'xing'jing'mai'yan
臂深血栓性静脉炎,bi'shen'xue'shuan'xing'jing'mai'yan
鼻息肉,bi'xi'rou
臂血栓性静脉炎,bi'xue'shuan'xing'jing'mai'yan
鼻炎,bi'yan
鼻中隔穿孔,bi'zhong'ge'chuan'kong
鼻中隔溃疡,bi'zhong'ge'kui'yang
便秘,bian'mi
变态反应,bian'tai'fan'ying
变态反应加重,bian'tai'fan'ying'jia'zhong
变应性肺泡炎,bian'ying'xing'fei'pao'yan
变应性脉管炎,bian'ying'xing'mai'guan'yan
表皮坏死,biao'pi'huai'si
憋气,bie'qi
病毒感染,bing'du'gan'ran
病理性骨折,bing'li'xing'gu'zhe
并指症,bing'zhi'zheng
玻璃体脱离,bo'li'ti'tuo'li
剥脱性皮炎,bo'tuo'xing'pi'yan
卟啉症,bu'lin'zheng
不耐乳糖,bu'nai'ru'tang
不适,bu'shi
步态异常,bu'tai'yi'chang
补体因子异常,bu'ti'yin'zi'yi'chang
苍白,cang'bai
藏毛囊肿,cang'mao'nang'zhong
产程延长,chan'cheng'yan'chang
产后泌乳减少,chan'hou'mi'ru'jian'shao
产后泌乳增加,chan'hou'mi'ru'zeng'jia
产伤,chan'shang
肠穿孔,chang'chuan'kong
肠动力疾病,chang'dong'li'ji'bing
肠梗阻,chang'geng'zu
肠坏死,chang'huai'si
肠溃疡,chang'kui'yang
肠溃疡穿孔,chang'kui'yang'chuan'kong
肠鸣音异常,chang'ming'yin'yi'chang
肠系膜静脉血栓性静脉炎,chang'xi'mo'jing'mai'xue'shuan'xing'jing'mai'yan
肠系膜栓塞,chang'xi'mo'shuan'sai
肠系膜血管血栓形成,chang'xi'mo'xue'guan'xue'shuan'xing'cheng
肠狭窄,chang'xia'zhai
肠炎,chang'yan
肠炎加重,chang'yan'jia'zhong
潮红,chao'hong
超声心动图异常,chao'sheng'xin'dong'tu'yi'chang
潮式呼吸,chao'shi'hu'xi
撤药性抽搐,che'yao'xing'chou'chu
撤药性出血,che'yao'xing'chu'xie
撤药性头痛,che'yao'xing'tou'tong
撤药性心律失常,che'yao'xing'xin'lv'shi'chang
撤药性综合征,che'yao'xing'zong'he'zheng
痴呆,chi'dai
迟发性运动障碍,chi'fa'xing'yun'dong'zhang'ai
耻骨联合松懈,chi'gu'lian'he'song'xie
驰缓性麻痹,chi'huan'xing'ma'bi
齿周损害,chi'zhou'sun'hai
抽搐,chou'chu
出汗减少,chu'han'jian'shao
出血时间延长,chu'xie'shi'jian'yan'chang
出血性结肠炎,chu'xue'xing'jie'chang'yan
出血性膀胱炎,chu'xue'xing'pang'guang'yan
出血性皮炎,chu'xue'xing'pi'yan
出血性胃炎,chu'xue'xing'wei'yan
喘鸣,chuan'ming
传染性肝炎,chuan'ran'xing'gan'yan
垂体病,chui'ti'bing
垂体功能不全,chui'ti'gong'neng'bu'quan
唇病,chun'bing
唇干,chun'gan
唇溃疡形成,chun'kui'yang'xing'cheng
唇裂,chun'lie
唇炎,chun'yan
雌激素增加,ci'ji'su'zeng'jia
猝死,cu'si
促性腺激素减少,cu'xing'xian'ji'su'jian'shao
促性腺激素增多,cu'xing'xian'ji'su'zeng'duo
卒中出血,cu'zhong'chu'xie
痤疮,cuo'chuang
错觉,cuo'jue
大便变色,da'bian'bian'se
大便急迫性增多,da'bian'ji'po'xing'zeng'duo
大便频率增多,da'bian'pin'lv'zeng'duo
大便失禁,da'bian'shi'jin
大脑病,da'nao'bing
大脑缺血,da'nao'que'xie
大脑血管障碍,da'nao'xue'guan'zhang'ai
大疱性疹,da'pao'xing'zhen
大血管移位,da'xue'guan'yi'wei
大叶性肺炎,da'ye'xing'fei'yan
带状疱疹,dai'zhuang'pao'zhen
蛋白尿,dan'bai'niao
单纯性疱疹,dan'chun'xing'pao'zhen
胆道闭锁,dan'dao'bi'suo
胆道病,dan'dao'bing
胆固醇结晶栓子,dan'gu'chun'jie'jing'shuan'zi
单核细胞白血病,dan'he'xi'bao'bai'xue'bing
单核细胞减少,dan'he'xi'bao'jian'shao
单核细胞增多,dan'he'xi'bao'zeng'duo
胆红素尿,dan'hong'su'niao
胆红素血症,dan'hong'su'xue'zheng
胆红素血症加重,dan'hong'su'xue'zheng'jia'zhong
胆碱能综合征,dan'jian'neng'zong'he'zheng
胆碱酯酶减少,dan'jian'zhi'mei'jian'shao
胆碱酯酶增加,dan'jian'zhi'mei'zeng'jia
淡漠,dan'mo
胆囊病,dan'nang'bing
胆囊痛,dan'nang'tong
