靶器官,ba'qi'guan
瓣膜听诊区,ban'mo'ting'zhen'qu
病情评估及分析如下,bing'qing'ping'gu'ji'fen'xi'ru'xia
不能平卧,bu'neng'ping'wo
侧枝循环,ce'zhi'xun'huan
察布查尔,cha'bu'cha'er
长间期,chang'jian'qi
陈云国,chen'yun'guo
次全闭塞,ci'quan'bi'se
导丝,dao'si
第一心音强弱不等,di'yi'xin'yin'qiang'ruo'bu'deng
窦性停搏,dou'xing'ting'bo
短暂性脑缺血,duan'zan'xing'nao'que'xie
短阵,duan'zhen
对角支,dui'jiao'zhi
钝缘支,dun'yuan'zhi
二尖瓣反流,er'jian'ban'fan'liu
房颤,fang'chan
房性心动过速,fang'xing'xin'dong'guo'su
房性早搏,fang'xing'zao'bo
肺部感染,fei'bu'gan'ran
副主任护师,fu'zhu'ren'hu'shi
副主任医师,fu'zhu'ren'yi'shi
肝胆胰脾肾,gan'dan'yi'pi'shen
干体重,gan'ti'zhong
巩留,gong'liu
冠脉造影术,guan'mai'zao'ying'shu
冠状动脉旁路移植术,guan'zhuang'dong'mai'pang'lu'yi'zhi'shu
冠状动脉支架置入,guan'zhuang'dong'mai'zhi'jia'zhi'ru
黑懵,hei'meng
后侧支,hou'ce'zhi
后降支,hou'jiang'zhi
后扩张,hou'kuo'zhang
护士,hu'shi
回旋支,hui'xuan'zhi
霍尔果斯,huo'er'guo'si
继观病情变化,ji'guan'bing'qing'bian'hua
吉丽,ji'li
急性冠脉综合征,ji'xing'guan'mai'zong'he'zheng
急性心肌梗死,ji'xing'xin'ji'geng'si
减轻心肌耗氧量,jian'qing'xin'ji'hao'yang'liang
江燕,jiang'yan
交界性逸搏,jiao'jie'xing'yi'bo
进修医师,jin'xiu'yi'shi
颈动脉彩超,jing'dong'mai'cai'chao
颈动脉粥样硬化,jing'dong'mai'zhou'yang'ying'hua
据病情调整治疗方案,ju'bing'qing'tiao'zheng'zhi'liao'fang'an
抗凝,kang'ning
抗血小板聚积,kang'xue'xiao'ban'ju'ji
可克达拉,ke'ke'da'la
叩背,kou'bei
李德刚,li'de'gang
李战国,li'zhan'guo
刘万宁,liu'wan'ning
刘晓梅,liu'xiao'mei
颅内多普勒,lu'nei'duo'pu'le
轮转医师,lun'zhuan'yi'shi
脉搏短绌,mai'bo'duan'chu
慢性支气管炎,man'xing'zhi'qi'guan'yan
闷胀,men'zhang
尼勒克,ni'le'ke
排痰,pai'tan
潘春良,pan'chun'liang
前降支,qian'jiang'zhi
腔隙性脑梗死,qiang'xi'xing'nao'geng'si
缺氧,que'yang
锐缘支,rui'yuan'zhi
三尖瓣反流,san'jian'ban'fan'liu
射频消融术,she'pin'xiao'rong'shu
肾病综合征,shen'bing'zong'he'zheng
室颤,shi'chan
时风玲,shi'feng'ling
室上性早搏,shi'shang'xing'zao'bo
室速,shi'su
实习医师,shi'xi'yi'shi
室性早搏,shi'xing'zao'bo
栓塞性,shuan'se'xing
双肾及肾血管彩超,shuang'shen'ji'shen'xue'guan'cai'chao
水电解质平衡,shui'dian'jie'zhi'ping'heng
撕裂样,si'lie'yang
四肢多普勒,si'zhi'duo'pu'le
停搏,ting'bo
听诊区,ting'zhen'qu
完全闭塞,wan'quan'bi'se
稳定斑块,wen'ding'ban'kuai
细小结石,xi'xiao'jie'shi
心肌缺血,xin'ji'que'xue
心律绝对不齐,xin'lv'jue'dui'bu'qi
心脏彩超,xin'zang'cai'chao
心脏破裂,xin'zang'po'lie
徐道珍,xu'dao'zhen
压迫样,ya'po'yang
杨晓红,yang'xiao'hong
伊犁哈萨克自治州,yi'li'ha'sa'ke'zi'zhi'zhou
伊宁市,yi'ning'shi
疫区,yi'qu
永久性心脏起搏器,yong'jiu'xing'xin'zang'qi'bo'qi
右冠,you'guan
预防恶性心律失常,yu'fang'e'xing'xin'lv'shi'chang
预防左室重构,yu'fang'zuo'shi'chong'gou
预扩张,yu'kuo'zhang
原发性高血压,yuan'fa'xing'gao'xue'ya
张璐,zhang'lu
胀痛,zhang'tong
张玉娟,zhang'yu'juan
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
指引导管,zhi'yin'dao'guan
主动脉瓣返流,zhu'dong'mai'ban'fan'liu
主动脉瓣钙化,zhu'dong'mai'ban'gai'hua
主管护师,zhu'guan'hu'shi
主任医师,zhu'ren'yi'shi
住院医师,zhu'yuan'yi'shi
主治医师,zhu'zhi'yi'shi
左室后支,zuo'shi'hou'zhi
左室收缩功能减低,zuo'shi'shou'suo'gong'neng'jian'di
左心增大,zuo'xin'zeng'da
左主干,zuo'zhu'gan
