包括柏拉图,bao'kuo'bo'la'tu
被遗忘的历史,bei'yi'wang'de'li'shi
必然结果的错误,bi'ran'jie'guo'de'cuo'wu
比如桌子,bi'ru'zhuo'zi
表现之一,biao'xian'zhi'yi
并从东方,bing'cong'dong'fang
并将胡塞尔,bing'jiang'hu'sai'er
并进一步,bing'jin'yi'bu
并认为,bing'ren'wei
并认为只要任何是,bing'ren'wei'zhi'yao'ren'he'shi
并在看似,bing'zai'kan'si
不能掌握,bu'neng'zhang'wo
不是解决,bu'shi'jie'jue
参照系的选取,can'zhao'xi'de'xuan'qu
彻彻底底地,che'che'di'di'di
此乃所有,ci'nai'suo'you
从存在的角度,cong'cun'zai'de'jiao'du
从苏格拉底,cong'su'ge'la'di
从在先进入道之中后,cong'zai'xian'jin'ru'dao'zhi'zhong'hou
存在本源问题,cun'zai'ben'yuan'wen'ti
存在的存在,cun'zai'de'cun'zai
存在者不等于存在,cun'zai'zhe'bu'deng'yu'cun'zai
错误就是,cuo'wu'jiu'shi
达到高峰,da'dao'gao'feng
怠慢了,dai'man'liao
当我们的,dang'wo'men'de
到任何,dao'ren'he
导致很多人,dao'zhi'hen'duo'ren
的笔墨,de'bi'mo
的存在,de'cun'zai
得到启示,de'dao'qi'shi
的金钥匙,de'jin'yao'shi
的历史,de'li'shi
的尼采那,de'ni'cai'na
的全部秘密,de'quan'bu'mi'mi
的缺乏性,de'que'fa'xing
的任务是,de'ren'wu'shi
的视域,de'shi'yu
的讨论,de'tao'lun
的统一,de'tong'yi
的虚无主义,de'xu'wu'zhu'yi
的哲学,de'zhe'xue
的真理,de'zhen'li
的整个,de'zheng'ge
的总和,de'zong'he
都不能引起,dou'bu'neng'yin'qi
都不能引起现状的改善,dou'bu'neng'yin'qi'xian'zhuang'de'gai'shan
都只能在,dou'zhi'neng'zai
对海氏的理解,dui'hai'shi'de'li'jie
对应于有限存在者,dui'ying'yu'you'xian'cun'zai'zhe
对语言,dui'yu'yan
而导致的,er'dao'zhi'de
而反而,er'fan'er
而使得该书,er'shi'de'gai'shu
而未直接,er'wei'zhi'jie
而这个改变,er'zhe'ge'gai'bian
反对柏拉图,fan'dui'bo'la'tu
反而是,fan'er'shi
感性直觉,gan'xing'zhi'jue
各种物件,ge'zhong'wu'jian
更加坠入了,geng'jia'zhui'ru'le
关系和意义,guan'xi'he'yi'yi
