阿苯达唑,a'ben'da'zuo
安慰动作,an'wei'dong'zuo
安慰禁用语,an'wei'jin'yong'yu
白木耳,bai'mu'er
半胱氨酸血症,ban'guang'an'suan'xue'zheng
帮助睡眠,bang'zhu'shui'mian
报道了,bao'dao'le
爆发性心肌炎,bao'fa'xing'xin'ji'yan
包皮过长,bao'pi'guo'chang
暴饮暴食,bao'yin'bao'shi
北京肿瘤医院,bei'jing'zhong'liu'yi'yuan
被喻为,bei'yu'wei
鼻窦炎,bi'dou'yan
比较适宜,bi'jiao'shi'yi
避免使用,bi'mian'shi'yong
鼻息肉,bi'xi'rou
变性疾病,bian'xing'ji'bing
病后,bing'hou
病理学家,bing'li'xue'jia
冰啤酒,bing'pi'jiu
病人的,bing'ren'de
病人满员,bing'ren'man'yuan
病因不明的,bing'yin'bu'ming'de
博爱医院,bo'ai'yi'yuan
部分医院,bu'fen'yi'yuan
不集中,bu'ji'zhong
不良症状,bu'liang'zheng'zhuang
不良执业行为,bu'liang'zhi'ye'xing'wei
不孕不育科,bu'yun'bu'yu'ke
不自主运动,bu'zi'zhu'yun'dong
查乳腺,cha'ru'xian
产后,chan'hou
常备药材,chang'bei'yao'cai
常见病,chang'jian'bing
肠鸣音,chang'ming'yin
长期服用,chang'qi'fu'yong
长寿老人,chang'shou'lao'ren
肠胃疾病,chang'wei'ji'bing
彻底消毒,che'di'xiao'du
陈斌,chen'bin
陈鹏,chen'peng
成都军区医院,cheng'du'jun'qu'yi'yuan
成功的,cheng'gong'de
程显声,cheng'xian'sheng
初步诊断,chu'bu'zhen'duan
出冷汗,chu'leng'han
储液囊,chu'ye'nang
出诊时间,chu'zhen'shi'jian
传播途径,chuan'bo'tu'jing
传染病管理,chuan'ran'bing'guan'li
传染病管理人员,chuan'ran'bing'guan'li'ren'yuan
传染给,chuan'ran'gei
传染科,chuan'ran'ke
床患者,chuang'huan'zhe
创伤科,chuang'shang'ke
此手术,ci'shou'shu
从而引发,cong'er'yin'fa
卒中病人,cu'zhong'bing'ren
卒中单元,cu'zhong'dan'yuan
崔毅,cui'yi
大肚腩,da'du'nan
大脑功能失调,da'nao'gong'neng'shi'tiao
大内科主任,da'nei'ke'zhu'ren
大专以上学历,da'zhuan'yi'shang'xue'li
戴光明,dai'guang'ming
代谢紊乱,dai'xie'wen'luan
导医,dao'yi
导致癌症,dao'zhi'ai'zheng
导致的,dao'zhi'de
的患者,de'huan'zhe
的讲座,de'jiang'zuo
的区别,de'qu'bie
的时间,de'shi'jian
的统称,de'tong'cheng
的晚期,de'wan'qi
的问题,de'wen'ti
的一半,de'yi'ban
的异同,de'yi'tong
的诊治,de'zhen'zhi
的症状,de'zheng'zhuang
的肿瘤,de'zhong'liu
等内容,deng'nei'rong
等症状,deng'zheng'zhuang
第二代病例,di'er'dai'bing'li
第三附属医院,di'san'fu'shu'yi'yuan
地坛医院,di'tan'yi'yuan
第一附属医院,di'yi'fu'shu'yi'yuan
第一人民医院,di'yi'ren'min'yi'yuan
第一医院,di'yi'yi'yuan
癫痫,dian'xian
典型问题,dian'xing'wen'ti
定期出诊,ding'qi'chu'zhen
动静脉轨道,dong'jing'mai'gui'dao
东南医院,dong'nan'yi'yuan
独特的,du'te'de
对外公示,dui'wai'gong'shi
对症治疗,dui'zheng'zhi'liao
多面性,duo'mian'xing
多应酬,duo'ying'chou
呃逆,e'ni
恶性淋巴瘤,e'xing'lin'ba'liu
恶性肿瘤,e'xing'zhong'liu
儿保医生,er'bao'yi'sheng
耳鼻喉科,er'bi'hou'ke
耳鼻咽喉科,er'bi'yan'hou'ke
儿科医生,er'ke'yi'sheng
儿童头痛,er'tong'tou'tong
儿童医院,er'tong'yi'yuan
儿中心,er'zhong'xin
发病,fa'bing
发病率,fa'bing'lv
发热病人,fa're'bing'ren
发热腹泻,fa're'fu'xie
发生率,fa'sheng'lv
发生在,fa'sheng'zai
发现病例,fa'xian'bing'li
发现疫情,fa'xian'yi'qing
烦躁不安,fan'zao'bu'an
肺不张患者,fei'bu'zhang'huan'zhe
非常缓慢,fei'chang'huan'man
非常活跃,fei'chang'huo'yue
肺功能,fei'gong'neng
分管领导,fen'guan'ling'dao
分诊台,fen'zhen'tai
封堵器,feng'du'qi
风湿病科,feng'shi'bing'ke
腹部肥胖,fu'bu'fei'pang
妇产科,fu'chan'ke
附件炎,fu'jian'yan
腹膜透析,fu'mo'tou'xi
附属第一医院,fu'shu'di'yi'yi'yuan
阜外心血管病医院,fu'wai'xin'xue'guan'bing'yi'yuan
阜外医院,fu'wai'yi'yuan
腹泻高烧,fu'xie'gao'shao
服用后,fu'yong'hou
傅志泉,fu'zhi'quan
副主任医师,fu'zhu'ren'yi'shi
该病,gai'bing
该病毒,gai'bing'du
该院,gai'yuan
肝病科,gan'bing'ke
肝科,gan'ke
感染科,gan'ran'ke
干细胞,gan'xi'bao
肝脏疾病,gan'zang'ji'bing
高发期,gao'fa'qi
高同型,gao'tong'xing
高危人群,gao'wei'ren'qun
高温天气,gao'wen'tian'qi
高血糖,gao'xue'tang
高血压,gao'xue'ya
高血压病,gao'xue'ya'bing
高血压患者,gao'xue'ya'huan'zhe
高血脂,gao'xue'zhi
高压氧,gao'ya'yang
个科室,ge'ke'shi
隔离病区,ge'li'bing'qu
个体诊所,ge'ti'zhen'suo
更年期,geng'nian'qi
更年期并发症,geng'nian'qi'bing'fa'zheng
更年期高血压,geng'nian'qi'gao'xue'ya
共发现,gong'fa'xian
宫颈糜烂,gong'jing'mi'lan
功能类饮料,gong'neng'lei'yin'liao
功能紊乱,gong'neng'wen'luan
功能饮料,gong'neng'yin'liao
龚守会,gong'shou'hui
供血不足,gong'xue'bu'zu
工业用柠檬酸,gong'ye'yong'ning'meng'suan
供职于,gong'zhi'yu
工作经验,gong'zuo'jing'yan
骨髓移植手术,gu'sui'yi'zhi'shou'shu
骨外科,gu'wai'ke
挂号条,gua'hao'tiao
冠心病病人,guan'xin'bing'bing'ren
冠心病患者,guan'xin'bing'huan'zhe
广东省人民医院,guang'dong'sheng'ren'min'yi'yuan
广州医学院,guang'zhou'yi'xue'yuan
广州中医药大学,guang'zhou'zhong'yi'yao'da'xue
国家食品和药品监督管理局,guo'jia'shi'pin'he'yao'pin'jian'du'guan'li'ju
过量服用,guo'liang'fu'yong
过敏性鼻炎,guo'min'xing'bi'yan
过敏性疾病,guo'min'xing'ji'bing
好大夫在线,hao'dai'fu'zai'xian
河南省人民医院,he'nan'sheng'ren'min'yi'yuan
核准科目,he'zhun'ke'mu
横纹肌,heng'wen'ji
横纹肌溶解综合症,heng'wen'ji'rong'jie'zong'he'zheng
呼吸道疾病,hu'xi'dao'ji'bing
呼吸困难,hu'xi'kun'nan
呼吸内科,hu'xi'nei'ke
呼吸内科主任,hu'xi'nei'ke'zhu'ren
化疗专业委员会,hua'liao'zhuan'ye'wei'yuan'hui
化学药剂,hua'xue'yao'ji
患淋巴瘤,huan'lin'ba'liu
换肾,huan'shen
患者好评,huan'zhe'hao'ping
会出现,hui'chu'xian
会导致,hui'dao'zhi
会使人,hui'shi'ren
会抑制,hui'yi'zhi
昏迷状态,hun'mi'zhuang'tai
霍奇金,huo'qi'jin
疾病患者,ji'bing'huan'zhe
极度疲劳,ji'du'pi'lao
记分值,ji'fen'zhi
肌红蛋白,ji'hong'dan'bai
急救药物,ji'jiu'yao'wu
急救医疗中心,ji'jiu'yi'liao'zhong'xin
急救中心,ji'jiu'zhong'xin
急慢性鼻炎,ji'man'xing'bi'yan
肌肉痛,ji'rou'tong
肌肉萎缩,ji'rou'wei'suo
及时解决,ji'shi'jie'jue
及时治疗,ji'shi'zhi'liao
急性腹泻,ji'xing'fu'xie
急性肾衰竭,ji'xing'shen'shuai'jie
急性胰腺炎,ji'xing'yi'xian'yan
记忆力减退,ji'yi'li'jian'tui
记忆衰退,ji'yi'shuai'tui
急诊科,ji'zhen'ke
急诊内科,ji'zhen'nei'ke
加快心率,jia'kuai'xin'lv
甲流,jia'liu
甲流暴发疫情,jia'liu'bao'fa'yi'qing
甲流病例,jia'liu'bing'li
甲流患者,jia'liu'huan'zhe
甲流症状,jia'liu'zheng'zhuang
家属同意,jia'shu'tong'yi
甲型流感,jia'xing'liu'gan
加以区别,jia'yi'qu'bie
甲状腺肿大,jia'zhuang'xian'zhong'da
检查意义,jian'cha'yi'yi
检出率,jian'chu'lv
健康教育,jian'kang'jiao'yu
健康指南,jian'kang'zhi'nan
江门市中心医院,jiang'men'shi'zhong'xin'yi'yuan
杰出志愿者,jie'chu'zhi'yuan'zhe
结核病人,jie'he'bing'ren
结核专科,jie'he'zhuan'ke
介入治疗,jie'ru'zhi'liao
接受了,jie'shou'le
金阳,jin'yang
进一步检查,jin'yi'bu'jian'cha
经储液囊,jing'chu'ye'nang
颈动脉,jing'dong'mai
颈动脉增厚,jing'dong'mai'zeng'hou
静脉轨道,jing'mai'gui'dao
静脉曲张,jing'mai'qu'zhang
静脉血栓栓塞,jing'mai'xue'shuan'shuan'se
静脉血栓栓塞症,jing'mai'xue'shuan'shuan'se'zheng
精神负担,jing'shen'fu'dan
精神神经症,jing'shen'shen'jing'zheng
久卧,jiu'wo
就医指南,jiu'yi'zhi'nan
久站,jiu'zhan
就诊住院,jiu'zhen'zhu'yuan
久坐,jiu'zuo
鞠娟,ju'juan
捐髓者,juan'sui'zhe
咖啡因,ka'fei'yin
咯血,ka'xie
开颅,kai'lu
开设了,kai'she'le
看内科,kan'nei'ke
康复治疗科,kang'fu'zhi'liao'ke
抗流感,kang'liu'gan
科技服务部,ke'ji'fu'wu'bu
科技咨询部,ke'ji'zi'xun'bu
克罗恩病,ke'luo'en'bing
可能导致,ke'neng'dao'zhi
可以存活,ke'yi'cun'huo
科主任,ke'zhu'ren
快速动眼期,kuai'su'dong'yan'qi
快速入睡,kuai'su'ru'shui
溃疡性结肠炎,kui'yang'xing'jie'chang'yan
昆明陆军学院医院,kun'ming'lu'jun'xue'yuan'yi'yuan
蜡样芽孢杆菌,la'yang'ya'bao'gan'jun
来源于,lai'yuan'yu
老年患者,lao'nian'huan'zhe
老中医,lao'zhong'yi
例甲流病例,li'jia'liu'bing'li
淋巴癌,lin'ba'ai
淋巴结,lin'ba'jie
淋巴瘤,lin'ba'liu
淋巴瘤内科,lin'ba'liu'nei'ke
淋巴瘤专业委员会,lin'ba'liu'zhuan'ye'wei'yuan'hui
临床观察,lin'chuang'guan'cha
临床实践,lin'chuang'shi'jian
临床协作专业委员会,lin'chuang'xie'zuo'zhuan'ye'wei'yuan'hui
临床医学专业,lin'chuang'yi'xue'zhuan'ye
临床专家组,lin'chuang'zhuan'jia'zu
临考前,lin'kao'qian
临时加床,lin'shi'jia'chuang
临时起搏器,lin'shi'qi'bo'qi
刘春芳,liu'chun'fang
流感多发,liu'gan'duo'fa
流感防控,liu'gan'fang'kong
流感样病例,liu'gan'yang'bing'li
刘力松,liu'li'song
刘学东,liu'xue'dong
龙艳君,long'yan'jun
卵巢囊肿,luan'chao'nang'zhong
罗京,luo'jing
麻醉科,ma'zui'ke
慢性肾功能衰竭终末期,man'xing'shen'gong'neng'shuai'jie'zhong'mo'qi
梅雨病,mei'yu'bing
门诊部,men'zhen'bu
门诊大厅,men'zhen'da'ting
门诊量,men'zhen'liang
泌尿外科,mi'niao'wai'ke
面瘫,mian'tan
民营门诊部,min'ying'men'zhen'bu
明显增多,ming'xian'zeng'duo
男性科,nan'xing'ke
难治性,nan'zhi'xing
脑卒中,nao'cu'zhong
脑室内,nao'shi'nei
脑血管,nao'xue'guan
脑血管病,nao'xue'guan'bing
脑血管疾病,nao'xue'guan'ji'bing
脑中风,nao'zhong'feng
内分泌科,nei'fen'mi'ke
内分泌失调,nei'fen'mi'shi'tiao
内科病人,nei'ke'bing'ren
内科的,nei'ke'de
