阿不都,a'bu'dou
阿达西,a'da'xi
阿尔曼,a'er'man
阿勒泰,a'le'tai
阿罗海港,a'luo'hai'gang
阿依努尔,a'yi'nu'er
艾里克湖,ai'li'ke'hu
巴郎子,ba'lang'zi
巴音沟,ba'yin'gou
白碱滩,bai'jian'tan
白碱滩区,bai'jian'tan'qu
百口泉,bai'kou'quan
白沙滩,bai'sha'tan
白杨河,bai'yang'he
帮我刷下任务,bang'wo'shua'xia'ren'wu
宝石光,bao'shi'guang
宝石花,bao'shi'hua
比层,bi'ceng
逼加,bi'jia
碧水云天,bi'shui'yun'tian
不求知,bu'qiu'zhi
采油工,cai'you'gong
测进,ce'jin
曾记,ceng'ji
从乌鲁木齐,cong'wu'lu'mu'qi
大巴扎,da'ba'zha
大册子,da'ce'zi
大农业,da'nong'ye
歹歹的,dai'dai'de
倒杆子,dao'gan'zi
到克拉玛依,dao'ke'la'ma'yi
倒是非,dao'shi'fei
到新疆,dao'xin'jiang
迪丽努尔,di'li'nu'er
独山子,du'shan'zi
独山子的,du'shan'zi'de
独山子了,du'shan'zi'le
独山子区,du'shan'zi'qu
独山子在线,du'shan'zi'zai'xian
都市广场,du'shi'guang'chang
烦求的,fan'qiu'de
风城,feng'cheng
干撒去,gan'sa'qu
戈壁烧烤,ge'bi'shao'kao
戈壁滩,ge'bi'tan
戈壁玉,ge'bi'yu
给我讲一下,gei'wo'jiang'yi'xia
古尔邦,gu'er'bang
古丽,gu'li
古丽娜,gu'li'na
古田南,gu'tian'nan
果子沟,guo'zi'gou
哈萨克族,ha'sa'ke'zu
还有撒,hai'you'sa
好好说撒,hao'hao'shuo'sa
好家乡,hao'jia'xiang
好了撒,hao'le'sa
和布克赛尔,he'bu'ke'sai'er
和布克赛尔县,he'bu'ke'sai'er'xian
和丰,he'feng
和丰县,he'feng'xian
和什托洛盖,he'shen'tuo'luo'gai
黑油山,hei'you'shan
虹园,hong'yuan
虎皮辣子,hu'pi'la'zi
花鸟鱼市,hua'niao'yu'shi
汇福,hui'fu
汇佳,hui'jia
会克拉玛依,hui'ke'la'ma'yi
霍城县,huo'cheng'xian
驾考中心,jia'kao'zhong'xin
健身公园,jian'shen'gong'yuan
捡石头,jian'shi'tou
椒麻鸡,jiao'ma'ji
金龙镇,jin'long'zhen
九公里,jiu'gong'li
九龙潭,jiu'long'tan
揪片子,jiu'pian'zi
居来提,ju'lai'ti
看下桃园的图,kan'xia'tao'yuan'de'tu
康红药店,kang'hong'yao'dian
烤包子,kao'bao'zi
烤天下,kao'tian'xia
克拉玛依,ke'la'ma'yi
克拉玛依的,ke'la'ma'yi'de
克拉玛依了,ke'la'ma'yi'le
克拉玛依呢,ke'la'ma'yi'ne
克拉玛依区,ke'la'ma'yi'qu
克拉玛依人,ke'la'ma'yi'ren
克拉玛依市,ke'la'ma'yi'shi
克拉玛依网,ke'la'ma'yi'wang
克市,ke'shi
奎屯,kui'tun
奎屯的,kui'tun'de
奎屯了,kui'tun'le
昆仑路,kun'lun'lu
昆仑银行,kun'lun'yin'hang
来电管家,lai'dian'guan'jia
赖瓜子,lai'gua'zi
来号了,lai'hao'le
来克拉玛依,lai'ke'la'ma'yi
来新疆,lai'xin'jiang
蓝波湾,lan'bo'wan
累求得,lei'qiu'de
冷胖子,leng'pang'zi
炼油厂,lian'you'chang
凉皮子,liang'pi'zi
靓园,liang'yuan
鹿港小镇,lu'gang'xiao'zhen
鹿角湾,lu'jiao'wan
陆梁,lu'liang
玛依塔柯,ma'yi'ta'ke
卖钩子,mai'gou'zi
忙撒呢,mang'sa'ne
没撒事,mei'sa'shi
没撒意思,mei'sa'yi'si
没说撒,mei'shuo'sa
民考汉,min'kao'han
民族团结,min'zu'tuan'jie
魔鬼城,mo'gui'cheng
木拉提,mu'la'ti
那拉提,na'la'ti
哪有撒,na'you'sa
奶疙瘩,nai'ge'da
南泉,nan'quan
南新路,nan'xin'lu
呢就行了,ne'jiu'xing'le
呢么好,ne'me'hao
呢么久,ne'me'jiu
你好好的撒,ni'hao'hao'de'sa
你好了撒,ni'hao'le'sa
泥火山,ni'huo'shan
尼勒克,ni'le'ke
你撒时候,ni'sa'shi'hou
你撒意思,ni'sa'yi'si
你为怕,ni'wei'pa
你为撒,ni'wei'sa
你要干撒,ni'yao'gan'sa
你要撒,ni'yao'sa
你在克拉玛依,ni'zai'ke'la'ma'yi
你在说撒,ni'zai'shuo'sa
你这卖,ni'zhe'mai
鸟市,niao'shi
农七师,nong'qi'shi
努尔,nu'er
哦呦喂,o'you'wei
偶后,ou'hou
