阿弗他溃疡,a'fu'ta'kui'yang
鞍基,an'ji
安全面切盘,an'quan'mian'qie'pan
巴斯刷牙法,ba'si'shua'ya'fa
拔髓针,ba'sui'zhen
拔牙后并发症,ba'ya'hou'bing'fa'zheng
拔牙钳,ba'ya'qian
拔牙学,ba'ya'xue
白垢,bai'gou
白毛舌,bai'mao'she
白色海绵状斑痣,bai'se'hai'mian'zhuang'ban'zhi
白色水肿,bai'se'shui'zhong
半固定桥,ban'gu'ding'qiao
半固定桥连接体,ban'gu'ding'qiao'lian'jie'ti
半解剖式牙,ban'jie'pou'shi'ya
半精密支托,ban'jing'mi'zhi'tuo
半切牙术,ban'qie'ya'shu
半舌切除术,ban'she'qie'chu'shu
邦威尔三角,bang'wei'er'san'jiao
爆裂性骨折,bao'lie'xing'gu'zhe
包埋材模型,bao'mai'cai'mo'xing
背板,bei'ban
被覆粘膜,bei'fu'nian'mo
贝格矫治器,bei'ge'jiao'zhi'qi
贝内特角,bei'nei'te'jiao
贝内特运动,bei'nei'te'yun'dong
苯妥英龈增生,ben'tuo'ying'yin'zeng'sheng
鼻唇囊肿,bi'chun'nang'zhong
鼻腭管囊肿,bi'e'guan'nang'zhong
鼻根点,bi'gen'dian
鼻后棘,bi'hou'ji
闭口印模,bi'kou'yin'mo
鼻前棘,bi'qian'ji
鼻翼耳屏线,bi'yi'er'ping'xian
便利形,bian'li'xing
扁平卵圆管,bian'ping'luan'yuan'guan
变色牙,bian'se'ya
变性型涎腺肿大症,bian'xing'xing'xian'xian'zhong'da'zheng
边缘封闭区,bian'yuan'feng'bi'qu
边缘嵴,bian'yuan'ji
边缘性龈炎,bian'yuan'xing'yin'yan
边缘龈,bian'yuan'yin
边缘运动,bian'yuan'yun'dong
病理移位,bing'li'yi'wei
丙烯酸酯基托,bing'xi'suan'zhi'ji'tuo
丙烯酸酯夹板,bing'xi'suan'zhi'jia'ban
丙烯酸酯甲冠,bing'xi'suan'zhi'jia'guan
丙烯酸酯磨钻,bing'xi'suan'zhi'mo'zuan
丙烯酸酯填塞,bing'xi'suan'zhi'tian'sai
丙烯酸酯牙,bing'xi'suan'zhi'ya
玻璃离子粘固剂,bo'li'li'zi'zhan'gu'ji
玻璃碳,bo'li'tan
玻璃碳种植体,bo'li'tan'zhong'zhi'ti
玻璃调合板,bo'li'tiao'he'ban
剥脱性龈炎,bo'tuo'xing'yin'yan
补偿曲线,bu'chang'qu'xian
补偿曲线曲度,bu'chang'qu'xian'qu'du
部分冠,bu'fen'guan
不复位瓣,bu'fu'wei'ban
不规则牙本质,bu'gui'ze'ya'ben'zhi
布莱克窝洞分类,bu'lai'ke'wo'dong'fen'lei
残根,can'gen
残髓,can'sui
残髓炎,can'sui'yan
残余囊肿,can'yu'nang'zhong
残余牙槽嵴,can'yu'ya'cao'ji
槽式缘,cao'shi'yuan
侧方关系,ce'fang'guan'xi
侧方平衡,ce'fang'ping'heng
侧方压缩,ce'fang'ya'suo
侧方运动,ce'fang'yun'dong
侧貌描记器,ce'mao'miao'ji'qi
侧向滑动瓣,ce'xiang'hua'dong'ban
侧向髁道斜度,ce'xiang'ke'dao'xie'du
侧向髁导斜度,ce'xiang'ke'dao'xie'du
差动力,cha'dong'li
颤动线,chan'dong'xian
长顶盖,chang'ding'gai
长冠牙,chang'guan'ya
长结合上皮,chang'jie'he'shang'pi
猖獗龋,chang'jue'qu
长正中,chang'zheng'zhong
超声洁治器,chao'sheng'jie'zhi'qi
超声洁治术,chao'sheng'jie'zhi'shu
成品托盘,cheng'pin'tuo'pan
成人口腔正畸学,cheng'ren'kou'qiang'zheng'ji'xue
成型片,cheng'xing'pian
成型片夹,cheng'xing'pian'jia
成形钳,cheng'xing'qian
成牙本质细胞,cheng'ya'ben'zhi'xi'bao
成牙本质细胞层空泡性变,cheng'ya'ben'zhi'xi'bao'ceng'kong'pao'xing'bian
成牙本质细胞突,cheng'ya'ben'zhi'xi'bao'tu
成牙骨质细胞,cheng'ya'gu'zhi'xi'bao
成釉器,cheng'you'qi
成釉器星网状层,cheng'you'qi'xing'wang'zhuang'ceng
成釉器中间层,cheng'you'qi'zhong'jian'ceng
成釉细胞,cheng'you'xi'bao
成釉细胞癌,cheng'you'xi'bao'ai
成釉细胞瘤,cheng'you'xi'bao'liu
成釉细胞肉瘤,cheng'you'xi'bao'rou'liu
成釉细胞纤维瘤,cheng'you'xi'bao'xian'wei'liu
成釉细胞纤维肉瘤,cheng'you'xi'bao'xian'wei'rou'liu
成釉细胞纤维牙瘤,cheng'you'xi'bao'xian'wei'ya'liu
成釉细胞牙瘤,cheng'you'xi'bao'ya'liu
成釉细胞牙肉瘤,cheng'you'xi'bao'ya'rou'liu
迟萌,chi'meng
重衬,chong'chen
虫胶板,chong'jiao'ban
充填器,chong'tian'qi
储金池,chu'jin'chi
初模型,chu'mo'xing
出血指数,chu'xie'zhi'shu
锄形洁治器,chu'xing'jie'zhi'qi
初印模,chu'yin'mo
穿粘膜种植体,chuan'nian'mo'zhong'zhi'ti
穿通纤维,chuan'tong'xian'wei
穿通性龋,chuan'tong'xing'qu
穿下颌种植体,chuan'xia'he'zhong'zhi'ti
创伤性口炎,chuang'shang'xing'kou'yan
锤造冠,chui'zao'guan
锤造金属全冠,chui'zao'jin'shu'quan'guan
垂直截骨术,chui'zhi'jie'gu'shu
垂直距离,chui'zhi'ju'li
垂直向松弛切口翻瓣术,chui'zhi'xiang'song'chi'qie'kou'fan'ban'shu
垂直轴,chui'zhi'zhou
垂直阻生,chui'zhi'zu'sheng
唇侧翼缘,chun'ce'yi'yuan
唇挡,chun'dang
唇杆,chun'gan
唇弓,chun'gong
唇沟板,chun'gou'ban
唇红缘,chun'hong'yuan
唇系带,chun'ji'dai
唇颈嵴,chun'jing'ji
唇裂,chun'lie
唇裂修复术,chun'lie'xiu'fu'shu
唇面,chun'mian
唇疱疹,chun'pao'zhen
唇牵开器,chun'qian'kai'qi
唇舌弓矫治器,chun'she'gong'jiao'zhi'qi
唇腺,chun'xian
唇向错位,chun'xiang'cuo'wei
唇炎,chun'yan
唇缘,chun'yuan
瓷甲冠,ci'jia'guan
次桥基,ci'qiao'ji
磁体种植体,ci'ti'zhong'zhi'ti
磁性固位,ci'xing'gu'wei
磁性衔铁,ci'xing'xian'tie
瓷牙,ci'ya
丛状型成釉细胞瘤,cong'zhuang'xing'cheng'you'xi'bao'liu
粗丝切断钳,cu'si'qie'duan'qian
淬火装置,cui'huo'zhuang'zhi
催涎剂,cui'xian'ji
大连接体,da'lian'jie'ti
带环,dai'huan
带环就位器,dai'huan'jiu'wei'qi
带环去除钳,dai'huan'qu'chu'qian
带孔牙,dai'kong'ya
带石针,dai'shi'zhen
代型,dai'xing
袋状瓣,dai'zhuang'ban
带状弓,dai'zhuang'gong
单臂卡环,dan'bi'ka'huan
单侧平衡,dan'ce'ping'heng
单端固定桥,dan'duan'gu'ding'qiao
单颌全口义齿,dan'he'quan'kou'yi'chi
单面洞,dan'mian'dong
单形性腺瘤,dan'xing'xing'xian'liu
倒凹区,dao'ao'qu
倒钩卡环,dao'gou'ka'huan
导管内乳头状瘤,dao'guan'nei'ru'tou'zhuang'liu
导管乳头状瘤,dao'guan'ru'tou'zhuang'liu
导平面,dao'ping'mian
倒置阻生,dao'zhi'zu'sheng
倒锥钻,dao'zhui'zuan
第三磨牙,di'san'mo'ya
低位牙,di'wei'ya
垫底,dian'di
点角,dian'jiao
点隙,dian'xi
雕刻器,diao'ke'qi
蝶鞍点,die'an'dian
叠盖线,die'gai'xian
钉板型种植体,ding'ban'xing'zhong'zhi'ti
钉洞,ding'dong
顶盖,ding'gai
钉嵌体,ding'qian'ti
定位平面,ding'wei'ping'mian
定位平面斜度,ding'wei'ping'mian'xie'du
丁香油酚,ding'xiang'you'fen
钉形固位,ding'xing'gu'wei
钉形固位体,ding'xing'gu'wei'ti
钉状牙,ding'zhuang'ya
洞衬剂,dong'chen'ji
洞面角,dong'mian'jiao
洞斜面,dong'xie'mian
对半卡环,dui'ban'ka'huan
多发性纤维上皮增生,duo'fa'xing'xian'wei'shang'pi'zeng'sheng
多股丝,duo'gu'si
多聚甲醛干髓剂,duo'ju'jia'quan'gan'sui'ji
多细胞层,duo'xi'bao'ceng
多涎,duo'xian
多形性低度恶性腺癌,duo'xing'xing'di'du'e'xing'xian'ai
多形性腺瘤,duo'xing'xing'xian'liu
腭凹,e'ao
腭大孔注射法,e'da'kong'zhu'she'fa
腭杆,e'gan
腭裂,e'lie
腭裂系列治疗,e'lie'xi'lie'zhi'liao
腭裂修复术,e'lie'xiu'fu'shu
腭隆凸,e'long'tu
腭面,e'mian
腭前孔注射法,e'qian'kong'zhu'she'fa
腭乳头囊肿,e'ru'tou'nang'zhong
额外牙,e'wai'ya
腭腺,e'xian
恶性成釉细胞瘤,e'xing'cheng'you'xi'bao'liu
恶性多形性腺瘤,e'xing'duo'xing'xing'xian'liu
腭咽闭合,e'yan'bi'he
腭咽闭合不良,e'yan'bi'he'bu'liang
腭正中囊肿,e'zheng'zhong'nang'zhong
腭皱,e'zhou
耳点,er'dian
二根分叉部,er'gen'fen'cha'bu
二裂舌,er'lie'she
二期愈合前庭成形术,er'qi'yu'he'qian'ting'cheng'xing'shu
儿童口腔医学,er'tong'kou'qiang'yi'xue
儿童口腔正畸学,er'tong'kou'qiang'zheng'ji'xue
法兰克福平面,fa'lan'ke'fu'ping'mian
发育沟,fa'yu'gou
反代型,fan'dai'xing
反回力卡环,fan'hui'li'ka'huan
方丝弓矫治器,fang'si'gong'jiao'zhi'qi
方形管,fang'xing'guan
方形丝,fang'xing'si
非倒凹区,fei'dao'ao'qu
非工作侧,fei'gong'zuo'ce
非解剖式牙,fei'jie'pou'shi'ya
非正中关系,fei'zheng'zhong'guan'xi
非正中颌骨关系,fei'zheng'zhong'he'gu'guan'xi
分段截骨术,fen'duan'jie'gu'shu
分段印模,fen'duan'yin'mo
分离剂,fen'li'ji
分裂,fen'lie
分牙器,fen'ya'qi
分牙术,fen'ya'shu
复发性阿弗他溃疡,fu'fa'xing'a'fu'ta'kui'yang
复发性坏死性粘膜腺周炎,fu'fa'xing'huai'si'xing'nian'mo'xian'zhou'yan
覆盖义齿,fu'gai'yi'chi
复合固定桥,fu'he'gu'ding'qiao
复合树脂,fu'he'shu'zhi
弗兰克尔矫治器,fu'lan'ke'er'jiao'zhi'qi
复面洞,fu'mian'dong
浮石粉,fu'shi'fen
氟牙症,fu'ya'zheng
附着龈,fu'zhuo'yin
附着增加,fu'zhuo'zeng'jia
