巴黎统筹委员会,ba'li'tong'chou'wei'yuan'hui
办公室,ban'gong'shi
班轮,ban'lun
报关,bao'guan
保护贸易,bao'hu'mao'yi
保护贸易政策,bao'hu'mao'yi'zheng'ce
保税仓库,bao'shui'cang'ku
保税区,bao'shui'qu
包销,bao'xiao
包装标志,bao'zhuang'biao'zhi
比较成本论,bi'jiao'cheng'ben'lun
比较利益论,bi'jiao'li'yi'lun
比较生产费用论,bi'jiao'sheng'chan'fei'yong'lun
边境贸易,bian'jing'mao'yi
边境小额贸易,bian'jing'xiao'e'mao'yi
边贸,bian'mao
标准,biao'zhun
禀赋资源说,bing'fu'zi'yuan'shuo
驳船,bo'chuan
补偿贸易,bu'chang'mao'yi
补偿贸易协议书,bu'chang'mao'yi'xie'yi'shu
不受约束,bu'shou'yue'shu
参考价,can'kao'jia
参考样品,can'kao'yang'pin
舱位,cang'wei
产地证明书,chan'di'zheng'ming'shu
超保护贸易政策,chao'bao'hu'mao'yi'zheng'ce
成本加保险费和运费价格,cheng'ben'jia'bao'xian'fei'he'yun'fei'jia'ge
成本加运费价格,cheng'ben'jia'yun'fei'jia'ge
成本加运费价离岸加运费价,cheng'ben'jia'yun'fei'jia'li'an'jia'yun'fei'jia
出口,chu'kou
出口补贴,chu'kou'bu'tie
出口管制,chu'kou'guan'zhi
出口换汇率,chu'kou'huan'hui'lv
出口加工区,chu'kou'jia'gong'qu
出口津贴,chu'kou'jin'tie
出口商品生产基地,chu'kou'shang'pin'sheng'chan'ji'di
出口信贷,chu'kou'xin'dai
出口信贷国家担保制,chu'kou'xin'dai'guo'jia'dan'bao'zhi
出口许可证制,chu'kou'xu'ke'zheng'zhi
出口依存度,chu'kou'yi'cun'du
出口总额,chu'kou'zong'e
创汇,chuang'hui
垂直贸易,chui'zhi'mao'yi
大路货,da'lu'huo
代理协议,dai'li'xie'yi
单价,dan'jia
到岸价成本加运费保险费价,dao'an'jia'cheng'ben'jia'yun'fei'bao'xian'fei'jia
到岸价格,dao'an'jia'ge
道琼斯商品价格指数,dao'qiong'si'shang'pin'jia'ge'zhi'shu
抵偿贸易,di'chang'mao'yi
地区经济一体化,di'qu'jing'ji'yi'ti'hua
地域分工论,di'yu'fen'gong'lun
定期租船,ding'qi'zu'chuan
独家代理,du'jia'dai'li
独家经营,du'jia'jing'ying
对等贸易,dui'deng'mao'yi
对等样品,dui'deng'yang'pin
对外间接投资,dui'wai'jian'jie'tou'zi
对外贸易,dui'wai'mao'yi
对外贸易倍数,dui'wai'mao'yi'bei'shu
对外贸易乘数论,dui'wai'mao'yi'cheng'shu'lun
对外贸易额,dui'wai'mao'yi'e
对外贸易方式,dui'wai'mao'yi'fang'shi
对外贸易管制,dui'wai'mao'yi'guan'zhi
对外贸易国家垄断制,dui'wai'mao'yi'guo'jia'long'duan'zhi
对外贸易合同,dui'wai'mao'yi'he'tong
对外贸易量,dui'wai'mao'yi'liang
对外贸易体制,dui'wai'mao'yi'ti'zhi
对外贸易体制改革,dui'wai'mao'yi'ti'zhi'gai'ge
对外贸易系数,dui'wai'mao'yi'xi'shu
对外贸易依存度,dui'wai'mao'yi'yi'cun'du
对外贸易政策,dui'wai'mao'yi'zheng'ce
对外贸易值,dui'wai'mao'yi'zhi
对外直接投资,dui'wai'zhi'jie'tou'zi
对销贸易,dui'xiao'mao'yi
多边贸易,duo'bian'mao'yi
多角贸易,duo'jiao'mao'yi
发盘,fa'pan
反倾销,fan'qing'xiao
反倾销税,fan'qing'xiao'shui
反贴补税,fan'tie'bu'shui
反向贸易,fan'xiang'mao'yi
非关税壁垒,fei'guan'shui'bi'lei
封样,feng'yang
服务贸易,fu'wu'mao'yi
复样,fu'yang
港口税,gang'kou'shui
公差,gong'cha
公平竞争原则,gong'ping'jing'zheng'yuan'ze
共同市场,gong'tong'shi'chang
购货合同,gou'huo'he'tong
购货确认书,gou'huo'que'ren'shu
关境,guan'jing
关税,guan'shui
关税及贸易总协定,guan'shui'ji'mao'yi'zong'xie'ding
关税配额,guan'shui'pei'e
关税同盟,guan'shui'tong'meng
关税与贸易总协定,guan'shui'yu'mao'yi'zong'xie'ding
广交会,guang'jiao'hui
广州交易会,guang'zhou'jiao'yi'hui
规财处,gui'cai'chu
规格,gui'ge
规划财务处,gui'hua'cai'wu'chu
国际博览会,guo'ji'bo'lan'hui
国际纺织品贸易协定,guo'ji'fang'zhi'pin'mao'yi'xie'ding
国际分工,guo'ji'fen'gong
国际技术贸易,guo'ji'ji'shu'mao'yi
国际价值论,guo'ji'jia'zhi'lun
国际贸易,guo'ji'mao'yi
国际贸易地理方向,guo'ji'mao'yi'di'li'fang'xiang
国际贸易地区分布,guo'ji'mao'yi'di'qu'fen'bu
国际贸易额,guo'ji'mao'yi'e
国际贸易量,guo'ji'mao'yi'liang
国际贸易商品结构,guo'ji'mao'yi'shang'pin'jie'gou
国际贸易术语,guo'ji'mao'yi'shu'yu
国际贸易值,guo'ji'mao'yi'zhi
国际商品协定,guo'ji'shang'pin'xie'ding
国际市场价格,guo'ji'shi'chang'jia'ge
过境贸易,guo'jing'mao'yi
国民待遇条款,guo'min'dai'yu'tiao'kuan
国民经济,guo'min'jing'ji
国民生产总值,guo'min'sheng'chan'zong'zhi
国外包销商,guo'wai'bao'xiao'shang
国外贸易,guo'wai'mao'yi
海关,hai'guan
海关合作理事会,hai'guan'he'zuo'li'shi'hui
海关税则,hai'guan'shui'ze
含佣价,han'yong'jia
赫克歇尔俄林定理,he'ke'xie'er'e'lin'ding'li
花色,hua'se
缓冲存货,huan'chong'cun'huo
还盘,huan'pan
汇付,hui'fu
回佣,hui'yong
货号,huo'hao
寄售,ji'shou
技术壁垒,ji'shu'bi'lei
技术贸易,ji'shu'mao'yi
技术转让,ji'shu'zhuan'rang
积载系数,ji'zai'xi'shu
记帐贸易,ji'zhang'mao'yi
价格术语,jia'ge'shu'yu
加重关税,jia'zhong'guan'shui
间接贸易,jian'jie'mao'yi
交货,jiao'huo
交货共同条件议定书,jiao'huo'gong'tong'tiao'jian'yi'ding'shu
交货时间,jiao'huo'shi'jian
交钥匙工程,jiao'yao'shi'gong'cheng
交易磋商,jiao'yi'cuo'shang
结关,jie'guan
结汇,jie'hui
接受,jie'shou
进出口贸易,jin'chu'kou'mao'yi
进出口配额,jin'chu'kou'pei'e
进出口商品比价,jin'chu'kou'shang'pin'bi'jia
进出口商品比价指数,jin'chu'kou'shang'pin'bi'jia'zhi'shu
进出口商品检验,jin'chu'kou'shang'pin'jian'yan
进出口总额,jin'chu'kou'zong'e
金额,jin'e
进口,jin'kou
