俺答,an'da
八月丁巳,ba'yue'ding'si
百里奚,bai'li'xi
爆发了,bao'fa'le
被拜为,bei'bai'wei
北部边防,bei'bu'bian'fang
被册立为,bei'ce'li'wei
北魏时候,bei'wei'shi'hou
本来叫,ben'lai'jiao
编修官,bian'xiu'guan
边镇防务,bian'zhen'fang'wu
兵部尚书,bing'bu'shang'shu
兵部尚书于谦,bing'bu'shang'shu'yu'qian
并为,bing'wei
丙寅诏狱,bing'yin'zhao'yu
博涉书史,bo'she'shu'shi
不得关白,bu'de'guan'bai
不理朝政,bu'li'chao'zheng
财政恶化,cai'zheng'e'hua
财政破产,cai'zheng'po'chan
财政状况,cai'zheng'zhuang'kuang
残酷地,can'ku'de
残酷迫害,can'ku'po'hai
曹吉祥,cao'ji'xiang
长安门,chang'an'men
长城防线,chang'cheng'fang'xian
常遇春,chang'yu'chun
朝代之一,chao'dai'zhi'yi
抄家去职,chao'jia'qu'zhi
朝始,chao'shi
彻底灭绝,che'di'mie'jue
臣操威福,chen'cao'wei'fu
陈宁,chen'ning
臣下,chen'xia
称帝,cheng'di
郕王,cheng'wang
郕王朱祁钰,cheng'wang'zhu'qi'yu
驰马于市,chi'ma'yu'shi
重修宋史,chong'xiu'song'shi
崇祯,chong'zhen
崇祯帝,chong'zhen'di
崇祯二年,chong'zhen'er'nian
崇祯年间,chong'zhen'nian'jian
崇祯十七年,chong'zhen'shi'qi'nian
崇祯元年,chong'zhen'yuan'nian
初封,chu'feng
初期在,chu'qi'zai
出自姬姓,chu'zi'ji'xing
传教士,chuan'jiao'shi
春秋时代,chun'qiu'shi'dai
崔呈秀尸,cui'cheng'xiu'shi
大都,da'dou
大将军,da'jiang'jun
大历史观,da'li'shi'guan
大顺,da'shun
大夏,da'xia
代为首辅,dai'wei'shou'fu
但由,dan'you
的部队,de'bu'dui
的儿子,de'er'zi
的发展,de'fa'zhan
的后代,de'hou'dai
的军队,de'jun'dui
的领土,de'ling'tu
的迫害,de'po'hai
的时候,de'shi'hou
的时期,de'shi'qi
的统治,de'tong'zhi
的王朝,de'wang'chao
的望族,de'wang'zu
的政变,de'zheng'bian
等罪名,deng'zui'ming
第三任皇帝,di'san'ren'huang'di
第三位皇帝,di'san'wei'huang'di
第三子,di'san'zi
第四子,di'si'zi
第五子,di'wu'zi
地主阶级,di'zhu'jie'ji
定逆案,ding'ni'an
东阁大学士,dong'ge'da'xue'shi
东华门,dong'hua'men
东林党人,dong'lin'dang'ren
斗眷氏,dou'juan'shi
都督张軏,du'du'zhang'yue
蠹害政治,du'hai'zheng'zhi
夺门之变,duo'men'zhi'bian
夺取帝位,duo'qu'di'wei
而改姓明,er'gai'xing'ming
二十一年,er'shi'yi'nian
发动叛乱,fa'dong'pan'luan
发动政变,fa'dong'zheng'bian
方孝孺,fang'xiao'ru
非常严重,fei'chang'yan'zhong
废弛边防,fei'chi'bian'fang
废景帝,fei'jing'di
冯保,feng'bao
冯铨,feng'quan
奉天殿,feng'tian'dian
凤阳,feng'yang
赋税制度,fu'shui'zhi'du
复位后,fu'wei'hou
改革措施,gai'ge'cuo'shi
改明姓,gai'ming'xing
改年号为,gai'nian'hao'wei
改为留都,gai'wei'liu'du
改姓明,gai'xing'ming
改元永乐,gai'yuan'yong'le
高拱,gao'gong
告知百官,gao'zhi'bai'guan
高筑墙,gao'zhu'qiang
各省,ge'sheng
巩固边防,gong'gu'bian'fang
攻入南京,gong'ru'nan'jing
攻占北京,gong'zhan'bei'jing
公族,gong'zu
古今地带记,gu'jin'di'dai'ji
关外,guan'wai
官员腐化,guan'yuan'fu'hua
广积粮,guang'ji'liang
国号大明,guo'hao'da'ming
郭桓,guo'huan
国力较盛,guo'li'jiao'sheng
国力强盛,guo'li'qiang'sheng
还朝复官,hai'chao'fu'guan
海内清平,hai'nei'qing'ping
翰林事,han'lin'shi
翰林院,han'lin'yuan
翰林院编修,han'lin'yuan'bian'xiu
翰林院学士,han'lin'yuan'xue'shi
号介溪,hao'jie'xi
红巾军,hong'jin'jun
红巾军起义,hong'jin'jun'qi'yi
洪武九年,hong'wu'jiu'nian
洪武三年,hong'wu'san'nian
洪武十三年正月,hong'wu'shi'san'nian'zheng'yue
弘治,hong'zhi
弘治时期,hong'zhi'shi'qi
弘治中兴,hong'zhi'zhong'xing
侯国兴,hou'guo'xing
后金,hou'jin
后金政权,hou'jin'zheng'quan
后来因为,hou'lai'yin'wei
湖北浠水县,hu'bei'xi'shui'xian
胡惟庸,hu'wei'yong
胡惟庸之子,hu'wei'yong'zhi'zi
华盖殿大学士,hua'gai'dian'da'xue'shi
缓称王,huan'cheng'wang
宦官冯保,huan'guan'feng'bao
宦官王振,huan'guan'wang'zhen
宦官张诚,huan'guan'zhang'cheng
皇帝怠政,huang'di'dai'zheng
黄门集团,huang'men'ji'tuan
皇权,huang'quan
黄仁宇,huang'ren'yu
恢复名誉,hui'fu'ming'yu
继承帝位,ji'cheng'di'wei
极度黑暗,ji'du'hei'an
激化了,ji'hua'le
即皇帝位,ji'huang'di'wei
羁縻机构,ji'mi'ji'gou
籍其家,ji'qi'jia
激起民变,ji'qi'min'bian
嘉靖,jia'jing
嘉靖二十六年,jia'jing'er'shi'liu'nian
嘉靖七年,jia'jing'qi'nian
嘉靖十五年,jia'jing'shi'wu'nian
加快了,jia'kuai'le
加深了,jia'shen'le
家族尊序,jia'zu'zun'xu
建极殿大学士,jian'ji'dian'da'xue'shi
建立的,jian'li'de
建立了,jian'li'le
建立明朝,jian'li'ming'chao
建文帝,jian'wen'di
建文元年,jian'wen'yuan'nian
江南民变,jiang'nan'min'bian
江西分宜人,jiang'xi'fen'yi'ren
今北京,jin'bei'jing
晋朝,jin'chao
晋官加爵,jin'guan'jia'jue
今江苏南京,jin'jiang'su'nan'jing
进爵为侯,jin'jue'wei'hou
今南京,jin'nan'jing
今山东省,jin'shan'dong'sheng
谨身殿大学士,jin'shen'dian'da'xue'shi
进士,jin'shi
晋王朱,jin'wang'zhu
进行改革,jin'xing'gai'ge
