阿炳,a'bing
宫商角徵羽,gong'shang'jue'zhi'yu
龚一,gong'yi
勾连,gou'lian
骨笛,gu'di
古典戏曲声乐论著丛编,gu'dian'xi'qu'sheng'yue'lun'zhu'cong'bian
古典主义时期,gu'dian'zhu'yi'shi'qi
固定唱名法,gu'ding'chang'ming'fa
固定调唱名法,gu'ding'tiao'chang'ming'fa
鼓儿词,gu'er'ci
古非里,gu'fei'li
古雷斯基,gu'lei'si'ji
古琴,gu'qin
古琴曲集,gu'qin'qu'ji
鼓师,gu'shi
古丝路音乐暨敦煌舞谱研究,gu'si'lu'yin'yue'ji'dun'huang'wu'pu'yan'jiu
姑冼,gu'xian
古音阶,gu'yin'jie
古筝,gu'zheng
鼓子曲,gu'zi'qu
鼓子秧歌,gu'zi'yang'ge
古组曲,gu'zu'qu
刮奏记号,gua'zou'ji'hao
管风琴,guan'feng'qin
管风琴众赞歌,guan'feng'qin'zhong'zan'ge
管平湖,guan'ping'hu
关系大小调,guan'xi'da'xiao'diao
冠音,guan'yin
管子,guan'zi
广板,guang'ban
光吞,guang'tun
广西文场,guang'xi'wen'chang
光亚,guang'ya
圭多,gui'duo
桂南采茶,gui'nan'cai'cha
贵州侗戏,gui'zhou'dong'xi
滚板,gun'ban
棍棍音,gun'gun'yin
滚浪花,gun'lang'hua
郭咚郭,guo'dong'guo
果哈,guo'ha
国际编钟会议论文专号,guo'ji'bian'zhong'hui'yi'lun'wen'zhuan'hao
过江龙,guo'jiang'long
国剧,guo'ju
哈巴涅拉,ha'ba'nie'la
哈尔虎,ha'er'hu
哈尔托克,ha'er'tuo'ke
哈肯麦,ha'ken'mai
蛤蟆跳,ha'ma'tiao
哈尼哈吧,ha'ni'ha'ba
哈恰图良,ha'qia'tu'liang
海顿,hai'dun
海逢贤,hai'feng'xian
海派,hai'pai
海盐腔,hai'yan'qiang
汉代乐舞百戏艺术研究,han'dai'yue'wu'bai'xi'yi'shu'yan'jiu
汉剧,han'ju
汉滩小曲,han'tan'xiao'qu
汉族民间歌舞,han'zu'min'jian'ge'wu
汉族戏曲剧种及术语,han'zu'xi'qu'ju'zhong'ji'shu'yu
行当,hang'dang
杭子和,hang'zi'he
浩大地,hao'da'di
号筒,hao'tong
河北梆子,he'bei'bang'zi
和必斯,he'bi'si
合唱,he'chang
和春班,he'chun'ban
和即贵,he'ji'gui
河间大鼓,he'jian'da'gu
河南梆子,he'nan'bang'zi
河南高调,he'nan'gao'diao
河南坠子,he'nan'zhui'zi
和声,he'sheng
和声半音阶,he'sheng'ban'yin'jie
和声大调,he'sheng'da'diao
和声大小调,he'sheng'da'xiao'diao
和声教材,he'sheng'jiao'cai
和声理论,he'sheng'li'lun
和声模进,he'sheng'mo'jin
和声小调,he'sheng'xiao'diao
和声音程,he'sheng'yin'cheng
和顺良,he'shun'liang
合尾,he'wei
和锡典,he'xi'dian
和弦外音,he'xian'wai'yin
合奏,he'zou
亨策,heng'ce
横吹,heng'chui
亨德密特,heng'de'mi'te
横笛,heng'di
横鼓,heng'gu
洪湖赤卫队,hong'hu'chi'wei'dui
后倚音,hou'yi'yin
湖北大鼓,hu'bei'da'gu
湖北小曲,hu'bei'xiao'qu
湖北渔鼓,hu'bei'yu'gu
胡拨四,hu'bo'si
蝴蝶琴,hu'die'qin
胡呼,hu'hu
胡笳,hu'jia
沪剧,hu'ju
胡箜篌,hu'kong'hou
忽雷,hu'lei
葫芦笙,hu'lu'sheng
葫芦丝,hu'lu'si
湖南地花鼓,hu'nan'di'hua'gu
湖南侗戏,hu'nan'dong'xi
湖南花鼓,hu'nan'hua'gu
湖南花鼓戏,hu'nan'hua'gu'xi
湖南丝弦,hu'nan'si'xian
琥珀词,hu'po'ci
胡琴,hu'qin
滑拨,hua'bo
华彩段,hua'cai'duan
华彩乐段,hua'cai'yue'duan
花旦,hua'dan
花灯,hua'deng
华尔兹,hua'er'zi
花鼓,hua'gu
花鼓大筒,hua'gu'da'tong
花鼓灯,hua'gu'deng
花鼓小锣,hua'gu'xiao'luo
花棍,hua'gun
花盆鼓,hua'pen'gu
花四宝,hua'si'bao
华万钟,hua'wan'zhong
花音,hua'yin
滑音记号,hua'yin'ji'hao
花音腔,hua'yin'qiang
化妆,hua'zhuang
淮北梆子,huai'bei'bang'zi
怀鼓,huai'gu
槐花几时开,huai'hua'ji'shi'kai
淮剧,huai'ju
换气记号,huan'qi'ji'hao
换头,huan'tou
欢喜琴,huan'xi'qin
幻想交响曲,huan'xiang'jiao'xiang'qu
幻想曲,huan'xiang'qu
还原,huan'yuan
还原记号,huan'yuan'ji'hao
簧管气鸣乐器,huang'guan'qi'ming'yue'qi
黄梅戏,huang'mei'xi
簧片,huang'pian
黄腔,huang'qiang
簧调,huang'tiao
黄钟,huang'zhong
恢复原速,hui'fu'yuan'su
徽汉合流,hui'han'he'liu
徽秦合流,hui'qin'he'liu
回旋曲,hui'xuan'qu
回旋曲式,hui'xuan'qu'shi
回音,hui'yin
浑不似,hun'bu'si
混合复拍子,hun'he'fu'pai'zi
混合里底亚调式,hun'he'li'di'ya'diao'shi
混合拍子,hun'he'pai'zi
火不思,huo'bu'si
急板,ji'ban
基本拍型,ji'ben'pai'xing
基本音程,ji'ben'yin'cheng
基本音级,ji'ben'yin'ji
集成曲谱,ji'cheng'qu'pu
激动地,ji'dong'de
冀东地秧歌,ji'dong'di'yang'ge
基督教音乐,ji'du'jiao'yin'yue
吉格舞曲,ji'ge'wu'qu
级进,ji'jin
鸡娄鼓,ji'lou'gu
嵇琴,ji'qin
稽琴,ji'qin
吉他,ji'ta
即兴曲,ji'xing'qu
击奏膜鸣乐器,ji'zou'mo'ming'yue'qi
击奏弦鸣乐器,ji'zou'xian'ming'yue'qi
加布里埃利,jia'bu'li'ai'li
加伏特,jia'fu'te
笳管,jia'guan
加花,jia'hua
加键笙,jia'jian'sheng
加速,jia'su
加线,jia'xian
伽倻琴,jia'ye'qin
夹钟,jia'zhong
减八度,jian'ba'du
减和弦,jian'he'xian
减和弦音阶,jian'he'xian'yin'jie
剪剪花,jian'jian'hua
渐快,jian'kuai
渐快加急,jian'kuai'jia'ji
减六度,jian'liu'du
减慢,jian'man
渐慢,jian'man
简谱,jian'pu
减七度,jian'qi'du
减七和弦,jian'qi'he'xian
渐强,jian'qiang
减三和弦,jian'san'he'xian
减三声,jian'san'sheng
减时线,jian'shi'xian
建水花灯,jian'shui'hua'deng
减四度,jian'si'du
减小七和弦,jian'xiao'qi'he'xian
简约音乐,jian'yue'yin'yue
间奏曲,jian'zou'qu
降半音,jiang'ban'yin
降号,jiang'hao
降号类调号,jiang'hao'lei'diao'hao
降记号,jiang'ji'hao
江西道情,jiang'xi'dao'qing
角调式,jiao'diao'shi
叫鬼号,jiao'gui'hao
教会调式,jiao'hui'diao'shi
脚铃,jiao'ling
教堂奏鸣曲,jiao'tang'zou'ming'qu
交响曲,jiao'xiang'qu
铰子,jiao'zi
劫夫,jie'fu
介各,jie'ge
介各斯,jie'ge'si
羯鼓,jie'gu
羯鼓录,jie'gu'lu
节节断,jie'jie'duan
节节高,jie'jie'gao
节拍,jie'pai
节拍器,jie'pai'qi
结束句,jie'shu'ju
杰苏阿尔多,jie'su'a'er'duo
节奏型,jie'zou'xing
金铎,jin'duo
金橄榄,jin'gan'lan
金钩挂,jin'gou'gua
近关系调,jin'guan'xi'tiao
金华戏,jin'hua'xi
今乐考证,jin'le'kao'zheng
紧七,jin'qi
金钱板,jin'qian'ban
金钱棍,jin'qian'gun
金声民,jin'sheng'min
金属制口弦,jin'shu'zhi'kou'xian
金湘,jin'xiang
进行曲,jin'xing'qu
进行曲风格,jin'xing'qu'feng'ge
金玉奴,jin'yu'nu
今虞琴刊,jin'yu'qin'kan
金震,jin'zhen
晋中秧歌,jin'zhong'yang'ge
京调,jing'diao
京二胡,jing'er'hu
经过音,jing'guo'yin
京胡,jing'hu
京剧,jing'ju
京剧声腔,jing'ju'sheng'qiang
京剧艺术流派,jing'ju'yi'shu'liu'pai
净角,jing'jue
京派,jing'pai
经文歌,jing'wen'ge
京戏,jing'xi
京小锣,jing'xiao'luo
京音大鼓,jing'yin'da'gu
京韵大鼓,jing'yun'da'gu
京韵风,jing'yun'feng
九度音,jiu'du'yin
九宫大成南北词宫谱,jiu'gong'da'cheng'nan'bei'ci'gong'pu
九和弦,jiu'he'xian
九连音,jiu'lian'yin
久明,jiu'ming
九腔十八板,jiu'qiang'shi'ba'ban
九弦琴,jiu'xian'qin
九音锣,jiu'yin'luo
句后帮,ju'hou'bang
剧目,ju'mu
句前帮,ju'qian'bang
剧团,ju'tuan
剧种,ju'zhong
君果吉,jun'guo'ji
君老,jun'lao
君琵琶,jun'pi'pa
卡尔奈,ka'er'nai
卡龙,ka'long
卡玛尔库瓦尼什谔西克拜,ka'ma'er'ku'wa'ni'shen'e'xi'ke'bai
卡玛勒依西克巴依,ka'ma'le'yi'xi'ke'ba'yi
卡特,ka'te
坎侯,kan'hou
看秧歌,kan'yang'ge
坎佐纳,kan'zuo'na
康塔塔,kang'ta'ta
扛子,kang'zi
靠把调,kao'ba'tiao
考姆兹,kao'mu'zi
柯布孜,ke'bu'zi
克拉,ke'la
克雅可,ke'ya'ke
克亚克,ke'ya'ke
空城计,kong'cheng'ji
空侯,kong'hou
箜篌,kong'hou
口笛,kou'di
口儿,kou'er
口风琴,kou'feng'qin
口弓,kou'gong
口簧,kou'huang
口口,kou'kou
口琴,kou'qin
口哨,kou'shao
口弦,kou'xian
口衔子,kou'xian'zi
口箫,kou'xiao
库朗舞曲,ku'lang'wu'qu
库姆兹,ku'mu'zi
哭七七,ku'qi'qi
哭腔,ku'qiang
哭相思,ku'xiang'si
苦音,ku'yin
苦中乐,ku'zhong'yue
快板,kuai'ban
快速,kuai'su
狂想曲,kuang'xiang'qu
昆剧,kun'ju
昆剧板式,kun'ju'ban'shi
昆剧演出史稿,kun'ju'yan'chu'shi'gao
昆明花灯,kun'ming'hua'deng
昆腔,kun'qiang
昆曲,kun'qu
昆山腔,kun'shan'qiang
喇叭,la'ba
喇叭卜,la'ba'bo
拉魂腔,la'hun'qiang
喇嘛嘛呢娃,la'ma'ma'ne'wa
拉篾,la'mie
拉索,la'suo
拉调,la'tiao
拉瓦波,la'wa'bo
拉弦乐器,la'xian'yue'qi
蓝德才,lan'de'cai
蓝扶布,lan'fu'bu
蓝花花,lan'hua'hua
蓝霖德,lan'lin'de
蓝面具藏戏,lan'mian'ju'zang'xi
狼鼓,lang'gu
朗朗,lang'lang
浪漫主义时期,lang'man'zhu'yi'shi'qi
浪赛,lang'sai
浪淘沙,lang'tao'sha
狼涨,lang'zhang
老旦,lao'dan
老调梆子,lao'diao'bang'zi
老淮调,lao'huai'tiao
老生,lao'sheng
乐亭大鼓,lao'ting'da'gu
乐杵,le'chu
乐家录,le'jia'lu
乐书,le'shu
乐学轨范,le'xue'gui'fan
勒尤,le'you
雷奥诺拉序曲,lei'ao'nuo'la'xu'qu
雷琴,lei'qin
雷鼗,lei'tao
李大,li'da
历代乐志律志校释,li'dai'le'zhi'lv'zhi'xiao'shi
里底亚调式,li'di'ya'diao'shi
力度,li'du
力度重音,li'du'zhong'yin
黎鼓,li'gu
梨花片,li'hua'pian
犁铧片,li'hua'pian
立箜篌,li'kong'hou
里姆斯基科萨科夫,li'mu'si'ji'ke'sa'ke'fu
李氏琵琶新谱,li'shi'pi'pa'xin'pu
离调,li'tiao
黎英海,li'ying'hai
梨园戏,li'yuan'xi
练耳,lian'er
联合谱表,lian'he'pu'biao
莲花板,lian'hua'ban
莲花落,lian'hua'lao
连环扣,lian'huan'kou
梿枷头,lian'jia'tou
脸谱,lian'pu
练声曲,lian'sheng'qu
练习曲,lian'xi'qu
连线,lian'xian
连厢棍,lian'xiang'gun
连音符,lian'yin'fu
连音线,lian'yin'xian
两汉论乐文字辑译,liang'han'lun'le'wen'zi'ji'yi
两杖鼓,liang'zhang'gu
辽金元音乐史料,liao'jin'yuan'yin'yue'shi'liao
辽宁大鼓,liao'ning'da'gu
临时变拍,lin'shi'bian'pai
临时变音记号,lin'shi'bian'yin'ji'hao
临时记号,lin'shi'ji'hao
林钟,lin'zhong
铃钹,ling'bo
铃鼓,ling'gu
玲玲调,ling'ling'tiao
灵鼗,ling'tao
六朝乐府与民歌,liu'chao'yue'fu'yu'min'ge
六代乐舞,liu'dai'yue'wu
六旦,liu'dan
六洞弹唱,liu'dong'tan'chang
六和弦,liu'he'xian
六连音,liu'lian'yin
六拍子,liu'pai'zi
柳琴,liu'qin
六声调式,liu'sheng'diao'shi
六声音阶,liu'sheng'yin'jie
流水板,liu'shui'ban
柳叶青,liu'ye'qing
六也曲谱,liu'ye'qu'pu
六月雪,liu'yue'xue
流徵,liu'zheng
柳子腔,liu'zi'qiang
龙摆尾,long'bai'wei
龙从和,long'cong'he
龙令山,long'ling'shan
芦笛,lu'di
禄丰花灯,lu'feng'hua'deng
芦管,lu'guan
芦笙,lu'sheng
芦笙舞,lu'sheng'wu
路鼗,lu'tao
乱弹,luan'tan
轮音,lun'yin
落地书,luo'di'shu
锣鼓,luo'gu
洛克里亚调式,luo'ke'li'ya'diao'shi
罗罗腔,luo'luo'qiang
罗平花灯,luo'ping'hua'deng
吕剧,lv'ju
律吕阐微,lv'lv'chan'wei
律吕新书,lv'lv'xin'shu
律吕正义,lv'lv'zheng'yi
绿绮,lv'qi
吕氏春秋音乐文字译注,lv'shi'chun'qiu'yin'yue'wen'zi'yi'zhu
律学,lv'xue
律学会通,lv'xue'hui'tong
律学书目文目索引,lv'xue'shu'mu'wen'mu'suo'yin
律学新说,lv'xue'xin'shuo
马补,ma'bu
马尔蒂努,ma'er'di'nu
马骨胡,ma'gu'hu
马锣,ma'luo
马首胡,ma'shou'hu
马头琴,ma'tou'qin
马显臣,ma'xian'chen
马肖,ma'xiao
玛祖卡舞曲,ma'zu'ka'wu'qu
麦日喜贝,mai'ri'xi'bei
慢八,man'ba
慢板,man'ban
慢三眼,man'san'yan
慢速,man'su
满堂音,man'tang'yin
曼陀铃,man'tuo'ling
铓锣,mang'luo
芒筒,mang'tong
