爱民医院,ai'min'yi'yuan
爱乐米哥,ai'yue'mi'ge
安口镇,an'kou'zhen
白山,bai'shan
白山的,bai'shan'de
百姓家,bai'xing'jia
百业,bai'ye
百业信息,bai'ye'xin'xi
刨幺,bao'yao
彪的,biao'de
不好战,bu'hao'zhan
参场,can'chang
唱名堂,chang'ming'tang
炒冷面,chao'leng'mian
朝阳镇,chao'yang'zhen
川娃子,chuan'wa'zi
大泉,da'quan
大泉源,da'quan'yuan
大禹康城,da'yu'kang'cheng
到梅河,dao'mei'he
到梅河口,dao'mei'he'kou
到通化,dao'tong'hua
的叫着,de'jiao'zhe
丁未,ding'wei
东昌区,dong'chang'qu
儿白了,er'bai'le
二道沟,er'dao'gou
二道河,er'dao'he
二道江,er'dao'jiang
二道江区,er'dao'jiang'qu
干败了,gan'bai'le
干沟,gan'gou
高丽街,gao'li'jie
高丽楼,gao'li'lou
孤山子,gu'shan'zi
海龙镇,hai'long'zhen
还想怎么的,hai'xiang'zen'me'de
好苹果,hao'ping'guo
弘康盛世,hong'kang'sheng'shi
弘康园,hong'kang'yuan
红梅镇,hong'mei'zhen
湖上村,hu'shang'cun
回柳河,hui'liu'he
回梅河,hui'mei'he
辉南,hui'nan
辉南县,hui'nan'xian
辉南镇,hui'nan'zhen
回通化,hui'tong'hua
浑江,hun'jiang
集安,ji'an
集安市,ji'an'shi
吉林广播网,ji'lin'guang'bo'wang
吉林省通化市,ji'lin'sheng'tong'hua'shi
吉林通化,ji'lin'tong'hua
吉林一,ji'lin'yi
集贸,ji'mao
煎粉,jian'fen
借我枪,jie'wo'qiang
经济局,jing'ji'ju
靖宇中学,jing'yu'zhong'xue
就这社会,jiu'zhe'she'hui
康馨园,kang'xin'yuan
考车票,kao'che'piao
可不怎么的,ke'bu'zen'me'de
课后班,ke'hou'ban
快大,kuai'da
快大了,kuai'da'le
来梅河,lai'mei'he
来通化,lai'tong'hua
莱茵河,lai'yin'he
老打字,lao'da'zi
老盖了,lao'gai'le
老站,lao'zhan
聊呢吗,liao'ne'ma
领海区的,ling'hai'qu'de
六道沟,liu'dao'gou
柳河,liu'he
柳河的,liu'he'de
柳河县,liu'he'xian
柳河镇,liu'he'zhen
龙泉寺,long'quan'si
龙群,long'qun
楼街,lou'jie
罗通山,luo'tong'shan
美国加州牛肉面,mei'guo'jia'zhou'niu'rou'mian
梅河,mei'he
梅河的,mei'he'de
梅河口,mei'he'kou
梅河口的,mei'he'kou'de
梅河口市,mei'he'kou'shi
梅河了,mei'he'le
没在我这屋,mei'zai'wo'zhe'wu
妹子安家,mei'zi'an'jia
明太鱼,ming'tai'yu
闹死心了,nao'si'xin'le
你才来呀,ni'cai'lai'ya
你刚学,ni'gang'xue
你家大姐,ni'jia'da'jie
你可真是的,ni'ke'zhen'shi'de
你快点的吧,ni'kuai'dian'de'ba
你也找点睡吧,ni'ye'zhao'dian'shui'ba
你用电脑上网,ni'yong'dian'nao'shang'wang
年部,nian'bu
牛心顶,niu'xin'ding
暖房子,nuan'fang'zi
跑破鞋,pao'po'xie
千叶湖,qian'ye'hu
清河镇,qing'he'zhen
青石,qing'shi
青石村,qing'shi'cun
青石镇,qing'shi'zhen
去柳河,qu'liu'he
去梅河,qu'mei'he
去通化,qu'tong'hua
三角龙湾,san'jiao'long'wan
三棵榆树,san'ke'yu'shu
三棵榆树镇,san'ke'yu'shu'zhen
三驴逼,san'lv'bi
三源浦,san'yuan'pu
山菜,shan'cai
山城村,shan'cheng'cun
山城镇,shan'cheng'zhen
杉松岗,shan'song'gang
上长春,shang'chang'chun
商业大楼,shang'ye'da'lou
烧锅村,shao'guo'cun
生气归生气,sheng'qi'gui'sheng'qi
石湖镇,shi'hu'zhen
是听过,shi'ting'guo
石油化,shi'you'hua
是做什么啊,shi'zuo'shen'me'a
双兴乡,shuang'xing'xiang
水岸人家,shui'an'ren'jia
水洞,shui'dong
水云天,shui'yun'tian
他今天又回家啊,ta'jin'tian'you'hui'jia'a
台湾城,tai'wan'cheng
太王,tai'wang
同德堂,tong'de'tang
通钢,tong'gang
通钢一中,tong'gang'yi'zhong
通沟,tong'gou
通沟村,tong'gou'cun
通化,tong'hua
通化吧,tong'hua'ba
通化百业信息,tong'hua'bai'ye'xin'xi
通化的,tong'hua'de
通化了,tong'hua'le
通化人,tong'hua'ren
通化市,tong'hua'shi
通化师范学院,tong'hua'shi'fan'xue'yuan
通化县,tong'hua'xian
通胜街道,tong'sheng'jie'dao
头道,tou'dao
湾沟,wan'gou
晚会啊,wan'hui'a
湾龙乡,wan'long'xiang
我在通化,wo'zai'tong'hua
我这破牌,wo'zhe'po'pai
五道沟,wu'dao'gou
五道江,wu'dao'jiang
五女峰,wu'nv'feng
五人班,wu'ren'ban
下解放,xia'jie'fang
心不顺,xin'bu'shun
新合,xin'he
新合镇,xin'he'zhen
新华桥,xin'hua'qiao
新开道,xin'kai'dao
新站,xin'zhan
兴客家,xing'ke'jia
鸭绿江,ya'lu'jiang
鸭园,ya'yuan
样子哨,yang'zi'shao
养足堂,yang'zu'tang
腰突,yao'tu
夜眠神,ye'mian'shen
英戈布,ying'ge'bu
有点冷漠,you'dian'leng'mo
有事您,you'shi'nin
游戏日,you'xi'ri
玉皇山,yu'huang'shan
在白山,zai'bai'shan
在朝阳镇,zai'chao'yang'zhen
在快大,zai'kuai'da
在柳河,zai'liu'he
在梅河,zai'mei'he
在梅河口,zai'mei'he'kou
在通化,zai'tong'hua
朝阳湖,zhao'yang'hu
这个不敢,zhe'ge'bu'gan
