凹顶活塞,ao'ding'huo'sai
半挂车间隙半径,ban'gua'che'jian'xi'ban'jing
半挂牵引车承受的最大静载荷,ban'gua'qian'yin'che'cheng'shou'de'zui'da'jing'zai'he
半自动换档机械式变速器,ban'zi'dong'huan'dang'ji'xie'shi'bian'su'qi
闭式曲轴箱通风装置,bi'shi'qu'zhou'xiang'tong'feng'zhuang'zhi
薄臂轴瓦,bo'bi'zhou'wa
不变间隙活塞,bu'bian'jian'xi'huo'sai
部分负荷,bu'fen'fu'he
侧向安装燃油喷射泵,ce'xiang'an'zhuang'ran'you'pen'she'beng
柴油机排烟测定仪器,chai'you'ji'pai'yan'ce'ding'yi'qi
长度计算用牵引座前置距,chang'du'ji'suan'yong'qian'yin'zuo'qian'zhi'ju
车厢内部最大尺寸,che'xiang'nei'bu'zui'da'chi'cun
充量进气,chong'liang'jin'qi
充量系数,chong'liang'xi'shu
传动系的扭转振动,chuan'dong'xi'de'niu'zhuan'zhen'dong
传动系的噪声,chuan'dong'xi'de'zao'sheng
单缸式燃油喷射泵,dan'gang'shi'ran'you'pen'she'beng
导流屏式气门进气,dao'liu'ping'shi'qi'men'jin'qi
导轮可反转的变矩器,dao'lun'ke'fan'zhuan'de'bian'ju'qi
底部突缘安装燃油喷射泵,di'bu'tu'yuan'an'zhuang'ran'you'pen'she'beng
点火和喷油时刻控制系统,dian'huo'he'pen'you'shi'ke'kong'zhi'xi'tong
点火时刻控制系统,dian'huo'shi'ke'kong'zhi'xi'tong
电子控制化油器,dian'zi'kong'zhi'hua'you'qi
电子燃油喷射系统,dian'zi'ran'you'pen'she'xi'tong
电子同步变速装置,dian'zi'tong'bu'bian'su'zhuang'zhi
动力助力换档变速器,dong'li'zhu'li'huan'dang'bian'su'qi
动平衡机,dong'ping'heng'ji
端部突缘安装式燃油喷射泵,duan'bu'tu'yuan'an'zhuang'shi'ran'you'pen'she'beng
二次空气喷射减速压阀,er'ci'kong'qi'pen'she'jian'su'ya'fa
发动机电子集中控制系统,fa'dong'ji'dian'zi'ji'zhong'kong'zhi'xi'tong
飞轮壳,fei'lun'ke
飞轮蓄能传动系,fei'lun'xu'neng'chuan'dong'xi
分层充气,fen'ceng'chong'qi
分段式多档变速器,fen'duan'shi'duo'dang'bian'su'qi
分离轴承和分离套筒总成,fen'li'zhou'cheng'he'fen'li'tao'tong'zong'cheng
分析测定方法和仪器,fen'xi'ce'ding'fang'fa'he'yi'qi
峰值喷油压力,feng'zhi'pen'you'ya'li
复查试验,fu'cha'shi'yan
负荷控制的推迟喷油时刻,fu'he'kong'zhi'de'tui'chi'pen'you'shi'ke
辅助充气约束系统,fu'zhu'chong'qi'yue'shu'xi'tong
辅助约束系统,fu'zhu'yue'shu'xi'tong
附装燃油箱中的电动燃油泵,fu'zhuang'ran'you'xiang'zhong'de'dian'dong'ran'you'beng
高海拔补偿式化油器,gao'hai'ba'bu'chang'shi'hua'you'qi
给气比,gei'qi'bi
公路事故或故障车辆的急修车,gong'lu'shi'gu'huo'gu'zhang'che'liang'de'ji'xiu'che
功率突然变化影响试验,gong'lv'tu'ran'bian'hua'ying'xiang'shi'yan
功效性能状况分类,gong'xiao'xing'neng'zhuang'kuang'fen'lei
工作缸活塞回位弹簧,gong'zuo'gang'huo'sai'hui'wei'tan'huang
光化学活性碳氢化合物,guang'hua'xue'huo'xing'tan'qing'hua'he'wu
光线有效通过长度,guang'xian'you'xiao'tong'guo'chang'du
滚花修复活塞,gun'hua'xiu'fu'huo'sai
号厂房工艺布置方案图,hao'chang'fang'gong'yi'bu'zhi'fang'an'tu
和滤波通道,he'lv'bo'tong'dao
恒温控制式空气滤清器,heng'wen'kong'zhi'shi'kong'qi'lv'qing'qi
横向电磁波模式,heng'xiang'dian'ci'bo'mo'shi
滑差,hua'cha
滑车架,hua'che'jia
换气压缩行程,huan'qi'ya'suo'xing'cheng
活塞,huo'sai
活性碳罐贮存装置,huo'xing'tan'guan'zhu'cun'zhuang'zhi
极限侧向加速度试验,ji'xian'ce'xiang'jia'su'du'shi'yan
机械阻抗分析系统,ji'xie'zu'kang'fen'xi'xi'tong
加热式氢火焰离子化检测器,jia're'shi'qing'huo'yan'li'zi'hua'jian'ce'qi
驾驶室后车架最大可用长度,jia'shi'shi'hou'che'jia'zui'da'ke'yong'chang'du
加压式冷却法,jia'ya'shi'leng'que'fa
加油管,jia'you'guan
减速点火提前控制装置,jian'su'dian'huo'ti'qian'kong'zhi'zhuang'zhi
角度轮,jiao'du'lun
铰接车最大设计质量,jiao'jie'che'zui'da'she'ji'zhi'liang
铰接车最大允许质量,jiao'jie'che'zui'da'yun'xu'zhi'liang
阶梯顶活塞,jie'ti'ding'huo'sai
进气迟后角,jin'qi'chi'hou'jiao
进气持续角,jin'qi'chi'xu'jiao
进气提前角,jin'qi'ti'qian'jiao
进气紊流,jin'qi'wen'liu
进气涡流,jin'qi'wo'liu
菌形气门,jun'xing'qi'men
抗热变形活塞,kang're'bian'xing'huo'sai
空气垫约束系统,kong'qi'dian'yue'shu'xi'tong
空气滤清器及进排气系统,kong'qi'lv'qing'qi'ji'jin'pai'qi'xi'tong
空燃比反馈控制系统,kong'ran'bi'fan'kui'kong'zhi'xi'tong
快速傅里叶变换分析仪,kuai'su'fu'li'ye'bian'huan'fen'xi'yi
宽频人工电源网络,kuan'pin'ren'gong'dian'yuan'wang'luo
框架安装式燃油喷射泵,kuang'jia'an'zhuang'shi'ran'you'pen'she'beng
累积疲劳损伤原理,lei'ji'pi'lao'sun'shang'yuan'li
