阿波林主义,a'bo'lin'zhu'yi
艾俾欧尼派,ai'bi'ou'ni'pai
安乐死,an'le'si
安提约基学派,an'ti'yue'ji'xue'pai
奥力振主义,ao'li'zhen'zhu'yi
奥秘,ao'mi
奥斯定主义,ao'si'ding'zhu'yi
奥体,ao'ti
巴依乌斯主义,ba'yi'wu'si'zhu'yi
白拉奇主义,bai'la'qi'zhu'yi
保禄特权,bao'lu'te'quan
报应,bao'ying
背教,bei'jiao
本位化,ben'wei'hua
本质,ben'zhi
本罪,ben'zui
比喻,bi'yu
辨别神类,bian'bie'shen'lei
编辑批判,bian'ji'pi'pan
辩证神学,bian'zheng'shen'xue
病人傅油圣事,bing'ren'fu'you'sheng'shi
伯多禄特权,bo'duo'lu'te'quan
柏拉图主义,bo'la'tu'zhu'yi
不可知论,bu'ke'zhi'lun
补赎,bu'shu
不完善痛悔派,bu'wan'shan'tong'hui'pai
不信,bu'xin
禅宗佛教,chan'zong'fo'jiao
场合神学,chang'he'shen'xue
朝拜,chao'bai
超德,chao'de
超级属性,chao'ji'shu'xing
朝圣,chao'sheng
超性,chao'xing
超性主义,chao'xing'zhu'yi
超越性,chao'yue'xing
成义,cheng'yi
称义,cheng'yi
初传,chu'chuan
初传神学,chu'chuan'shen'xue
初期教会,chu'qi'jiao'hui
传播福音福传,chuan'bo'fu'yin'fu'chuan
传教方法,chuan'jiao'fang'fa
传教神学,chuan'jiao'shen'xue
传教士,chuan'jiao'shi
传统,chuan'tong
传统主义,chuan'tong'zhu'yi
创世论,chuang'shi'lun
创世主义,chuang'shi'zhu'yi
创造,chuang'zao
创造灵修,chuang'zao'ling'xiu
纯洁派,chun'jie'pai
从无中创造,cong'wu'zhong'chuang'zao
存有,cun'you
存有论,cun'you'lun
存有论证,cun'you'lun'zheng
存在,cun'zai
存在主义,cun'zai'zhu'yi
大公会议,da'gong'hui'yi
大公运动,da'gong'yun'dong
大公主义,da'gong'zhu'yi
大赦,da'she
大司祭,da'si'ji
代祷,dai'dao
单偶论,dan'ou'lun
单志论,dan'zhi'lun
道德律,dao'de'lv
道家,dao'jia
道教,dao'jiao
德性,de'xing
地的神学,di'de'shen'xue
地方教会,di'fang'jiao'hui
第三世界神学,di'san'shi'jie'shen'xue
地狱,di'yu
东方教会,dong'fang'jiao'hui
东方灵修,dong'fang'ling'xiu
东正教神学,dong'zheng'jiao'shen'xue
独身,du'shen
对立的相合,dui'li'de'xiang'he
堕落,duo'luo
多玛斯学派,duo'ma'si'xue'pai
多那特主义,duo'na'te'zhu'yi
多偶制,duo'ou'zhi
多神论,duo'shen'lun
堕胎,duo'tai
多元论,duo'yuan'lun
厄弗所大公会议,e'fu'suo'da'gong'hui'yi
恩宠,en'chong
恩宠神学,en'chong'shen'xue
二性一位的结合,er'xing'yi'wei'de'jie'he
二元论,er'yuan'lun
