隘路,ai'lu
鞍部,an'bu
按方位角行进,an'fang'wei'jiao'xing'jin
暗河,an'he
凹地,ao'di
凹形斜面,ao'xing'xie'mian
半岛,ban'dao
半距等高线,ban'ju'deng'gao'xian
北斗,bei'dou
北极星,bei'ji'xing
北京时间,bei'jing'shi'jian
本初子午线,ben'chu'zi'wu'xian
崩崖,beng'ya
比高,bi'gao
边境勘测,bian'jing'kan'ce
变形地,bian'xing'di
标定地图,biao'ding'di'tu
标高,biao'gao
标图,biao'tu
标准时,biao'zhun'shi
兵棋,bing'qi
兵要地志,bing'yao'di'zhi
波状斜面,bo'zhuang'xie'mian
步测,bu'ce
部队测绘勤务,bu'dui'ce'hui'qin'wu
草原,cao'yuan
侧方交会法,ce'fang'jiao'hui'fa
测绘,ce'hui
测绘保障,ce'hui'bao'zhang
测绘部队,ce'hui'bu'dui
测绘勤务保障,ce'hui'qin'wu'bao'zhang
测距仪,ce'ju'yi
赤道,chi'dao
冲沟,chong'gou
垂直航空摄影,chui'zhi'hang'kong'she'ying
垂直航空照相,chui'zhi'hang'kong'zhao'xiang
磁北,ci'bei
磁偏角,ci'pian'jiao
磁子午线,ci'zi'wu'xian
大地测量,da'di'ce'liang
大地点,da'di'dian
大地控制点,da'di'kong'zhi'dian
大熊星座,da'xiong'xing'zuo
岛屿,dao'yu
等高距,deng'gao'ju
等高线,deng'gao'xian
等角正圆柱投影,deng'jiao'zheng'yuan'zhu'tou'ying
等齐斜面,deng'qi'xie'mian
等深距,deng'shen'ju
地方时,di'fang'shi
地极,di'ji
地理图,di'li'tu
地理坐标,di'li'zuo'biao
地貌,di'mao
地貌特征点,di'mao'te'zheng'dian
地貌图,di'mao'tu
地球,di'qiu
地球磁极,di'qiu'ci'ji
地图,di'tu
地图比例尺,di'tu'bi'li'chi
地图编印,di'tu'bian'yin
地图编制,di'tu'bian'zhi
地图储备,di'tu'chu'bei
地图供应,di'tu'gong'ying
地图投影,di'tu'tou'ying
地物,di'wu
地下河,di'xia'he
地形,di'xing
地形测量,di'xing'ce'liang
地形略图,di'xing'lue'tu
地形判读,di'xing'pan'du
地形图分幅编号,di'xing'tu'fen'fu'bian'hao
地形图图式,di'xing'tu'tu'shi
地形要素,di'xing'yao'su
