阿母白媒人,a'mu'bai'mei'ren
阿母大悲摧,a'mu'da'bei'cui
阿母大拊掌,a'mu'da'fu'zhang
阿母得闻之,a'mu'de'wen'zhi
阿母谓阿女,a'mu'wei'a'nv
阿母谓府吏,a'mu'wei'fu'li
阿母为汝求,a'mu'wei'ru'qiu
阿母谢媒人,a'mu'xie'mei'ren
阿女默无声,a'nv'mo'wu'sheng
阿女衔泪答,a'nv'xian'lei'da
阿兄得闻之,a'xiong'de'wen'zhi
霭霭春空,ai'ai'chun'kong
暧暧远人村,ai'ai'yuan'ren'cun
哀此茕独,ai'ci'qiong'du
爱而不见,ai'er'bu'jian
哀而不伤,ai'er'bu'shang
艾封人之子也,ai'feng'ren'zhi'zi'ye
哀公问社于宰我,ai'gong'wen'she'yu'zai'wo
哀公问与有若曰,ai'gong'wen'yu'you'ruo'yue
哀公问曰,ai'gong'wen'yue
哀公异日以告闵子曰,ai'gong'yi'ri'yi'gao'min'zi'yue
爱国治民,ai'guo'zhi'min
爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
爱己而造哀也,ai'ji'er'zao'ai'ye
爱利出乎仁义,ai'li'chu'hu'ren'yi
哀民生之多艰,ai'min'sheng'zhi'duo'jian
唉乃一声山水绿,ai'nai'yi'sheng'shan'shui'lv
爱渠入眼南山碧,ai'qu'ru'yan'nan'shan'bi
爱人不亲反其仁,ai'ren'bu'qin'fan'qi'ren
爱人利物之谓仁,ai'ren'li'wu'zhi'wei'ren
哀弱羽之飘零,ai'ruo'yu'zhi'piao'ling
爱上层楼,ai'shang'ceng'lou
爱使其形者也,ai'shi'qi'xing'zhe'ye
爱说南朝狂客,ai'shuo'nan'chao'kuang'ke
爱贴地争飞,ai'tie'di'zheng'fei
哀吾生之须臾,ai'wu'sheng'zhi'xu'yu
爱以身为天下,ai'yi'shen'wei'tian'xia
爱以身于为天下,ai'yi'shen'yu'wei'tian'xia
哀又继之,ai'you'ji'zhi
隘与不恭,ai'yu'bu'gong
哀乐不能入也,ai'yue'bu'neng'ru'ye
哀乐不易施乎前,ai'yue'bu'yi'shi'hu'qian
哀乐之来,ai'yue'zhi'lai
哀乐转相寻,ai'yue'zhuan'xiang'xun
哀哉王孙慎勿疏,ai'zai'wang'sun'shen'wu'shu
哀筝一弄湘江曲,ai'zheng'yi'nong'xiang'jiang'qu
哀之末也,ai'zhi'mo'ye
爱之能勿劳乎,ai'zhi'neng'wu'lao'hu
爱之所以成,ai'zhi'suo'yi'cheng
艾枝应愁鬟乱,ai'zhi'ying'chou'huan'luan
爱之欲其富也,ai'zhi'yu'qi'fu'ye
爱之欲其生,ai'zhi'yu'qi'sheng
爱之则亲,ai'zhi'ze'qin
爱子心无尽,ai'zi'xin'wu'jin
庵庵黄昏后,an'an'huang'hun'hou
黯黯见临洮,an'an'jian'lin'tao
黯黯梦云惊断,an'an'meng'yun'jing'duan
暗暗日欲暝,an'an'ri'yu'ming
黯黯生天际,an'an'sheng'tian'ji
岸边两两三三,an'bian'liang'liang'san'san
安不忘危,an'bu'wang'wei
暗补香瘢,an'bu'xiang'ban
安藏人心,an'cang'ren'xin
安禅制毒龙,an'chan'zhi'du'long
暗尘不起,an'chen'bu'qi
暗垂珠露,an'chui'zhu'lu
安得车轮四角,an'de'che'lun'si'jiao
安得而至焉,an'de'er'zhi'yan
安得广厦千万间,an'de'guang'sha'qian'wan'jian
安得至老不更归,an'de'zhi'lao'bu'geng'gui
暗滴花梢,an'di'hua'shao
暗滴鲛珠坠,an'di'jiao'zhu'zhui
安化安不化,an'hua'an'bu'hua
安花著叶,an'hua'zhu'ye
暗将往事思量遍,an'jiang'wang'shi'si'liang'bian
谙尽孤眠滋味,an'jin'gu'mian'zi'wei
安居而天下熄,an'ju'er'tian'xia'xi
暗里忽惊山鸟啼,an'li'hu'jing'shan'niao'ti
暗柳啼鸦,an'liu'ti'ya
安能摧眉折腰事权贵,an'neng'cui'mei'zhe'yao'shi'quan'gui
安能化人,an'neng'hua'ren
安能以此上论列,an'neng'yi'ci'shang'lun'lie
安能治人,an'neng'zhi'ren
安排而去化,an'pai'er'qu'hua
暗欺罗袖,an'qi'luo'xiu
安其危而利其,an'qi'wei'er'li'qi
安取道哉,an'qu'dao'zai
安取仁义,an'qu'ren'yi
黯然销魂者,an'ran'xiao'hun'zhe
安上纯父,an'shang'chun'fu
安时而处顺,an'shi'er'chu'shun
暗数十年湖上路,an'shu'shi'nian'hu'shang'lu
暗思何事断人肠,an'si'he'shi'duan'ren'chang
暗随流水到天涯,an'sui'liu'shui'dao'tian'ya
暗损韶华,an'sun'shao'hua
岸锁春船,an'suo'chun'chuan
安所困苦哉,an'suo'kun'ku'zai
安往而不爱哉,an'wang'er'bu'ai'zai
安危相易,an'wei'xiang'yi
安稳锦衾今夜梦,an'wen'jin'qin'jin'ye'meng
暗想当初,an'xiang'dang'chu
暗香浮动月黄昏,an'xiang'fu'dong'yue'huang'hun
暗消肌雪,an'xiao'ji'xue
暗许闲人带偷掐,an'xu'xian'ren'dai'tou'qia
暗忆欢期真似梦,an'yi'huan'qi'zhen'si'meng
安用礼乐,an'yong'li'yue
暗雨槐黄,an'yu'huai'huang
安与之相靡,an'yu'zhi'xiang'mi
安在其不辱也,an'zai'qi'bu'ru'ye
安知峰壑今来变,an'zhi'feng'he'jin'lai'bian
安知夫子之犹若是也,an'zhi'fu'zi'zhi'you'ruo'shi'ye
安置妥帖平不颇,an'zhi'tuo'tie'ping'bu'po
安知我不知鱼之乐,an'zhi'wo'bu'zhi'yu'zhi'le
安知鱼之乐,an'zhi'yu'zhi'le
暗中偷换,an'zhong'tou'huan
暗追前事,an'zhui'qian'shi
遨头小簇行春队,ao'tou'xiao'cu'xing'chun'dui
傲物则骨肉为行路,ao'wu'ze'gu'rou'wei'xing'lu
翱翔蓬蒿之间,ao'xiang'peng'hao'zhi'jian
骜终身之丑,ao'zhong'shen'zhi'chou
八百里分麾下灸,ba'bai'li'fen'hui'xia'jiu
霸必有大国,ba'bi'you'da'guo
八尺庭中时弄影,ba'chi'ting'zhong'shi'nong'ying
拔出公忠之属而无阿私,ba'chu'gong'zhong'zhi'shu'er'wu'a'si
把春波都酿作,ba'chun'bo'dou'niang'zuo
罢官昨日今如何,ba'guan'zuo'ri'jin'ru'he
罢归无旧业,ba'gui'wu'jiu'ye
拔乎其萃,ba'hu'qi'cui
八家皆私百亩,ba'jia'jie'si'bai'mu
把剑觅徐君,ba'jian'mi'xu'jun
拔剑切而啖之,ba'jian'qie'er'dan'zhi
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
拔剑撞而破之,ba'jian'zhuang'er'po'zhi
芭蕉不展丁香结,ba'jiao'bu'zhan'ding'xiang'jie
芭蕉叶大栀子肥,ba'jiao'ye'da'zhi'zi'fei
把酒长亭说,ba'jiu'chang'ting'shuo
把酒话桑麻,ba'jiu'hua'sang'ma
把酒问青天,ba'jiu'wen'qing'tian
把酒祝东风,ba'jiu'zhu'dong'feng
拔举而不失其能,ba'ju'er'bu'shi'qi'neng
八口之家可以无饥矣,ba'kou'zhi'jia'ke'yi'wu'ji'yi
跋马垂杨渡,ba'ma'chui'yang'du
八年而不知死,ba'nian'er'bu'zhi'si
八年七旱,ba'nian'qi'han
把破帽年年拈出,ba'po'mao'nian'nian'nian'chu
八千里路云和月,ba'qian'li'lu'yun'he'yue
八千岁为秋,ba'qian'sui'wei'qiu
八窍者卵生,ba'qiao'zhe'luan'sheng
巴人讼芋田,ba'ren'song'yu'tian
罢如江海凝清光,ba'ru'jiang'hai'ning'qing'guang
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
巴山道中除夜有怀,ba'shan'dao'zhong'chu'ye'you'huai
巴山夜雨涨秋池,ba'shan'ye'yu'zhang'qiu'chi
灞上秋居,ba'shang'qiu'ju
八声甘州,ba'sheng'gan'zhou
把似而今醒到了,ba'si'er'jin'xing'dao'le
把吴钩看了,ba'wu'gou'kan'le
把闲言语,ba'xian'yan'yu
把闲语闲言,ba'xian'yu'xian'yan
八佾第三,ba'yi'di'san
八佾舞于庭,ba'yi'wu'yu'ting
灞原风雨定,ba'yuan'feng'yu'ding
八月蝴蝶来,ba'yue'hu'die'lai
八月湖水平,ba'yue'hu'shui'ping
八月十四日余卧病博山寺中,ba'yue'shi'si'ri'yu'wo'bing'bo'shan'si'zhong
八月十五夜赠张功曹,ba'yue'shi'wu'ye'zeng'zhang'gong'cao
八月萧关道,ba'yue'xiao'guan'dao
把盏常恨无娉婷,ba'zhan'chang'hen'wu'ping'ting
败壁秋虫叹,bai'bi'qiu'chong'tan
白波九道流雪山,bai'bo'jiu'dao'liu'xue'shan
白波若山,bai'bo'ruo'shan
百步九折萦岩峦,bai'bu'jiu'zhe'ying'yan'luan
百步一饮,bai'bu'yi'yin
百材皆度,bai'cai'jie'du
百草千花寒食路,bai'cao'qian'hua'han'shi'lu
拜臣郎中,bai'chen'lang'zhong
百承之家也,bai'cheng'zhi'jia'ye
百川东到海,bai'chuan'dong'dao'hai
百川灌河,bai'chuan'guan'he
白帝城边古木疏,bai'di'cheng'bian'gu'mu'shu
拜而受之,bai'er'shou'zhi
白发悲花落,bai'fa'bei'hua'luo
白发催年老,bai'fa'cui'nian'lao
白发空垂三千丈,bai'fa'kong'chui'san'qian'zhang
