鞍底,an'di
鞍底下陷,an'di'xia'xian
斑点,ban'dian
斑点状,ban'dian'zhuang
半卵圆中心,ban'luan'yuan'zhong'xin
斑片,ban'pian
斑片状,ban'pian'zhuang
半月板损伤,ban'yue'ban'sun'shang
半月形,ban'yue'xing
半月形积液,ban'yue'xing'ji'ye
半月形液性密度影,ban'yue'xing'ye'xing'mi'du'ying
板障,ban'zhang
包裹性,bao'guo'xing
饱和恢复,bao'he'hui'fu
包膜,bao'mo
背部,bei'bu
背侧丘脑,bei'ce'qiu'nao
壁薄,bi'bo
壁不厚,bi'bu'hou
鼻甲肥厚,bi'jia'fei'hou
鼻咽,bi'yan
鼻咽部,bi'yan'bu
鼻咽顶后壁软组织影增厚,bi'yan'ding'hou'bi'ruan'zu'zhi'ying'zeng'hou
壁增厚,bi'zeng'hou
鼻中隔,bi'zhong'ge
变薄,bian'bao
变扁,bian'bian
变粗,bian'cu
变大,bian'da
变淡,bian'dan
变尖,bian'jian
边界,bian'jie
边界不清,bian'jie'bu'qing
边界光整,bian'jie'guang'zheng
边界可辨,bian'jie'ke'bian
边界欠清,bian'jie'qian'qing
边界清,bian'jie'qing
扁平,bian'ping
变细,bian'xi
变小,bian'xiao
变性,bian'xing
边缘,bian'yuan
边缘光整,bian'yuan'guang'zheng
边缘毛糙,bian'yuan'mao'cao
变窄,bian'zhai
变直,bian'zhi
表观扩散系数,biao'guan'kuo'san'xi'shu
病变,bing'bian
并见,bing'jian
病灶,bing'zao
波浪状,bo'lang'zhuang
波普成像,bo'pu'cheng'xiang
不大,bu'da
部分图像存在伪影,bu'fen'tu'xiang'cun'zai'wei'ying
部分为陈旧性,bu'fen'wei'chen'jiu'xing
不规则,bu'gui'ze
不均,bu'jun
不适随诊,bu'shi'sui'zhen
侧隐窝,ce'yin'wo
长径约,chang'jing'yue
长毛刺,chang'mao'ci
超急性期,chao'ji'xing'qi
呈等信号,cheng'deng'xin'hao
呈低信号,cheng'di'xin'hao
呈高信号,cheng'gao'xin'hao
呈稍低信号,cheng'shao'di'xin'hao
呈稍高信号,cheng'shao'gao'xin'hao
尺骨,chi'gu
耻股韧带,chi'gu'ren'dai
齿状突,chi'zhuang'tu
充气支气管征,chong'qi'zhi'qi'guan'zheng
出血,chu'xie
出血灶,chu'xie'zao
穿通畸形囊肿,chuan'tong'ji'xing'nang'zhong
垂体,chui'ti
垂体柄,chui'ti'bing
瓷胆囊,ci'dan'nang
磁敏感成像,ci'min'gan'cheng'xiang
粗细,cu'xi
挫伤,cuo'shang
大多角骨,da'duo'jiao'gu
达关节面缘,da'guan'jie'mian'yuan
大量,da'liang
大片状,da'pian'zhuang
大小,da'xiao
大者,da'zhe
大者长径约,da'zhe'chang'jing'yue
大者约,da'zhe'yue
大枕大池,da'zhen'da'chi
带状,dai'zhuang
带状血肿影,dai'zhuang'xue'zhong'ying
胆管,dan'guan
胆囊不大,dan'nang'bu'da
胆系,dan'xi
导管内乳头状瘤,dao'guan'nei'ru'tou'zhuang'liu
导管内乳头状粘液性囊腺瘤,dao'guan'nei'ru'tou'zhuang'nian'ye'xing'nang'xian'liu
岛叶,dao'ye
底壁,di'bi
骶骨,di'gu
骶管,di'guan
骶棘韧带,di'ji'ren'dai
骶结节韧带,di'jie'jie'ren'dai
低密度影,di'mi'du'ying
骶髂关节,di'qia'guan'jie
骶髂后韧带,di'qia'hou'ren'dai
骶椎,di'zhui
点状,dian'zhuang
蝶骨,die'gu
蝶骨小翼,die'gu'xiao'yi
顶壁,ding'bi
顶部,ding'bu
顶骨,ding'gu
顶叶,ding'ye
动脉瘤,dong'mai'liu
动脉瘤样骨囊肿,dong'mai'liu'yang'gu'nang'zhong
动脉期,dong'mai'qi
动态增强,dong'tai'zeng'qiang
窦壁未见骨质破坏征像,dou'bi'wei'jian'gu'zhi'po'huai'zheng'xiang
豆骨,dou'gu
窦汇,dou'hui
窦口,dou'kou
断裂,duan'lie
短毛刺,duan'mao'ci
对比,dui'bi
多发腔隙性脑梗死,duo'fa'qiang'xi'xing'nao'geng'si
多个,duo'ge
额窦,e'dou
额叶,e'ye
发育,fa'yu
反转恢复,fan'zhuan'hui'fu
放射冠,fang'she'guan
肺癌,fei'ai
肺不张,fei'bu'zhang
肺挫伤,fei'cuo'shang
肺大疱,fei'da'pao
肺隔离症,fei'ge'li'zheng
肺结核,fei'jie'he
肺泡蛋白沉积症,fei'pao'dan'bai'chen'ji'zheng
肺气肿,fei'qi'zhong
肺实变,fei'shi'bian
肺水肿,fei'shui'zhong
肺炎,fei'yan
粉碎性骨折,fen'sui'xing'gu'zhe
副鼻窦,fu'bi'dou
附壁血栓,fu'bi'xue'shuan
腹部,fu'bu
跗骨窦,fu'gu'dou
跗横关节,fu'heng'guan'jie
附件区,fu'jian'qu
腹膜腔,fu'mo'qiang
腹膜腔弥漫液性密度影,fu'mo'qiang'mi'man'ye'xing'mi'du'ying
腹膜腔未见积液,fu'mo'qiang'wei'jian'ji'ye
复张性肺水肿,fu'zhang'xing'fei'shui'zhong
跗跖关节,fu'zhi'guan'jie
腹主动脉,fu'zhu'dong'mai
腹主动脉旁未见肿大淋巴结影,fu'zhu'dong'mai'pang'wei'jian'zhong'da'lin'ba'jie'ying
钙化,gai'hua
肝胆胰水成像,gan'dan'yi'shui'cheng'xiang
肝裂,gan'lie
肝裂增宽,gan'lie'zeng'kuan
肝囊肿,gan'nang'zhong
肝内外胆管未见扩张,gan'nei'wai'dan'guan'wei'jian'kuo'zhang
肝实质,gan'shi'zhi
肝外缘,gan'wai'yuan
肝外缘欠光整,gan'wai'yuan'qian'guang'zheng
肝尾状叶,gan'wei'zhuang'ye
肝硬化,gan'ying'hua
肝右后叶,gan'you'hou'ye
肝右后叶上段,gan'you'hou'ye'shang'duan
肝右后叶下段,gan'you'hou'ye'xia'duan
肝右前叶,gan'you'qian'ye
肝右前叶上段,gan'you'qian'ye'shang'duan
肝右前叶下段,gan'you'qian'ye'xia'duan
肝右叶,gan'you'ye
肝脏,gan'zang
肝周,gan'zhou
肝左内叶,gan'zuo'nei'ye
肝左内叶上部,gan'zuo'nei'ye'shang'bu
肝左内叶下部,gan'zuo'nei'ye'xia'bu
肝左外叶,gan'zuo'wai'ye
肝左外叶上段,gan'zuo'wai'ye'shang'duan
肝左外叶下段,gan'zuo'wai'ye'xia'duan
肝左叶,gan'zuo'ye
冈上肌,gang'shang'ji
冈上肌肌腱,gang'shang'ji'ji'jian
冈下肌,gang'xia'ji
冈下肌肌腱,gang'xia'ji'ji'jian
高低,gao'di
高度,gao'du
高度约,gao'du'yue
高密度影,gao'mi'du'ying
高信号影,gao'xin'hao'ying
各骨,ge'gu
膈肌,ge'ji
各间隙清晰,ge'jian'xi'qing'xi
各脑室,ge'nao'shi
各心腔密度明显减低,ge'xin'qiang'mi'du'ming'xian'jian'di
跟腓韧带,gen'fei'ren'dai
跟骨,gen'gu
跟腱,gen'jian
更长,geng'chang
更低,geng'di
更高,geng'gao
梗阻,geng'zu
肱二头肌,gong'er'tou'ji
肱二头肌长头肌腱,gong'er'tou'ji'chang'tou'ji'jian
肱二头肌短头肌腱,gong'er'tou'ji'duan'tou'ji'jian
肱骨,gong'gu
肱骨大结节,gong'gu'da'jie'jie
肱骨干,gong'gu'gan
肱骨头,gong'gu'tou
肱骨外科颈,gong'gu'wai'ke'jing
肱骨小结节,gong'gu'xiao'jie'jie
肱骨小头,gong'gu'xiao'tou
肱横韧带,gong'heng'ren'dai
宫颈,gong'jing
宫颈癌,gong'jing'ai
宫颈基质,gong'jing'ji'zhi
宫颈粘膜,gong'jing'nian'mo
钩骨,gou'gu
骨刺,gu'ci
骨骼,gu'ge
股骨,gu'gu
股骨颈,gu'gu'jing
股骨内侧髁,gu'gu'nei'ce'ke
股骨平台,gu'gu'ping'tai
股骨头,gu'gu'tou
股骨外侧髁,gu'gu'wai'ce'ke
骨骺,gu'hou
骨间隙,gu'jian'xi
骨皮质光滑连续,gu'pi'zhi'guang'hua'lian'xu
骨髓内未见异常信号灶,gu'sui'nei'wei'jian'yi'chang'xin'hao'zao
骨髓水肿,gu'sui'shui'zhong
骨纤维发育不良,gu'xian'wei'fa'yu'bu'liang
骨纤维异常增殖症,gu'xian'wei'yi'chang'zeng'zhi'zheng
骨性隆起影,gu'xing'long'qi'ying
骨样密度影,gu'yang'mi'du'ying
骨折,gu'zhe
骨折线,gu'zhe'xian
骨折征,gu'zhe'zheng
骨质,gu'zhi
骨赘,gu'zhui
管壁光滑,guan'bi'guang'hua
关节,guan'jie
关节各构成骨骨质完整,guan'jie'ge'gou'cheng'gu'gu'zhi'wan'zheng
关节关系正常,guan'jie'guan'xi'zheng'chang
关节间隙等宽,guan'jie'jian'xi'deng'kuan
关节腔及周围滑囊积液,guan'jie'qiang'ji'zhou'wei'hua'nang'ji'ye
关节盂,guan'jie'yu
关节在位,guan'jie'zai'wei
冠状缝,guan'zhuang'feng
管状影,guan'zhuang'ying
光滑,guang'hua
光整,guang'zheng
颌下,he'xia
颌下腺,he'xia'xian
横窦,heng'dou
横突,heng'tu
后床突,hou'chuang'tu
厚度,hou'du
厚度约,hou'du'yue
后段,hou'duan
后踝,hou'huai
后基底段,hou'ji'di'duan
后交叉韧带,hou'jiao'cha'ren'dai
后肋,hou'lei
后颅窝,hou'lu'wo
喉前,hou'qian
喉腔对称无狭窄,hou'qiang'dui'chen'wu'xia'zhai
后移,hou'yi
后缘,hou'yuan
厚约,hou'yue
弧形,hu'xing
弧形积液,hu'xing'ji'ye
弧形液性密度影,hu'xing'ye'xing'mi'du'ying
滑车,hua'che
化疗,hua'liao
化学位移,hua'xue'wei'yi
化学位移反相位,hua'xue'wei'yi'fan'xiang'wei
化学位移同相位,hua'xue'wei'yi'tong'xiang'wei
踝内侧韧带,huai'nei'ce'ren'dai
环池,huan'chi
寰枢关节,huan'shu'guan'jie
环形,huan'xing
环形积液,huan'xing'ji'ye
患者检查不合作,huan'zhe'jian'cha'bu'he'zuo
黄韧带,huang'ren'dai
黄韧带肥厚,huang'ren'dai'fei'hou
黄体囊肿,huang'ti'nang'zhong
喙肱肌,hui'gong'ji
喙突,hui'tu
混杂密度影,hun'za'mi'du'ying
基本,ji'ben
肌壁间,ji'bi'jian
肌壁间子宫肌瘤,ji'bi'jian'zi'gong'ji'liu
基底段,ji'di'duan
基底节区,ji'di'jie'qu
机化性肺炎,ji'hua'xing'fei'yan
肌腱,ji'jian
棘间韧带,ji'jian'ren'dai
肌间隙,ji'jian'xi
及其分支,ji'qi'fen'zhi
积水,ji'shui
积水征,ji'shui'zheng
脊髓,ji'sui
畸胎瘤,ji'tai'liu
棘突,ji'tu
急性呼吸窘迫综合征,ji'xing'hu'xi'jiong'po'zong'he'zheng
急性期,ji'xing'qi
积液,ji'ye
基质,ji'zhi
脊柱,ji'zhu
假声带,jia'sheng'dai
甲状腺,jia'zhuang'xian
鉴别,jian'bie
肩峰,jian'feng
间隔,jian'ge
肩胛冈,jian'jia'gang
肩胛骨,jian'jia'gu
肩胛下肌,jian'jia'xia'ji
肩胛下肌肌腱,jian'jia'xia'ji'ji'jian
腱鞘积液,jian'qiao'ji'ye
减少,jian'shao
肩锁关节,jian'suo'guan'jie
建议,jian'yi
建议穿刺活检,jian'yi'chuan'ci'huo'jian
建议复查,jian'yi'fu'cha
建议进一步检查,jian'yi'jin'yi'bu'jian'cha
建议抗炎后复查,jian'yi'kang'yan'hou'fu'cha
建议随访,jian'yi'sui'fang
建议增强扫描,jian'yi'zeng'qiang'sao'miao
建议治疗后复查,jian'yi'zhi'liao'hou'fu'cha
建议追踪复查,jian'yi'zhui'zong'fu'cha
间质,jian'zhi
间质性肺炎,jian'zhi'xing'fei'yan
肩周炎,jian'zhou'yan
浆膜下,jiang'mo'xia
浆膜下子宫肌瘤,jiang'mo'xia'zi'gong'ji'liu
浆液性囊腺瘤,jiang'ye'xing'nang'xian'liu
僵直,jiang'zhi
降支,jiang'zhi
较前减少,jiao'qian'jian'shao
较前片减少,jiao'qian'pian'jian'shao
较前片吸收,jiao'qian'pian'xi'shou
较前吸收,jiao'qian'xi'shou
胶质,jiao'zhi
胶质形成,jiao'zhi'xing'cheng
结构,jie'gou
结构扭曲,jie'gou'niu'qu
结构完整,jie'gou'wan'zheng
结节,jie'jie
结节病,jie'jie'bing
结节形成,jie'jie'xing'cheng
结节性甲状腺肿,jie'jie'xing'jia'zhuang'xian'zhong
结节影,jie'jie'ying
结节状,jie'jie'zhuang
结石,jie'shi
结石影,jie'shi'ying
进展,jin'zhan
颈部,jing'bu
颈部淋巴结,jing'bu'lin'ba'jie
胫腓后韧带,jing'fei'hou'ren'dai
胫骨,jing'gu
胫骨结节,jing'gu'jie'jie
胫骨内侧髁,jing'gu'nei'ce'ke
胫骨内侧平台,jing'gu'nei'ce'ping'tai
胫骨内外侧平台,jing'gu'nei'wai'ce'ping'tai
胫骨平台,jing'gu'ping'tai
