八架椽,ba'jia'chuan
扒梁,ba'liang
八铺作,ba'pu'zuo
霸王拳,ba'wang'quan
霸下,ba'xia
拔檐,ba'yan
白云观,bai'yun'guan
版门,ban'men
版筑,ban'zhu
抱鼓石,bao'gu'shi
抱厦,bao'sha
碑额,bei'e
狴犴,bi'an
赑屃,bi'xi
边贴,bian'tie
边梃,bian'ting
炳灵寺石窟,bing'ling'si'shi'ku
博古架,bo'gu'jia
不出廊,bu'chu'lang
布达拉宫,bu'da'la'gong
步架,bu'jia
踩步金,cai'bu'jin
彩绘,cai'hui
藏经楼,cang'jing'lou
草栿,cao'fu
槽口,cao'kou
槽升子,cao'sheng'zi
侧脚,ce'jiao
插拱,cha'gong
叉手,cha'shou
叉柱造,cha'zhu'zao
缠柱造,chan'zhu'zao
长陵,chang'ling
长物志,chang'wu'zhi
嘲风,chao'feng
抄手踏跺,chao'shou'ta'duo
衬方头,chen'fang'tou
承德避暑山庄,cheng'de'bi'shu'shan'zhuang
城垛,cheng'duo
承脊檩,cheng'ji'lin
螭龙,chi'long
螭首,chi'shou
墀头,chi'tou
螭吻,chi'wen
重楼,chong'lou
重檐,chong'yan
重檐攒尖,chong'yan'cuan'jian
重檐庑殿,chong'yan'wu'dian
重檐廡殿,chong'yan'wu'dian
重檐歇山,chong'yan'xie'shan
出际,chu'ji
出廊,chu'lang
出跳,chu'tiao
穿斗,chuan'dou
穿斗式,chuan'dou'shi
椽头,chuan'tou
椽头钉,chuan'tou'ding
椽窝,chuan'wo
窗棂,chuang'ling
垂带石,chui'dai'shi
垂带踏跺,chui'dai'ta'duo
垂脊,chui'ji
垂手踏跺,chui'shou'ta'duo
绰幕枋,chuo'mu'fang
次间,ci'jian
祠宇,ci'yu
攒尖,cuan'jian
村堡,cun'bao
错银兆域图,cuo'yin'zhao'yu'tu
大斗,da'dou
大额枋,da'e'fang
大观楼,da'guan'lou
大匠,da'jiang
大木大式建筑,da'mu'da'shi'jian'zhu
大木小式建筑,da'mu'xiao'shi'jian'zhu
大式建筑,da'shi'jian'zhu
大相国寺,da'xiang'guo'si
大雄宝殿,da'xiong'bao'dian
大昭寺,da'zhao'si
单槽,dan'cao
单栱,dan'gong
单勾阑,dan'gou'lan
单杪,dan'miao
单坡,dan'po
单檐,dan'yan
当心间,dang'xin'jian
德陵,de'ling
地袱,di'fu
地脚,di'jiao
垫板,dian'ban
殿阶,dian'jie
垫木,dian'mu
殿身,dian'shen
店肆,dian'si
殿堂,dian'tang
叠梁式,die'liang'shi
堞楼,die'lou
叠涩,die'se
叠瓦脊,die'wa'ji
定额,ding'e
定陵,ding'ling
丁头栱,ding'tou'gong
冬瓜梁,dong'gua'liang
东华门,dong'hua'men
东暖阁,dong'nuan'ge
斗八,dou'ba
陡板石,dou'ban'shi
斗底,dou'di
斗耳,dou'er
斗栱,dou'gong
斗口,dou'kou
都料匠,dou'liao'jiang
斗牛,dou'niu
斗升,dou'sheng
斗四,dou'si
斗腰,dou'yao
斗子蜀柱,dou'zi'shu'zhu
独乐寺,du'le'si
都柱,du'zhu
敦煌莫高窟,dun'huang'mo'gao'ku
额垫板,e'dian'ban
额枋,e'fang
鹅颈椅,e'jing'yi
讹角斗,e'jue'dou
耳房,er'fang
二里头,er'li'tou
二十诸天,er'shi'zhu'tian
反宇为阳,fan'yu'wei'yang
方城明楼,fang'cheng'ming'lou
飞椽,fei'chuan
分心槽,fen'xin'cao
凤雏村,feng'chu'cun
冯巧,feng'qiao
佛宝殿,fo'bao'dian
佛宫寺释伽塔,fo'gong'si'shi'jia'ta
佛光寺,fo'guang'si
佛光寺大殿,fo'guang'si'da'dian
佛塔,fo'ta
佛座,fo'zuo
府城,fu'cheng
府第,fu'di
附斛,fu'hu
伏脊木,fu'ji'mu
福建土楼,fu'jian'tu'lou
副阶,fu'jie
副阶周匝,fu'jie'zhou'za
覆盆,fu'pen
负屃,fu'xi
干阑式,gan'lan'shi
高颐,gao'yi
阁层,ge'ceng
槅扇,ge'shan
槅心,ge'xin
工部工程做法则例,gong'bu'gong'cheng'zuo'fa'ze'li
拱垫板,gong'dian'ban
工段营造录,gong'duan'ying'zao'lu
工料,gong'liao
宫囿,gong'you
勾阑,gou'lan
勾丝绕,gou'si'rao
鼓楼,gu'lou
瓜栱,gua'gong
瓜楞柱,gua'leng'zhu
挂落,gua'luo
瓜柱,gua'zhu
瓜子栱,gua'zi'gong
关帝庙,guan'di'miao
官式建筑,guan'shi'jian'zhu
官修寺庙,guan'xiu'si'miao
观音阁,guan'yin'ge
广德寺,guang'de'si
圭角,gui'jiao
过街楼,guo'jie'lou
海马,hai'ma
含元殿,han'yuan'dian
夯土,hang'tu
合角吻,he'jiao'wen
横栱,heng'gong
弘化禅寺,hong'hua'chan'si
华栱,hua'gong
花牙子,hua'ya'zi
花牙子雀替,hua'ya'zi'que'ti
黄鹤楼,huang'he'lou
回廊,hui'lang
计成,ji'cheng
脊桁,ji'heng
极乐寺,ji'le'si
脊檩,ji'lin
戟门,ji'men
脊槫,ji'quan
祭台,ji'tai
计心造,ji'xin'zao
架槫,jia'quan
间架,jian'jia
间柱,jian'zhu
减柱法,jian'zhu'fa
礓礤,jiang'ca
匠人,jiang'ren
匠人营国,jiang'ren'ying'guo
蒋少游,jiang'shao'you
匠作,jiang'zuo
将作监,jiang'zuo'jian
角栱,jiao'gong
交互斗,jiao'hu'dou
角脊,jiao'ji
角科,jiao'ke
角楼,jiao'lou
交泰殿,jiao'tai'dian
角柱,jiao'zhu
角柱石,jiao'zhu'shi
阶级踏步,jie'ji'ta'bu
阶条石,jie'tiao'shi
晋祠,jin'ci
金道冠,jin'dao'guan
金阁寺,jin'ge'si
金栱,jin'gong
尽间,jin'jian
金銮殿,jin'luan'dian
进深,jin'shen
金厢斗底槽,jin'xiang'dou'di'cao
金柱,jin'zhu
金主内额,jin'zhu'nei'e
经幢,jing'chuang
井干式,jing'gan'shi
景陵,jing'ling
镜面版门,jing'mian'ban'men
经世大典,jing'shi'da'dian
九踩,jiu'cai
九踩斗栱,jiu'cai'dou'gong
九脊殿,jiu'ji'dian
九脊顶,jiu'ji'ding
九脊屋顶,jiu'ji'wu'ding
菊花头,ju'hua'tou
举架,ju'jia
举架法,ju'jia'fa
举势,ju'shi
举折,ju'zhe
举折法,ju'zhe'fa
卷棚,juan'peng
卷杀,juan'sha
卷头,juan'tou
卷纹饰,juan'wen'shi
觉海寺,jue'hai'si
开化寺,kai'hua'si
开间,kai'jian
开元寺,kai'yuan'si
康陵,kang'ling
考工记,kao'gong'ji
孔庙,kong'miao
盔顶,kui'ding
坤宁宫,kun'ning'gong
阑版,lan'ban
阑额,lan'e
栏杆,lan'gan
廊屋,lang'wu
廊院,lang'yuan
老角梁,lao'jiao'liang
乐楼,le'lou
李冲,li'chong
李春,li'chun
李诫,li'jie
力神,li'shen
里跳,li'tiao
莲瓣,lian'ban
连檐,lian'yan
槏柱,lian'zhu
梁侧,liang'ce
两椽栿,liang'chuan'fu
梁椽栿,liang'chuan'fu
梁底,liang'di
梁枋,liang'fang
梁栿,liang'fu
梁高,liang'gao
梁架,liang'jia
梁九,liang'jiu
两厦,liang'sha
梁思成,liang'si'cheng
两跳,liang'tiao
梁头,liang'tou
撩檐,liao'yan
撩檐枋,liao'yan'fang
檩头,lin'tou
檩中心线,lin'zhong'xin'xian
祾恩殿,ling'en'dian
陵寝,ling'qin
灵寝门,ling'qin'men
灵隐寺,ling'yin'si
刘敦桢,liu'dun'zhen
六分头,liu'fen'tou
鎏金,liu'jin
溜金斗栱,liu'jin'dou'gong
六铺作,liu'pu'zuo
龙门石窟,long'men'shi'ku
隆兴寺,long'xing'si
漏窗,lou'chuang
鲁班,lu'ban
鲁班营造正式,lu'ban'ying'zao'zheng'shi
卤簿,lu'bu
盝顶,lu'ding
栌斗,lu'dou
露明,lu'ming
罗布林卡,luo'bu'lin'ka
罗城,luo'cheng
罗汉枋,luo'han'fang
罗汉堂,luo'han'tang
马面,ma'mian
蚂蚱头,ma'zha'tou
幔道,man'dao
慢栱,man'gong
茂陵,mao'ling
楣子,mei'zi
门屋,men'wu
面朝后市,mian'chao'hou'shi
面阔,mian'kuo
庙谥石碑,miao'shi'shi'bei
