阿比可糖,a'bi'ke'tang
阿达木单抗,a'da'mu'dan'kang
阿狄森氏病,a'di'sen'shi'bing
阿蒂斯现象,a'di'si'xian'xiang
吖啶,a'ding
吖啶橙,a'ding'cheng
吖啶黄,a'ding'huang
吖啶黄吖啶黄素原顶体,a'ding'huang'a'ding'huang'su'yuan'ding'ti
吖啶黄素,a'ding'huang'su
吖啶类生物碱,a'ding'lei'sheng'wu'jian
吖啶燃料,a'ding'ran'liao
阿窦,a'dou
阿尔茨海默病,a'er'ci'hai'mo'bing
阿耳特曼氏粒,a'er'te'man'shi'li
阿芬太尼,a'fen'tai'ni
阿佛菌素来自除虫链霉素,a'fo'jun'su'lai'zi'chu'chong'lian'mei'su
阿弗他溃疡,a'fu'ta'kui'yang
阿根廷草原,a'gen'ting'cao'yuan
阿根廷碱,a'gen'ting'jian
阿黑皮原,a'hei'pi'yuan
阿洪病,a'hong'bing
阿克卡环,a'ke'ka'huan
阿克拉霉素,a'ke'la'mei'su
阿枯米辛碱,a'ku'mi'xin'jian
阿拉伯半乳聚糖,a'la'bo'ban'ru'ju'tang
阿拉伯吡喃糖,a'la'bo'bi'nan'tang
阿拉伯呋喃糖,a'la'bo'fu'nan'tang
阿拉伯胶,a'la'bo'jiao
阿拉伯聚糖,a'la'bo'ju'tang
阿拉伯木聚糖,a'la'bo'mu'ju'tang
阿拉伯树胶,a'la'bo'shu'jiao
阿拉伯酸,a'la'bo'suan
阿拉伯糖,a'la'bo'tang
阿拉伯糖胺醇,a'la'bo'tang'an'chun
阿拉伯糖基葡糖苷,a'la'bo'tang'ji'pu'tang'gan
阿拉伯糖酸,a'la'bo'tang'suan
阿拉伯糖型抗坏血酸,a'la'bo'tang'xing'kang'huai'xue'suan
阿拉伯酮糖,a'la'bo'tong'tang
阿利氏原理,a'li'shi'yuan'li
阿伦氏法则,a'lun'shi'fa'ze
阿洛甲基糖,a'luo'jia'ji'tang
阿洛糖,a'luo'tang
阿洛糖异染色体,a'luo'tang'yi'ran'se'ti
阿洛酮糖,a'luo'tong'tang
阿洛酮糖磷酸途径,a'luo'tong'tang'lin'suan'tu'jing
阿洛酮糖腺苷,a'luo'tong'tang'xian'gan
阿吗灵,a'ma'ling
阿霉素亚德里亚霉素,a'mei'su'ya'de'li'ya'mei'su
阿米巴病,a'mi'ba'bing
阿米巴淀粉酶,a'mi'ba'dian'fen'mei
阿米巴肺脓肿,a'mi'ba'fei'nong'zhong
阿米巴状细胞,a'mi'ba'zhuang'xi'bao
阿密妥,a'mi'tuo
阿明露法,a'ming'lu'fa
阿尼齐科夫细胞,a'ni'qi'ke'fu'xi'bao
阿脲,a'niao
阿脲酸,a'niao'suan
阿脲糖尿病,a'niao'tang'niao'bing
阿佩尔综合征,a'pei'er'zong'he'zheng
阿片,a'pian
阿片剂,a'pian'ji
阿片样促皮质素原,a'pian'yang'cu'pi'zhi'su'yuan
