阿那吒王,a'na'zha'wang
唵钵啰末邻陀宁娑婆诃,an'bo'luo'mo'lin'tuo'ning'suo'po'he
唵誐誐曩三婆嚩韈日啰斛,an'e'e'nang'san'po'mo'wa'ri'luo'hu
安乐易养,an'le'yi'yang
唵嚩日啰怛诃贺斛,an'mo'ri'luo'da'he'he'hu
安菩萨前,an'pu'sa'qian
安土地真言,an'tu'di'zhen'yan
拔出根本业缘,ba'chu'gen'ben'ye'yuan
八日,ba'ri
拔舌地狱,ba'she'di'yu
拔舌耕犁,ba'she'geng'li
八者,ba'zhe
白佛言,bai'fo'yan
白虎鬼王,bai'hu'gui'wang
拜祭鬼神,bai'ji'gui'shen
白其佛言,bai'qi'fo'yan
百千报应,bai'qian'bao'ying
百千倍于常分地神,bai'qian'bei'yu'chang'fen'di'shen
百千方便,bai'qian'fang'bian
百千劫中,bai'qian'jie'zhong
百千生中,bai'qian'sheng'zhong
百千生中受上妙乐,bai'qian'sheng'zhong'shou'shang'miao'le
百千岁中,bai'qian'sui'zhong
百千万劫,bai'qian'wan'jie
百千万劫说不周,bai'qian'wan'jie'shuo'bu'zhou
百千万生,bai'qian'wan'sheng
百千万数,bai'qian'wan'shu
百千万亿,bai'qian'wan'yi
百千万亿等事,bai'qian'wan'yi'deng'shi
百千万亿等愿,bai'qian'wan'yi'deng'yuan
百千万亿方便,bai'qian'wan'yi'fang'bian
百千亿化度,bai'qian'yi'hua'du
百千罪状,bai'qian'zui'zhuang
白圣女曰,bai'sheng'nv'yue
百生千生,bai'sheng'qian'sheng
百由旬内,bai'you'xun'nei
百肢节内,bai'zhi'jie'nei
谤无功德及利益事,bang'wu'gong'de'ji'li'yi'shi
宝贝衣服,bao'bei'yi'fu
宝贝饮食,bao'bei'yin'shi
宝贝璎珞,bao'bei'ying'luo
报尽应当堕恶道,bao'jin'ying'dang'duo'e'dao
宝轮毫光,bao'lun'hao'guang
剥皮地狱,bao'pi'di'yu
宝雨宝云无数种为祥为瑞遍庄严,bao'yu'bao'yun'wu'shu'zhong'wei'xiang'wei'rui'bian'zhuang'yan
被捕禁狱房,bei'bu'jin'yu'fang
悲恋瞻礼不暂舍,bei'lian'zhan'li'bu'zan'she
悲泣瞻礼,bei'qi'zhan'li
倍生敬仰,bei'sheng'jing'yang
备受众苦,bei'shou'zhong'ku
倍于常情众生之分,bei'yu'chang'qing'zhong'sheng'zhi'fen
被诸恶兽,bei'zhu'e'shou
被诸眷属造是恶因,bei'zhu'juan'shu'zao'shi'e'yin
本尊地藏菩萨摩诃萨,ben'zun'di'zang'pu'sa'mo'he'sa
必不退转,bi'bu'tui'zhuan
必成菩提,bi'cheng'pu'ti
必堕恶趣,bi'duo'e'qu
彼佛寿命,bi'fo'shou'ming
彼海之东,bi'hai'zhi'dong
碧毫相光,bi'hao'xiang'guang
必怀疑惑,bi'huai'yi'huo
必获大利,bi'huo'da'li
毕竟不堕恶道,bi'jing'bu'duo'e'dao
毕竟不退阿耨多罗三藐三菩提事,bi'jing'bu'tui'a'nou'duo'luo'san'miao'san'pu'ti'shi
毕竟成佛,bi'jing'cheng'fo
毕竟成佛超生死,bi'jing'cheng'fo'chao'sheng'si
必能承佛威神,bi'neng'cheng'fo'wei'shen
比丘尼,bi'qiu'ni
必生恶趣,bi'sheng'e'qu
婢生一子,bi'sheng'yi'zi
毕十三岁,bi'shi'san'sui
彼心恒不住,bi'xin'heng'bu'zhu
必知处所,bi'zhi'chu'suo
彼诸同来等辈,bi'zhu'tong'lai'deng'bei
婢子答言,bi'zi'da'yan
遍百千万亿世界,bian'bai'qian'wan'yi'shi'jie
便得解脱,bian'dei'jie'tuo
遍观十方,bian'guan'shi'fang
便合设福,bian'he'she'fu
遍界利冥阳,bian'jie'li'ming'yang
遍净天,bian'jing'tian
便令卫护,bian'ling'wei'hu
辩论业果,bian'lun'ye'guo
遍满百千万亿恒河沙世界,bian'man'bai'qian'wan'yi'heng'he'sha'shi'jie
遍满万里,bian'man'wan'li
便于觉华定自在王如来塔像之前,bian'yu'jue'hua'ding'zi'zai'wang'ru'lai'ta'xiang'zhi'qian
遍照百千万亿恒河沙等诸佛世界,bian'zhao'bai'qian'wan'yi'heng'he'sha'deng'zhu'fo'shi'jie
便至无量,bian'zhi'wu'liang
般若波罗蜜音,bo're'bo'luo'mi'yin
不辨善恶,bu'bian'shan'e
不辨是事,bu'bian'shi'shi
不辞疲倦,bu'ci'pi'juan
不得安乐,bu'de'an'le
不堕地狱,bu'duo'di'yu
不堕饿鬼,bu'duo'e'gui
不堕旁生,bu'duo'pang'sheng
不敢久视,bu'gan'jiu'shi
不会我意,bu'hui'wo'yi
不敬尊经,bu'jing'zun'jing
不久命终,bu'jiu'ming'zhong
不久之间,bu'jiu'zhi'jian
不觉旧曾所落险道,bu'jue'jiu'ceng'suo'luo'xian'dao
不可计劫,bu'ke'ji'jie
不可量,bu'ke'liang
不可说不可说一切诸佛,bu'ke'shuo'bu'ke'shuo'yi'qie'zhu'fo
不可说无量阿僧祇世界,bu'ke'shuo'wu'liang'a'seng'qi'shi'jie
不可思,bu'ke'si
不可思议,bu'ke'si'yi
不可为喻,bu'ke'wei'yu
不可议,bu'ke'yi
不令恶事,bu'ling'e'shi
不令恶事横事,bu'ling'e'shi'heng'shi
不落恶道,bu'luo'e'dao
不能得知,bu'neng'de'zhi
不能读诵,bu'neng'du'song
不能损之,bu'neng'sun'zhi
不能知自心,bu'neng'zhi'zi'xin
不期而到,bu'qi'er'dao
不弃于地,bu'qi'yu'di
补缺真言,bu'que'zhen'yan
不忍称说,bu'ren'cheng'shuo
不生敬仰,bu'sheng'jing'yang
不失大利,bu'shi'da'li
布施供养,bu'shi'gong'yang
布施结缘,bu'shi'jie'yuan
布施觉华定自在王如来塔寺,bu'shi'jue'hua'ding'zi'zai'wang'ru'lai'ta'si
布施医药饮食卧具,bu'shi'yi'yao'yin'shi'wo'ju
布施因缘,bu'shi'yin'yuan
不受女身,bu'shou'nv'shen
不思议事,bu'si'yi'shi
不问多少,bu'wen'duo'shao
不问男女,bu'wen'nan'nv
不问男子女人,bu'wen'nan'zi'nv'ren
不问善恶,bu'wen'shan'e
不问有罪无罪,bu'wen'you'zui'wu'zui
不孝父母,bu'xiao'fu'mu
不信因果,bu'xin'yin'guo
不行善者,bu'xing'shan'zhe
不以后世恶业众生为虑,bu'yi'hou'shi'e'ye'zhong'sheng'wei'lv
不以为虑,bu'yi'wei'lv
不知魂神当至何趣,bu'zhi'hun'shen'dang'zhi'he'qu
不知落在何趣,bu'zhi'luo'zai'he'qu
彩画中无心,cai'hua'zhong'wu'xin
才觉饥寒,cai'jue'ji'han
惨凄不乐者,can'qi'bu'le'zhe
草木神,cao'mu'shen
禅波罗蜜音,chan'bo'luo'mi'yin
羼提波罗蜜音,chan'ti'bo'luo'mi'yin
常得百千鬼神,chang'de'bai'qian'gui'shen
常得端正,chang'de'duan'zheng
常得七宝具足,chang'de'qi'bao'ju'zu
常轻三宝,chang'qing'san'bao
常生人天,chang'sheng'ren'tian
常生尊贵,chang'sheng'zun'gui
常为大梵天王,chang'wei'da'fan'tian'wang
常为帝王,chang'wei'di'wang
常为净居天主,chang'wei'jing'ju'tian'zhu
常为六欲天主,chang'wei'liu'yu'tian'zhu
常为轮王,chang'wei'lun'wang
常为王女,chang'wei'wang'nv
常为小国王身,chang'wei'xiao'guo'wang'shen
常为诸小国王,chang'wei'zhu'xiao'guo'wang
常为转轮王身,chang'wei'zhuan'lun'wang'shen
常以华香,chang'yi'hua'xiang
常在人天,chang'zai'ren'tian
常在天上,chang'zai'tian'shang
常在幽冥中,chang'zai'you'ming'zhong
常在诸天,chang'zai'zhu'tian
常知宿命,chang'zhi'su'ming
超圣因事,chao'sheng'yin'shi
超一百大劫生死之罪,chao'yi'bai'da'jie'sheng'si'zhi'zui
趁及罪人,chen'ji'zui'ren
尘刹现地藏,chen'sha'xian'di'zang
称佛名号品第九,cheng'fo'ming'hao'pin'di'jiu
承佛威力,cheng'fo'wei'li
承佛威神,cheng'fo'wei'shen
承汝孝敬力,cheng'ru'xiao'jing'li
城上火聚,cheng'shang'huo'ju
承斯功德,cheng'si'gong'de
承斯供养地藏力故,cheng'si'gong'yang'di'zang'li'gu
承斯临命终时,cheng'si'lin'ming'zhong'shi
承斯男女,cheng'si'nan'nv
称扬地藏不思议事,cheng'yang'di'zang'bu'si'yi'shi
称扬赞叹地藏菩萨,cheng'yang'zan'tan'di'zang'pu'sa
称扬赞叹地藏菩萨已,cheng'yang'zan'tan'di'zang'pu'sa'yi
赤虎鬼王,chi'hu'gui'wang
赤烧铜柱,chi'shao'tong'zhu
敕诸小鬼,chi'zhu'xiao'gui
抽肠锉斩,chou'chang'cuo'zhan
愁忧合掌,chou'you'he'zhang
出大音声,chu'da'yin'sheng
除非慈愿力故,chu'fei'ci'yuan'li'gu
除非业尽,chu'fei'ye'jin
出佛身血,chu'fo'shen'xue
出没海中,chu'mo'hai'zhong
出入神护,chu'ru'shen'hu
出如是等不可说不可说音已,chu'ru'shi'deng'bu'ke'shuo'bu'ke'shuo'yin'yi
畜生饿鬼等,chu'sheng'e'gui'deng
初生之时,chu'sheng'zhi'shi
出微妙音,chu'wei'miao'yin
除五无间杀害之罪,chu'wu'wu'jian'sha'hai'zhi'zui
除五无间罪,chu'wu'wu'jian'zui
出狱生天堂,chu'yu'sheng'tian'tang
川泽神,chuan'ze'shen
垂泣良久,chui'qi'liang'jiu
纯飞蒺藜,chun'fei'ji'li
慈哀救拔,ci'ai'jiu'ba
慈哀愍我,ci'ai'min'wo
慈悲宣说,ci'bei'xuan'shuo
慈悲音,ci'bei'yin
此国土他国土,ci'guo'tu'ta'guo'tu
此界成后,ci'jie'cheng'hou
此界坏时,ci'jie'huai'shi
此皆是地藏菩萨久远劫来,ci'jie'shi'di'zang'pu'sa'jiu'yuan'jie'lai
此皆是业道论对,ci'jie'shi'ye'dao'lun'dui
此皆是一生十生,ci'jie'shi'yi'sheng'shi'sheng
此经有三名,ci'jing'you'san'ming
此路入者,ci'lu'ru'zhe
慈愍此世罪苦众生,ci'min'ci'shi'zui'ku'zhong'sheng
此菩萨威神誓愿,ci'pu'sa'wei'shen'shi'yuan
此日悉得受乐,ci'ri'xi'de'shou'le
此是大铁围山西面第一重海,ci'shi'da'tie'wei'shan'xi'mian'di'yi'zhong'hai
此是何处,ci'shi'he'chu
此世界他世界,ci'shi'jie'ta'shi'jie
此是阎浮提造恶众生,ci'shi'yan'fu'ti'zao'e'zhong'sheng
此水何缘,ci'shui'he'yuan
此四种物,ci'si'zhong'wu
慈心鬼王,ci'xin'gui'wang
