阿而实,a'er'shi
阿格勒,a'ge'le
阿拉穆特教义,a'la'mu'te'jiao'yi
爱慕,ai'mu
安定性,an'ding'xing
八品天堂,ba'pin'tian'tang
宝座,bao'zuo
本分,ben'fen
本来,ben'lai
本然,ben'ran
本体一元论,ben'ti'yi'yuan'lun
本为,ben'wei
本性,ben'xing
本质,ben'zhi
本质之美名,ben'zhi'zhi'mei'ming
本质之园,ben'zhi'zhi'yuan
笔,bi
不谬性,bu'miu'xing
参悟,can'wu
常道,chang'dao
常惺性,chang'xing'xing
超乘,chao'cheng
沉思,chen'si
乘,cheng
出神,chu'shen
传统学科,chuan'tong'xue'ke
从教,cong'jiao
存在单一论,cun'zai'dan'yi'lun
存在的单一,cun'zai'de'dan'yi
存在论,cun'zai'lun
达加勒,da'jia'le
大世界,da'shi'jie
大隐遁,da'yin'dun
单一,dan'yi
道乘,dao'cheng
德性,de'xing
德性学,de'xing'xue
德性之美名,de'xing'zhi'mei'ming
第一理智,di'yi'li'zhi
独眼恶魔,du'yan'e'mo
独一,du'yi
趸雅四部真经,dun'ya'si'bu'zhen'jing
法版,fa'ban
泛伊斯兰主义,fan'yi'si'lan'zhu'yi
分别境,fen'bie'jing
否定词,fou'ding'ci
复临,fu'lin
复生教义,fu'sheng'jiao'yi
古兰经受造说,gu'lan'jing'shou'zao'shuo
古兰经无始说,gu'lan'jing'wu'shi'shuo
光,guang
果园十条,guo'yuan'shi'tiao
合一,he'yi
合一中寂灭,he'yi'zhong'ji'mie
化机,hua'ji
幻我,huan'wo
回辉说,hui'hui'shuo
回回说,hui'hui'shuo
悔悟性,hui'wu'xing
混合境,hun'he'jing
获得,huo'de
获得说,huo'de'shuo
霍加派教义,huo'jia'pai'jiao'yi
基尔曼尼宇宙论,ji'er'man'ni'yu'zhou'lun
积极理智,ji'ji'li'zhi
寂灭,ji'mie
寂灭的寂灭,ji'mie'de'ji'mie
贾黑利亚,jia'hei'li'ya
假基督,jia'ji'du
见认,jian'ren
见证单一论,jian'zheng'dan'yi'lun
见证的单一,jian'zheng'de'dan'yi
教乘,jiao'cheng
脚凳,jiao'deng
教阶,jiao'jie
教门八件原根,jiao'men'ba'jian'yuan'gen
教统说,jiao'tong'shuo
教义学,jiao'yi'xue
教与学原则,jiao'yu'xue'yuan'ze
阶段,jie'duan
镜,jing
境,jing
净化,jing'hua
精神,jing'shen
敬畏,jing'wei
九天,jiu'tian
绝对界,jue'dui'jie
绝对隐密世界,jue'dui'yin'mi'shi'jie
凯拉姆,kai'la'mu
凯拉姆学,kai'la'mu'xue
肯定词,ken'ding'ci
库恩,ku'en
库而西,ku'er'xi
苦恼,ku'nao
库尼卡达尔,ku'ni'ka'da'er
礼乘,li'cheng
历史周期论,li'shi'zhou'qi'lun
理性,li'xing
理性学科,li'xing'xue'ke
两大总纲,liang'da'zong'gang
两弓一弦,liang'gong'yi'xian
两海,liang'hai
两弧界合,liang'hu'jie'he
两世,liang'shi
灵魂,ling'hun
灵魂转宿说,ling'hun'zhuan'su'shuo
灵性,ling'xing
买拉提布,mai'la'ti'bu
麦西赫达加勒,mai'xi'he'da'jia'le
满足性,man'zu'xing
昧真,mei'zhen
免罪性,mian'zui'xing
妙界,miao'jie
末世说,mo'shi'shuo
穆罕默德无极,mu'han'mo'de'wu'ji
穆罕默德真理,mu'han'mo'de'zhen'li
穆罕默德之光,mu'han'mo'de'zhi'guang
穆罕默德之路,mu'han'mo'de'zhi'lu
纳萨斐宇宙论,na'sa'fei'yu'zhou'lun
