按地区管理,an'di'qu'guan'li
按行业管理,an'hang'ye'guan'li
按能负担,an'neng'fu'dan
办税员,ban'shui'yuan
报复关税,bao'fu'guan'shui
保护关税,bao'hu'guan'shui
包税,bao'shui
报停,bao'ting
比例税率,bi'li'shui'lv
边际税率,bian'ji'shui'lv
表列税率,biao'lie'shui'lv
标准税率,biao'zhun'shui'lv
补税,bu'shui
补税期限,bu'shui'qi'xian
财产课税,cai'chan'ke'shui
财产租赁收入,cai'chan'zu'lin'shou'ru
彩色电视机特别消费税,cai'se'dian'shi'ji'te'bie'xiao'fei'shui
财政关税,cai'zheng'guan'shui
侧面查法,ce'mian'cha'fa
差别关税,cha'bie'guan'shui
查定征收,cha'ding'zheng'shou
查田定产,cha'tian'ding'chan
查帐报告,cha'zhang'bao'gao
查帐征收,cha'zhang'zheng'shou
产课比,chan'ke'bi
产品比例税率,chan'pin'bi'li'shui'lv
产品税,chan'pin'shui
产权出典,chan'quan'chu'dian
常年产量,chang'nian'chan'liang
超倍累进税率,chao'bei'lei'jin'shui'lv
超额累进税率,chao'e'lei'jin'shui'lv
超率累进税率,chao'lv'lei'jin'shui'lv
车船使用牌照税,che'chuan'shi'yong'pai'zhao'shui
车船使用税,che'chuan'shi'yong'shui
车船税,che'chuan'shui
承包转包收入,cheng'bao'zhuan'bao'shou'ru
城市房地产税,cheng'shi'fang'di'chan'shui
城市维护建设税,cheng'shi'wei'hu'jian'she'shui
城乡个体工商业户所得税,cheng'xiang'ge'ti'gong'shang'ye'hu'suo'de'shui
城镇土地使用税,cheng'zhen'tu'di'shi'yong'shui
重复征税,chong'fu'zheng'shui
出口税,chu'kou'shui
出口退税,chu'kou'tui'shui
船舶吨税,chuan'bo'dun'shui
从价计征,cong'jia'ji'zheng
从价税,cong'jia'shui
从量计征,cong'liang'ji'zheng
从量税,cong'liang'shui
代扣代缴,dai'kou'dai'jiao
代征人,dai'zheng'ren
单式税则,dan'shi'shui'ze
单一税制,dan'yi'shui'zhi
地方附加,di'fang'fu'jia
地方税,di'fang'shui
地方所得税,di'fang'suo'de'shui
地区差别比例税率,di'qu'cha'bie'bi'li'shui'lv
地区差别税额,di'qu'cha'bie'shui'e
地区和行业结合管理,di'qu'he'hang'ye'jie'he'guan'li
递延性错帐,di'yan'xing'cuo'zhang
定额税,ding'e'shui
定额税率,ding'e'shui'lv
定率税,ding'lv'shui
定期定额征收,ding'qi'ding'e'zheng'shou
对人税,dui'ren'shui
对事税,dui'shi'shui
对物税,dui'wu'shui
多次课征制,duo'ci'ke'zheng'zhi
多阶段台阶式课税,duo'jie'duan'tai'jie'shi'ke'shui
多种税多次征,duo'zhong'shui'duo'ci'zheng
法定减免,fa'ding'jian'mian
罚款提奖,fa'kuan'ti'jiang
发票,fa'piao
反补贴税,fan'bu'tie'shui
反倾销税,fan'qing'xiao'shui
房产税,fang'chan'shui
房产余值,fang'chan'yu'zhi
房产原值,fang'chan'yuan'zhi
非税论,fei'shui'lun
分户专管档案,fen'hu'zhuan'guan'dang'an
分类分级税额,fen'lei'fen'ji'shui'e
分税制,fen'shui'zhi
幅度比例税率,fu'du'bi'li'shui'lv
幅度税额,fu'du'shui'e
复合税制,fu'he'shui'zhi
附加税,fu'jia'shui
复式税则,fu'shi'shui'ze
负税人,fu'shui'ren
个人劳务所得,ge'ren'lao'wu'suo'de
个人收入调节税,ge'ren'shou'ru'tiao'jie'shui
个人所得税,ge'ren'suo'de'shui
耕地占用税,geng'di'zhan'yong'shui
公平税负,gong'ping'shui'fu
工商税,gong'shang'shui
工商税收完税证,gong'shang'shui'shou'wan'shui'zheng
工商税收专用缴款书,gong'shang'shui'shou'zhuan'yong'jiao'kuan'shu
工商所得税,gong'shang'suo'de'shui
工商统一税,gong'shang'tong'yi'shui
工商业税,gong'shang'ye'shui
公收单位,gong'shou'dan'wei
购进法,gou'jin'fa
关税,guan'shui
关税壁垒,guan'shui'bi'lei
关税合作理事会,guan'shui'he'zuo'li'shi'hui
关税减让,guan'shui'jian'rang
关税税则,guan'shui'shui'ze
国定关税,guo'ding'guan'shui
国家税收,guo'jia'shui'shou
过境税,guo'jing'shui
国民生产总值税收率,guo'min'sheng'chan'zong'zhi'shui'shou'lv
国营企业工资调节税,guo'ying'qi'ye'gong'zi'tiao'jie'shui
国营企业奖金税,guo'ying'qi'ye'jiang'jin'shui
国营企业所得税,guo'ying'qi'ye'suo'de'shui
国营企业所得税专用缴款书,guo'ying'qi'ye'suo'de'shui'zhuan'yong'jiao'kuan'shu
国营企业调节税,guo'ying'qi'ye'tiao'jie'shui
海洋石油资源矿区使用费,hai'yang'shi'you'zi'yuan'kuang'qu'shi'yong'fei
行业比例税率,hang'ye'bi'li'shui'lv
核实征收,he'shi'zheng'shou
互惠关税,hu'hui'guan'shui
滑动关税,hua'dong'guan'shui
汇算清缴,hui'suan'qing'jiao
汇总分类档案,hui'zong'fen'lei'dang'an
汇总缴款书,hui'zong'jiao'kuan'shu
混合关税,hun'he'guan'shui
货币税,huo'bi'shui
货物税,huo'wu'shui
集市交易税,ji'shi'jiao'yi'shui
计税标准,ji'shui'biao'zhun
计税单位,ji'shui'dan'wei
计税工资,ji'shui'gong'zi
计税价格,ji'shui'jia'ge
计税土地,ji'shui'tu'di
计税依据,ji'shui'yi'ju
集体企业奖金税,ji'ti'qi'ye'jiang'jin'shui
集体企业所得税,ji'ti'qi'ye'suo'de'shui
集中检查,ji'zhong'jian'cha
加倍征收,jia'bei'zheng'shou
加成征收,jia'cheng'zheng'shou
价内税,jia'nei'shui
价外税,jia'wai'shui
间接税,jian'jie'shui
减税免税,jian'shui'mian'shui
建筑税,jian'zhu'shui
奖金税,jiang'jin'shui
交易税,jiao'yi'shui
进出口关税条例,jin'chu'kou'guan'shui'tiao'li
进口附加税,jin'kou'fu'jia'shui
进口税,jin'kou'shui
进口调节税,jin'kou'tiao'jie'shui
经常税,jing'chang'shui
经济税源调查,jing'ji'shui'yuan'diao'cha
开始获利年度,kai'shi'huo'li'nian'du
抗税,kang'shui
课税对象,ke'shui'dui'xiang
课税客体,ke'shui'ke'ti
课税主体,ke'shui'zhu'ti
控制计算法,kong'zhi'ji'suan'fa
扣除包装计税,kou'chu'bao'zhuang'ji'shui
扣额法,kou'e'fa
扣缴税款,kou'jiao'shui'kuan
扣缴义务人,kou'jiao'yi'wu'ren
扣税法,kou'shui'fa
亏损抵补,kui'sun'di'bu
劳务报酬所得,lao'wu'bao'chou'suo'de
劳役税,lao'yi'shui
累进税,lei'jin'shui
累进税率,lei'jin'shui'lv
累退税,lei'tui'shui
利改税,li'gai'shui
利息所得税,li'xi'suo'de'shui
联系查法,lian'xi'cha'fa
两次课征制,liang'ci'ke'zheng'zhi
临时商业税,lin'shi'shang'ye'shui
临时税,lin'shi'shui
零税率制,ling'shui'lv'zhi
流转额课税,liu'zhuan'e'ke'shui
漏税,lou'shui
棉纱统销税,mian'sha'tong'xiao'shui
免税车船,mian'shui'che'chuan
免税奖金,mian'shui'jiang'jin
免税凭证,mian'shui'ping'zheng
免税通道,mian'shui'tong'dao
免税土地,mian'shui'tu'di
免征额,mian'zheng'e
名义税率,ming'yi'shui'lv
牧业税,mu'ye'shui
纳税保证金,na'shui'bao'zheng'jin
纳税抽查法,na'shui'chou'cha'fa
纳税登记,na'shui'deng'ji
纳税地点,na'shui'di'dian
纳税辅导,na'shui'fu'dao
纳税户互查,na'shui'hu'hu'cha
纳税户自查,na'shui'hu'zi'cha
纳税环节,na'shui'huan'jie
纳税检查,na'shui'jian'cha
纳税鉴定,na'shui'jian'ding
纳税能力,na'shui'neng'li
纳税逆查法,na'shui'ni'cha'fa
纳税年度,na'shui'nian'du
纳税期限,na'shui'qi'xian
纳税全查法,na'shui'quan'cha'fa
纳税人,na'shui'ren
纳税申报,na'shui'shen'bao
纳税顺查法,na'shui'shun'cha'fa
农林特产税,nong'lin'te'chan'shui
农业税,nong'ye'shui
农业税减免及附加,nong'ye'shui'jian'mian'ji'fu'jia
农业税征实,nong'ye'shui'zheng'shi
配赋税,pei'fu'shui
平均单位税额,ping'jun'dan'wei'shui'e
平均税率,ping'jun'shui'lv
普遍优惠制,pu'bian'you'hui'zhi
普通税,pu'tong'shui
普通税率,pu'tong'shui'lv
契证,qi'zheng
起征点,qi'zheng'dian
欠税,qian'shui
欠税豁免,qian'shui'huo'mian
全额累进税率,quan'e'lei'jin'shui'lv
全国税政实施要则,quan'guo'shui'zheng'shi'shi'yao'ze
三自纳税,san'zi'na'shui
商品流通税,shang'pin'liu'tong'shui
烧油特别税,shao'you'te'bie'shui
社会减免,she'hui'jian'mian
涉外税收,she'wai'shui'shou
涉外税收完税证,she'wai'shui'shou'wan'shui'zheng
牲畜交易税,sheng'chu'jiao'yi'shui
生计扣除,sheng'ji'kou'chu
实耗法,shi'hao'fa
实际税率,shi'ji'shui'lv
实物税,shi'wu'shui
事业单位奖金税,shi'ye'dan'wei'jiang'jin'shui
收益额课税,shou'yi'e'ke'shui
税本,shui'ben
税额,shui'e
税法解释权,shui'fa'jie'shi'quan
