安阳,an'yang
安阳中学,an'yang'zhong'xue
安镇,an'zhen
安镇中学,an'zhen'zhong'xue
八士,ba'shi
八士中学,ba'shi'zhong'xue
北国,bei'guo
北国中学,bei'guo'zhong'xue
北郊,bei'jiao
北郊中学,bei'jiao'zhong'xue
北塘区,bei'tang'qu
北塘区职工,bei'tang'qu'zhi'gong
北塘区职工学校,bei'tang'qu'zhi'gong'xue'xiao
滨城民办民工,bin'cheng'min'ban'min'gong
滨城民办民工小学,bin'cheng'min'ban'min'gong'xiao'xue
滨城民工,bin'cheng'min'gong
滨湖,bin'hu
滨湖区,bin'hu'qu
滨湖三湖,bin'hu'san'hu
滨湖中心,bin'hu'zhong'xin
滨湖中心三湖,bin'hu'zhong'xin'san'hu
滨湖中心三湖分校,bin'hu'zhong'xin'san'hu'fen'xiao
滨湖中心小学,bin'hu'zhong'xin'xiao'xue
滨湖中学,bin'hu'zhong'xue
仓下,cang'xia
仓下中学,cang'xia'zhong'xue
查桥,cha'qiao
查桥中学,cha'qiao'zhong'xue
长安,chang'an
长安中学,chang'an'zhong'xue
长泾,chang'jing
长泾镇成人教育中心校,chang'jing'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
长泾镇成人校,chang'jing'zhen'cheng'ren'xiao
长泾镇河塘,chang'jing'zhen'he'tang
长泾镇河塘中学,chang'jing'zhen'he'tang'zhong'xue
长泾中学,chang'jing'zhong'xue
长山,chang'shan
长山中学,chang'shan'zhong'xue
长寿,chang'shou
长寿中学,chang'shou'zhong'xue
城东,cheng'dong
城东职业,cheng'dong'zhi'ye
城东职业高级,cheng'dong'zhi'ye'gao'ji
城东职业高级中学,cheng'dong'zhi'ye'gao'ji'zhong'xue
成化,cheng'hua
成化高级,cheng'hua'gao'ji
成化高级中学,cheng'hua'gao'ji'zhong'xue
成化高中,cheng'hua'gao'zhong
澄江镇成人教育中心校,cheng'jiang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
澄江镇成人校,cheng'jiang'zhen'cheng'ren'xiao
城市技术,cheng'shi'ji'shu
城市职业技术,cheng'shi'zhi'ye'ji'shu
城市职业技术学院,cheng'shi'zhi'ye'ji'shu'xue'yuan
