巴音布腰鲁克,ba'yin'bu'yao'lu'ke
白脏处理间,bai'zang'chu'li'jian
半成品,ban'cheng'pin
半成品库,ban'cheng'pin'ku
包含,bao'han
标识,biao'zhi
标识标注,biao'zhi'biao'zhu
病羊,bing'yang
病灶异物,bing'zao'yi'wu
剥右前脖,bo'you'qian'bo
剥右前腿,bo'you'qian'tui
剥右前胸去腹皮,bo'you'qian'xiong'qu'fu'pi
剥左前脖,bo'zuo'qian'bo
不等斤,bu'deng'jin
不等于,bu'deng'yu
不合格,bu'he'ge
补款项审批,bu'kuan'xiang'shen'pi
布氏杆菌,bu'shi'gan'jun
不正常,bu'zheng'chang
草刺异物,cao'ci'yi'wu
草饲大羊,cao'si'da'yang
草饲二岁,cao'si'er'sui
草饲羔羊,cao'si'gao'yang
差价,cha'jia
产品表面温度,chan'pin'biao'mian'wen'du
产品净含量检查,chan'pin'jing'han'liang'jian'cha
车间温度检测,che'jian'wen'du'jian'ce
车间温度在,che'jian'wen'du'zai
扯皮前预处理,che'pi'qian'yu'chu'li
成品,cheng'pin
成品库,cheng'pin'ku
成品库房,cheng'pin'ku'fang
成品装箱后分钟内运至成品库,cheng'pin'zhuang'xiang'hou'fen'zhong'nei'yun'zhi'cheng'pin'ku
抽真空热缩贴标签,chou'zhen'kong're'suo'tie'biao'qian
出白脏,chu'bai'zang
出红腔,chu'hong'qiang
出腔完整不得破损,chu'qiang'wan'zheng'bu'de'po'sun
穿脖剥左前腿,chuan'bo'bo'zuo'qian'tui
串类,chuan'lei
穿胸剥左前胸,chuan'xiong'bo'zuo'qian'xiong
锤皮机剥大面,chui'pi'ji'bo'da'mian
次转挂,ci'zhuan'gua
大羊,da'yang
大于,da'yu
大于等于,da'yu'deng'yu
待生产,dai'sheng'chan
待宰,dai'zai
待宰圈,dai'zai'quan
单选,dan'xuan
到厂,dao'chang
到位任意字符,dao'wei'ren'yi'zi'fu
到位数字,dao'wei'shu'zi
到位字符串,dao'wei'zi'fu'chuan
等斤,deng'jin
等外,deng'wai
等于,deng'yu
电汇,dian'hui
电子邮件,dian'zi'you'jian
吊挂屠宰,diao'gua'tu'zai
定期校准轨道秤,ding'qi'jiao'zhun'gui'dao'cheng
胴体修整,dong'ti'xiu'zheng
动物检疫合格证,dong'wu'jian'yi'he'ge'zheng
多选,duo'xuan
二次扯皮,er'ci'che'pi
二次预处理去宝,er'ci'yu'chu'li'qu'bao
二级,er'ji
返工处理,fan'gong'chu'li
返回修改,fan'hui'xiu'gai
非空,fei'kong
肥瘦搭配无的空洞,fei'shou'da'pei'wu'de'kong'dong
分割,fen'ge
分割车间,fen'ge'che'jian
分割品,fen'ge'pin
焚烧,fen'shao
羔羊,gao'yang
个别不合格,ge'bie'bu'he'ge
更换秤,geng'huan'cheng
谷饲大羊,gu'si'da'yang
谷饲二岁,gu'si'er'sui
谷饲羔羊,gu'si'gao'yang
骨头,gu'tou
国内羊原料,guo'nei'yang'yuan'liao
号产线,hao'chan'xian
合格,he'ge
红脏处理间,hong'zang'chu'li'jian
划圈位置准确,hua'quan'wei'zhi'zhun'que
划圈转挂,hua'quan'zhuan'gua
黄疸羊,huang'dan'yang
黄脂羊,huang'zhi'yang
脊椎关节处下刀保持卫生清洁,ji'zhui'guan'jie'chu'xia'dao'bao'chi'wei'sheng'qing'jie
价格审批,jia'ge'shen'pi
间接采购,jian'jie'cai'gou
检斤,jian'jin
校准,jiao'zhun
结算,jie'suan
结算审批,jie'suan'shen'pi
结算完成,jie'suan'wan'cheng
结算中,jie'suan'zhong
进口羊原料,jin'kou'yang'yuan'liao
进行中,jin'xing'zhong
禁用,jin'yong
净含量,jing'han'liang
精修及分割,jing'xiu'ji'fen'ge
空洞,kong'dong
冷缩温度检测,leng'suo'wen'du'jian'ce
劣质,lie'zhi
淋巴,lin'ba
临时库房,lin'shi'ku'fang
毛羊,mao'yang
蒙古羊,meng'gu'yang
描尾挂左后腿,miao'wei'gua'zuo'hou'tui
模糊,mo'hu
牧民,mu'min
排酸过程,pai'suan'guo'cheng
排酸号库入口,pai'suan'hao'ku'ru'kou
排酸后称重,pai'suan'hou'cheng'zhong
排酸库,pai'suan'ku
配称,pei'chen
皮肉完整分离,pi'rou'wan'zheng'fen'li
皮肉完整分离剥离到位,pi'rou'wan'zheng'fen'li'bo'li'dao'wei
皮肉完整分离扯皮完全符合标准,pi'rou'wan'zheng'fen'li'che'pi'wan'quan'fu'he'biao'zhun
皮肉完整分离将羊宝去除,pi'rou'wan'zheng'fen'li'jiang'yang'bao'qu'chu
皮肉完整分离羊皮不得污染胴体,pi'rou'wan'zheng'fen'li'yang'pi'bu'de'wu'ran'dong'ti
皮张尾肉预剥合理,pi'zhang'wei'rou'yu'bo'he'li
片类,pian'lei
铺卷,pu'juan
普通,pu'tong
其他,qi'ta
启用,qi'yong
蔷薇七村,qiang'wei'qi'cun
清真屠宰吊挂结实羊只无脱落,qing'zhen'tu'zai'diao'gua'jie'shi'yang'zhi'wu'tuo'luo
去除干净,qu'chu'gan'jing
去除干净完整,qu'chu'gan'jing'wan'zheng
去除干净完整不带膈肌肉,qu'chu'gan'jing'wan'zheng'bu'dai'ge'ji'rou
去除干净位置准确不得破坏前腿,qu'chu'gan'jing'wei'zhi'zhun'que'bu'de'po'huai'qian'tui
去后蹄,qu'hou'ti
去肩前淋巴,qu'jian'qian'lin'ba
去前蹄,qu'qian'ti
去头,qu'tou
去胸腺,qu'xiong'xian
去羊鞭奶渣股前淋巴,qu'yang'bian'nai'zha'gu'qian'lin'ba
去腰子腰油,qu'yao'zi'yao'you
人员卫生规范,ren'yuan'wei'sheng'gui'fan
肉串半成品,rou'chuan'ban'cheng'pin
肉串成品,rou'chuan'cheng'pin
肉夹馍,rou'jia'mo
入场检疫,ru'chang'jian'yi
入库及时性,ru'ku'ji'shi'xing
三级,san'ji
色泽,se'ze
设备清洗消毒,she'bei'qing'xi'xiao'du
设备消洗消毒,she'bei'xiao'xi'xiao'du
设备运行是否正常,she'bei'yun'xing'shi'fou'zheng'chang
审核中,shen'he'zhong
生产中,sheng'chan'zhong
食管结扎,shi'guan'jie'za
食管结扎完全胸部用刀割通,shi'guan'jie'za'wan'quan'xiong'bu'yong'dao'ge'tong
失效,shi'xiao
手钩及时清洗消毒,shou'gou'ji'shi'qing'xi'xiao'du
手机号码,shou'ji'hao'ma
瘦肉精三项,shou'rou'jing'san'xiang
手刷及时清洗消毒,shou'shua'ji'shi'qing'xi'xiao'du
数量入库,shu'liang'ru'ku
数字,shu'zi
刷毛,shua'mao
涮品,shuan'pin
水泡空洞,shui'pao'kong'dong
四级,si'ji
速冻,su'dong
苏尼特左旗巴鹰牧民专业合作社,su'ni'te'zuo'qi'ba'ying'mu'min'zhuan'ye'he'zuo'she
苏尼特左旗布仁畜牧专业合作社,su'ni'te'zuo'qi'bu'ren'xu'mu'zhuan'ye'he'zuo'she
速烹,su'peng
特等,te'deng
剔骨,ti'gu
天人,tian'ren
通过,tong'guo
通知采购部拒收,tong'zhi'cai'gou'bu'ju'shou
通知车间主任,tong'zhi'che'jian'zhu'ren
通知负责人,tong'zhi'fu'ze'ren
通知相关班长,tong'zhi'xiang'guan'ban'zhang
通知相关负责人,tong'zhi'xiang'guan'fu'ze'ren
头蹄处理间,tou'ti'chu'li'jian
图片,tu'pian
屠宰,tu'zai
屠宰车间,tu'zai'che'jian
屠宰完毕,tu'zai'wan'bi
屠宰中,tu'zai'zhong
屠宰中断,tu'zai'zhong'duan
外包装,wai'bao'zhuang
外观,wai'guan
外形感官,wai'xing'gan'guan
完成,wan'cheng
丸类,wan'lei
网上采购,wang'shang'cai'gou
网址,wang'zhi
尾部处理,wei'bu'chu'li
卫生污染,wei'sheng'wu'ran
卫生纸粘贴尾部防止交叉污染,wei'sheng'zhi'zhan'tie'wei'bu'fang'zhi'jiao'cha'wu'ran
未提交,wei'ti'jiao
未通过,wei'tong'guo
未完成,wei'wan'cheng
位置准确切口平齐,wei'zhi'zhun'que'qie'kou'ping'qi
温度在以下,wen'du'zai'yi'xia
物流,wu'liu
乌珠穆沁,wu'zhu'mu'qin
锡盟,xi'meng
锡盟羊原料,xi'meng'yang'yuan'liao
洗手消毒,xi'shou'xiao'du
下货,xia'huo
下货车间,xia'huo'che'jian
下货库,xia'huo'ku
现金,xian'jin
销毁,xiao'hui
小时,xiao'shi
小于,xiao'yu
小于等于,xiao'yu'deng'yu
形状,xing'zhuang
胸部扯皮,xiong'bu'che'pi
修改,xiu'gai
修割去尾,xiu'ge'qu'wei
修选,xiu'xuan
血冰,xue'bing
羊冰鲜,yang'bing'xian
羊冻品,yang'dong'pin
羊胴体,yang'dong'ti
羊肚,yang'du
羊贩,yang'fan
羊肺,yang'fei
羊分割,yang'fen'ge
羊副品,yang'fu'pin
羊肝,yang'gan
羊卷板块,yang'juan'ban'kuai
羊毛,yang'mao
羊排,yang'pai
羊皮处理间,yang'pi'chu'li'jian
样品,yang'pin
羊肉卷,yang'rou'juan
羊双品牌,yang'shuang'pin'pai
羊头,yang'tou
羊尾,yang'wei
羊尾检斤,yang'wei'jian'jin
羊下货,yang'xia'huo
羊鲜品,yang'xian'pin
羊心,yang'xin
阳性,yang'xing
异常,yi'chang
一次扯皮,yi'ci'che'pi
一级,yi'ji
已调整,yi'tiao'zheng
阴性,yin'xing
优等,you'deng
有效,you'xiao
邮政编码,you'zheng'bian'ma
淤血,yu'xue
淤血淋巴,yu'xue'lin'ba
淤血血污,yu'xue'xue'wu
元人,yuan'ren
宰前,zai'qian
宰前检疫,zai'qian'jian'yi
责令整改,ze'ling'zheng'gai
正常,zheng'chang
脂肪搭配,zhi'fang'da'pei
直接采购,zhi'jie'cai'gou
支票,zhi'piao
种公羊,zhong'gong'yang
重量入库,zhong'liang'ru'ku
中心温度,zhong'xin'wen'du
种羊,zhong'yang
转挂,zhuan'gua
转卡折,zhuan'ka'zhe
字母,zi'mu
做眼去尾纸,zuo'yan'qu'wei'zhi
做眼做通不污染胴体纸张去除,zuo'yan'zuo'tong'bu'wu'ran'dong'ti'zhi'zhang'qu'chu
