爱国治民能无为乎,ai'guo'zhi'min'neng'wu'wei'hu
泊兮若无止,bo'xi'ruo'wu'zhi
不失其所者久,bu'shi'qi'suo'zhe'jiu
不言之教无为之益天下希及之,bu'yan'zhi'jiao'wu'wei'zhi'yi'tian'xia'xi'ji'zhi
草木之生也柔脆其死也枯槁,cao'mu'zhi'sheng'ye'rou'cui'qi'si'ye'ku'gao
持而盈之不如其已,chi'er'ying'zhi'bu'ru'qi'yi
宠辱若惊贵大患若身,chong'ru'ruo'jing'gui'da'huan'ruo'shen
揣而锐之不可长保,chuai'er'rui'zhi'bu'ke'chang'bao
大白若辱,da'bai'ruo'ru
大成若缺其用不弊,da'cheng'ruo'que'qi'yong'bu'bi
大方无隅,da'fang'wu'yu
大器晚成,da'qi'wan'cheng
大象无形,da'xiang'wu'xing
大音希声,da'yin'xi'sheng
大盈若冲其用不穷,da'ying'ruo'chong'qi'yong'bu'qiong
大直若屈大巧若拙大辩若讷,da'zhi'ruo'qu'da'qiao'ruo'zhuo'da'bian'ruo'ne
澹兮其若海,dan'xi'qi'ruo'hai
道可道非常道名可名非常名,dao'ke'dao'fei'chang'dao'ming'ke'ming'fei'chang'ming
道生之德畜之物形之势成之,dao'sheng'zhi'de'chu'zhi'wu'xing'zhi'shi'cheng'zhi
道隐无名,dao'yin'wu'ming
道之尊德之贵夫莫之命而常自然,dao'zhi'zun'de'zhi'gui'fu'mo'zhi'ming'er'chang'zi'ran
涤除玄鉴能如疵乎,di'chu'xuan'jian'neng'ru'ci'hu
敦兮其若朴,dui'xi'qi'ruo'piao
沌沌兮如婴儿之未孩,dun'dun'xi'ru'ying'er'zhi'wei'hai
多言数穷不如守中,duo'yan'shuo'qiong'bu'ru'shou'zhong
反者道之动弱者道之用,fan'zhe'dao'zhi'dong'ruo'zhe'dao'zhi'yong
富贵而骄自遗其咎,fu'gui'er'jiao'zi'yi'qi'jiu
夫礼者忠信之薄而乱之首,fu'li'zhe'zhong'xin'zhi'bo'er'luan'zhi'shou
夫唯道善贷且成,fu'wei'dao'shan'dai'qie'cheng
夫唯无以生为者是贤于贵生,fu'wei'wu'yi'sheng'wei'zhe'shi'xian'yu'gui'sheng
功遂身退天之道也,gong'sui'shen'tui'tian'zhi'dao'ye
故坚强者死之徒柔弱者生之徒,gu'jian'qiang'zhe'si'zhi'tu'rou'ruo'zhe'sheng'zhi'tu
故抗兵相若哀者胜矣,gu'kang'bing'xiang'ruo'ai'zhe'sheng'yi
故物或损之而益或益之而损,gu'wu'huo'sun'zhi'er'yi'huo'yi'zhi'er'sun
故有之以为利无之以为用,gu'you'zhi'yi'wei'li'wu'zhi'yi'wei'yong
古之善为道者非以明民将以愚之,gu'zhi'shan'wei'dao'zhe'fei'yi'ming'min'jiang'yi'yu'zhi
