安定团结,an'ding'tuan'jie
安全生产,an'quan'sheng'chan
澳人治澳,ao'ren'zhi'ao
罢免,ba'mian
包容多样,bao'rong'duo'yang
表达权,biao'da'quan
病有所医,bing'you'suo'yi
参与权,can'yu'quan
长效机制,chang'xiao'ji'zhi
城市群,cheng'shi'qun
惩治腐败,cheng'zhi'fu'bai
创新,chuang'xin
创新发展理念,chuang'xin'fa'zhan'li'nian
创新人才,chuang'xin'ren'cai
创新型,chuang'xin'xing
创新型国家,chuang'xin'xing'guo'jia
创新智慧,chuang'xin'zhi'hui
创造条件让更多群众拥有财产性收入,chuang'zao'tiao'jian'rang'geng'duo'qun'zhong'yong'you'cai'chan'xing'shou'ru
慈善事业,ci'shan'shi'ye
促进社会和谐,cu'jin'she'hui'he'xie
大发展,da'fa'zhan
大发展大繁荣,da'fa'zhan'da'fan'rong
大繁荣,da'fan'rong
大团结,da'tuan'jie
党风廉政建设,dang'feng'lian'zheng'jian'she
党内选举制度,dang'nei'xuan'ju'zhi'du
党员主体地位,dang'yuan'zhu'ti'di'wei
德育为先,de'yu'wei'xian
邓小平理论,deng'xiao'ping'li'lun
地球家园,di'qiu'jia'yuan
发展方式,fa'zhan'fang'shi
发展机遇,fa'zhan'ji'yu
发展难题,fa'zhan'nan'ti
发展质量,fa'zhan'zhi'liang
法治,fa'zhi
法制保障,fa'zhi'bao'zhang
反对台独,fan'dui'tai'du
反腐败,fan'fu'bai
反腐败斗争,fan'fu'bai'dou'zheng
反腐倡廉,fan'fu'chang'lian
腐败官员,fu'bai'guan'yuan
扶贫,fu'pin
服务型政府,fu'wu'xing'zheng'fu
改革开放,gai'ge'kai'fang
港人治港,gang'ren'zhi'gang
高举中国特色社会主义伟大旗帜,gao'ju'zhong'guo'te'se'she'hui'zhu'yi'wei'da'qi'zhi
公开,gong'kai
公开选拔,gong'kai'xuan'ba
公民有序政治参与,gong'min'you'xu'zheng'zhi'can'yu
公平,gong'ping
公平准入,gong'ping'zhun'ru
公信,gong'xin
公信力,gong'xin'li
共赢,gong'ying
公正,gong'zheng
公众参与度,gong'zhong'can'yu'du
顾全大局,gu'quan'da'ju
官煤勾结,guan'mei'gou'jie
观念,guan'nian
关注民生,guan'zhu'min'sheng
国家荣誉制度,guo'jia'rong'yu'zhi'du
和平统一,he'ping'tong'yi
和平外交,he'ping'wai'jiao
和平协议,he'ping'xie'yi
和谐,he'xie
和谐发展,he'xie'fa'zhan
和谐社会,he'xie'she'hui
和谐文化,he'xie'wen'hua
和谐相处,he'xie'xiang'chu
合作医疗,he'zuo'yi'liao
环境友好型,huan'jing'you'hao'xing
环境友好型社会,huan'jing'you'hao'xing'she'hui
活力,huo'li
