庵山,an'shan
摆水,bai'shui
白水洋,bai'shui'yang
拌粉,ban'fen
包茶,bao'cha
呗别,bei'bie
闭学式,bi'xue'shi
不会嘞,bu'hui'le
曹墩,cao'dun
茶博会,cha'bo'hui
茶博园,cha'bo'yuan
茶场,cha'chang
茶平,cha'ping
茶学,cha'xue
茶业,cha'ye
吵吵死,chao'chao'si
城村,cheng'cun
成端,cheng'duan
澄源,cheng'yuan
吃太热,chi'tai're
川石,chuan'shi
床铺上,chuang'pu'shang
创世纪,chuang'shi'ji
从福州,cong'fu'zhou
错掉,cuo'diao
大安源,da'an'yuan
大埠岗,da'bu'gang
大干,da'gan
大横,da'heng
大红袍,da'hong'pao
打死掉,da'si'diao
大王峰,da'wang'feng
大圆弧,da'yuan'hu
到福州,dao'fu'zhou
到建瓯,dao'jian'ou
到南平,dao'nan'ping
到武夷山,dao'wu'yi'shan
得人恼,de'ren'nao
等的住,deng'de'zhu
迪口,di'kou
第五街,di'wu'jie
颠掉,dian'diao
颠趴,dian'pa
吊线式,diao'xian'shi
东南商业城,dong'nan'shang'ye'cheng
度假去,du'jia'qu
饿死掉,e'si'diao
烦死掉,fan'si'diao
分线盒,fen'xian'he
福建南平,fu'jian'nan'ping
福建省,fu'jian'sheng
府前,fu'qian
富屯溪,fu'tun'xi
福州了,fu'zhou'le
改接,gai'jie
高补,gao'bu
搞逗,gao'dou
搞死掉,gao'si'diao
搞住,gao'zhu
根雕,gen'diao
公安巷,gong'an'xiang
拱趴,gong'pa
公园口,gong'yuan'kou
古楼,gu'lou
鼓楼街,gu'lou'jie
挂瓶,gua'ping
光饼,guang'bing
光泽,guang'ze
光泽县,guang'ze'xian
锅边,guo'bian
锅边糊,guo'bian'hu
韩美基,han'mei'ji
好当家,hao'dang'jia
好涩,hao'se
喝住,he'zhu
很迟了,hen'chi'le
很迟睡,hen'chi'shui
横街头,heng'jie'tou
红二,hong'er
红菇,hong'gu
猴岛,hou'dao
虎啸岩,hu'xiao'yan
黄墩,huang'dun
黄华山,huang'hua'shan
黄坑,huang'keng
回福州,hui'fu'zhou
回南平,hui'nan'ping
回邵武,hui'shao'wu
假假的,jia'jia'de
佳客来,jia'ke'lai
剑津中学,jian'jin'zhong'xue
建瓯,jian'ou
建瓯的,jian'ou'de
建瓯话,jian'ou'hua
建瓯了,jian'ou'le
建瓯人,jian'ou'ren
建瓯市,jian'ou'shi
建瓯一中,jian'ou'yi'zhong
建溪,jian'xi
建阳,jian'yang
建阳了,jian'yang'le
建阳市,jian'yang'shi
讲不来,jiang'bu'lai
角亭,jiao'ting
接线筒,jie'xian'tong
进步路,jin'bu'lu
金骏眉,jin'jun'mei
金坑,jin'keng
金山碧水,jin'shan'bi'shui
九峰,jiu'feng
九峰桥,jiu'feng'qiao
九峰山,jiu'feng'shan
九曲溪,jiu'qu'xi
莒口,ju'kou
凯旋城,kai'xuan'cheng
开庄,kai'zhuang
康靓园,kang'liang'yuan
考不来,kao'bu'lai
考亭,kao'ting
来福建,lai'fu'jian
来建瓯,lai'jian'ou
来建阳,lai'jian'yang
来龙山,lai'long'shan
来南平,lai'nan'ping
来武夷山,lai'wu'yi'shan
岚谷,lan'gu
岚下,lan'xia
累死点,lei'si'dian
累死掉,lei'si'diao
冷死掉,leng'si'diao
李刚路,li'gang'lu
莲花峰,lian'hua'feng
两不来,liang'bu'lai
聊住,liao'zhu
龙村,long'cun
龙岩,long'yan
炉下,lu'xia
马坑,ma'keng
马坑路,ma'keng'lu
麻沙,ma'sha
马站,ma'zhan
蛮去,man'qu
蛮说,man'shuo
茫荡山,mang'dang'shan
没掉了,mei'diao'le
美其乐,mei'qi'le
梅山坡,mei'shan'po
没有嘞,mei'you'le
梦笔,meng'bi
闽北,min'bei
名流世家,ming'liu'shi'jia
那还不是啊,na'hai'bu'shi'a
那还不要,na'hai'bu'yao
拿口,na'kou
南纺,nan'fang
南街头,nan'jie'tou
南平,nan'ping
南平的,nan'ping'de
南平了,nan'ping'le
南平南,nan'ping'nan
南平人,nan'ping'ren
南平市,nan'ping'shi
南平一中,nan'ping'yi'zhong
你在福州,ni'zai'fu'zhou
你在南平,ni'zai'nan'ping
你这下,ni'zhe'xia
年段,nian'duan
牛太郎,niu'tai'lang
欧米,ou'mi
泡袋,pao'dai
泡粉,pao'fen
泡爪,pao'zhao
皮线,pi'xian
瀑布林,pu'bu'lin
浦城,pu'cheng
浦城县,pu'cheng'xian
埔上镇,pu'shang'zhen
浦潭,pu'tan
七里街,qi'li'jie
气死掉,qi'si'diao
前下,qian'xia
清楚来,qing'chu'lai
庆元,qing'yuan
去福州,qu'fu'zhou
去建瓯,qu'jian'ou
去南平,qu'nan'ping
去武夷山,qu'wu'yi'shan
然后咯,ran'hou'ge
惹憋,re'bie
热死掉,re'si'diao
仁寿镇,ren'shou'zhen
肉桂,rou'gui
三姑,san'gu
三明,san'ming
三元路,san'yuan'lu
沙墩,sha'dun
傻瓜肉,sha'gua'rou
晒口,shai'kou
山场,shan'chang
上梅,shang'mei
邵武,shao'wu
