阿米卡星,a'mi'ka'xing
阿奇霉素,a'qi'mei'su
阿托品,a'tuo'pin
阿昔洛韦,a'xi'luo'wei
癌性发热,ai'xing'fa're
爱与归属的需要,ai'yu'gui'shu'de'xu'yao
安瓿剂,an'bu'ji
氨茶碱,an'cha'jian
安定,an'ding
氨基比林,an'ji'bi'lin
氨甲苯酸,an'jia'ben'suan
安静性,an'jing'xing
安乐死,an'le'si
安眠药,an'mian'yao
按摩,an'mo
安乃近,an'nai'jin
安宁,an'ning
安全的需要,an'quan'de'xu'yao
安全性,an'quan'xing
安体舒通,an'ti'shu'tong
安痛定,an'tong'ding
按压,an'ya
奥美拉唑,ao'mei'la'zuo
巴比妥,ba'bi'tuo
拔火罐,ba'huo'guan
白细胞,bai'xi'bao
败血症,bai'xue'zheng
半坐卧位,ban'zuo'wo'wei
胞二磷胆碱,bao'er'lin'dan'jian
保护性隔离,bao'hu'xing'ge'li
保卫科,bao'wei'ke
倍他乐克,bei'ta'le'ke
备用床,bei'yong'chuang
苯巴比妥,ben'ba'bi'tuo
苯二氮卓类受体,ben'er'dan'zhuo'lei'shou'ti
苯妥英钠,ben'tuo'ying'na
避免,bi'mian
鼻腔,bi'qiang
吡嗪酰胺,bi'qin'xian'an
必漱平,bi'shu'ping
鼻饲,bi'si
必要时,bi'yao'shi
便秘,bian'mi
濒死,bin'si
病案统计科,bing'an'tong'ji'ke
病程记录,bing'cheng'ji'lu
病毒唑,bing'du'zuo
病例,bing'li
病历,bing'li
病理科,bing'li'ke
病区,bing'qu
病人,bing'ren
病室温度,bing'shi'wen'du
病原微生物,bing'yuan'wei'sheng'wu
冰镇,bing'zhen
冰枕,bing'zhen
补充血容量,bu'chong'xue'rong'liang
不规则热,bu'gui'ze're
不良反应,bu'liang'fan'ying
补体,bu'ti
擦剂,ca'ji
参与呼吸,can'yu'hu'xi
操作技术,cao'zuo'ji'shu
侧卧位,ce'wo'wei
查对,cha'dui
查对制度,cha'dui'zhi'du
插入,cha'ru
产后,chan'hou
肠道隔离,chang'dao'ge'li
常见,chang'jian
肠镜,chang'jing
长期医嘱,chang'qi'yi'zhu
长时间受压,chang'shi'jian'shou'ya
肠胀气,chang'zhang'qi
超高热,chao'gao're
超室,chao'shi
潮湿,chao'shi
晨间护理,chen'jian'hu'li
尺骨鹰嘴牵引,chi'gu'ying'zui'qian'yin
弛张热,chi'zhang're
持针器,chi'zhen'qi
冲管,chong'guan
除臭,chu'chou
处理,chu'li
出凝血时间,chu'ning'xue'shi'jian
出血倾向,chu'xie'qing'xiang
出院小结,chu'yuan'xiao'jie
传播途径,chuan'bo'tu'jing
传染性疾病科,chuan'ran'xing'ji'bing'ke
传染源,chuan'ran'yuan
创伤外科,chuang'shang'wai'ke
磁共振,ci'gong'zhen
刺激,ci'ji
促进,cu'jin
催眠,cui'mian
大便常规,da'bian'chang'gui
大仑丁,da'lun'ding
蛋白质,dan'bai'zhi
胆管,dan'guan
丹参,dan'shen
单眼,dan'yan
党办,dang'ban
刀柄,dao'bing
导管,dao'guan
导尿,dao'niao
导尿管,dao'niao'guan
导尿术,dao'niao'shu
刀片,dao'pian
等长收缩,deng'chang'shou'suo
等张收缩,deng'zhang'shou'suo
地巴唑,di'ba'zuo
敌百虫,di'bai'chong
地灯,di'deng
敌敌畏,di'di'wei
低分子右旋糖酐氨基酸,di'fen'zi'you'xuan'tang'gan'an'ji'suan
低分子右旋糖酐氨基酸注射液,di'fen'zi'you'xuan'tang'gan'an'ji'suan'zhu'she'ye
地高辛,di'gao'xin
低热,di're
