安氏疗法,an'shi'liao'fa
便秘,bian'mi
便血,bian'xie
骶骨前瘘,di'gu'qian'lou
低尾部瘘,di'wei'bu'lou
电子肛门镜,dian'zi'gang'men'jing
电子结肠镜,dian'zi'jie'chang'jing
感染,gan'ran
肛窦炎,gang'dou'yan
肛裂,gang'lie
肛瘘,gang'lou
肛门梳硬结,gang'men'shu'ying'jie
肛乳头肥大,gang'ru'tou'fei'da
肛周脓肿,gang'zhou'nong'zhong
肛周皮下脓肿,gang'zhou'pi'xia'nong'zhong
骨盆直肠窝脓肿,gu'pen'zhi'chang'wo'nong'zhong
化脓性汗腺楼,hua'nong'xing'han'xian'lou
坏死,huai'si
会阴尿道瘘,hui'yin'niao'dao'lou
混合痔,hun'he'zhi
结缔组织外痔,jie'di'zu'zhi'wai'zhi
结核性肛瘘,jie'he'xing'gang'lou
结核性肛门直肠脓肿,jie'he'xing'gang'men'zhi'chang'nong'zhong
静脉曲张性外痔,jing'mai'qu'zhang'xing'wai'zhi
溃疡,kui'yang
裂痔,lie'zhi
粘液流出,nian'ye'liu'chu
贫血,pin'xue
嵌顿,qian'dun
潜性瘘管,qian'xing'lou'guan
瘙痒,sao'yang
梭形溃疡,suo'xing'kui'yang
疼痛,teng'tong
脱出,tuo'chu
先天性瘘,xian'tian'xing'lou
先天性直肠瘘,xian'tian'xing'zhi'chang'lou
血栓性外痔,xue'shuan'xing'wai'zhi
炎性外痔,yan'xing'wai'zhi
硬结或瘢痕,ying'jie'huo'ban'hen
直肠癌,zhi'chang'ai
直肠后脓肿,zhi'chang'hou'nong'zhong
直肠粘膜下脓肿,zhi'chang'nian'mo'xia'nong'zhong
直肠脱垂,zhi'chang'tuo'chui
痔疮,zhi'chuang
阻梗,zu'geng
坐骨直肠窝脓肿,zuo'gu'zhi'chang'wo'nong'zhong
