安居,an'ju
安塞,an'sai
安塞县,an'sai'xian
安塞腰鼓,an'sai'yao'gu
安四烤肉,an'si'kao'rou
昂么,ang'me
奥特,ao'te
八宝粥,ba'bao'zhou
八托二,ba'tuo'er
霸王鞭,ba'wang'bian
百米大道,bai'mi'da'dao
百圣,bai'sheng
百姓家园,bai'xing'jia'yuan
板子,ban'zi
宝塔,bao'ta
宝塔桥,bao'ta'qiao
宝塔区,bao'ta'qu
宝塔山,bao'ta'shan
鼻塌憨水,bi'ta'han'shui
擦们,ca'men
残舞,can'wu
残舞败影,can'wu'bai'ying
茬戏,cha'xi
朝天门,chao'tian'men
车管所,che'guan'suo
成松蓝,cheng'song'lan
吃蓝么,chi'lan'me
吃了么,chi'liao'me
吃什么着了,chi'shen'me'zhe'le
穿地龙,chuan'di'long
串可蓝,chuan'ke'lan
川口,chuan'kou
川云酸菜面,chuan'yun'suan'cai'mian
纯粹,chun'cui
大东门,da'dong'men
大豆,da'dou
大红果子剥皮皮,da'hong'guo'zi'bo'pi'pi
大礼堂,da'li'tang
道擦,dao'ca
道仓,dao'cang
倒势,dao'shi
地椒,di'jiao
东方红,dong'fang'hong
东关大桥,dong'guan'da'qiao
东关老胡家肉夹饼,dong'guan'lao'hu'jia'rou'jia'bing
东关汽车站,dong'guan'qi'che'zhan
动力,dong'li
都成松蓝,dou'cheng'song'lan
毒子,du'zi
多或,duo'huo
饿蓝,e'lan
饿们,e'men
额什话不说蓝,e'shen'hua'bu'shuo'lan
二道该,er'dao'gai
二道街,er'dao'jie
二杆子,er'gan'zi
二马路,er'ma'lu
二中,er'zhong
二庄科,er'zhuang'ke
方塌,fang'ta
凤凰山,feng'huang'shan
浮起,fu'qi
富县,fu'xian
富县飞锣,fu'xian'fei'luo
甘草,gan'cao
甘谷驿,gan'gu'yi
甘谷驿红薯,gan'gu'yi'hong'shu
擀面皮,gan'mian'pi
甘泉,gan'quan
甘泉豆腐干,gan'quan'dou'fu'gan
甘泉莲花灯,gan'quan'lian'hua'deng
甘泉县,gan'quan'xian
干什么着了,gan'shen'me'zhe'le
赶牲灵,gan'sheng'ling
高峁湾,gao'mao'wan
高四五,gao'si'wu
搞笑,gao'xiao
咯戳,ge'chuo
圪蹴哈,ge'cu'ha
各囊,ge'nang
个品可,ge'pin'ke
各品可,ge'pin'ke
各青马嚓,ge'qing'ma'cha
挂红灯,gua'hong'deng
拐子巷,guai'zi'xiang
滚滚延河水巍巍宝塔山,gun'gun'yan'he'shui'wei'wei'bao'ta'shan
果馅,guo'xian
哈七搅,ha'qi'jiao
哈说,ha'shuo
害哈蓝,hai'ha'lan
害哈勒,hai'ha'le
海气里,hai'qi'li
憨儿,han'er
憨流少势,han'liu'shao'shi
酣女子,han'nv'zi
酣小子,han'xiao'zi
酣着了,han'zhe'le
航标,hang'biao
好蓝,hao'lan
好利来,hao'li'lai
好事情,hao'shi'qing
饸饹,he'ge
河庄坪,he'zhuang'ping
黑里倒正,hei'li'dao'zheng
黑龙沟,hei'long'gou
黑天打洞,hei'tian'da'dong
横山里下来游击队,heng'shan'li'xia'lai'you'ji'dui
红树林,hong'shu'lin
红小豆,hong'xiao'dou
红枣,hong'zao
后晌,hou'shang
后生,hou'sheng
唿二八他,hu'er'ba'ta
唿噜,hu'lu
虎头峁,hu'tou'mao
黄蒿洼,huang'hao'wa
黄蒿湾,huang'hao'wan
黄河船夫曲,huang'he'chuan'fu'qu
黄陵,huang'ling
黄陵抬鼓,huang'ling'tai'gu
黄陵县,huang'ling'xian
黄龙,huang'long
黄龙板栗,huang'long'ban'li
黄龙核桃,huang'long'he'tao
黄龙猎鼓,huang'long'lie'gu
黄龙山楂,huang'long'shan'zha
黄龙县,huang'long'xian
挥笔,hui'bi
灰怂,hui'song
家和,jia'he
佳们,jia'men
贱货,jian'huo
教院附中,jiao'yuan'fu'zhong
解放剧院,jie'fang'ju'yuan
