八王之乱爆发后,ba'wang'zhi'luan'bao'fa'hou
百家之学,bai'jia'zhi'xue
被拜为,bei'bai'wei
被攻破,bei'gong'po
被提升为,bei'ti'sheng'wei
被新兴太守,bei'xin'xing'tai'shou
本来很有抱负,ben'lai'hen'you'bao'fu
本性奢豪放纵,ben'xing'she'hao'fang'zong
便投附刘聪,bian'tou'fu'liu'cong
并州别驾,bing'zhou'bie'jia
参前锋战争,can'qian'feng'zhan'zheng
曾对刘渊说,ceng'dui'liu'yuan'shuo
常游历于,chang'you'li'yu
常在刘琨面前谮毁,chang'zai'liu'kun'mian'qian'zen'hui
成都王,cheng'du'wang
赤沙中郎将,chi'sha'zhong'lang'jiang
此儿寻不能测,ci'er'xun'bu'neng'ce
匆忙向鲜卑,cong'mang'xiang'xian'bei
大部分地区被,da'bu'fen'di'qu'bei
大多南下江南,da'duo'nan'xia'jiang'nan
但还没有,dan'hai'mei'you
但他出身士族,dan'ta'chu'shen'shi'zu
当时刘琨,dang'shi'liu'kun
的第四子,de'di'si'zi
的刘琨,de'liu'kun
的赏识,de'shang'shi
都有一些建树,dou'you'yi'xie'jian'shu
都城洛阳,du'cheng'luo'yang
都城平阳,du'cheng'ping'yang
都督中外诸军事,du'du'zhong'wai'zhu'jun'shi
对孙吴兵法,dui'sun'wu'bing'fa
发起了进攻,fa'qi'le'jin'gong
奋威将军,fen'wei'jiang'jun
封石勒为,feng'shi'le'wei
奉原秦王,feng'yuan'qin'wang
俘晋怀帝,fu'jin'huai'di
抚军大将军,fu'jun'da'jiang'jun
赋颂,fu'song
改元光兴,gai'yuan'guang'xing
赶到晋阳,gan'dao'jin'yang
高乔,gao'qiao
工草隶二体,gong'cao'li'er'ti
攻破洛阳,gong'po'luo'yang
攻势下,gong'shi'xia
广结名士,guang'jie'ming'shi
郭颐,guo'yi
汉国国君,han'guo'guo'jun
汉国政权对垒,han'guo'zheng'quan'dui'lei
汉化程度很高,han'hua'cheng'du'hen'gao
郝韦,hao'wei
河涧王,he'jian'wang
后又归依,hou'you'gui'yi
呼延晏,hu'yan'yan
及百官以下,ji'bai'guan'yi'xia
积习很深,ji'xi'hen'shen
继续留在中原,ji'xu'liu'zai'zhong'yuan
建行台于长安,jian'hang'tai'yu'chang'an
建立政权,jian'li'zheng'quan
将兵两万七千人,jiang'bing'liang'wan'qi'qian'ren
接着刘曜,jie'zhe'liu'yao
晋兵皆败,jin'bing'jie'bai
进攻晋阳,jin'gong'jin'yang
进攻西晋,jin'gong'xi'jin
今山西长治市,jin'shan'xi'chang'zhi'shi
今山西临汾市,jin'shan'xi'lin'fen'shi
今山西忻州市,jin'shan'xi'xin'zhou'shi
晋阳令,jin'yang'ling
晋阳迅速,jin'yang'xun'su
晋阳重镇,jin'yang'zhong'zhen
精强,jing'qiang
就把令狐盛杀了,jiu'ba'ling'hu'sheng'sha'le
军事等方面,jun'shi'deng'fang'mian
开创者刘渊,kai'chuang'zhe'liu'yuan
会稽郡公,kuai'ji'jun'gong
立妻呼延氏,li'qi'hu'yan'shi
领大单于,ling'da'chan'yu
令狐泥,ling'hu'ni
令狐盛,ling'hu'sheng
令狐盛被,ling'hu'sheng'bei
刘聪封怀帝为,liu'cong'feng'huai'di'wei
刘聪就,liu'cong'jiu
刘聪命,liu'cong'ming
刘聪命石勒,liu'cong'ming'shi'le
刘聪年轻时,liu'cong'nian'qing'shi
刘聪取得了,liu'cong'qu'de'le
刘聪杀刘和自立,liu'cong'sha'liu'he'zi'li
刘聪是,liu'cong'shi
刘聪遂以,liu'cong'sui'yi
刘聪武艺,liu'cong'wu'yi
刘聪在位期间,liu'cong'zai'wei'qi'jian
刘和继位,liu'he'ji'wei
刘琨不问青红皂白,liu'kun'bu'wen'qing'hong'zao'bai
刘琨初到晋阳,liu'kun'chu'dao'jin'yang
刘琨和,liu'kun'he
刘琨闻讯后,liu'kun'wen'xun'hou
刘曜,liu'yao
刘义为皇太帝,liu'yi'wei'huang'tai'di
刘渊死后,liu'yuan'si'hou
沦入刘聪,lun'ru'liu'cong
洛阳被攻破后,luo'yang'bei'gong'po'hou
洛阳京城,luo'yang'jing'cheng
率大军,lv'da'jun
膂力过人,lv'li'guo'ren
名叫徐润者,ming'jiao'xu'run'zhe
命刘粲,ming'liu'can
难得的人才,nan'de'de'ren'cai
辟为主簿,pi'wei'zhu'bu
其母张氏为帝太后,qi'mu'zhang'shi'wei'di'tai'hou
其时北方各州,qi'shi'bei'fang'ge'zhou
其子令狐泥,qi'zi'ling'hu'ni
前后十二战,qian'hou'shi'er'zhan
前军大将军,qian'jun'da'jiang'jun
请兵,qing'bing
三万人,san'wan'ren
杀西晋诸王公,sha'xi'jin'zhu'wang'gong
