巴宾斯基征征白血病,ba'bin'si'ji'zheng'zheng'bai'xue'bing
败血症,bai'xue'zheng
伴热性惊厥,ban're'xing'jing'jue
伴中央颞区棘波的儿童良性癫,ban'zhong'yang'nie'qu'ji'bo'de'er'tong'liang'xing'dian
饱和度,bao'he'du
苯丙酮尿症,ben'bing'tong'niao'zheng
病毒,bing'du
病毒性脑炎,bing'du'xing'nao'yan
病毒性心肌炎,bing'du'xing'xin'ji'yan
病理性黄疸,bing'li'xing'huang'dan
产毒性大肠杆菌,chan'du'xing'da'chang'gan'jun
肠病性肢端皮炎,chang'bing'xing'zhi'duan'pi'yan
肠肝循环,chang'gan'xun'huan
常频机械通气,chang'pin'ji'xie'tong'qi
常染色体,chang'ran'se'ti
常染色体显性基因,chang'ran'se'ti'xian'xing'ji'yin
常染色体隐性基因,chang'ran'se'ti'yin'xing'ji'yin
肠套叠,chang'tao'die
持续气道正压,chi'xu'qi'dao'zheng'ya
持续胎儿循环,chi'xu'tai'er'xun'huan
充血性心力衰竭,chong'xue'xing'xin'li'shuai'jie
出血性大肠杆菌,chu'xue'xing'da'chang'gan'jun
川崎病,chuan'qi'bing
传染性单核细胞增多症,chuan'ran'xing'dan'he'xi'bao'zeng'duo'zheng
传染性非典型肺炎,chuan'ran'xing'fei'dian'xing'fei'yan
磁共振成像,ci'gong'zhen'cheng'xiang
刺激腺垂体分泌,ci'ji'xian'chui'ti'fen'mi
促性腺激素,cu'xing'xian'ji'su
促性腺激素释放激素,cu'xing'xian'ji'su'shi'fang'ji'su
大肠杆菌,da'chang'gan'jun
大发作,da'fa'zuo
大于胎龄儿,da'yu'tai'ling'er
蛋白质能量营养不良,dan'bai'zhi'neng'liang'ying'yang'bu'liang
胆红素脑病,dan'hong'su'nao'bing
单基因遗传病,dan'ji'yin'yi'chuan'bing
低出生体重,di'chu'sheng'ti'zhong
地方性先天性甲低,di'fang'xing'xian'tian'xing'jia'di
低氧性呼吸衰竭,di'yang'xing'hu'xi'shuai'jie
癫痫,dian'xian
癫痫持续状态,dian'xian'chi'xu'zhuang'tai
电子计算机断层扫描,dian'zi'ji'suan'ji'duan'ceng'sao'miao
动脉导管未闭,dong'mai'dao'guan'wei'bi
多基因遗传病,duo'ji'yin'yi'chuan'bing
多器官功能衰竭,duo'qi'guan'gong'neng'shuai'jie
鹅口疮,e'kou'chuang
儿童疾病,er'tong'ji'bing
儿童失神癫痫,er'tong'shi'shen'dian'xian
反应蛋白,fan'ying'dan'bai
房间隔缺损,fang'jian'ge'que'sun
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
肺表面活性物质,fei'biao'mian'huo'xing'wu'zhi
肺大泡,fei'da'pao
肺动脉瓣狭窄,fei'dong'mai'ban'xia'zhai
肥胖,fei'pang
肺曲霉菌病,fei'qu'mei'jun'bing
肺透明膜病,fei'tou'ming'mo'bing
肺炎,fei'yan
肺炎支原体肺炎,fei'yan'zhi'yuan'ti'fei'yan
非胰岛素依赖性糖尿病,fei'yi'dao'su'yi'lai'xing'tang'niao'bing
非甾体类抗炎药,fei'zai'ti'lei'kang'yan'yao
风湿热,feng'shi're
风湿性疾病,feng'shi'xing'ji'bing
佛斯特征,fo'si'te'zheng
附加症,fu'jia'zheng
复温,fu'wen
腹泻病,fu'xie'bing
肝豆状核变性,gan'dou'zhuang'he'bian'xing
感染性肺炎,gan'ran'xing'fei'yan
感染性心内膜炎,gan'ran'xing'xin'nei'mo'yan
感染性休克,gan'ran'xing'xiu'ke
高级生命支持,gao'ji'sheng'ming'zhi'chi
高价乙肝免疫球蛋白,gao'jia'yi'gan'mian'yi'qiu'dan'bai
高碳酸血症性呼吸衰竭,gao'tan'suan'xue'zheng'xing'hu'xi'shuai'jie
高危儿,gao'wei'er
高氧高通气试验,gao'yang'gao'tong'qi'shi'yan
