包括邓小平理论,bao'kuo'deng'xiao'ping'li'lun
保障人民权益,bao'zhang'ren'min'quan'yi
保障社会公平正义,bao'zhang'she'hui'gong'ping'zheng'yi
保证人民当家作主,bao'zheng'ren'min'dang'jia'zuo'zhu
必由之路,bi'you'zhi'lu
不断丰富,bu'duan'feng'fu
不断推进,bu'duan'tui'jin
长期的,chang'qi'de
长期实践中,chang'qi'shi'jian'zhong
从理论和实践结合上,cong'li'lun'he'shi'jian'jie'he'shang
党领导人民,dang'ling'dao'ren'min
党领导人民治理国家,dang'ling'dao'ren'min'zhi'li'guo'jia
东方大国,dong'fang'da'guo
多党合作,duo'dang'he'zuo
多种所有制经济,duo'zhong'suo'you'zhi'jing'ji
法律体系,fa'lv'ti'xi
发展成果,fa'zhan'cheng'guo
分配格局,fen'pei'ge'ju
分配制度,fen'pei'zhi'du
富强民主文明和谐,fu'qiang'min'zhu'wen'ming'he'xie
改革创新,gai'ge'chuang'xin
改革方向,gai'ge'fang'xiang
各方面创新,ge'fang'mian'chuang'xin
根本保障,gen'ben'bao'zhang
根本方向,gen'ben'fang'xiang
根本任务,gen'ben'ren'wu
根本问题,gen'ben'wen'ti
根本原则,gen'ben'yuan'ze
根本政治制度,gen'ben'zheng'zhi'zhi'du
公平正义,gong'ping'zheng'yi
共同发展,gong'tong'fa'zhan
共同奋斗,gong'tong'fen'dou
共同富裕道路,gong'tong'fu'yu'dao'lu
共同信念,gong'tong'xin'nian
公有制为主体,gong'you'zhi'wei'zhu'ti
管理经济和文化事业,guan'li'jing'ji'he'wen'hua'shi'ye
规则公平,gui'ze'gong'ping
国家事务,guo'jia'shi'wu
国民收入,guo'min'shou'ru
和谐社会,he'xie'she'hui
惠及,hui'ji
基本方略,ji'ben'fang'lue
基本国策,ji'ben'guo'ce
基本经济制度,ji'ben'jing'ji'zhi'du
基本原则,ji'ben'yuan'ze
基本政治制度,ji'ben'zheng'zhi'zhi'du
基层群众自治制度,ji'ceng'qun'zhong'zi'zhi'zhi'du
机会公平,ji'hui'gong'ping
坚持对外开放,jian'chi'dui'wai'kai'fang
坚持改革开放,jian'chi'gai'ge'kai'fang
坚持和发展,jian'chi'he'fa'zhan
坚持四项基本原则,jian'chi'si'xiang'ji'ben'yuan'ze
坚持依法治国,jian'chi'yi'fa'zhi'guo
艰巨的,jian'ju'de
建设社会主义,jian'she'she'hui'zhu'yi
解放和发展,jie'fang'he'fa'zhan
经济社会发展,jing'ji'she'hui'fa'zhan
经济体制,jing'ji'ti'zhi
科技创新,ke'ji'chuang'xin
科学发展,ke'xue'fa'zhan
科学发展观,ke'xue'fa'zhan'guan
科学理论体系,ke'xue'li'lun'ti'xi
科学社会主义,ke'xue'she'hui'zhu'yi
快速发展,kuai'su'fa'zhan
快速提高,kuai'su'ti'gao
理论创新,li'lun'chuang'xin
理论特色,li'lun'te'se
理论体系,li'lun'ti'xi
历史任务,li'shi'ren'wu
历史特点,li'shi'te'dian
立足基本国情,li'zu'ji'ben'guo'qing
领导,ling'dao
领导下,ling'dao'xia
马克思列宁主义,ma'ke'si'lie'ning'zhu'yi
毛泽东思想,mao'ze'dong'si'xiang
民主政治,min'zhu'zheng'zhi
民族区域自治制度,min'zu'qu'yu'zi'zhi'zhi'du
民族特色,min'zu'te'se
内在要求,nei'zai'yao'qiu
权利公平,quan'li'gong'ping
全面推进经济建设,quan'mian'tui'jin'jing'ji'jian'she
全面协调可持续,quan'mian'xie'tiao'ke'chi'xu
全体人民共同富裕,quan'ti'ren'min'gong'tong'fu'yu
人的全面发展,ren'de'quan'mian'fa'zhan
人口多底子薄,ren'kou'duo'di'zi'bao
人类社会发展规律,ren'lei'she'hui'fa'zhan'gui'lv
人民代表大会制度,ren'min'dai'biao'da'hui'zhi'du
人民生活水平,ren'min'sheng'huo'shui'ping
人民主体地位,ren'min'zhu'ti'di'wei
三个代表重要思想,san'ge'dai'biao'zhong'yao'si'xiang
社会公平保障体系,she'hui'gong'ping'bao'zhang'ti'xi
社会环境,she'hui'huan'jing
社会建设,she'hui'jian'she
社会生产力,she'hui'sheng'chan'li
社会事务,she'hui'shi'wu
社会体制,she'hui'ti'zhi
社会主义初级阶段,she'hui'zhu'yi'chu'ji'jie'duan
社会主义建设规律,she'hui'zhu'yi'jian'she'gui'lv
社会主义市场经济,she'hui'zhu'yi'shi'chang'jing'ji
社会主义现代化国家,she'hui'zhu'yi'xian'dai'hua'guo'jia
社会主义现代化建设,she'hui'zhu'yi'xian'dai'hua'jian'she
社会主义制度,she'hui'zhu'yi'zhi'du
什么样的社会主义,shen'me'yang'de'she'hui'zhu'yi
生态文明,sheng'tai'wen'ming
生态文明建设,sheng'tai'wen'ming'jian'she
市场经济,shi'chang'jing'ji
时代特色,shi'dai'te'se
实践充分证明,shi'jian'chong'fen'zheng'ming
实践特色,shi'jian'te'se
实现社会主义现代化,shi'xian'she'hui'zhu'yi'xian'dai'hua
实现途径,shi'xian'tu'jing
收入分配,shou'ru'fen'pei
调节力度,tiao'jie'li'du
推进改革开放,tui'jin'gai'ge'kai'fang
伟大斗争,wei'da'dou'zheng
伟大实践,wei'da'shi'jian
稳步前进,wen'bu'qian'jin
文化创新,wen'hua'chuang'xin
文化建设,wen'hua'jian'she
文化体制,wen'hua'ti'zhi
五位一体,wu'wei'yi'ti
先进文化,xian'jin'wen'hua
鲜明特色,xian'ming'te'se
形成的,xing'cheng'de
行动指南,xing'dong'zhi'nan
