按层,an'ceng
安全框,an'quan'kuang
按元素分配材质,an'yuan'su'fen'pei'cai'zhi
凹痕,ao'hen
半透明,ban'tou'ming
薄壁折射,bao'bi'zhe'she
曝光控制,bao'guang'kong'zhi
饱和度,bao'he'du
贝塞尔曲线,bei'sai'er'qu'xian
倍增,bei'zeng
变换,bian'huan
变换轨迹,bian'huan'gui'ji
变换矩阵,bian'huan'ju'zhen
变换控制器,bian'huan'kong'zhi'qi
变换轴,bian'huan'zhou
编辑多边形,bian'ji'duo'bian'xing
编辑面片,bian'ji'mian'pian
编辑网格,bian'ji'wang'ge
边界顶点,bian'jie'ding'dian
边界框,bian'jie'kuang
编解码器,bian'jie'ma'qi
变形,bian'xing
变形器,bian'xing'qi
变形球粒子,bian'xing'qiu'li'zi
变形样条线,bian'xing'yang'tiao'xian
标记,biao'ji
标记数据,biao'ji'shu'ju
标记文件,biao'ji'wen'jian
标准材质,biao'zhun'cai'zhi
波浪,bo'lang
布尔,bu'er
布尔操作,bu'er'cao'zuo
步法类型,bu'fa'lei'xing
步法模式,bu'fa'mo'shi
步幅缩放,bu'fu'suo'fang
布告牌,bu'gao'pai
步进动化,bu'jin'dong'hua
步进方法,bu'jin'fang'fa
布局模式,bu'ju'mo'shi
布料,bu'liao
不透明度衰减,bu'tou'ming'du'shuai'jian
踩踏,cai'ta
采样,cai'yang
采样范围,cai'yang'fan'wei
材质,cai'zhi
材质通道,cai'zhi'tong'dao
材质与贴图层次,cai'zhi'yu'tie'tu'ceng'ci
参考,can'kao
参考对象,can'kao'dui'xiang
参数和参数化,can'shu'he'can'shu'hua
参数空间,can'shu'kong'jian
参数面板,can'shu'mian'ban
仓库,cang'ku
操作对象,cao'zuo'dui'xiang
操作符,cao'zuo'fu
操作符图标,cao'zuo'fu'tu'biao
测试,ce'shi
层次链接,ceng'ci'lian'jie
层管理器,ceng'guan'li'qi
层轨迹,ceng'gui'ji
插件,cha'jian
插件管理器,cha'jian'guan'li'qi
查找行为,cha'zhao'xing'wei
插值,cha'zhi
场景范围,chang'jing'fan'wei
场景运动模糊,chang'jing'yun'dong'mo'hu
超出范围类型,chao'chu'fan'wei'lei'xing
超级采样,chao'ji'cai'yang
超级黑,chao'ji'hei
超级喷射,chao'ji'pen'she
程序贴图,cheng'xu'tie'tu
虫漆,chong'qi
触动感应器,chu'dong'gan'ying'qi
出生事件,chu'sheng'shi'jian
初始化,chu'shi'hua
初始化图形交换规范,chu'shi'hua'tu'xing'jiao'huan'gui'fan
初始姿态,chu'shi'zi'tai
创建参数,chuang'jian'can'shu
从属对象,cong'shu'dui'xiang
存档场景,cun'dang'chang'jing
大理石,da'li'shi
代理,dai'li
弹道张力,dan'dao'zhang'li
导向板,dao'xiang'ban
导向器,dao'xiang'qi
导向球,dao'xiang'qiu
等参线,deng'can'xian
灯光,deng'guang
灯光对象,deng'guang'dui'xiang
灯光贴图,deng'guang'tie'tu
等距视图,deng'ju'shi'tu
低多边形,di'duo'bian'xing
低多边形建模,di'duo'bian'xing'jian'mo
地平线,di'ping'xian
地形,di'xing
第一个顶点,di'yi'ge'ding'dian
点光源,dian'guang'yuan
点缓存,dian'huan'cun
点曲面,dian'qu'mian
点曲线,dian'qu'xian
电影电视工程师协会,dian'ying'dian'shi'gong'cheng'shi'xie'hui
动画,dong'hua
动画层,dong'hua'ceng
动画控制器,dong'hua'kong'zhi'qi
动画纹理,dong'hua'wen'li
冻结,dong'jie
动力学导向器,dong'li'xue'dao'xiang'qi
动力学对象,dong'li'xue'dui'xiang
动态,dong'tai
动态混合,dong'tai'hun'he
动作,dong'zuo
抖动,dou'dong
独立性,du'li'xing
度数,du'shu
断开,duan'kai
队列监视器,dui'lie'jian'shi'qi
对数曝光控制,dui'shu'bao'guang'kong'zhi
对位,dui'wei
对象,dui'xiang
对象空间,dui'xiang'kong'jian
对象空间修改器,dui'xiang'kong'jian'xiu'gai'qi
对象实例,dui'xiang'shi'li
对象运动模糊,dui'xiang'yun'dong'mo'hu
堆栈,dui'zhan
多边形,duo'bian'xing
多分辨率,duo'fen'bian'lv
多维,duo'wei
多样性,duo'yang'xing
