八大家,ba'da'jia
巴黎之夜,ba'li'zhi'ye
霸王醉,ba'wang'zui
百步梯,bai'bu'ti
白鹤市场,bai'he'shi'chang
白马洞,bai'ma'dong
白马广场,bai'ma'guang'chang
佰人王,bai'ren'wang
白水寺,bai'shui'si
白云边,bai'yun'bian
半秋山,ban'qiu'shan
保康,bao'kang
保康的,bao'kang'de
保康县,bao'kang'xian
包天下,bao'tian'xia
抱娃子,bao'wa'zi
包席,bao'xi
奔泰,ben'tai
膘厚,biao'hou
膘瘦的,biao'shou'de
不得搞,bu'de'gao
不得活,bu'de'huo
不都行了,bu'dou'xing'le
不靠气,bu'kao'qi
不求行,bu'qiu'xing
不谈朋友,bu'tan'peng'you
不咋啦,bu'za'la
不在屋里,bu'zai'wu'li
不知道撒,bu'zhi'dao'sa
蔡家田,cai'jia'tian
参瞌睡,can'ke'shui
长安市场,chang'an'shi'chang
长工具,chang'gong'ju
长虹北路,chang'hong'bei'lu
长虹路,chang'hong'lu
长江市场,chang'jiang'shi'chang
常码头,chang'ma'tou
长坪,chang'ping
长征路,chang'zheng'lu
朝天吼,chao'tian'hou
车桥厂,che'qiao'chang
陈家湾,chen'jia'wan
陈营,chen'ying
程河,cheng'he
吃罢,chi'ba
吃罢饭,chi'ba'fan
吃罢了,chi'ba'le
吃大虾,chi'da'xia
吃饭去的,chi'fan'qu'de
吃饭在,chi'fan'zai
楚天都市报,chu'tian'du'shi'bao
楚源,chu'yuan
床上在,chuang'shang'zai
春园,chun'yuan
春园东路,chun'yuan'dong'lu
春园路,chun'yuan'lu
茨河,ci'he
从襄樊,cong'xiang'fan
大庆东路,da'qing'dong'lu
大庆西路,da'qing'xi'lu
大襄阳,da'xiang'yang
大峪桥,da'yu'qiao
带娃子,dai'wa'zi
丹江口,dan'jiang'kou
丹江路,dan'jiang'lu
当阳市,dang'yang'shi
到汉口,dao'han'kou
到湖北,dao'hu'bei
到十堰,dao'shi'yan
到襄樊,dao'xiang'fan
到襄阳,dao'xiang'yang
到枣阳,dao'zao'yang
邓城,deng'cheng
邓城大道,deng'cheng'da'dao
等到在,deng'dao'zai
等着在,deng'zhe'zai
滴很,di'hen
店子,dian'zi
掉底子,diao'di'zi
定中街,ding'zhong'jie
丁字桥,ding'zi'qiao
东湖,dong'hu
董台,dong'tai
东岳路,dong'yue'lu
豆腐面,dou'fu'mian
都是里,dou'shi'li
斗说,dou'shuo
都我一个,dou'wo'yi'ge
都市花园,du'shi'hua'yuan
掇刀,duo'dao
堕落街,duo'luo'jie
多美奇,duo'mei'qi
鹅翅,e'chi
鄂东办,e'dong'ban
鄂西北,e'xi'bei
儿彪,er'biao
二技校,er'ji'xiao
儿骗,er'pian
二汽,er'qi
二桥头,er'qiao'tou
儿娃子,er'wa'zi
儿子骗,er'zi'pian
发展大道,fa'zhan'da'dao
樊城,fan'cheng
樊城区,fan'cheng'qu
烦求人,fan'qiu'ren
方体袋装,fang'ti'dai'zhuang
粉条汤,fen'tiao'tang
风华路,feng'hua'lu
凤凰温泉,feng'huang'wen'quan
傅家坡,fu'jia'po
福田河,fu'tian'he
嘎子,ga'zi
干嘛在,gan'ma'zai
干啥在,gan'sha'zai
干什么在,gan'shen'me'zai
刚吃吧,gang'chi'ba
搞不成器,gao'bu'cheng'qi
搞架,gao'jia
搞撒子,gao'sa'zi
郜营,gao'ying
歌莱美,ge'lai'mei
给娃子,gei'wa'zi
给爷们,gei'ye'men
谷伯,gu'bo
谷城,gu'cheng
谷城的,gu'cheng'de
谷城县,gu'cheng'xian
谷城一中,gu'cheng'yi'zhong
顾家岗,gu'jia'gang
古隆中,gu'long'zhong
姑娘吖,gu'niang'a
古治街,gu'zhi'jie
挂着在,gua'zhe'zai
怪多的,guai'duo'de
怪好,guai'hao
怪好的,guai'hao'de
怪好看的,guai'hao'kan'de
管求他的,guan'qiu'ta'de
关山,guan'shan
观音阁,guan'yin'ge
广德寺,guang'de'si
鬼吧,gui'ba
鬼娃子,gui'wa'zi
鬼哟,gui'yo
锅巴饭,guo'ba'fan
国邦,guo'bang
郭茨口,guo'ci'kou
过家,guo'jia
过细,guo'xi
还怪好,hai'guai'hao
海润名都,hai'run'ming'du
还在武汉,hai'zai'wu'han
汉江,han'jiang
汉江国际,han'jiang'guo'ji
汉江路,han'jiang'lu
汉口学院,han'kou'xue'yuan
汉十,han'shi
憨娃子,han'wa'zi
韩庄,han'zhuang
好吧咧,hao'ba'lie
好烦人啊,hao'fan'ren'a
好福记,hao'fu'ji
好冷吧,hao'leng'ba
好邻居,hao'lin'ju
好你说,hao'ni'shuo
好热吧,hao're'ba
好算了,hao'suan'le
好娃子,hao'wa'zi
好些钱,hao'xie'qian
好造业,hao'zao'ye
鹤峰,he'feng
河口,he'kou
河口的,he'kou'de
河那边,he'na'bian
黑毛猪,hei'mao'zhu
横沟,heng'gou
红光路,hong'guang'lu
洪山,hong'shan
洪山头,hong'shan'tou
洪山嘴,hong'shan'zui
红瓦房,hong'wa'fang
哄娃子,hong'wa'zi
红月亮,hong'yue'liang
后湖,hou'hu
后坪,hou'ping
湖北理工,hu'bei'li'gong
湖北理工学院,hu'bei'li'gong'xue'yuan
湖北民族学院,hu'bei'min'zu'xue'yuan
湖北呢,hu'bei'ne
湖北省,hu'bei'sheng
湖北省襄阳市,hu'bei'sheng'xiang'yang'shi
湖北文理,hu'bei'wen'li
湖北文理学院,hu'bei'wen'li'xue'yuan
湖北襄樊,hu'bei'xiang'fan
湖北襄阳,hu'bei'xiang'yang
湖北银行,hu'bei'yin'hang
护城河,hu'cheng'he
虎泉,hu'quan
虎头山,hu'tou'shan
华安里,hua'an'li
华丰路,hua'feng'lu
华洋堂,hua'yang'tang
花庄,hua'zhuang
坏好的,huai'hao'de
坏好看,huai'hao'kan
坏娃子,huai'wa'zi
还建房,huan'jian'fang
欢乐城,huan'le'cheng
欢谈,huan'tan
黄堡,huang'bao
黄堡镇,huang'bao'zhen
黄集,huang'ji
黄集镇,huang'ji'zhen
黄家,huang'jia
黄家湖,huang'jia'hu
黄家湾,huang'jia'wan
黄牛庄,huang'niu'zhuang
回十堰,hui'shi'yan
回襄樊,hui'xiang'fan
回襄阳,hui'xiang'yang
荟园,hui'yuan
回枣阳,hui'zao'yang
火好,huo'hao
火炬大厦,huo'ju'da'sha
伙牌镇,huo'pai'zhen
火巷口,huo'xiang'kou
火焰鸡,huo'yan'ji
霍庄,huo'zhuang
鸡娃子,ji'wa'zi
佳海,jia'hai
贱的很,jian'de'hen
建华路,jian'hua'lu
简朴寨,jian'pu'zhai
接吃饭,jie'chi'fan
杰之行,jie'zhi'xing
金碧辉煌,jin'bi'hui'huang
金草帽,jin'cao'mao
今的,jin'de
今滴,jin'di
金东山,jin'dong'shan
金华市场,jin'hua'shi'chang
金钱柜,jin'qian'gui
今日播报,jin'ri'bo'bao
荆楚理工,jing'chu'li'gong
荆楚理工学院,jing'chu'li'gong'xue'yuan
荆门,jing'men
荆门的,jing'men'de
荆门了,jing'men'le
荆州街,jing'zhou'jie
就回去的,jiu'hui'qu'de
九集,jiu'ji
九隆,jiu'long
就说撒,jiu'shuo'sa
九选六,jiu'xuan'liu
居仁门,ju'ren'men
琚湾,ju'wan
卡五心,ka'wu'xin
卡五星,ka'wu'xing
凯德华,kai'de'hua
开着在,kai'zhe'zai
看电视在,kan'dian'shi'zai
克吧,ke'ba
克滴,ke'di
可莫,ke'mo
瞌睡的很,ke'shui'de'hen
口水吧,kou'shui'ba
亏不去,kui'bu'qu
拉美步行街,la'mei'bu'xing'jie
来湖北,lai'hu'bei
来武汉了,lai'wu'han'le
来襄樊,lai'xiang'fan
来襄阳,lai'xiang'yang
来宜城,lai'yi'cheng
来枣阳,lai'zao'yang
懒求得,lan'qiu'de
老板子,lao'ban'zi
老河口,lao'he'kou
老河口市,lao'he'kou'shi
老虎沟,lao'hu'gou
老媳妇,lao'xi'fu
老西湾,lao'xi'wan
老营,lao'ying
雷河,lei'he
冷集,leng'ji
利济路,li'ji'lu
李楼,li'lou
利马,li'ma
立业路,li'ye'lu
俩娃,lia'wa
俩娃儿,lia'wa'er
俩呀,lia'ya
粮道街,liang'dao'jie
良品铺子,liang'pin'pu'zi
聊天在,liao'tian'zai
烈士塔,lie'shi'ta
领袖中原,ling'xiu'zhong'yuan
流金岁月,liu'jin'sui'yue
六两河,liu'liang'he
龙门粥道,long'men'zhou'dao
龙坪,long'ping
龙王峡,long'wang'xia
隆中,long'zhong
隆中路,long'zhong'lu
鹿门寺,lu'men'si
鹿头,lu'tou
罗岗,luo'gang
绿影壁,lv'ying'bi
嘛点,ma'dian
麻果,ma'guo
马湖,ma'hu
马集,ma'ji
马家庄,ma'jia'zhuang
马桥镇,ma'qiao'zhen
抹澡,ma'zao
满旗楼,man'qi'lou
忙到在,mang'dao'zai
