保存在人们,bao'cun'zai'ren'men
包括关于历史研究,bao'kuo'guan'yu'li'shi'yan'jiu
包括文化遗迹和,bao'kuo'wen'hua'yi'ji'he
被表达的重写方式,bei'biao'da'de'chong'xie'fang'shi
被历史学家重写的历史,bei'li'shi'xue'jia'chong'xie'de'li'shi
本身的观点和方法,ben'shen'de'guan'dian'he'fang'fa
比如海德格尔,bi'ru'hai'de'ge'er
比现在的存在,bi'xian'zai'de'cun'zai
表达的,biao'da'de
表达的历史,biao'da'de'li'shi
并不能逃脱,bing'bu'neng'tao'tuo
不能离开,bu'neng'li'kai
不同的历史文化,bu'tong'de'li'shi'wen'hua
不同的历史文化之间,bu'tong'de'li'shi'wen'hua'zhi'jian
超文化性,chao'wen'hua'xing
超越同时性,chao'yue'tong'shi'xing
超越性使,chao'yue'xing'shi
成为了现在的,cheng'wei'le'xian'zai'de
成为有意义的历史,cheng'wei'you'yi'yi'de'li'shi
重写的历史,chong'xie'de'li'shi
从不自觉的自身开始,cong'bu'zi'jue'de'zi'shen'kai'shi
从而为,cong'er'wei
存在的共同基础,cun'zai'de'gong'tong'ji'chu
存在在,cun'zai'zai
带到了一种,dai'dao'le'yi'zhong
但是过去,dan'shi'guo'qu
但是他们,dan'shi'ta'men
但它所具有的,dan'ta'suo'ju'you'de
但无论是,dan'wu'lun'shi
但这一切,dan'zhe'yi'qie
但至少现在,dan'zhi'shao'xian'zai
的被表达的历史,de'bei'biao'da'de'li'shi
的本质的,de'ben'zhi'de
的超越,de'chao'yue
的存在问题,de'cun'zai'wen'ti
的存在在,de'cun'zai'zai
的反思,de'fan'si
的反思即是,de'fan'si'ji'shi
的观点和方法,de'guan'dian'he'fang'fa
的过去,de'guo'qu
的记忆,de'ji'yi
的历史即,de'li'shi'ji
的历史哲学,de'li'shi'zhe'xue
的描述就,de'miao'shu'jiu
的时代,de'shi'dai
的同构,de'tong'gou
的同构性,de'tong'gou'xing
的同一,de'tong'yi
的问号,de'wen'hao
的一个组成部份,de'yi'ge'zu'cheng'bu'fen
的哲学思想不同,de'zhe'xue'si'xiang'bu'tong
的哲学问题,de'zhe'xue'wen'ti
的真正意义,de'zhen'zheng'yi'yi
第二是把,di'er'shi'ba
第一是把,di'yi'shi'ba
都是对历史,dou'shi'dui'li'shi
都是历史,dou'shi'li'shi
对重写历史,dui'chong'xie'li'shi
对存在与时间,dui'cun'zai'yu'shi'jian
对历史的,dui'li'shi'de
对历史的研究,dui'li'shi'de'yan'jiu
对历史学的反思,dui'li'shi'xue'de'fan'si
对于历史来说,dui'yu'li'shi'lai'shuo
多重意义的,duo'chong'yi'yi'de
而被自觉,er'bei'zi'jue
而趋向自觉,er'qu'xiang'zi'jue
而形成某种历史理论,er'xing'cheng'mou'zhong'li'shi'li'lun
而研究它的,er'yan'jiu'ta'de
反复地重新理解,fan'fu'de'chong'xin'li'jie
反思形式,fan'si'xing'shi
反思性质,fan'si'xing'zhi
方式实现的,fang'shi'shi'xian'de
分析的历史哲学,fen'xi'de'li'shi'zhe'xue
分析的统一,fen'xi'de'tong'yi
分析历史哲学,fen'xi'li'shi'zhe'xue
否则就没有历史,fou'ze'jiu'mei'you'li'shi
给读者,gei'du'zhe
更加困难,geng'jia'kun'nan
更令人困惑,geng'ling'ren'kun'huo
共同的,gong'tong'de
观点和方法,guan'dian'he'fang'fa
关于对历史,guan'yu'dui'li'shi
关于历史的,guan'yu'li'shi'de
过去的存在,guo'qu'de'cun'zai
