鼻饲管置管,bi'si'guan'zhi'guan
病房空调降温费,bing'fang'kong'tiao'jiang'wen'fei
病房取暖费,bing'fang'qu'nuan'fei
层流洁净病房床位费,ceng'liu'jie'jing'bing'fang'chuang'wei'fei
出诊,chu'zhen
出诊费,chu'zhen'fei
传染病访视,chuan'ran'bing'fang'shi
床位费,chuang'wei'fei
大换药,da'huan'yao
大抢救,da'qiang'jiu
大清创缝合,da'qing'chuang'feng'he
导尿,dao'niao
动静脉置管护理,dong'jing'mai'zhi'guan'hu'li
动脉穿刺置管术,dong'mai'chuan'ci'zhi'guan'shu
动脉加压注射,dong'mai'jia'ya'zhu'she
儿童龋齿预防保健,er'tong'qu'chi'yu'fang'bao'jian
肛管排气,gang'guan'pai'qi
挂号费,gua'hao'fei
灌肠,guan'chang
护理费,hu'li'fei
换药,huan'yao
会诊费,hui'zhen'fei
疾病健康教育,ji'bing'jian'kang'jiao'yu
级护理,ji'hu'li
肌肉注射,ji'rou'zhu'she
急诊观察床位费,ji'zhen'guan'cha'chuang'wei'fei
急诊监护费,ji'zhen'jian'hu'fei
急诊诊查费,ji'zhen'zhen'cha'fei
家庭病床,jia'ting'bing'chuang
家庭病床建床费,jia'ting'bing'chuang'jian'chuang'fei
家庭病床巡诊费,jia'ting'bing'chuang'xun'zhen'fei
家庭巡诊,jia'ting'xun'zhen
监护病房床位费,jian'hu'bing'fang'chuang'wei'fei
健康咨询,jian'kang'zi'xun
建立健康档案,jian'li'jian'kang'dang'an
静脉穿刺置管术,jing'mai'chuan'ci'zhi'guan'shu
静脉高营养治疗,jing'mai'gao'ying'yang'zhi'liao
静脉切开置管术,jing'mai'qie'kai'zhi'guan'shu
静脉输液,jing'mai'shu'ye
静脉注射,jing'mai'zhu'she
精神病护理,jing'shen'bing'hu'li
救护车费,jiu'hu'che'fei
抗肿瘤化学药物配置,kang'zhong'liu'hua'xue'yao'wu'pei'zhi
空调降温费,kong'tiao'jiang'wen'fei
冷热湿敷,leng're'shi'fu
离体残肢处理,li'ti'can'zhi'chu'li
门急诊留观诊查费,men'ji'zhen'liu'guan'zhen'cha'fei
皮下输液,pi'xia'shu'ye
普通病房床位费,pu'tong'bing'fang'chuang'wei'fei
普通门诊诊查费,pu'tong'men'zhen'zhen'cha'fei
气管切开护理,qi'guan'qie'kai'hu'li
其他医疗服务项目,qi'ta'yi'liao'fu'wu'xiang'mu
抢救费,qiang'jiu'fei
清创缝合,qing'chuang'feng'he
清洁灌肠,qing'jie'guan'chang
取暖费,qu'nuan'fei
社区卫生服务及预防保健项目,she'qu'wei'sheng'fu'wu'ji'yu'fang'bao'jian'xiang'mu
尸体存放,shi'ti'cun'fang
尸体料理,shi'ti'liao'li
特大换药,te'da'huan'yao
特级护理,te'ji'hu'li
特殊防护病房床位费,te'shu'fang'hu'bing'fang'chuang'wei'fei
特殊疾病护理,te'shu'ji'bing'hu'li
特殊物理降温,te'shu'wu'li'jiang'wen
体检费,ti'jian'fei
围产保健访视,wei'chan'bao'jian'fang'shi
胃肠减压,wei'chang'jian'ya
雾化吸入,wu'hua'xi'ru
物理降温,wu'li'jiang'wen
吸痰护理,xi'tan'hu'li
洗胃,xi'wei
小儿头皮静脉输液,xiao'er'tou'pi'jing'mai'shu'ye
小换药,xiao'huan'yao
小抢救,xiao'qiang'jiu
小清创缝合,xiao'qing'chuang'feng'he
心内注射,xin'nei'zhu'she
新生儿护理,xin'sheng'er'hu'li
新生儿特殊护理,xin'sheng'er'te'shu'hu'li
氧气吸入,yang'qi'xi'ru
一般检查治疗,yi'ban'jian'cha'zhi'liao
一般物理降温,yi'ban'wu'li'jiang'wen
一般专项护理,yi'ban'zhuan'xiang'hu'li
引流管冲洗,yin'liu'guan'chong'xi
婴幼儿健康体检,ying'you'er'jian'kang'ti'jian
远程会诊,yuan'cheng'hui'zhen
院际会诊,yuan'ji'hui'zhen
院内会诊,yuan'nei'hui'zhen
院前急救费,yuan'qian'ji'jiu'fei
造瘘护理,zao'lou'hu'li
诊查费,zhen'cha'fei
中换药,zhong'huan'yao
中抢救,zhong'qiang'jiu
中清创缝合,zhong'qing'chuang'feng'he
中心静脉穿刺置管术,zhong'xin'jing'mai'chuan'ci'zhi'guan'shu
重症监护,zhong'zheng'jian'hu
注射,zhu'she
住院诊查费,zhu'yuan'zhen'cha'fei
专家门诊诊查费,zhuan'jia'men'zhen'zhen'cha'fei
专业性尸体整容,zhuan'ye'xing'shi'ti'zheng'rong
坐浴,zuo'yu
