阿兵哥,a'bing'ge
啊不然,a'bu'ran
阿肥发,a'fei'fa
阿吉仔,a'ji'zai
阿罗海,a'luo'hai
啊你不是,a'ni'bu'shi
啊你是,a'ni'shi
阿唯得,a'wei'de
阿姊,a'zi
爱困了,ai'kun'le
爱水,ai'shui
爱说笑,ai'shuo'xiao
爱厦门,ai'xia'men
爱这样,ai'zhe'yang
安德鲁森,an'de'lu'sen
安德鲁斯,an'de'lu'si
安第仕,an'di'shi
暗摸摸,an'mo'mo
安溪,an'xi
安溪的,an'xi'de
安溪人,an'xi'ren
安溪县,an'xi'xian
安怎了,an'zen'le
安抓,an'zhua
奥网城,ao'wang'cheng
鳌园,ao'yuan
八卦楼,ba'gua'lou
巴浪鱼,ba'lang'yu
八婆婆,ba'po'po
拔起来,ba'qi'lai
八十分,ba'shi'fen
白城,bai'cheng
白果山,bai'guo'shan
白海豚,bai'hai'tun
白虎岩,bai'hu'yan
百家村,bai'jia'cun
白金汉,bai'jin'han
百乐岛,bai'le'dao
百乐园,bai'le'yuan
白鹭卡,bai'lu'ka
白鹭洲,bai'lu'zhou
百脑汇,bai'nao'hui
百鸟园,bai'niao'yuan
白水洋,bai'shui'yang
拜天公,bai'tian'gong
百香果,bai'xiang'guo
百源,bai'yuan
百源双玺,bai'yuan'shuang'xi
坂东,ban'dong
斑节虾,ban'jie'xia
板栗饼,ban'li'bing
半期考,ban'qi'kao
半山林海,ban'shan'lin'hai
坂上社,ban'shang'she
伴手礼,ban'shou'li
坂头,ban'tou
帮忙下,bang'mang'xia
榜山,bang'shan
帮头发,bang'tou'fa
报备下,bao'bei'xia
宝宸,bao'chen
宝岛眼镜,bao'dao'yan'jing
保底消费,bao'di'xiao'fei
报关行,bao'guan'hang
宝龙中心,bao'long'zhong'xin
包厢费,bao'xiang'fei
报业大厦,bao'ye'da'sha
北辰山,bei'chen'shan
北海湾,bei'hai'wan
倍顺,bei'shun
碑头,bei'tou
本二线,ben'er'xian
本机资费,ben'ji'zi'fei
本来就是了,ben'lai'jiu'shi'le
奔马新村,ben'ma'xin'cun
奔趣,ben'qu
本一线,ben'yi'xian
比哥,bi'ge
比哥鸡排,bi'ge'ji'pai
碧湖嘉园,bi'hu'jia'yuan
比较不,bi'jiao'bu
比较不好,bi'jiao'bu'hao
比较不会,bi'jiao'bu'hui
比较不热,bi'jiao'bu're
比较好睡,bi'jiao'hao'shui
比较没,bi'jiao'mei
比较实在,bi'jiao'shi'zai
比较有空,bi'jiao'you'kong
碧山,bi'shan
毕思特,bi'si'te
比厦门,bi'xia'men
闭学式,bi'xue'shi
