白膜矫正手术,bai'mo'jiao'zheng'shou'shu
半导,ban'dao
包皮系带过短,bao'pi'ji'dai'guo'duan
背神经阀值,bei'shen'jing'fa'zhi
扁平疣,bian'ping'you
出血,chu'xie
醋酸白试验阳性,cu'suan'bai'shi'yan'yang'xing
滴度,di'du
电镜检查,dian'jing'jian'cha
电灼治疗,dian'zhuo'zhi'liao
都有可能导致阴茎向下弯曲,dou'you'ke'neng'dao'zhi'yin'jing'xiang'xia'wan'qu
附睾,fu'gao
附睾炎,fu'gao'yan
睾丸疾病,gao'wan'ji'bing
睾丸炎附睾炎,gao'wan'yan'fu'gao'yan
睾丸有点硬,gao'wan'you'dian'ying
供血不好,gong'xue'bu'hao
龟头敏感度,gui'tou'min'gan'du
龟头性神经阈值做检查,gui'tou'xing'shen'jing'yu'zhi'zuo'jian'cha
龟头炎,gui'tou'yan
海绵体疾病,hai'mian'ti'ji'bing
红光,hong'guang
花柳病,hua'liu'bing
回流受阻,hui'liu'shou'zu
激光治疗,ji'guang'zhi'liao
基因检查,ji'yin'jian'cha
假性软疣,jia'xing'ruan'you
检测提高诊断率,jian'ce'ti'gao'zhen'duan'lv
检查,jian'cha
检查方法,jian'cha'fang'fa
检查阴茎的血管,jian'cha'yin'jing'de'xue'guan
尖锐湿疣,jian'rui'shi'you
静脉丛血管扩张,jing'mai'cong'xue'guan'kuo'zhang
精囊炎,jing'nang'yan
均为阴性,jun'wei'yin'xing
抗原检查,kang'yuan'jian'cha
可考虑为治愈,ke'kao'lv'wei'zhi'yu
冷冻疗法,leng'dong'liao'fa
疗法,liao'fa
淋巴管炎,lin'ba'guan'yan
毛囊炎,mao'nang'yan
梅毒,mei'du
梅毒螺旋体检查,mei'du'luo'xuan'ti'jian'cha
梅毒血清试验室检查,mei'du'xue'qing'shi'yan'shi'jian'cha
敏感度的检查,min'gan'du'de'jian'cha
尿不尽,niao'bu'jin
尿道括约肌失调,niao'dao'kuo'yue'ji'shi'tiao
尿滴沥,niao'di'li
尿线变细,niao'xian'bian'xi
凝血,ning'xue
疱疹,pao'zhen
疱疹病毒的细胞学检查,pao'zhen'bing'du'de'xi'bao'xue'jian'cha
疱疹病毒的血清学检查,pao'zhen'bing'du'de'xue'qing'xue'jian'cha
疱疹病毒组织培养,pao'zhen'bing'du'zu'zhi'pei'yang
培养检查,pei'yang'jian'cha
前列腺炎,qian'lie'xian'yan
腔道介入,qiang'dao'jie'ru
射线治疗,she'xian'zhi'liao
手术疗法,shou'shu'liao'fa
双侧海绵体发育不对称,shuang'ce'hai'mian'ti'fa'yu'bu'dui'chen
调节大脑皮质功能,tiao'jie'da'nao'pi'zhi'gong'neng
涂片检查,tu'pian'jian'cha
微波治疗,wei'bo'zhi'liao
细胞学诊断,xi'bao'xue'zhen'duan
血测抗体次,xue'ce'kang'ti'ci
血管疾病,xue'guan'ji'bing
血瘤,xue'liu
血流和海绵体,xue'liu'he'hai'mian'ti
血清检查,xue'qing'jian'cha
炎症方面的检查,yan'zheng'fang'mian'de'jian'cha
药敏试验,yao'min'shi'yan
腰痛,yao'tong
一年未复发,yi'nian'wei'fu'fa
阴茎白膜及海绵体,yin'jing'bai'mo'ji'hai'mian'ti
阴茎背神敏感度过高,yin'jing'bei'shen'min'gan'du'guo'gao
阴茎背血流量不足,yin'jing'bei'xue'liu'liang'bu'zu
阴茎腹侧发育不全,yin'jing'fu'ce'fa'yu'bu'quan
阴茎海绵体白膜异常,yin'jing'hai'mian'ti'bai'mo'yi'chang
因精索静脉血流淤积,yin'jing'suo'jing'mai'xue'liu'yu'ji
阴茎血管及血流,yin'jing'xue'guan'ji'xue'liu
阴茎血管扩张,yin'jing'xue'guan'kuo'zhang
阴茎血管炎,yin'jing'xue'guan'yan
阴茎硬结症,yin'jing'ying'jie'zheng
隐性出血,yin'xing'chu'xie
迂曲和变长,yu'qu'he'bian'chang
治愈标准,zhi'yu'biao'zhun
组织轴向短缩,zu'zhi'zhou'xiang'duan'suo
